Date,Open,High,Low,Close,Adj Close,Volume
,KIM,KIM,KIM,KIM,,KIM
1991-11-01,0.8011,0.8061,0.7961,0.8011,0.8011,7802100
1991-12-01,0.8011,0.8611,0.771,0.8611,0.8611,3027600
1992-01-01,0.8561,0.9663,0.8461,0.9462,0.9462,2803950
1992-02-01,0.9527,0.9981,0.9477,0.9678,0.9678,1822950
1992-03-01,0.9779,1.0233,0.9426,0.9527,0.9527,1995300
1992-04-01,0.9477,0.983,0.8922,0.983,0.983,1699200
1992-05-01,1.0018,1.0686,0.9916,1.0583,1.0583,819900
1992-06-01,1.0583,1.0686,1.0275,1.0429,1.0429,1324350
1992-07-01,1.0429,1.1405,1.0378,1.1149,1.1149,7002450
1992-08-01,1.1389,1.1441,1.0814,1.0971,1.0971,1098900
1992-09-01,1.0971,1.1441,1.0919,1.1389,1.1389,806850
1992-10-01,1.1337,1.2068,1.1337,1.1859,1.1859,1714050
1992-11-01,1.2047,1.21,1.1516,1.1835,1.1835,2545200
1992-12-01,1.1888,1.3214,1.1888,1.3161,1.3161,2031750
1993-01-01,1.3161,1.401,1.2949,1.3957,1.3957,1822050
1993-02-01,1.4054,1.4485,1.3947,1.4108,1.4108,2074950
1993-03-01,1.4108,1.4701,1.3462,1.4701,1.4701,3513150
1993-04-01,1.4754,1.5185,1.4378,1.4431,1.4431,10788750
1993-05-01,1.4633,1.4688,1.3432,1.3541,1.3541,3309750
1993-06-01,1.3541,1.4961,1.3377,1.4961,1.4961,2362500
1993-07-01,1.4906,1.5834,1.4578,1.5725,1.5725,4243050
1993-08-01,1.583,1.6881,1.5719,1.6383,1.6383,3979350
1993-09-01,1.6439,1.738,1.6162,1.6383,1.6383,3782250
1993-10-01,1.6328,1.6383,1.5774,1.6217,1.6217,2778300
1993-11-01,1.6428,1.6428,1.4129,1.4297,1.4297,3752550
1993-12-01,1.4354,1.5811,1.4354,1.5755,1.5755,4326300
1994-01-01,1.5699,1.6148,1.5139,1.6036,1.6036,2602350
1994-02-01,1.6262,1.7627,1.6092,1.7456,1.7456,2454300
1994-03-01,1.7456,1.7684,1.6319,1.6319,1.6319,2436300
1994-04-01,1.6205,1.6547,1.6092,1.6319,1.6319,1863450
1994-05-01,1.6549,1.7241,1.6549,1.6895,1.6895,1457100
1994-06-01,1.6895,1.7068,1.6203,1.6549,1.6549,2501550
1994-07-01,1.6607,1.7126,1.6491,1.7068,1.7068,1329750
1994-08-01,1.7303,1.7713,1.6836,1.707,1.707,1661400
1994-09-01,1.707,1.7362,1.6836,1.6953,1.6953,1984950
1994-10-01,1.6953,1.7596,1.6836,1.7128,1.7128,1662300
1994-11-01,1.7359,1.7478,1.5641,1.6411,1.6411,3272850
1994-12-01,1.6293,1.813,1.6293,1.7952,1.7952,1524150
1995-01-01,1.8329,1.8329,1.7007,1.7368,1.7368,6897600
1995-02-01,1.7368,1.8329,1.7308,1.8269,1.8269,3342600
1995-03-01,1.8269,1.875,1.8269,1.8449,1.8449,1367550
1995-04-01,1.8647,1.8647,1.816,1.8404,1.8404,2136600
1995-05-01,1.8404,1.9196,1.8282,1.883,1.883,1790550
1995-06-01,1.883,1.9501,1.8404,1.8526,1.8526,1659150
1995-07-01,1.8845,1.9772,1.8721,1.971,1.971,1631700
1995-08-01,1.9772,2.039,1.9772,2.0081,2.0081,1579500
1995-09-01,2.0142,2.0328,1.9586,1.9772,1.9772,2717100
1995-10-01,1.9977,2.004,1.7785,1.8474,1.8474,2054700
1995-11-01,1.8349,2.004,1.8349,2.004,2.004,2023200
1995-12-01,2.0102,2.1167,2.0102,2.0478,2.0478,1617750
1996-01-01,2.068,2.0871,1.9822,1.9822,1.9822,7672200
1996-02-01,1.9822,2.0871,1.9251,2.0775,2.0775,5484300
1996-03-01,2.0775,2.1347,2.049,2.0585,2.0585,2555100
1996-04-01,2.0684,2.107,1.9814,2.0104,2.0104,3233400
1996-05-01,2.0104,2.1554,2.0104,2.1167,2.1167,2272500
1996-06-01,2.1264,2.2037,2.0587,2.1844,2.1844,4662000
1996-07-01,2.1951,2.2147,2.0775,2.1853,2.1853,5662500
1996-08-01,2.1755,2.3224,2.1657,2.2735,2.2735,2282100
1996-09-01,2.2735,2.3714,2.1951,2.3322,2.3322,3122700
1996-10-01,2.3627,2.3726,2.2932,2.2932,2.2932,2687700
1996-11-01,2.3031,2.3329,2.2535,2.3131,2.3131,2973300
1996-12-01,2.323,2.7697,2.323,2.7697,2.7697,3801900
1997-01-01,2.7846,2.7846,2.5835,2.6338,2.6338,3435600
1997-02-01,2.6438,2.7544,2.5534,2.7042,2.7042,2989500
1997-03-01,2.7042,2.7444,2.6036,2.6137,2.6137,3103500
1997-04-01,2.6271,2.6474,2.4641,2.5354,2.5354,2813400
1997-05-01,2.5354,2.6372,2.5049,2.566,2.566,3475200
1997-06-01,2.5761,2.7187,2.5558,2.5863,2.5863,3210600
1997-07-01,2.6365,2.8997,2.6211,2.8068,2.8068,4811100
1997-08-01,2.8171,2.91,2.7655,2.781,2.781,2850300
1997-09-01,2.7604,2.9874,2.7243,2.8739,2.8739,8940600
1997-10-01,2.8991,2.9461,2.5491,2.6744,2.6744,8741700
1997-11-01,2.6744,2.8729,2.6536,2.8729,2.8729,3291900
1997-12-01,2.8782,2.967,2.7685,2.9461,2.9461,3040200
1998-01-01,2.987,2.9976,2.8334,2.9234,2.9234,6116400
1998-02-01,2.934,2.9923,2.9128,2.9764,2.9764,3515700
1998-03-01,2.9658,3.0452,2.9446,2.9976,2.9976,3587100
1998-04-01,3.0386,3.1943,2.9957,3.1836,3.1836,9041400
1998-05-01,3.189,3.4359,3.1782,3.3447,3.3447,9108000
1998-06-01,3.3339,3.5218,3.189,3.5218,3.5218,7790700
1998-07-01,3.5504,3.6211,3.148,3.2187,3.2187,8974800
1998-08-01,3.2133,3.4145,3.023,3.0882,3.0882,9132600
1998-09-01,3.0991,3.409,3.0556,3.3057,3.3057,8382000
1998-10-01,3.3311,3.5459,2.9733,3.5073,3.5073,6450000
1998-11-01,3.5239,3.5404,3.3201,3.4082,3.4082,6174900
1998-12-01,3.4236,3.5339,3.3409,3.5008,3.5008,10171800
1999-01-01,3.4746,3.5697,3.413,3.4914,3.4914,7354500
1999-02-01,3.4746,3.4969,3.3739,3.3795,3.3795,7327200
1999-03-01,3.3794,3.5137,3.2564,3.3011,3.3011,10681200
1999-04-01,3.2396,3.5585,3.1836,3.5137,3.5137,8692200
1999-05-01,3.5718,3.7084,3.4979,3.6344,3.6344,7093500
1999-06-01,3.623,3.6401,3.4752,3.6174,3.6174,6490500
1999-07-01,3.5036,3.5491,3.3671,3.4126,3.4126,4770900
1999-08-01,3.4649,3.4649,3.3263,3.4418,3.4418,3410700
1999-09-01,3.436,3.436,3.1531,3.3032,3.3032,4719300
1999-10-01,3.2455,3.2686,3.0549,3.1531,3.1531,5064300
1999-11-01,3.2069,3.3185,3.1012,3.1246,3.1246,7936200
1999-12-01,3.1246,3.2539,2.9015,3.1834,3.1834,16932600
2000-01-01,3.264,3.4497,3.1862,3.3778,3.3778,7172400
2000-02-01,3.3778,3.4197,3.1382,3.2999,3.2999,6498600
2000-03-01,3.276,3.5934,3.2401,3.5934,3.5934,6850800
2000-04-01,3.5395,3.8689,3.4736,3.815,3.815,4510800
2000-05-01,3.8773,4.1211,3.8773,3.9504,3.9504,5974800
2000-06-01,3.9504,4.1638,3.9199,4.0007,4.0007,7242000
2000-07-01,3.9321,4.1821,3.9321,4.0236,4.0236,9290400
2000-08-01,4.0894,4.2195,3.8787,4.0274,4.0274,14058300
2000-09-01,4.0522,4.2133,3.9902,4.1885,4.1885,6800100
2000-10-01,4.1266,4.1389,3.8663,3.9902,3.9902,5257800
2000-11-01,4.0429,4.1563,3.9548,4.1563,4.1563,6240300
2000-12-01,4.1437,4.5089,4.0996,4.4522,4.4522,8556900
2001-01-01,4.5189,4.6213,4.378,4.5009,4.5009,5943300
2001-02-01,4.5009,4.5009,4.1732,4.2859,4.2859,7566300
2001-03-01,4.3012,4.4548,4.2398,4.4036,4.4036,10749600
2001-04-01,4.3524,4.5061,4.1988,4.5061,4.5061,6618000
2001-05-01,4.5724,4.5932,4.3849,4.4505,4.4505,9709800
2001-06-01,4.463,4.9317,4.4453,4.9317,4.9317,14393100
2001-07-01,4.8567,4.9057,4.7942,4.8744,4.8744,10425900
2001-08-01,4.9603,5.2828,4.9497,5.0734,5.0734,9372600
2001-09-01,5.0502,5.1771,4.68,5.1348,5.1348,12681600
2001-10-01,5.0745,5.286,4.9708,5.1707,5.1707,10502700
2001-11-01,5.2529,5.3892,5.1552,5.3248,5.3248,8665800
2001-12-01,5.3409,5.4858,5.2351,5.2641,5.2641,12299400
2002-01-01,5.3084,5.4703,4.744,4.9927,4.9927,29726200
2002-02-01,5.0057,5.1906,4.9076,5.0745,5.0745,10053000
2002-03-01,5.0712,5.4801,5.063,5.3493,5.3493,10768200
2002-04-01,5.3575,5.4981,5.1284,5.2511,5.2511,12546600
2002-05-01,5.336,5.4407,5.1864,5.3027,5.3027,10394600
2002-06-01,5.2861,5.6302,5.1531,5.567,5.567,10108800
2002-07-01,5.5188,5.5188,4.3153,5.3426,5.3426,17536800
2002-08-01,5.3948,5.4792,5.074,5.361,5.361,11038000
2002-09-01,5.3948,5.4911,5.226,5.2513,5.2513,7285200
