Date,Open,High,Low,Close,Adj Close,Volume
,KKR,KKR,KKR,KKR,,KKR
2010-07-01,6.0436,6.3775,4.973,5.209,5.209,22565600
2010-08-01,5.4623,6.2451,5.2896,5.7673,5.7673,22924000
2010-09-01,5.87,6.3804,5.6669,6.1484,6.1484,34336100
2010-10-01,6.1774,7.5231,6.0324,7.3549,7.3549,26673200
2010-11-01,7.4477,7.9755,7.1924,7.2968,7.2968,29587000
2010-12-01,7.5918,8.6889,7.3454,8.331,8.331,34177000
2011-01-01,8.466,9.3225,8.3017,8.7945,8.7945,40757300
2011-02-01,8.8297,10.2378,8.8004,9.7743,9.7743,45423300
2011-03-01,9.8447,10.7306,9.2521,9.6276,9.6276,53579600
2011-04-01,9.9043,11.4317,9.8804,11.3123,11.3123,49073200
2011-05-01,11.4138,11.4317,9.9043,10.2563,10.2563,43701100
2011-06-01,10.3867,10.4773,9.1186,9.8553,9.8553,35553200
2011-07-01,9.958,10.0848,8.4845,8.8468,8.8468,39333000
2011-08-01,9.2575,9.2575,6.0811,7.7297,7.7297,66156000
2011-09-01,7.7983,7.8227,6.285,6.346,6.346,38560100
2011-10-01,6.2789,8.6098,5.4612,8.2254,8.2254,42647600
2011-11-01,7.8593,8.8966,6.7549,7.8288,7.8288,28508500
2011-12-01,7.9279,8.4072,7.3748,7.8848,7.8848,21766700
2012-01-01,7.9893,8.7821,7.9033,8.5916,8.5916,18863900
2012-02-01,8.6961,9.3414,8.6715,8.8005,8.8005,27128200
2012-03-01,9.0363,9.3756,8.3451,9.3191,9.3191,29925500
2012-04-01,9.3442,9.7401,8.3639,8.8729,8.8729,25295600
2012-05-01,8.8729,9.0426,6.9312,7.3836,7.3836,27056800
2012-06-01,7.2565,8.2668,7.2183,8.1905,8.1905,26826200
2012-07-01,8.3176,9.4995,8.1842,8.8895,8.8895,25372300
2012-08-01,8.953,9.3089,8.629,9.0547,9.0547,13936500
2012-09-01,9.1385,10.0556,8.8948,9.69,9.69,18552100
2012-10-01,9.7478,9.9337,9.2411,9.6516,9.6516,19858400
2012-11-01,9.5425,9.9081,8.7024,8.8179,8.8179,31920400
2012-12-01,8.9999,9.9318,8.7001,9.9253,9.9253,27674700
2013-01-01,10.2381,11.3981,10.023,11.0006,11.0006,62810500
2013-02-01,11.1114,12.0237,11.1048,11.8738,11.8738,51993300
2013-03-01,12.313,13.5606,12.1978,13.0996,13.0996,45837800
2013-04-01,13.208,14.6455,12.5097,14.2386,14.2386,53059200
2013-05-01,14.2386,14.4421,12.9436,13.208,13.208,64376400
2013-06-01,13.4578,13.767,11.864,13.5059,13.5059,49677100
2013-07-01,13.8013,14.9623,12.9769,14.0486,14.0486,36512700
2013-08-01,14.0349,14.5432,12.8739,13.1281,13.1281,42037100
2013-09-01,13.5436,14.6729,13.3683,14.4344,14.4344,28045900
2013-10-01,14.5185,16.805,13.8031,15.3953,15.3953,47855300
2013-11-01,15.6006,17.0601,15.5652,16.8121,16.8121,33171200
2013-12-01,16.883,18.3283,16.302,17.2443,17.2443,57495300
2014-01-01,17.0884,18.7746,16.7271,17.0814,17.0814,47936200
2014-02-01,17.0814,17.6836,16.1178,17.1026,17.1026,44901000
2014-03-01,17.2365,17.8147,15.9501,16.5066,16.5066,47841400
2014-04-01,16.3837,17.8147,15.3213,16.4126,16.4126,61143900
2014-05-01,16.4054,17.1137,15.5526,16.4271,16.4271,65875600
2014-06-01,16.7412,18.1847,16.6601,17.9196,17.9196,51340700
2014-07-01,18.0227,18.8402,16.8222,16.8811,16.8811,61001300
2014-08-01,17.5943,17.9276,17.0187,17.7913,17.7913,45155300
2014-09-01,17.8064,17.8746,16.2916,16.89,16.89,47752400
2014-10-01,16.8521,17.3671,14.2694,16.3295,16.3295,100846600
2014-11-01,16.7129,17.8338,16.1718,17.2231,17.2231,56107100
2014-12-01,17.084,18.2358,16.3264,17.9421,17.9421,57801500
2015-01-01,18.1585,19.1325,17.285,18.5605,18.5605,47722500
2015-02-01,18.5914,19.3567,17.5787,17.6638,17.6638,54176700
2015-03-01,17.8977,18.8703,17.537,17.8899,17.8899,42468900
2015-04-01,17.8742,18.6585,17.5291,17.6546,17.6546,46262800
2015-05-01,18.0751,18.6752,17.9711,18.3632,18.3632,46493000
2015-06-01,18.3952,18.7232,18.0831,18.2831,18.2831,48297200
2015-07-01,18.4672,19.8354,17.8831,19.1233,19.1233,52282200
2015-08-01,19.4554,19.6345,6.5123,15.5399,15.5399,77797600
2015-09-01,15.2957,16.2726,13.0001,13.6595,13.6595,58725700
2015-10-01,13.6839,15.5318,12.935,13.9607,13.9607,82494100
2015-11-01,14.1072,15.6295,13.7165,13.7653,13.7653,77574400
2015-12-01,14.1163,14.1661,11.8852,12.9303,12.9303,86992700
2016-01-01,12.6897,13.2454,10.525,11.3047,11.3047,90091700
2016-02-01,11.1885,11.8769,9.0321,10.6494,10.6494,99445000
2016-03-01,10.8452,12.7689,10.6268,12.3405,12.3405,61683100
2016-04-01,12.1809,12.6933,10.9208,11.4248,11.4248,52664300
2016-05-01,11.4248,11.5425,10.5008,11.3492,11.3492,58784100
2016-06-01,11.384,12.1661,10.1172,10.4913,10.4913,56855500
2016-07-01,10.4147,12.6932,9.8876,12.2766,12.2766,67949400
2016-08-01,12.2937,12.8973,11.8431,12.7442,12.7442,40617300
2016-09-01,12.8901,13.2685,11.9614,12.2624,12.2624,32642500
2016-10-01,12.2452,13.0191,11.7206,12.2022,12.2022,52463600
2016-11-01,12.2882,13.707,11.6776,13.1567,13.1567,68667800
2016-12-01,13.4124,15.2825,13.308,13.3863,13.3863,61621700
2017-01-01,13.6298,15.5347,13.4907,15.0998,15.0998,53512700
2017-02-01,15.2042,16.0044,15.0824,15.6826,15.6826,62965000
2017-03-01,15.9973,16.2518,15.3831,15.9973,15.9973,68563800
2017-04-01,15.9359,16.9363,14.7161,16.6555,16.6555,49643100
2017-05-01,16.6028,16.6994,15.4533,16.1641,16.1641,42860900
2017-06-01,16.3132,18.0136,15.9323,16.4726,16.4726,56319200
2017-07-01,16.4991,17.7302,16.074,17.1634,17.1634,61674400
2017-08-01,17.1988,17.5088,15.9058,16.8357,16.8357,76920700
2017-09-01,17.0653,18.2536,16.154,18.1643,18.1643,70572700
2017-10-01,18.1643,18.5574,17.4674,17.9141,17.9141,51028600
2017-11-01,18.0392,18.0571,16.7437,17.798,17.798,49296100
2017-12-01,17.9333,19.2941,17.2214,18.9787,18.9787,47524800
2018-01-01,18.9786,22.0787,18.8705,21.7002,21.7002,62311100
2018-02-01,21.6101,21.9976,18.5551,19.3391,19.3391,76032400
2018-03-01,19.4865,20.785,18.2243,18.4332,18.4332,52908000
2018-04-01,18.3333,19.6772,17.5887,19.0143,19.0143,49937400
2018-05-01,18.9598,21.1482,18.8963,20.1857,20.1857,105219100
2018-06-01,20.4491,22.9652,20.3759,22.7364,22.7364,71547700
2018-07-01,22.8279,25.5728,22.7456,25.0512,25.0512,190155500
2018-08-01,25.0604,25.1336,22.9194,23.8618,23.8618,58311000
2018-09-01,23.9386,26.4522,22.9443,25.1079,25.1079,165857300
2018-10-01,25.3381,26.1852,19.6941,21.7749,21.7749,131001900
2018-11-01,21.9223,23.331,18.801,21.1028,21.1028,89684300
2018-12-01,21.6179,21.9418,16.9353,18.1661,18.1661,92045600
2019-01-01,17.8699,21.2477,17.1944,20.7758,20.7758,80886800
2019-02-01,21.0812,22.1454,20.5259,20.5722,20.5722,106706500
2019-03-01,20.8974,22.9815,20.6555,21.8557,21.8557,75292500
2019-04-01,22.0697,23.2607,21.2323,22.7489,22.7489,58961900
2019-05-01,22.9536,23.5584,20.7113,20.7299,20.7299,68846000
2019-06-01,20.7453,23.6354,20.5863,23.6354,23.6354,52492300
2019-07-01,23.9441,25.9737,23.5045,25.0197,25.0197,75059700
2019-08-01,24.8794,24.9448,22.354,24.1685,24.1685,59641700
2019-09-01,24.0047,28.1496,23.422,25.236,25.236,56999900
2019-10-01,25.3958,27.4071,23.422,27.097,27.097,65771200
2019-11-01,26.8432,28.1872,26.5048,27.7173,27.7173,46312700
2019-12-01,27.8455,28.4873,26.6278,27.534,27.534,57161000
