Date,Open,High,Low,Close,Adj Close,Volume
,KLAC,KLAC,KLAC,KLAC,,KLAC
1985-01-01,0.0,3.2348,2.0795,3.1357,3.1357,7241200
1985-02-01,0.0,3.1687,2.7066,2.7726,2.7726,3844800
1985-03-01,0.0,2.8387,2.3105,2.4756,2.4756,5998000
1985-04-01,0.0,2.4756,2.0795,2.294,2.294,7692000
1985-05-01,0.0,2.6076,2.2445,2.2445,2.2445,6646400
1985-06-01,0.0,2.5416,2.0465,2.4756,2.4756,10240800
1985-07-01,0.0,2.8387,2.2115,2.6736,2.6736,8580000
1985-08-01,0.0,2.6736,2.4426,2.4756,2.4756,3153200
1985-09-01,0.0,2.5086,2.1125,2.294,2.294,5304800
1985-10-01,0.0,2.6076,2.1455,2.5911,2.5911,10790400
1985-11-01,0.0,2.8057,2.3105,2.7396,2.7396,7698000
1985-12-01,0.0,3.0697,2.6736,3.0367,3.0367,6656400
1986-01-01,0.0,3.0367,2.5416,2.9707,2.9707,7083600
1986-02-01,0.0,3.3008,2.7396,2.8057,2.8057,5035200
1986-03-01,0.0,3.0697,2.6736,2.8717,2.8717,10988400
1986-04-01,0.0,3.4658,2.6076,3.1687,3.1687,8299600
1986-05-01,0.0,3.3338,2.8387,2.9377,2.9377,10186800
1986-06-01,0.0,3.2017,2.3435,2.3766,2.3766,9466400
1986-07-01,0.0,2.4426,2.0795,2.2115,2.2115,6780400
1986-08-01,0.0,2.4096,2.0795,2.3766,2.3766,5188000
1986-09-01,0.0,2.3766,1.6834,1.7989,1.7989,9032000
1986-10-01,0.0,2.0465,1.4523,1.964,1.964,7576400
1986-11-01,0.0,2.0135,1.7164,1.9805,1.9805,3427600
1986-12-01,0.0,2.0795,1.6834,1.7989,1.7989,6400000
1987-01-01,0.0,3.0202,1.7824,3.0037,3.0037,17662000
1987-02-01,0.0,3.2348,2.8057,2.8387,2.8387,9574800
1987-03-01,0.0,3.2017,2.7231,2.8057,2.8057,8745600
1987-04-01,0.0,3.1027,2.4756,2.8387,2.8387,4333200
1987-05-01,0.0,3.2348,2.5746,2.6406,2.6406,9676000
1987-06-01,0.0,3.1027,2.5911,2.7066,2.7066,12656400
1987-07-01,0.0,2.8717,2.5416,2.7726,2.7726,7167600
1987-08-01,0.0,3.3173,2.7066,3.1357,3.1357,9933200
1987-09-01,0.0,3.1522,2.5086,2.6076,2.6076,5728800
1987-10-01,0.0,2.9047,1.2873,1.5844,1.5844,15578400
1987-11-01,0.0,1.8484,1.4358,1.6174,1.6174,14842400
1987-12-01,0.0,2.063,1.5349,1.8154,1.8154,8899200
1988-01-01,0.0,2.1455,1.6999,1.7659,1.7659,5773600
1988-02-01,0.0,2.2445,1.7494,2.228,2.228,8837600
1988-03-01,0.0,2.6736,2.2445,2.4096,2.4096,10318800
1988-04-01,0.0,2.7726,2.294,2.6076,2.6076,6079200
1988-05-01,0.0,2.7726,2.3105,2.4426,2.4426,5402800
1988-06-01,0.0,2.7396,2.3105,2.4756,2.4756,10463200
1988-07-01,0.0,2.7231,2.0795,2.1125,2.1125,6889200
1988-08-01,0.0,2.1785,1.7494,1.9475,1.9475,10202400
1988-09-01,0.0,1.964,1.5184,1.8319,1.8319,8352400
1988-10-01,0.0,1.9144,1.5514,1.6174,1.6174,4364000
1988-11-01,0.0,1.6504,1.2543,1.5184,1.5184,7020400
1988-12-01,0.0,1.6834,1.3533,1.5514,1.5514,11216400
1989-01-01,0.0,1.6669,1.4028,1.5844,1.5844,17250000
1989-02-01,0.0,1.8154,1.4523,1.7824,1.7824,9026000
1989-03-01,0.0,1.8154,1.2543,1.4193,1.4193,15292400
1989-04-01,0.0,1.5514,1.3203,1.4523,1.4523,10538000
1989-05-01,0.0,1.6834,1.3368,1.6834,1.6834,18302000
