Date,Open,High,Low,Close,Adj Close,Volume
,KMB,KMB,KMB,KMB,,KMB
1985-01-01,1.6157,1.7047,1.5266,1.586,1.586,18527852
1985-02-01,1.5775,1.7344,1.5733,1.6793,1.6793,11986991
1985-03-01,1.6878,1.7005,1.6284,1.6496,1.6496,14815605
1985-04-01,1.6734,1.8493,1.6562,1.8279,1.8279,24350296
1985-05-01,1.8279,2.0081,1.7807,1.9952,1.9952,20155765
1985-06-01,1.9866,2.0467,1.9265,2.0295,2.0295,14641217
1985-07-01,2.0543,2.1193,1.9893,2.0803,2.0803,15554051
1985-08-01,2.089,2.2147,2.0587,2.1887,2.1887,14775556
1985-09-01,2.2176,2.2176,2.082,2.1433,2.1433,13680822
1985-10-01,2.1302,2.2832,2.0908,2.1258,2.1258,20403585
1985-11-01,2.117,2.3882,2.0558,2.3882,2.3882,19156156
1985-12-01,2.3663,2.4495,2.2701,2.3445,2.3445,22951008
1986-01-01,2.3646,2.6204,2.2366,2.5807,2.5807,19454037
1986-02-01,2.5896,2.8587,2.5587,2.8587,2.8587,12970747
1986-03-01,2.8013,3.141,2.6601,3.0351,3.0351,16451866
1986-04-01,3.0585,3.103,2.9163,2.9341,2.9341,17988829
1986-05-01,2.943,3.183,2.7963,3.1519,3.1519,17181130
1986-06-01,3.1119,3.2941,2.9919,3.2586,3.2586,16354242
1986-07-01,3.2771,3.3174,2.7936,3.0129,3.0129,18804872
1986-08-01,3.0085,3.1741,2.9234,3.0711,3.0711,10814659
1986-09-01,3.0933,3.0933,2.7957,2.9354,2.9354,14471001
1986-10-01,2.9445,3.0301,2.7957,2.9535,2.9535,16323367
1986-11-01,2.9625,3.0797,2.8272,3.0707,3.0707,12783840
1986-12-01,3.0617,3.2376,2.8768,2.8813,2.8813,13738394
1987-01-01,2.907,3.9427,2.907,3.8382,3.8382,30765162
1987-02-01,3.8473,4.1062,3.8336,3.8972,3.8972,17615854
1987-03-01,3.9018,4.2969,3.8791,4.0971,4.0971,21621808
1987-04-01,4.1431,4.2711,3.8413,4.0699,4.0699,22785794
1987-05-01,4.0699,4.1339,3.7681,3.9967,3.9967,24548049
1987-06-01,3.951,4.2985,3.8961,4.015,4.015,11455479
1987-07-01,4.0232,4.2718,3.8575,4.0693,4.0693,20092351
1987-08-01,4.0325,4.6585,4.0325,4.3087,4.3087,17368035
1987-09-01,4.3631,4.4372,3.9277,4.289,4.289,15174817
1987-10-01,4.3168,4.5299,2.918,3.8722,3.8722,26452150
1987-11-01,3.8351,4.0667,3.6591,3.7147,3.7147,24863033
1987-12-01,3.7591,3.899,3.6005,3.7311,3.7311,25233924
1988-01-01,3.7311,3.9177,3.442,3.8804,3.8804,11425437
1988-02-01,3.871,4.3374,3.7031,4.2255,4.2255,12821807
1988-03-01,4.2463,4.5093,3.8799,4.0396,4.0396,11925663
1988-04-01,4.0302,4.3496,3.8987,4.0302,4.0302,8650223
1988-05-01,4.0678,4.1336,3.8423,3.9551,3.9551,12337438
1988-06-01,3.9645,4.8381,3.9269,4.6596,4.6596,41545612
1988-07-01,4.7131,4.8645,4.2115,4.3629,4.3629,30862789
1988-08-01,4.3724,4.5238,4.0317,4.3251,4.3251,19266298
1988-09-01,4.3062,4.4576,4.1831,4.344,4.344,16610819
1988-10-01,4.375,5.0136,4.3178,4.4989,4.4989,39933132
1988-11-01,4.5084,4.6133,4.1176,4.4894,4.4894,22686918
1988-12-01,4.4703,4.6895,4.2701,4.4417,4.4417,22186698
1989-01-01,4.4903,4.9029,4.404,4.9029,4.9029,30292058
1989-02-01,4.9221,4.9221,4.6438,4.6918,4.6918,14726325
1989-03-01,4.711,4.7686,4.5095,4.6822,4.6822,19419406
1989-04-01,4.7327,5.0042,4.6842,4.9072,4.9072,19859136
1989-05-01,4.8878,5.1594,4.723,5.1206,5.1206,22366927
1989-06-01,5.1109,5.1691,4.7133,4.7327,4.7327,15477286
1989-07-01,4.7989,5.1123,4.7401,5.1123,5.1123,16070542
1989-08-01,5.1319,5.4452,5.1319,5.3767,5.3767,15520674
1989-09-01,5.3277,5.4257,5.1025,5.2788,5.2788,17910811
