Date,Open,High,Low,Close,Adj Close,Volume
,KMI,KMI,KMI,KMI,,KMI
2011-02-01,15.909,16.1298,15.1813,15.3068,15.3068,83155700
2011-03-01,15.382,15.5778,14.8049,14.8751,14.8751,36556300
2011-04-01,14.9504,15.0207,14.1675,14.3432,14.3432,25452500
2011-05-01,14.4887,15.0082,13.5507,14.7712,14.7712,38461900
2011-06-01,14.8266,15.1141,14.171,14.4887,14.4887,39028900
2011-07-01,14.4585,14.8518,13.6667,14.2366,14.2366,23024700
2011-08-01,14.4866,14.5274,11.9838,13.1766,13.1766,30619900
2011-09-01,13.2429,13.9463,12.3865,13.197,13.197,24089400
2011-10-01,13.1205,15.5469,12.57,14.5784,14.5784,67711100
2011-11-01,14.4699,15.7881,13.8571,15.1908,15.1908,51016600
2011-12-01,15.1908,16.6069,14.6758,16.5657,16.5657,43709100
2012-01-01,16.7717,17.6368,16.5039,16.7202,16.7202,44573100
2012-02-01,16.9835,18.6938,16.5104,18.3195,18.3195,42238100
2012-03-01,18.3143,20.4041,18.3143,20.0922,20.0922,44918100
2012-04-01,20.2117,20.9239,18.0284,18.6626,18.6626,39650900
2012-05-01,18.8303,19.5175,16.5749,17.9334,17.9334,167359700
2012-06-01,17.5767,17.5767,16.0032,16.9001,16.9001,207190100
2012-07-01,16.9998,18.8985,16.8004,18.7831,18.7831,141236300
2012-08-01,19.0538,19.4034,17.8354,18.9478,18.9478,127481400
2012-09-01,18.9637,19.3345,18.5982,18.8154,18.8154,75984000
2012-10-01,18.9213,19.3345,18.0897,18.3863,18.3863,149830300
2012-11-01,18.6112,18.6808,17.091,18.0973,18.0973,110907600
2012-12-01,18.2311,19.0019,17.8297,18.9109,18.9109,87174400
2013-01-01,19.1732,20.4525,19.1304,20.051,20.051,126811000
2013-02-01,20.4021,20.6345,19.402,20.0399,20.0399,88151100
2013-03-01,19.9804,20.9751,19.5209,20.9102,20.9102,68601500
2013-04-01,20.9048,21.6725,20.1318,21.1373,21.1373,78881300
2013-05-01,21.3237,22.6445,20.7288,20.7288,20.7288,66082200
2013-06-01,20.7452,21.6839,19.3862,20.8216,20.8216,88907600
2013-07-01,20.9526,22.0769,20.5815,20.6087,20.6087,75765800
2013-08-01,20.9839,21.0886,20.0463,20.9177,20.9177,91509700
2013-09-01,21.0556,21.1217,19.0482,19.6162,19.6162,161453700
2013-10-01,19.6493,20.2283,19.0261,19.4728,19.4728,151983200
2013-11-01,19.6575,20.232,19.161,19.8248,19.8248,76603200
2013-12-01,19.8248,20.3659,18.0175,20.0814,20.0814,144908200
2014-01-01,20.0758,20.3324,18.7426,18.9713,18.9713,126932700
2014-02-01,19.2188,19.2921,17.7461,17.9718,17.9718,151965500
2014-03-01,17.8984,18.3893,17.3849,18.3329,18.3329,139968900
2014-04-01,18.395,19.1736,18.1749,18.4288,18.4288,112681200
2014-05-01,18.695,19.4208,18.3463,19.0836,19.0836,123289600
2014-06-01,19.1179,20.8611,19.0493,20.7239,20.7239,117200700
2014-07-01,20.7468,21.747,20.1181,20.5639,20.5639,110332000
2014-08-01,20.789,24.5641,20.3496,23.2749,23.2749,446885200
2014-09-01,23.3038,23.3038,21.5868,22.1649,22.1649,210140800
2014-10-01,22.1707,22.8933,19.2223,22.373,22.373,339097400
2014-11-01,22.6389,24.7964,21.7502,24.1766,24.1766,690492900
2014-12-01,24.0597,25.2466,21.6683,24.7379,24.7379,589835600
2015-01-01,24.7379,25.1004,23.3581,24.0012,24.0012,250967700
2015-02-01,24.4485,25.0219,23.8455,24.2416,24.2416,179607600
2015-03-01,24.2475,25.0041,23.3195,24.8623,24.8623,209947500
2015-04-01,25.0928,26.4287,24.5667,25.3884,25.3884,196668700
2015-05-01,25.7035,25.9007,24.7533,24.7951,24.7951,144619900
2015-06-01,24.7234,24.7832,22.9067,22.9425,22.9425,289995000
2015-07-01,22.9784,23.0561,20.3907,20.7015,20.7015,287011700
2015-08-01,20.8149,21.0936,17.27,19.6393,19.6393,360206300
2015-09-01,19.2818,19.4454,15.64,16.7731,16.7731,337609400
2015-10-01,17.1003,19.9302,16.1187,16.5731,16.5731,395554100
2015-11-01,16.2724,17.149,13.9328,14.5501,14.5501,408328700
2015-12-01,14.5686,14.581,8.7782,9.2103,9.2103,1509896400
2016-01-01,9.1918,10.1672,6.9139,10.1548,10.1548,760452700
2016-02-01,9.9459,11.5091,8.2582,11.2662,11.2662,575833700
2016-03-01,11.3846,12.0323,10.5874,11.123,11.123,492762900
2016-04-01,10.8427,12.0821,10.4878,11.0607,11.0607,380734100
