Date,Open,High,Low,Close,Adj Close,Volume
,KMX,KMX,KMX,KMX,,KMX
1997-02-01,11.0,11.0,10.0,10.0625,10.0625,52706800
1997-03-01,10.0625,10.0625,7.3125,7.5,7.5,12180400
1997-04-01,7.5,8.5,6.75,7.5,7.5,7965600
1997-05-01,7.5,8.5625,7.1875,7.25,7.25,1952400
1997-06-01,7.25,7.6875,6.9375,7.1562,7.1562,5329800
1997-07-01,7.1562,7.5312,6.5,7.0938,7.0938,9190800
1997-08-01,7.0625,7.5938,6.3125,6.875,6.875,3918200
1997-09-01,6.9062,8.2812,6.5,8.2812,8.2812,6571200
1997-10-01,8.2188,9.25,6.75,6.9375,6.9375,8062000
1997-11-01,7.0625,7.125,5.6875,5.9688,5.9688,3714800
1997-12-01,5.9688,6.0312,4.3125,4.5,4.5,5781000
1998-01-01,4.5312,4.9062,3.25,3.8438,3.8438,7525600
1998-02-01,4.0625,5.0,3.875,4.625,4.625,5483400
1998-03-01,4.875,6.0625,4.875,5.8125,5.8125,10828800
1998-04-01,5.8125,6.75,5.75,6.375,6.375,4053800
1998-05-01,6.4062,6.4062,4.3125,4.8438,4.8438,3921800
1998-06-01,4.8125,5.0938,4.0625,5.0938,5.0938,4304400
1998-07-01,5.1562,5.5,4.125,4.3125,4.3125,2551200
1998-08-01,4.3125,4.4375,2.7812,2.8438,2.8438,1925600
1998-09-01,2.7812,4.0,2.7188,2.9375,2.9375,2550600
1998-10-01,2.9062,3.75,1.8125,3.0625,3.0625,4879400
1998-11-01,3.125,3.1562,2.375,2.6875,2.6875,3155600
1998-12-01,2.6875,2.875,2.0,2.6875,2.6875,4957600
1999-01-01,2.75,2.8438,2.3125,2.4375,2.4375,1798600
1999-02-01,2.4688,2.5,1.9688,2.25,2.25,3316600
1999-03-01,2.25,2.2812,1.875,1.9688,1.9688,1600200
1999-04-01,1.9375,2.4062,1.8438,2.25,2.25,1958400
1999-05-01,2.25,2.75,2.1562,2.5,2.5,2576600
1999-06-01,2.4062,3.5625,2.375,2.6875,2.6875,4779400
1999-07-01,2.625,2.7188,1.75,2.0,2.0,7050000
1999-08-01,2.0,2.0312,1.6875,1.7188,1.7188,2084000
1999-09-01,1.7188,2.0,1.625,1.6875,1.6875,2521200
1999-10-01,1.6875,1.7188,0.875,1.4062,1.4062,5039000
1999-11-01,1.375,1.5,1.1875,1.2188,1.2188,2811400
1999-12-01,1.3438,1.625,0.9688,1.1562,1.1562,7228400
2000-01-01,1.125,1.4688,0.6562,0.7812,0.7812,34392400
2000-02-01,0.8125,0.9062,0.6875,0.8125,0.8125,16885400
2000-03-01,0.8125,2.125,0.7812,1.6562,1.6562,29377000
2000-04-01,1.7812,2.0625,1.0312,1.2812,1.2812,11792400
2000-05-01,1.3125,1.5625,1.1562,1.3438,1.3438,6426600
2000-06-01,1.3438,1.8125,1.3125,1.6875,1.6875,8061600
2000-07-01,1.625,1.7188,1.5938,1.6562,1.6562,3682600
2000-08-01,1.75,2.4375,1.75,2.3438,2.3438,7174200
2000-09-01,2.3125,2.6875,1.9062,2.2812,2.2812,3863600
2000-10-01,2.25,2.5312,1.6875,1.8438,1.8438,3582000
2000-11-01,1.8125,2.3125,1.8125,2.0,2.0,2811400
2000-12-01,2.0,2.125,1.8438,1.9688,1.9688,2189400
2001-01-01,1.9688,2.6875,1.9375,2.425,2.425,4888200
2001-02-01,2.375,2.75,2.325,2.575,2.575,2340200
2001-03-01,2.45,4.265,2.35,3.77,3.77,8735800
2001-04-01,3.72,5.42,3.625,5.05,5.05,6635200
2001-05-01,5.0,7.745,4.915,7.43,7.43,10550400
2001-06-01,7.43,8.75,5.75,7.98,7.98,14122200
2001-07-01,7.95,10.25,7.17,7.88,7.88,22894800
2001-08-01,8.025,9.045,6.65,7.1,7.1,24333000
2001-09-01,7.4,7.615,4.6,5.625,5.625,21158200
2001-10-01,5.64,9.325,5.355,9.15,9.15,19100000
2001-11-01,9.025,10.5,8.725,9.975,9.975,12207200
2001-12-01,9.95,12.0,9.925,11.37,11.37,14733600
2002-01-01,11.4,11.4,9.675,10.535,10.535,12113800
2002-02-01,10.585,14.51,10.18,13.37,13.37,36097800
2002-03-01,13.37,15.04,12.455,12.93,12.93,36985400
2002-04-01,12.92,15.49,12.375,14.75,14.75,40601600
2002-05-01,14.725,17.0,12.4,13.235,13.235,47198200
2002-06-01,13.24,13.375,10.025,10.825,10.825,37821000
2002-07-01,10.875,11.025,7.35,8.85,8.85,32316000
2002-08-01,8.5,8.95,6.5,8.075,8.075,28637400
2002-09-01,8.0,10.725,7.435,8.025,8.025,47022000
2002-10-01,8.2,9.34,6.45,8.195,8.195,106798000
2002-11-01,8.195,10.05,7.705,9.85,9.85,34573600
2002-12-01,9.95,10.235,8.35,8.94,8.94,45363200
2003-01-01,8.94,9.795,7.85,8.11,8.11,48972400
2003-02-01,8.15,8.63,6.47,7.525,7.525,38068800
2003-03-01,7.525,7.68,6.225,7.285,7.285,43019800
2003-04-01,7.285,10.625,7.0,10.575,10.575,56945000
2003-05-01,10.57,12.05,10.21,11.625,11.625,42338600
2003-06-01,11.65,16.0,11.54,15.075,15.075,59601800
2003-07-01,15.075,19.0,14.58,17.75,17.75,51756200
2003-08-01,17.55,19.36,16.45,19.275,19.275,28653600
2003-09-01,19.275,19.65,16.26,16.33,16.33,64344200
2003-10-01,16.38,19.625,15.04,15.755,15.755,85708400
2003-11-01,15.8,17.15,15.375,16.465,16.465,39043800
2003-12-01,16.69,17.005,14.355,15.465,15.465,48432800
2004-01-01,15.415,18.55,14.52,16.675,16.675,56640200
2004-02-01,16.725,17.935,16.2,17.0,17.0,34730800
2004-03-01,17.1,18.1,13.335,14.6,14.6,110700200
2004-04-01,14.95,15.235,12.63,12.96,12.96,78170200
2004-05-01,12.965,13.21,10.3,11.435,11.435,98529200
2004-06-01,11.525,11.895,10.215,10.935,10.935,66992000
2004-07-01,10.835,10.885,9.025,10.4,10.4,63932000
2004-08-01,10.3,10.37,9.15,9.79,9.79,60907600
2004-09-01,9.79,11.1,9.615,10.775,10.775,50941600
2004-10-01,10.795,13.3,10.75,13.17,13.17,66106600
2004-11-01,13.16,15.125,12.8,13.925,13.925,45746800
2004-12-01,14.15,15.72,13.025,15.525,15.525,41809600
2005-01-01,15.5,15.7,14.05,14.465,14.465,37126000
2005-02-01,14.575,17.4,14.455,16.5,16.5,39143400
2005-03-01,16.54,17.0,15.5,15.75,15.75,33491400
2005-04-01,15.76,15.87,13.445,13.64,13.64,31656400
2005-05-01,13.6,14.605,12.44,12.765,12.765,65088000
2005-06-01,12.77,13.825,12.32,13.325,13.325,67688200
2005-07-01,13.325,15.23,12.8,14.61,14.61,37263600
2005-08-01,14.61,17.125,14.185,15.93,15.93,75145000
2005-09-01,15.9,16.0,14.955,15.635,15.635,36152000
2005-10-01,15.635,15.82,13.005,13.435,13.435,54064200
2005-11-01,13.43,14.785,13.17,13.71,13.71,33677200
2005-12-01,13.75,14.61,13.2,13.84,13.84,51010800
2006-01-01,14.12,15.145,13.87,14.945,14.945,33542200
2006-02-01,14.875,15.925,14.465,15.71,15.71,32852800
2006-03-01,15.75,18.2,15.14,16.34,16.34,50108200
2006-04-01,16.335,18.07,15.905,17.655,17.655,33265600
2006-05-01,17.625,17.7,15.665,15.905,15.905,35606200
2006-06-01,15.93,18.045,14.85,17.73,17.73,50417800
2006-07-01,17.745,17.855,16.14,17.4,17.4,30345400
2006-08-01,17.375,18.95,17.1,18.845,18.845,38702800
2006-09-01,18.825,22.1,18.59,20.855,20.855,56036800
2006-10-01,20.925,22.475,20.45,22.15,22.15,37648200
2006-11-01,22.2,23.99,21.195,23.07,23.07,38706000
2006-12-01,23.12,27.6,23.1,26.815,26.815,43146000
2007-01-01,26.82,29.445,26.185,28.715,28.715,35927000
2007-02-01,28.745,29.3,26.02,26.35,26.35,38672600
2007-03-01,26.09,27.75,23.77,24.54,24.54,83736100
2007-04-01,24.15,25.98,24.15,24.92,24.92,43308000
