Date,Open,High,Low,Close,Adj Close,Volume
,KO,KO,KO,KO,,KO
1985-01-01,0.4813,0.4997,0.4629,0.4648,0.4648,310324800
1985-02-01,0.4648,0.492,0.461,0.492,0.492,311376000
1985-03-01,0.492,0.5442,0.492,0.5423,0.5423,348480000
1985-04-01,0.5484,0.5661,0.5298,0.5367,0.5367,331833600
1985-05-01,0.5367,0.5514,0.5171,0.5318,0.5318,336014400
1985-06-01,0.5318,0.5651,0.521,0.5436,0.5436,457723200
1985-07-01,0.5495,0.593,0.5326,0.5722,0.5722,522912000
1985-08-01,0.5732,0.5861,0.5604,0.5673,0.5673,209078400
1985-09-01,0.5673,0.5722,0.5336,0.5524,0.5524,397555200
1985-10-01,0.5584,0.5804,0.5534,0.5734,0.5734,258590400
1985-11-01,0.5734,0.6785,0.5724,0.6665,0.6665,346084800
1985-12-01,0.6716,0.713,0.6625,0.6827,0.6827,340382400
1986-01-01,0.6827,0.6867,0.6201,0.6776,0.6776,288134400
1986-02-01,0.6776,0.7938,0.6645,0.7776,0.7776,263145600
1986-03-01,0.7776,0.8887,0.7544,0.8503,0.8503,343992000
1986-04-01,0.855,0.9772,0.8021,0.908,0.908,416294400
1986-05-01,0.908,0.9507,0.852,0.9446,0.9446,356491200
1986-06-01,0.9395,1.022,0.9019,1.022,1.022,364080000
1986-07-01,1.0792,1.1038,0.9286,0.9624,0.9624,364022400
1986-08-01,0.9624,0.9839,0.9101,0.9316,0.9316,226736000
1986-09-01,0.9316,0.9347,0.8087,0.8333,0.8333,341526400
1986-10-01,0.8392,0.9723,0.8361,0.9073,0.9073,255110400
1986-11-01,0.9073,0.929,0.8578,0.9042,0.9042,198112000
1986-12-01,0.9045,0.9887,0.8827,0.9419,0.9419,326555200
1987-01-01,0.9419,1.1072,0.9419,1.0636,1.0636,392235200
1987-02-01,1.0636,1.1447,1.023,1.1197,1.1197,238840000
1987-03-01,1.1197,1.2226,1.0573,1.1415,1.1415,394820800
1987-04-01,1.1487,1.18,1.0231,1.0702,1.0702,319137600
1987-05-01,1.0671,1.0922,0.9572,1.0765,1.0765,313339200
1987-06-01,1.0765,1.1706,1.0671,1.1173,1.1173,242238400
1987-07-01,1.1182,1.2098,1.0835,1.2035,1.2035,321331200
1987-08-01,1.2003,1.3425,1.1845,1.2793,1.2793,334488000
1987-09-01,1.2793,1.3298,1.1814,1.2224,1.2224,291393600
1987-10-01,1.2358,1.2644,0.737,1.0483,1.0483,475420800
1987-11-01,1.0483,1.0769,0.9149,0.9403,0.9403,222283200
1987-12-01,0.9471,1.0399,0.9119,0.9759,0.9759,212380800
1988-01-01,0.9823,1.0367,0.9151,0.9631,0.9631,185777600
1988-02-01,0.9631,0.9951,0.8959,0.9567,0.9567,217772800
1988-03-01,0.9631,1.0303,0.9567,0.9791,0.9791,263609600
1988-04-01,0.9836,1.0352,0.9385,0.9868,0.9868,219806400
1988-05-01,0.9868,1.0029,0.903,0.9804,0.9804,184510400
1988-06-01,0.9804,1.0158,0.9578,1.0062,1.0062,238444800
1988-07-01,1.0107,1.0107,0.9424,0.9977,0.9977,193771200
1988-08-01,0.9977,1.0562,0.9619,1.0399,1.0399,265227200
