Date,Open,High,Low,Close,Adj Close,Volume
,K,K,K,K,,K
1973-02-01,0.0,0.5376,0.51,0.5238,0.5238,659448
1973-03-01,0.0,0.5822,0.5196,0.5822,0.5822,2448648
1973-04-01,0.0,0.61,0.559,0.5799,0.5799,1725300
1973-05-01,0.0,0.6541,0.5567,0.5567,0.5567,1651176
1973-06-01,0.0,0.6263,0.4824,0.5242,0.5242,2531292
1973-07-01,0.0,0.552,0.501,0.5288,0.5288,1583016
1973-08-01,0.0,0.552,0.5056,0.5428,0.5428,1889736
1973-09-01,0.0,0.5752,0.5381,0.5381,0.5381,1087152
1973-10-01,0.0,0.5752,0.5242,0.5567,0.5567,2249280
1973-11-01,0.0,0.5659,0.5196,0.5288,0.5288,1554048
1973-12-01,0.0,0.5845,0.5381,0.5752,0.5752,1839468
1974-01-01,0.0,0.6773,0.5613,0.6541,0.6541,2247576
1974-02-01,0.0,0.6587,0.5984,0.617,0.617,1780680
1974-03-01,0.0,0.6587,0.5938,0.5984,0.5984,2139372
1974-04-01,0.0,0.6541,0.6031,0.617,0.617,2605416
1974-05-01,0.0,0.6309,0.5381,0.5845,0.5845,1996236
1974-06-01,0.0,0.5799,0.5288,0.5474,0.5474,2510844
1974-07-01,0.0,0.552,0.4732,0.4824,0.4824,2188788
1974-08-01,0.0,0.5149,0.3804,0.4175,0.4175,1512300
1974-09-01,0.0,0.5103,0.3943,0.4361,0.4361,1188540
1974-10-01,0.0,0.5567,0.4268,0.5381,0.5381,2504028
1974-11-01,0.0,0.5659,0.4917,0.4917,0.4917,1360644
1974-12-01,0.0,0.5659,0.4824,0.5659,0.5659,1807944
1975-01-01,0.0,0.5891,0.5196,0.5752,0.5752,1537860
1975-02-01,0.0,0.6077,0.5567,0.5938,0.5938,3803328
1975-03-01,0.0,0.6494,0.5799,0.6355,0.6355,2738328
1975-04-01,0.0,0.6448,0.5845,0.6263,0.6263,2415420
1975-05-01,0.0,0.6448,0.5984,0.6402,0.6402,2377932
1975-06-01,0.0,0.7701,0.617,0.7608,0.7608,3128544
1975-07-01,0.0,0.7701,0.6726,0.6726,0.6726,1481628
1975-08-01,0.0,0.7237,0.6494,0.7237,0.7237,1704852
1975-09-01,0.0,0.7422,0.6587,0.7051,0.7051,2153004
1975-10-01,0.0,0.7979,0.668,0.7701,0.7701,3505128
1975-11-01,0.0,0.8675,0.7515,0.8536,0.8536,2835456
1975-12-01,0.0,0.8443,0.7469,0.7979,0.7979,3021192
1976-01-01,0.0,0.8999,0.7886,0.8768,0.8768,5634276
1976-02-01,0.0,0.8999,0.784,0.7933,0.7933,3814404
1976-03-01,0.0,0.8118,0.7422,0.7515,0.7515,4774608
1976-04-01,0.0,0.8257,0.7469,0.8072,0.8072,2602860
1976-05-01,0.0,0.8536,0.7886,0.7933,0.7933,2855052
1976-06-01,0.0,0.951,0.7793,0.951,0.951,4478112
1976-07-01,0.0,0.9927,0.9092,0.9324,0.9324,4213140
1976-08-01,0.0,1.0345,0.9185,0.9417,0.9417,3871488
1976-09-01,0.0,1.0113,0.9185,0.9974,0.9974,2973480
1976-10-01,0.0,1.0113,0.9463,1.0113,1.0113,3398628
1976-11-01,0.0,1.0113,0.9324,0.9834,0.9834,4637436
1976-12-01,0.0,1.0484,0.9788,1.0252,1.0252,4479816
1977-01-01,0.0,1.0345,0.9556,0.9603,0.9603,3979692
1977-02-01,0.0,0.9695,0.8814,0.8999,0.8999,3647412
1977-03-01,0.0,0.9324,0.8582,0.886,0.886,2845680
1977-04-01,0.0,0.9788,0.8907,0.9742,0.9742,3165180
1977-05-01,0.0,1.0066,0.8814,0.8907,0.8907,3157512
1977-06-01,0.0,1.0113,0.8814,0.9788,0.9788,3921756
1977-07-01,0.0,0.9927,0.8814,0.886,0.886,5518404
1977-08-01,0.0,0.9324,0.8721,0.9046,0.9046,4826580
1977-09-01,0.0,0.9046,0.8396,0.8907,0.8907,3548580
1977-10-01,0.0,0.9092,0.8025,0.8025,0.8025,2619048
1977-11-01,0.0,0.8628,0.7701,0.8628,0.8628,4832544
1977-12-01,0.0,0.9185,0.8304,0.9046,0.9046,2722992
1978-01-01,0.0,0.9185,0.8072,0.8257,0.8257,2875500
1978-02-01,0.0,0.8953,0.8211,0.835,0.835,2648868
1978-03-01,0.0,0.9278,0.8072,0.8304,0.8304,2794560
1978-04-01,0.0,0.8628,0.7608,0.7979,0.7979,4346052
1978-05-01,0.0,0.8814,0.7979,0.8164,0.8164,5802120
1978-06-01,0.0,0.8814,0.8025,0.8536,0.8536,4064892
1978-07-01,0.0,0.8675,0.8211,0.8582,0.8582,3361140
1978-08-01,0.0,0.9046,0.7793,0.8025,0.8025,6737616
1978-09-01,0.0,0.8211,0.784,0.8118,0.8118,7201104
1978-10-01,0.0,0.8164,0.7051,0.7283,0.7283,3780324
1978-11-01,0.0,0.7376,0.6587,0.668,0.668,5664096
1978-12-01,0.0,0.6819,0.6309,0.6819,0.6819,5366748
1979-01-01,0.0,0.7283,0.668,0.7005,0.7005,4651920
1979-02-01,0.0,0.7051,0.6541,0.6634,0.6634,2374524
1979-03-01,0.0,0.7329,0.6541,0.7237,0.7237,3068052
1979-04-01,0.0,0.7329,0.6587,0.6958,0.6958,2743440
1979-05-01,0.0,0.7098,0.668,0.6912,0.6912,2722140
1979-06-01,0.0,0.7283,0.6726,0.719,0.719,3734316
1979-07-01,0.0,0.7561,0.7144,0.7469,0.7469,6841560
1979-08-01,0.0,0.8025,0.7469,0.7654,0.7654,2822676
1979-09-01,0.0,0.7793,0.7376,0.7422,0.7422,6173592
1979-10-01,0.0,0.7515,0.6355,0.6634,0.6634,3471900
1979-11-01,0.0,0.7376,0.6587,0.7005,0.7005,4192692
1979-12-01,0.0,0.7237,0.6819,0.7005,0.7005,4079376
1980-01-01,0.0,0.7237,0.6634,0.6634,0.6634,4820616
1980-02-01,0.0,0.7005,0.6355,0.6494,0.6494,3943056
1980-03-01,0.0,0.6587,0.5799,0.6031,0.6031,5901804
1980-04-01,0.0,0.6866,0.5938,0.6773,0.6773,5787636
1980-05-01,0.0,0.7515,0.6587,0.7283,0.7283,8427984
1980-06-01,0.0,0.7886,0.6958,0.7515,0.7515,3926016
1980-07-01,0.0,0.7979,0.7422,0.7561,0.7561,5478360
1980-08-01,0.0,0.8072,0.7283,0.7376,0.7376,5572080
1980-09-01,0.0,0.7701,0.7098,0.719,0.719,8519148
1980-10-01,0.0,0.7283,0.6587,0.6958,0.6958,6118212
1980-11-01,0.0,0.719,0.6726,0.6773,0.6773,5609568
1980-12-01,0.0,0.7515,0.6541,0.7515,0.7515,8709144
1981-01-01,0.0,0.8304,0.7329,0.8118,0.8118,10484712
1981-02-01,0.0,0.835,0.7793,0.8164,0.8164,5928216
1981-03-01,0.0,0.9278,0.8118,0.8907,0.8907,6613224
1981-04-01,0.0,0.8999,0.7747,0.7886,0.7886,4104084
1981-05-01,0.0,0.8025,0.719,0.7886,0.7886,4493448
1981-06-01,0.0,0.8675,0.7747,0.8072,0.8072,5222760
1981-07-01,0.0,0.8164,0.719,0.7422,0.7422,7733604
1981-08-01,0.0,0.7561,0.7098,0.7144,0.7144,3997584
1981-09-01,0.0,0.719,0.6448,0.6773,0.6773,4783128
1981-10-01,0.0,0.8396,0.6634,0.8396,0.8396,5430648
1981-11-01,0.0,0.8999,0.8489,0.8536,0.8536,5765484
1981-12-01,0.0,0.8721,0.7654,0.835,0.835,3298092
1982-01-01,0.0,0.8582,0.8072,0.8582,0.8582,8070144
1982-02-01,0.0,0.9324,0.8072,0.835,0.835,10558836
1982-03-01,0.0,0.8675,0.8164,0.8211,0.8211,7016220
1982-04-01,0.0,0.9927,0.8211,0.9649,0.9649,9208416
1982-05-01,0.0,0.9695,0.8721,0.9231,0.9231,5508180
1982-06-01,0.0,0.9788,0.8582,0.9649,0.9649,7457556
1982-07-01,0.0,0.9603,0.9092,0.9371,0.9371,13285236
