Date,Open,High,Low,Close,Adj Close,Volume
,LEN,LEN,LEN,LEN,,LEN
1980-03-01,0.9186,1.0509,0.8796,0.9886,0.9886,1487596
1980-04-01,0.9886,1.2144,0.9808,1.1755,1.1755,1966648
1980-05-01,1.1755,1.5024,1.121,1.4946,1.4946,5472582
1980-06-01,1.4946,1.6503,1.3389,1.6192,1.6192,5210361
1980-07-01,1.6347,2.1174,1.6347,2.024,2.024,7458142
1980-08-01,2.024,2.1252,1.7671,1.8216,1.8216,3876570
1980-09-01,1.8216,1.9928,1.5725,1.697,1.697,5098160
1980-10-01,1.697,2.203,1.6892,2.024,2.024,4046763
1980-11-01,2.024,2.8336,2.024,2.4132,2.4132,4020287
1980-12-01,2.4132,2.8958,2.0551,2.7557,2.7557,2978341
1981-01-01,2.7557,2.8803,2.4288,2.7557,2.7557,2471550
1981-02-01,2.7246,2.7713,2.3976,2.5845,2.5845,1137127
1981-03-01,2.5845,3.3318,2.4288,2.9893,2.9893,4031004
1981-04-01,2.9893,3.0204,2.4288,2.4599,2.4599,4789930
1981-05-01,2.4599,2.7246,2.2419,2.6623,2.6623,2041661
1981-06-01,2.6623,2.709,2.2575,2.3354,2.3354,1762420
1981-07-01,2.3042,2.3042,1.8839,2.024,2.024,2013926
1981-08-01,2.024,2.0395,1.5725,1.7904,1.7904,2113521
1981-09-01,1.7904,1.7904,1.3856,1.4012,1.4012,1464903
1981-10-01,1.4012,1.7749,1.3389,1.4635,1.4635,1698756
1981-11-01,1.5102,1.9306,1.5102,1.697,1.697,2005102
1981-12-01,1.697,1.7593,1.4324,1.588,1.588,1805913
1982-01-01,1.6192,1.697,1.4012,1.5102,1.5102,897599
1982-02-01,1.4946,1.4946,1.2455,1.3545,1.3545,1480030
1982-03-01,1.3545,1.3701,1.2144,1.3234,1.3234,1045097
1982-04-01,1.3234,1.697,1.3234,1.5725,1.5725,2029055
1982-05-01,1.5725,1.7282,1.4324,1.4946,1.4946,509941
1982-06-01,1.4946,1.5258,1.2767,1.3078,1.3078,778464
1982-07-01,1.3078,1.5725,1.2922,1.4946,1.4946,1635095
1982-08-01,1.4946,2.0707,1.3234,1.8994,1.8994,3509712
1982-09-01,1.8839,1.9617,1.6815,1.8683,1.8683,1887227
1982-10-01,1.8683,2.5533,1.7904,2.3509,2.3509,4574984
1982-11-01,2.3198,3.0515,2.2731,2.927,2.927,4952554
1982-12-01,3.0515,3.4875,2.8803,3.4252,3.4252,5120855
1983-01-01,3.394,3.4875,2.6156,3.1138,3.1138,2926653
1983-02-01,3.0982,3.1294,2.7246,3.0982,3.0982,1243654
1983-03-01,3.0982,3.394,2.927,3.0827,3.0827,2936109
1983-04-01,3.0827,3.1761,2.8647,3.1294,3.1294,2215004
1983-05-01,3.1294,3.7054,3.036,3.4563,3.4563,4832792
1983-06-01,3.4563,3.6587,2.9581,3.1605,3.1605,3198329
1983-07-01,3.1294,3.1294,2.3976,2.4755,2.4755,7146127
1983-08-01,2.3976,2.4443,2.0551,2.1174,2.1174,4361298
1983-09-01,2.1174,2.7401,2.1174,2.4755,2.4755,2833994
1983-10-01,2.4755,2.6312,2.024,2.1485,2.1485,2419862
1983-11-01,2.1641,2.5689,2.1641,2.2886,2.2886,1441582
1983-12-01,2.2731,2.2731,1.8839,2.1485,2.1485,2653716
1984-01-01,2.1485,2.4132,2.0551,2.0707,2.0707,2527019
1984-02-01,2.0707,2.1018,1.6815,1.697,1.697,1266347
1984-03-01,1.697,1.8216,1.5725,1.7904,1.7904,3354019
1984-04-01,1.8216,1.8527,1.588,1.6036,1.6036,1969803
1984-05-01,1.6192,1.6503,1.3234,1.4168,1.4168,1613032
1984-06-01,1.4168,1.5569,1.2455,1.3078,1.3078,1711363
1984-07-01,1.2767,1.4324,1.23,1.4324,1.4324,4484844
1984-08-01,1.4324,1.7282,1.4168,1.588,1.588,2782307
1984-09-01,1.588,1.7282,1.4324,1.4324,1.4324,1441579
1984-10-01,1.4324,1.7282,1.3701,1.4946,1.4946,1207095
1984-11-01,1.4946,1.7593,1.4635,1.4946,1.4946,1519110
1984-12-01,1.4946,1.7126,1.4635,1.5725,1.5725,1285256
1985-01-01,1.5725,1.9306,1.5569,1.7904,1.7904,1865165
1985-02-01,1.7904,1.8527,1.7126,1.7749,1.7749,1227896
1985-03-01,1.7749,1.7749,1.5413,1.6659,1.6659,1004122
1985-04-01,1.6659,1.7126,1.5725,1.5725,1.5725,1081028
1985-05-01,1.5725,1.8683,1.4946,1.7126,1.7126,1778180
1985-06-01,1.7126,1.8371,1.4946,1.7126,1.7126,3051460
1985-07-01,1.7126,1.7593,1.5569,1.5725,1.5725,1819151
1985-08-01,1.5725,1.6192,1.4012,1.4635,1.4635,775945
1985-09-01,1.4324,1.4324,1.2611,1.3234,1.3234,1111914
1985-10-01,1.3234,1.4635,1.3234,1.4168,1.4168,684545
1985-11-01,1.4168,1.7282,1.3856,1.697,1.697,2047962
1985-12-01,1.6815,1.6815,1.4635,1.5725,1.5725,3086758
1986-01-01,1.5725,1.7593,1.5569,1.7593,1.7593,2165209
1986-02-01,1.806,2.2886,1.7904,2.1174,2.1174,4789929
1986-03-01,2.1174,2.6623,2.1018,2.5378,2.5378,5488339
1986-04-01,2.5378,2.5845,2.2108,2.2419,2.2419,3441009
1986-05-01,2.2419,2.6934,2.024,2.6467,2.6467,3195810
1986-06-01,2.6156,2.6156,2.1641,2.2419,2.2419,2339178
1986-07-01,2.2419,2.2731,1.7593,1.7749,1.7749,2073179
1986-08-01,1.7749,2.0862,1.7437,2.024,2.024,1631939
1986-09-01,2.024,2.1485,1.7593,2.1174,2.1174,2777262
1986-10-01,2.133,2.2419,1.9306,2.024,2.024,1004123
1986-11-01,2.0395,2.1797,1.9928,2.1641,2.1641,1737838
1986-12-01,2.1485,2.491,2.1174,2.3042,2.3042,2228868
1987-01-01,2.3042,2.8024,2.3042,2.7557,2.7557,3679278
1987-02-01,2.7932,3.87,2.7932,3.8075,3.8075,6991694
1987-03-01,3.8231,4.4161,3.6983,4.3381,4.3381,9583008
1987-04-01,4.2913,4.2913,3.1678,3.5111,3.5111,4498081
1987-05-01,3.4798,4.3381,3.3238,3.6047,3.6047,4994786
1987-06-01,3.5655,3.6437,3.2527,3.3153,3.3153,5238728
1987-07-01,3.3153,3.3309,2.7367,2.8618,2.8618,8917371
1987-08-01,2.8618,3.5655,2.721,3.2058,3.2058,13338555
1987-09-01,3.2142,3.2299,2.6655,2.9006,2.9006,5856457
1987-10-01,2.9163,2.979,1.5679,1.8501,1.8501,7487771
1987-11-01,1.8501,2.0069,1.7404,1.8815,1.8815,2689647
1987-12-01,1.8577,2.1883,1.842,2.0938,2.0938,4904019
1988-01-01,2.0466,2.33,1.9207,2.2513,2.2513,2057420
1988-02-01,2.2828,2.5032,2.2041,2.3615,2.3615,4065044
1988-03-01,2.33,2.393,2.2355,2.2985,2.2985,1616184
1988-04-01,2.2828,2.4874,2.2198,2.3457,2.3457,2355569
1988-05-01,2.3143,2.3615,2.0624,2.0938,2.0938,1331271
1988-06-01,2.0938,2.7078,2.0938,2.4402,2.4402,2646153
1988-07-01,2.4559,2.5032,2.2198,2.3143,2.3143,2569883
1988-08-01,2.3143,2.4087,2.2985,2.3615,2.3615,1545585
1988-09-01,2.3615,2.5189,2.3615,2.4087,2.4087,1959718
1988-10-01,2.393,2.393,2.2355,2.2513,2.2513,2585641
1988-11-01,2.267,2.3457,2.2513,2.3457,2.3457,1728380
1988-12-01,2.3694,2.4484,2.1799,2.2273,2.2273,1008537
1989-01-01,2.2431,2.6538,2.2431,2.638,2.638,1151623
1989-02-01,2.6458,2.7567,2.4873,2.519,2.519,1348919
1989-03-01,2.5349,2.725,2.519,2.6616,2.6616,1105612
1989-04-01,2.6458,2.8834,2.6141,2.7725,2.7725,2270474
1989-05-01,2.7408,2.7884,2.6616,2.725,2.725,1049511
1989-06-01,2.7325,2.9231,2.7325,2.7801,2.7801,1333793
1989-07-01,2.7484,3.0343,2.7484,2.8913,2.8913,1393675
1989-08-01,2.8755,2.9231,2.7325,2.8119,2.8119,754514
1989-09-01,2.8278,2.8913,2.6689,2.6689,2.6689,933528
1989-10-01,2.6689,2.8278,2.6054,2.6213,2.6213,2102174
1989-11-01,2.6128,2.7244,2.6128,2.7084,2.7084,789810
1989-12-01,2.7084,2.7881,2.4535,2.4854,2.4854,1136499
1990-01-01,2.4695,2.581,2.2942,2.2942,2.2942,1659675
1990-02-01,2.3176,2.4294,2.3016,2.4135,2.4135,697782
1990-03-01,2.4294,2.5573,2.3975,2.5094,2.5094,1132085
1990-04-01,2.5094,2.5094,2.2057,2.2057,2.2057,588103
1990-05-01,2.2453,2.3095,2.085,2.1491,2.1491,1542434
1990-06-01,2.1491,2.3416,2.1491,2.2774,2.2774,1909919
1990-07-01,2.2614,2.2774,1.9727,2.0689,2.0689,1502090
1990-08-01,2.101,2.1491,1.7963,1.7963,1.7963,1203940
1990-09-01,1.7963,1.8604,1.668,1.684,1.684,1058964
1990-10-01,1.7161,1.7321,1.2189,1.2189,1.2189,1379806
1990-11-01,1.2189,1.7,1.2189,1.7,1.7,1164232
