Date,Open,High,Low,Close,Adj Close,Volume
,LH,LH,LH,LH,,LH
1990-03-01,22.4021,24.8371,22.4021,24.8371,24.8371,18950
1990-04-01,21.9151,24.8371,20.9411,21.6716,21.6716,26819
1990-05-01,21.6716,25.3241,21.4281,25.3241,25.3241,50286
1990-06-01,25.3241,29.2201,24.8371,26.7851,26.7851,112164
1990-07-01,27.2721,32.1421,25.3241,25.8111,25.8111,424815
1990-08-01,25.5676,28.4896,23.8631,26.2981,26.2981,5752956
1990-09-01,26.2981,28.9766,22.8891,24.5936,24.5936,1688592
1990-10-01,24.5936,28.4896,24.1066,28.0026,28.0026,2158848
1990-11-01,28.0026,30.4376,26.0546,27.5156,27.5156,1218010
1990-12-01,27.7591,30.9246,17.7756,21.4281,21.4281,4454770
1991-01-01,21.0614,26.4492,17.3879,23.5104,23.5104,4058543
1991-02-01,23.5104,31.3472,23.0206,30.1227,30.1227,2170999
1991-03-01,30.1228,35.7555,24.7349,35.0208,35.0208,3873466
1991-04-01,35.0208,40.6535,31.3473,35.0208,35.0208,3276285
1991-05-01,34.6382,42.745,34.6382,41.7624,41.7624,8791318
1991-06-01,41.2711,41.5167,35.8665,37.3405,37.3405,2504416
1991-07-01,37.7251,43.1497,37.7251,40.684,40.684,2205035
1991-08-01,40.684,44.3825,37.9717,43.6428,43.6428,1640774
1991-09-01,43.3962,43.6428,38.4648,42.1634,42.1634,1422641
1991-10-01,42.5518,48.4893,39.5831,48.2419,48.2419,3479104
1991-11-01,47.7471,50.7158,45.0257,47.7471,47.7471,2441465
1991-12-01,47.4997,61.1064,47.4997,57.8902,57.8902,2027596
1992-01-01,57.8903,57.8903,50.9632,52.4476,52.4476,3093677
1992-02-01,52.3384,54.0748,48.1216,51.5943,51.5943,3763118
1992-03-01,51.0982,51.5943,48.6177,49.1138,49.1138,1817841
1992-04-01,49.2545,50.7471,41.7917,44.0305,44.0305,2045940
1992-05-01,44.0305,49.5033,43.7818,44.7768,44.7768,1440054
1992-06-01,45.0256,46.2694,37.5628,41.0454,41.0454,3529387
1992-07-01,40.9605,44.7069,35.9653,40.9605,40.9605,3846974
1992-08-01,40.9605,47.4542,40.7107,45.2064,45.2064,1645801
1992-09-01,45.4562,48.703,38.9624,42.4591,42.4591,1970511
1992-10-01,42.121,43.6253,38.6109,40.3659,40.3659,2319342
1992-11-01,40.1152,49.1411,39.6138,48.6397,48.6397,1474696
1992-12-01,48.6397,50.3947,31.34,35.853,35.853,7789070
1993-01-01,36.7757,36.7757,28.9671,33.2492,33.2492,8987476
1993-02-01,33.2492,34.5087,25.9445,30.2266,30.2266,7710987
1993-03-01,30.4785,34.5087,29.7228,34.5087,34.5087,3851025
1993-04-01,34.4237,37.9673,32.6519,36.4486,36.4486,3372666
1993-05-01,36.7017,39.486,35.183,36.1955,36.1955,4151617
1993-06-01,35.6893,37.7142,34.4237,37.208,37.208,2477503
1993-07-01,37.6272,37.6272,33.5594,34.5763,34.5763,1785950
1993-08-01,34.5763,35.8475,32.2882,33.3051,33.3051,2945384
1993-09-01,33.8136,34.5763,29.4916,31.017,31.017,4610651
1993-10-01,31.4335,33.4779,26.8334,27.8557,27.8557,5745458
1993-11-01,27.8557,29.1335,24.5334,25.5557,25.5557,4109617
1993-12-01,25.8112,29.1334,25.3001,29.1334,29.1334,3355209
1994-01-01,29.3039,31.3604,28.7898,30.0751,30.0751,1988207
1994-02-01,30.0751,30.5892,27.2475,27.5046,27.5046,2973742
1994-03-01,27.5046,30.8463,26.4764,27.5046,27.5046,3156768
1994-04-01,27.4085,28.4427,23.5299,24.047,24.047,2227710
1994-05-01,24.047,26.3742,21.9785,24.5642,24.5642,2554188
1994-06-01,24.8228,27.9256,24.8228,26.8913,26.8913,3259479
1994-07-01,26.1156,26.1156,23.5299,23.5299,23.5299,2119135
1994-08-01,23.7885,26.1156,22.4956,25.5985,25.5985,3614685
1994-09-01,25.5985,27.667,24.3056,26.6327,26.6327,2633667
1994-10-01,26.8913,32.5799,26.3742,29.7356,29.7356,3796317
1994-11-01,29.477,29.7356,24.5642,25.0813,25.0813,1856116
1994-12-01,25.0813,30.5113,23.5299,27.4085,27.4085,6730344
1995-01-01,27.1499,28.4427,26.1156,27.667,27.667,2772973
1995-02-01,27.9256,29.2184,27.667,28.7013,28.7013,1599477
1995-03-01,28.7013,32.0627,28.1842,31.0284,31.0284,2504601
1995-04-01,31.0284,31.5456,29.9942,31.0284,31.0284,2116386
1995-05-01,26.1156,26.8913,24.3056,25.857,25.857,3833799
1995-06-01,25.5985,27.667,25.5985,27.4085,27.4085,1919947
1995-07-01,27.1499,28.4427,24.8228,27.667,27.667,949031
1995-08-01,27.667,28.9599,26.8913,28.7013,28.7013,835797
1995-09-01,28.4427,28.9599,18.8756,20.4271,20.4271,3849347
1995-10-01,20.6856,20.6856,17.5828,17.5828,17.5828,1369934
1995-11-01,17.8414,18.3585,16.8071,17.8414,17.8414,1035494
1995-12-01,18.0999,19.3928,17.0656,19.3928,19.3928,1060498
1996-01-01,18.8756,19.3928,16.5485,17.3242,17.3242,477195
1996-02-01,17.3242,17.3242,14.9971,16.0314,16.0314,1094765
1996-03-01,16.0314,17.3242,15.2557,17.3242,17.3242,650815
1996-04-01,17.3242,18.6171,16.8071,17.5828,17.5828,1314342
1996-05-01,17.5828,17.8414,15.7728,15.7728,15.7728,1268111
1996-06-01,15.5142,17.5828,15.2557,15.5142,15.5142,2831873
1996-07-01,15.5142,15.7728,13.1871,14.2214,14.2214,788076
1996-08-01,12.9285,12.9285,7.4985,8.2743,8.2743,3605420
1996-09-01,8.2743,8.5328,6.7228,8.0157,8.0157,1412770
1996-10-01,8.0157,8.0157,6.4643,6.9814,6.9814,1438611
1996-11-01,6.7228,7.24,5.43,5.6885,5.6885,3326989
1996-12-01,5.6885,7.7571,4.9128,5.9471,5.9471,3590894
1997-01-01,5.9471,6.7228,5.1714,6.4643,6.4643,2103720
1997-02-01,6.7228,8.2743,6.4643,7.7571,7.7571,3131765
1997-03-01,7.7571,8.0157,6.9814,7.24,7.24,570639
1997-04-01,7.24,7.24,5.6885,6.7228,6.7228,825601
1997-05-01,6.4643,8.0157,5.43,5.9471,5.9471,3491765
1997-06-01,5.9471,5.9471,4.9128,5.5593,5.5593,7964133
1997-07-01,5.5593,5.6885,5.1714,5.1714,5.1714,1960035
1997-08-01,5.1714,5.6885,5.1714,5.43,5.43,3259202
1997-09-01,5.43,5.5593,5.3007,5.43,5.43,2284743
1997-10-01,5.43,5.9471,4.6543,4.9128,4.9128,4052675
1997-11-01,4.9128,5.1714,4.2664,4.2664,4.2664,1566603
1997-12-01,4.2664,4.6543,2.715,3.62,3.62,5659182
1998-01-01,3.62,4.525,3.2321,4.1371,4.1371,3156675
1998-02-01,4.2664,4.525,3.8786,4.0078,4.0078,1223129
1998-03-01,4.0078,4.1371,3.62,4.0078,4.0078,2556330
1998-04-01,4.0078,5.6885,3.7493,5.1714,5.1714,3027378
1998-05-01,5.0421,5.43,4.2664,4.3957,4.3957,1247575
1998-06-01,4.3957,5.1714,4.0078,4.7836,4.7836,2533751
1998-07-01,4.9128,5.0421,4.3957,4.3957,4.3957,1130990
1998-08-01,4.525,4.525,2.3271,2.3271,2.3271,2605124
1998-09-01,2.8443,3.4907,2.4564,3.3614,3.3614,2332375
1998-10-01,3.3614,3.8786,2.9736,3.3614,3.3614,2043844
1998-11-01,3.4907,3.62,2.715,2.715,2.715,3077103
1998-12-01,2.715,2.9736,2.4564,2.8443,2.8443,3062623
1999-01-01,2.8443,3.8786,2.5857,3.62,3.62,1782735
1999-02-01,3.62,4.7836,3.3614,3.7493,3.7493,9124224
1999-03-01,3.62,3.7493,3.2321,3.62,3.62,2847331
1999-04-01,3.62,4.525,3.4907,4.3957,4.3957,1721928
1999-05-01,4.3957,5.43,4.2664,5.0421,5.0421,2170953
1999-06-01,5.0421,6.0764,5.0421,5.9471,5.9471,2713796
1999-07-01,5.6885,6.7228,5.6885,6.7228,6.7228,3603789
