Date,Open,High,Low,Close,Adj Close,Volume
,LII,LII,LII,LII,,LII
1999-07-01,12.2673,12.7484,11.9466,12.3074,12.3074,5817000
1999-08-01,12.1871,12.3475,10.4232,12.1871,12.1871,2340400
1999-09-01,12.2884,12.2884,9.3473,9.9919,9.9919,1070200
1999-10-01,9.6696,10.1531,5.8823,6.5673,6.5673,3786300
1999-11-01,6.8896,7.4133,6.4464,7.3328,7.3328,4022000
1999-12-01,7.3328,7.3731,5.7212,5.9226,5.9226,5008500
2000-01-01,6.2169,6.9076,5.7699,6.2575,6.2575,4222800
2000-02-01,6.1356,6.867,5.8105,6.1762,6.1762,2310800
2000-03-01,6.095,6.7451,5.648,5.6886,5.6886,4885100
2000-04-01,5.745,6.1143,5.1705,5.5398,5.5398,1710800
2000-05-01,5.5398,7.7967,5.2936,7.7147,7.7147,3530500
2000-06-01,7.8207,10.0138,7.6138,8.7724,8.7724,3778700
2000-07-01,8.7724,9.931,8.4827,8.731,8.731,1448500
2000-08-01,8.731,9.2276,8.2345,9.1448,9.1448,1548900
2000-09-01,9.2093,9.501,6.0006,6.2507,6.2507,2643900
2000-10-01,6.2507,6.334,4.5421,5.2922,5.2922,2018200
2000-11-01,5.2089,6.334,4.6672,4.6672,4.6672,1128500
2000-12-01,4.6255,5.5839,4.5838,5.1672,5.1672,1740200
2001-01-01,5.2364,7.7702,5.1097,7.0202,7.0202,1510800
2001-02-01,6.9594,8.2094,6.9053,8.0404,8.0404,2253600
2001-03-01,7.9729,8.2026,6.2837,6.9594,6.9594,2389600
2001-04-01,7.0914,7.5005,6.73,7.2823,7.2823,1496000
2001-05-01,7.2278,7.5005,6.2391,6.2391,6.2391,1086000
2001-06-01,6.331,7.5353,6.2415,7.5353,7.5353,1262000
2001-07-01,7.5628,7.5628,6.1246,6.4549,6.4549,1583200
2001-08-01,6.5512,7.0329,6.503,6.909,6.909,1611500
2001-09-01,6.9469,7.2873,5.4811,6.4606,6.4606,1166700
2001-10-01,6.4606,6.5718,5.9257,6.2314,6.2314,1007600
2001-11-01,6.1967,6.5996,6.1133,6.4606,6.4606,1300800
2001-12-01,6.4259,7.0511,6.2314,6.7385,6.7385,1878800
2002-01-01,6.8069,7.1928,6.7858,7.1578,7.1578,2026600
2002-02-01,7.1227,8.0209,6.9121,7.9998,7.9998,1752800
2002-03-01,7.9998,9.3893,7.8595,9.277,9.277,2201600
2002-04-01,9.3302,11.3306,9.2878,10.6025,10.6025,4785000
