Date,Open,High,Low,Close,Adj Close,Volume
,LKQ,LKQ,LKQ,LKQ,,LKQ
2003-10-01,1.7362,1.9811,1.7201,1.9799,1.9799,32025600
2003-11-01,1.9799,2.0543,1.8541,2.0257,2.0257,10876800
2003-12-01,2.0486,2.1173,1.7888,2.0543,2.0543,6882400
2004-01-01,2.0269,2.3382,1.9811,2.1379,2.1379,11076800
2004-02-01,2.1459,2.2924,1.9456,2.1516,2.1516,9264000
2004-03-01,2.1287,2.1882,1.8541,2.0028,2.0028,14051200
2004-04-01,2.0028,2.1173,1.9365,2.0326,2.0326,7653600
2004-05-01,2.0131,2.1859,1.9902,2.1173,2.1173,13469600
2004-06-01,2.1631,2.3118,1.9685,2.1287,2.1287,20224000
2004-07-01,2.1631,2.1894,1.8884,2.0337,2.0337,17761600
2004-08-01,1.9868,2.1676,1.9101,2.0875,2.0875,9415200
2004-09-01,2.0601,2.1745,1.9914,2.091,2.091,5548000
2004-10-01,2.1116,2.1802,1.5199,1.8735,1.8735,24469600
2004-11-01,1.8884,2.0852,1.7167,2.0532,2.0532,12816800
2004-12-01,2.0566,2.3942,2.0475,2.297,2.297,14715200
2005-01-01,2.3004,2.3004,1.8884,1.9147,1.9147,9264800
2005-02-01,1.9227,2.1173,1.901,2.0772,2.0772,6022400
2005-03-01,2.1024,2.3096,2.0429,2.297,2.297,10428000
2005-04-01,2.3061,2.4148,2.1631,2.305,2.305,10888800
2005-05-01,2.3221,2.9184,2.313,2.8406,2.8406,31705600
2005-06-01,2.8475,3.2114,2.7719,3.1073,3.1073,33232800
2005-07-01,3.0901,3.5879,2.9527,3.525,3.525,26394400
2005-08-01,3.5364,3.6967,3.1702,3.5799,3.5799,29018400
2005-09-01,3.604,3.6474,3.0123,3.4563,3.4563,33766400
2005-10-01,3.4506,3.5181,3.2045,3.4678,3.4678,35624000
2005-11-01,3.4678,3.9931,3.3762,3.7298,3.7298,31330400
2005-12-01,3.7825,4.0801,3.739,3.9622,3.9622,19557600
2006-01-01,4.0057,5.2829,3.9919,5.1479,5.1479,56204000
2006-02-01,5.1433,5.1433,4.5985,5.0403,5.0403,23396400
2006-03-01,5.0838,5.2669,4.2666,4.7633,4.7633,34132400
2006-04-01,4.7908,5.1181,4.4841,4.816,4.816,17996400
2006-05-01,4.7999,5.4111,4.4223,4.4749,4.4749,36350800
2006-06-01,4.4772,4.7335,4.0835,4.349,4.349,38053600
2006-07-01,4.3261,5.2394,4.1613,5.1273,5.1273,28264800
2006-08-01,5.07,5.2509,4.4703,4.7542,4.7542,21446000
2006-09-01,4.7633,5.3561,4.642,5.0288,5.0288,18982400
2006-10-01,5.0036,5.8345,4.6695,5.2966,5.2966,31762800
2006-11-01,5.3264,5.7224,5.0403,5.2463,5.2463,24334400
2006-12-01,5.276,5.5644,4.848,5.2623,5.2623,31495600
2007-01-01,5.2646,5.2669,4.5436,4.9029,4.9029,45780800
2007-02-01,4.9441,5.2509,4.7816,4.9716,4.9716,29393200
2007-03-01,4.8457,5.1364,4.6145,5.0036,5.0036,33061600
2007-04-01,5.0082,5.5919,4.9418,5.1685,5.1685,33076000
2007-05-01,5.157,5.965,5.157,5.7155,5.7155,33191200
2007-06-01,5.6789,5.7888,5.2463,5.6446,5.6446,36996000
2007-07-01,5.688,6.8302,5.5484,6.5075,6.5075,61708000
2007-08-01,6.48,8.1441,6.432,7.0912,7.0912,83794000
2007-09-01,7.0751,8.112,6.496,7.9678,7.9678,63267200
2007-10-01,7.8969,9.5655,7.6817,8.8262,8.8262,65432800
2007-11-01,8.7415,9.4373,8.2242,9.0894,9.0894,49428800
2007-12-01,9.1421,10.8313,8.7072,9.6228,9.6228,47224600
2008-01-01,9.6228,10.0027,7.8786,8.1899,8.1899,48931200
2008-02-01,8.2402,10.5383,8.2036,9.7235,9.7235,48064400
2008-03-01,9.6914,11.4448,9.5678,10.2865,10.2865,55320000
2008-04-01,10.4788,10.5246,8.9681,9.9615,9.9615,51289800
2008-05-01,10.5292,10.6436,8.8857,10.1446,10.1446,52958800
2008-06-01,10.0943,10.0943,7.5215,8.2723,8.2723,137951400
2008-07-01,8.2585,9.8883,7.3063,9.3847,9.3847,71926600
2008-08-01,9.3481,9.8471,8.0296,8.5744,8.5744,55976000
2008-09-01,8.7346,8.8308,7.4025,7.7687,7.7687,65194000
2008-10-01,7.7138,7.7367,4.4909,5.2371,5.2371,87567200
2008-11-01,5.2188,5.585,3.9828,4.7702,4.7702,45479600
2008-12-01,4.7015,5.5026,4.0011,5.3378,5.3378,84506600
2009-01-01,5.0677,6.1985,4.9212,5.2875,5.2875,45215200
2009-02-01,5.2463,6.4365,4.9212,6.1802,6.1802,52254600
2009-03-01,6.1115,6.963,5.4889,6.5327,6.5327,60889800
2009-04-01,6.4457,7.9793,6.3633,7.7733,7.7733,42900800
2009-05-01,7.7321,8.08,6.7387,6.963,6.963,38507400
2009-06-01,7.1003,8.0342,6.963,7.5306,7.5306,39159000
2009-07-01,7.6039,8.4325,6.9721,8.2128,8.2128,30476200
2009-08-01,8.2402,8.3501,7.5993,7.9472,7.9472,23235400
2009-09-01,7.8923,8.8033,7.5719,8.4874,8.4874,20925400
2009-10-01,8.4874,9.0276,7.7367,7.906,7.906,25943800
2009-11-01,7.7229,8.5195,7.5535,7.9793,7.9793,20385400
2009-12-01,8.0068,9.1879,8.0068,8.9681,8.9681,21164000
2010-01-01,9.0093,9.4213,8.5378,8.5836,8.5836,21758000
2010-02-01,8.5881,8.8354,8.2494,8.7667,8.7667,19267400
2010-03-01,8.7758,9.5678,8.7438,9.2931,9.2931,32723600
2010-04-01,9.3481,10.0714,9.0826,9.6456,9.6456,23792200
2010-05-01,9.7006,9.7876,7.9152,8.4325,8.4325,31594600
2010-06-01,8.405,9.2245,7.9976,8.8262,8.8262,31075600
2010-07-01,8.8079,9.6548,8.579,9.0551,9.0551,29511200
2010-08-01,9.1604,9.3939,8.1532,8.5149,8.5149,24769200
2010-09-01,8.6843,9.6548,8.6339,9.522,9.522,20474800
2010-10-01,9.6319,10.1813,9.2977,9.9569,9.9569,17637600
2010-11-01,9.9569,10.4971,9.5678,9.8791,9.8791,26140200
2010-12-01,10.0164,10.6482,10.0027,10.401,10.401,22918600
2011-01-01,10.5246,11.3486,10.3873,11.0602,11.0602,21884000
2011-02-01,11.0923,12.0399,10.7489,10.8771,10.8771,25050000
2011-03-01,10.9229,11.1609,10.0714,11.0327,11.0327,33690800
2011-04-01,11.0648,11.9163,10.4056,11.5455,11.5455,27360400
2011-05-01,11.5729,12.4839,11.3303,12.1726,12.1726,25230400
2011-06-01,12.1726,12.223,11.0923,11.9437,11.9437,23620800
2011-07-01,11.9804,12.7037,11.0831,11.2479,11.2479,20802000
2011-08-01,11.3898,11.8568,9.3298,11.7194,11.7194,39366600
2011-09-01,11.7423,12.3878,10.5704,11.0602,11.0602,27251400
2011-10-01,11.0099,13.8436,10.1858,13.3583,13.3583,38423200
2011-11-01,12.9646,14.1823,12.516,13.9763,13.9763,26065600
2011-12-01,13.8665,14.3059,12.896,13.7703,13.7703,30564000
2012-01-01,14.0771,15.1712,13.7886,14.924,14.924,25632200
2012-02-01,15.0476,15.3589,14.2556,14.5852,14.5852,27534400
2012-03-01,14.4616,14.9057,13.8619,14.2693,14.2693,27337200
2012-04-01,14.219,15.7434,13.3904,15.3131,15.3131,35275200
2012-05-01,15.3039,16.7643,15.3039,16.6819,16.6819,36977200
2012-06-01,16.3797,17.0939,14.3883,15.2765,15.2765,37837400
2012-07-01,15.2993,16.9337,15.1208,16.1737,16.1737,27187400
