Date,Open,High,Low,Close,Adj Close,Volume
,LRCX,LRCX,LRCX,LRCX,,LRCX
1984-05-01,0.2029,0.2055,0.1725,0.175,0.175,51583500
1984-06-01,0.1801,0.2029,0.1801,0.1826,0.1826,10021500
1984-07-01,0.1826,0.1852,0.1674,0.1725,0.1725,7101000
1984-08-01,0.1725,0.2131,0.1725,0.2004,0.2004,20056500
1984-09-01,0.2029,0.2461,0.1826,0.1826,0.1826,36985500
1984-10-01,0.1826,0.1826,0.1522,0.1649,0.1649,26964000
1984-11-01,0.1674,0.1852,0.1649,0.1674,0.1674,17631000
1984-12-01,0.1674,0.1776,0.1573,0.1674,0.1674,11443500
1985-01-01,0.1674,0.2207,0.1345,0.2131,0.2131,30258000
1985-02-01,0.2131,0.2461,0.2029,0.2156,0.2156,35950500
1985-03-01,0.2232,0.2435,0.2004,0.2029,0.2029,50053500
1985-04-01,0.2029,0.2131,0.1903,0.1928,0.1928,15381000
1985-05-01,0.1928,0.2156,0.1852,0.1979,0.1979,30843000
1985-06-01,0.1979,0.2029,0.17,0.1928,0.1928,13873500
1985-07-01,0.1928,0.2004,0.175,0.2004,0.2004,30424500
1985-08-01,0.2004,0.2182,0.1776,0.1903,0.1903,38286000
1985-09-01,0.1903,0.1928,0.1421,0.1598,0.1598,36742500
1985-10-01,0.1598,0.1801,0.1319,0.1725,0.1725,43677000
1985-11-01,0.1725,0.1852,0.1573,0.1801,0.1801,19179000
1985-12-01,0.1801,0.2131,0.175,0.2055,0.2055,24633000
1986-01-01,0.2055,0.2131,0.1852,0.2004,0.2004,26820000
1986-02-01,0.2004,0.2511,0.2004,0.241,0.241,30555000
1986-03-01,0.241,0.2461,0.1953,0.2106,0.2106,29200500
1986-04-01,0.2106,0.2588,0.208,0.2511,0.2511,42606000
1986-05-01,0.2511,0.279,0.2435,0.2613,0.2613,58671000
1986-06-01,0.2613,0.2638,0.1649,0.175,0.175,59922000
1986-07-01,0.175,0.1776,0.1319,0.1421,0.1421,17442000
1986-08-01,0.1421,0.1674,0.137,0.1624,0.1624,32224500
1986-09-01,0.1624,0.1624,0.0761,0.1065,0.1065,38826000
1986-10-01,0.1065,0.1218,0.0964,0.104,0.104,22252500
1986-11-01,0.104,0.1091,0.0964,0.104,0.104,20722500
1986-12-01,0.104,0.104,0.0888,0.0913,0.0913,23436000
1987-01-01,0.0913,0.1446,0.0888,0.1319,0.1319,45229500
1987-02-01,0.1319,0.1522,0.1218,0.1522,0.1522,109503000
1987-03-01,0.1522,0.1598,0.1421,0.1522,0.1522,57010500
1987-04-01,0.1497,0.1852,0.1421,0.1776,0.1776,46431000
1987-05-01,0.1776,0.1979,0.1674,0.17,0.17,58909500
1987-06-01,0.1674,0.2004,0.1598,0.1725,0.1725,53838000
1987-07-01,0.1674,0.1979,0.1674,0.1826,0.1826,35203500
1987-08-01,0.1826,0.2461,0.1674,0.2308,0.2308,98721000
1987-09-01,0.2308,0.2334,0.2131,0.2207,0.2207,28777500
1987-10-01,0.2207,0.241,0.0761,0.1319,0.1319,68638500
1987-11-01,0.1319,0.1319,0.0939,0.0939,0.0939,45841500
1987-12-01,0.0939,0.1598,0.0888,0.1446,0.1446,45396000
1988-01-01,0.1446,0.1598,0.1167,0.1218,0.1218,19440000
1988-02-01,0.1218,0.1446,0.1091,0.1218,0.1218,33232500
1988-03-01,0.1218,0.1471,0.1192,0.1345,0.1345,50184000
1988-04-01,0.1332,0.1776,0.1218,0.17,0.17,56173500
1988-05-01,0.17,0.1725,0.1319,0.1446,0.1446,42669000
1988-06-01,0.1446,0.1801,0.1345,0.1674,0.1674,128335500
1988-07-01,0.1674,0.1826,0.1497,0.1547,0.1547,57820500
1988-08-01,0.1547,0.1547,0.1345,0.1471,0.1471,47322000
