Date,Open,High,Low,Close,Adj Close,Volume
,LUV,LUV,LUV,LUV,,LUV
1985-01-01,0.7909,0.9213,0.7819,0.9078,0.9078,76535889
1985-02-01,0.9078,0.9347,0.8628,0.8898,0.8898,49975228
1985-03-01,0.8898,0.9347,0.8449,0.8808,0.8808,44708204
1985-04-01,0.882,0.8865,0.765,0.7965,0.7965,37737143
1985-05-01,0.7965,0.9,0.792,0.891,0.891,67273034
1985-06-01,0.9,0.9989,0.9,0.9989,0.9989,59896463
1985-07-01,1.0001,1.1173,0.9686,1.0272,1.0272,70633267
1985-08-01,1.0362,1.0902,0.9911,1.0046,1.0046,49166495
1985-09-01,1.0046,1.0046,0.8289,0.8334,0.8334,54317337
1985-10-01,0.8344,0.9021,0.8164,0.8795,0.8795,54114582
1985-11-01,0.8795,1.0329,0.8795,1.0329,1.0329,80057870
1985-12-01,1.0296,1.0702,0.9528,0.9709,0.9709,78178415
1986-01-01,0.9664,0.9934,0.8264,0.867,0.867,150107935
1986-02-01,0.8715,0.9031,0.7225,0.8173,0.8173,183523473
1986-03-01,0.8173,0.8444,0.7361,0.7767,0.7767,88958503
1986-04-01,0.7778,0.8049,0.7055,0.7281,0.7281,92364300
1986-05-01,0.7281,0.814,0.6602,0.7869,0.7869,106274531
1986-06-01,0.7869,0.7914,0.71,0.7552,0.7552,58648050
1986-07-01,0.7563,0.7654,0.6884,0.7246,0.7246,62750956
1986-08-01,0.7246,0.8333,0.702,0.7971,0.7971,87001597
1986-09-01,0.7971,0.8696,0.7427,0.8514,0.8514,94542188
1986-10-01,0.8527,0.9479,0.8391,0.8481,0.8481,118469337
1986-11-01,0.8481,0.8663,0.8028,0.8164,0.8164,45207115
1986-12-01,0.8175,0.8493,0.7176,0.7494,0.7494,73952496
1987-01-01,0.7494,0.8993,0.7494,0.8175,0.8175,81864419
1987-02-01,0.8175,0.9175,0.8085,0.8766,0.8766,81700396
1987-03-01,0.8857,0.9129,0.7449,0.7676,0.7676,150893890
1987-04-01,0.7686,0.8414,0.6549,0.6913,0.6913,113211423
1987-05-01,0.6913,0.7413,0.6686,0.7095,0.7095,58616157
1987-06-01,0.7095,0.7868,0.6777,0.7368,0.7368,72196061
1987-07-01,0.7289,0.8382,0.7061,0.8018,0.8018,69213993
1987-08-01,0.7836,0.8473,0.7517,0.7608,0.7608,59686876
1987-09-01,0.7608,0.7699,0.7152,0.7243,0.7243,55331106
1987-10-01,0.73,0.7756,0.4836,0.5658,0.5658,68168336
1987-11-01,0.5566,0.5566,0.4608,0.511,0.511,39580144
1987-12-01,0.5076,0.5488,0.4299,0.4893,0.4893,66913087
1988-01-01,0.5076,0.5625,0.4802,0.5488,0.5488,53788811
1988-02-01,0.5488,0.6311,0.5213,0.6265,0.6265,58509085
1988-03-01,0.6265,0.6631,0.6036,0.6265,0.6265,74483298
1988-04-01,0.6231,0.6368,0.5727,0.5727,0.5727,25863553
1988-05-01,0.5818,0.6368,0.5681,0.6277,0.6277,48287140
1988-06-01,0.6231,0.701,0.6093,0.6964,0.6964,121328382
1988-07-01,0.7022,0.7022,0.6517,0.6793,0.6793,37331638
1988-08-01,0.6793,0.6885,0.56,0.5783,0.5783,33372255
1988-09-01,0.5737,0.6426,0.5737,0.6242,0.6242,45553391
1988-10-01,0.6209,0.7358,0.6163,0.7128,0.7128,90074785
1988-11-01,0.7082,0.7404,0.6485,0.7036,0.7036,59837230
1988-12-01,0.7095,0.7694,0.6819,0.7464,0.7464,75342151
1989-01-01,0.7372,0.8846,0.7234,0.8754,0.8754,113425569
1989-02-01,0.8754,0.9123,0.8201,0.8662,0.8662,100547323
1989-03-01,0.8662,0.9583,0.8662,0.9537,0.9537,83821332
1989-04-01,0.9505,1.0612,0.9505,1.0289,1.0289,65862875
1989-05-01,1.0243,1.0566,0.9228,0.9505,0.9505,51572194
1989-06-01,0.9459,1.0243,0.909,1.0059,1.0059,59258589
1989-07-01,1.0027,1.1089,0.998,1.0442,1.0442,49159661
1989-08-01,1.035,1.1367,0.9426,1.072,1.072,165357704
1989-09-01,1.0766,1.1043,0.9611,0.9888,0.9888,61949054
1989-10-01,0.99,1.0594,0.8049,0.8466,0.8466,102709268
1989-11-01,0.842,0.8512,0.8003,0.8373,0.8373,45564778
1989-12-01,0.8433,0.9637,0.834,0.8896,0.8896,58864474
1990-01-01,0.8896,0.9035,0.7413,0.7599,0.7599,84384027
1990-02-01,0.7599,0.8433,0.7552,0.8247,0.8247,30618001
1990-03-01,0.8294,0.8942,0.8294,0.8803,0.8803,50045850
1990-04-01,0.877,0.9373,0.8677,0.8863,0.8863,44462168
1990-05-01,0.8863,1.0023,0.8863,0.9559,0.9559,61684789
1990-06-01,0.9652,0.9884,0.9095,0.9559,0.9559,71070666
1990-07-01,0.9572,1.0547,0.9572,1.0408,1.0408,64705587
1990-08-01,1.0362,1.0454,0.8364,0.927,0.927,87322051
1990-09-01,0.927,0.9548,0.7109,0.7667,0.7667,40603785
1990-10-01,0.7678,1.0052,0.7399,0.9354,0.9354,45384810
1990-11-01,0.9354,0.9912,0.8935,0.9772,0.9772,30885306
1990-12-01,1.0066,1.1185,0.9507,0.9787,0.9787,30215533
1991-01-01,0.9647,1.3422,0.9158,1.3212,1.3212,75079410
1991-02-01,1.3002,1.51,1.2653,1.489,1.489,72947084
1991-03-01,1.475,1.5869,1.4121,1.5659,1.5659,45377212
1991-04-01,1.5744,1.6653,1.2875,1.3155,1.3155,73692791
1991-05-01,1.3365,1.4694,1.2245,1.4344,1.4344,62326464
1991-06-01,1.4288,1.5339,1.3378,1.4569,1.4569,51096828
1991-07-01,1.4639,1.5339,1.3798,1.5129,1.5129,40713133
1991-08-01,1.5129,1.5129,1.3238,1.3658,1.3658,52834278
1991-09-01,1.3672,1.4092,1.241,1.3672,1.3672,58973065
1991-10-01,1.3672,1.6126,1.3672,1.5845,1.5845,47211865
1991-11-01,1.5775,1.6967,1.4443,1.6196,1.6196,50998109
1991-12-01,1.5999,1.9648,1.5859,1.9157,1.9157,69262597
1992-01-01,1.8876,2.1683,1.8174,1.8385,1.8385,69361315
1992-02-01,1.8385,2.2946,1.8174,2.2104,2.2104,95594686
