Date,Open,High,Low,Close,Adj Close,Volume
,LYB,LYB,LYB,LYB,,LYB
2010-04-01,9.8041,10.2448,9.5618,9.8262,9.8262,15662400
2010-05-01,10.0245,10.1126,7.1383,7.8301,7.8301,91543100
2010-06-01,7.7772,7.9314,7.1163,7.1163,7.1163,32025500
2010-07-01,7.1559,8.0813,6.5478,7.9314,7.9314,37936200
2010-08-01,7.9975,9.1652,7.6671,9.033,9.033,66317600
2010-09-01,9.033,10.5532,9.0286,10.5312,10.5312,55470900
2010-10-01,10.54,12.4568,10.4475,11.8355,11.8355,118777200
2010-11-01,11.7914,13.2058,11.3243,12.871,12.871,91598800
2010-12-01,13.0825,15.2195,12.9591,15.1579,15.1579,108713100
2011-01-01,15.3121,16.3035,14.7921,15.8364,15.8364,72125400
2011-02-01,15.9466,17.6254,15.1402,16.7794,16.7794,98688900
2011-03-01,16.9072,18.1189,16.1978,17.4271,17.4271,72826400
2011-04-01,17.621,19.9872,17.4315,19.6083,19.6083,57936400
2011-05-01,21.1902,21.2034,16.6252,19.3042,19.3042,115748000
2011-06-01,19.2848,19.5233,15.8271,17.0106,17.0106,122380900
2011-07-01,17.4036,18.2603,15.986,17.4257,17.4257,79760000
2011-08-01,18.0881,18.5164,11.7113,15.3016,15.3016,148510200
2011-09-01,15.3613,15.4279,10.8435,10.8524,10.8524,80711200
2011-10-01,10.7946,15.77,10.1727,14.5972,14.5972,109979000
2011-11-01,13.7265,16.4185,12.5671,14.5128,14.5128,122412100
2011-12-01,16.7159,17.6122,15.6444,16.7365,16.7365,64516300
2012-01-01,17.1537,22.2123,17.0559,22.202,22.202,100726100
2012-02-01,22.3977,23.8967,21.6199,22.2432,22.2432,96526000
2012-03-01,22.3771,23.1704,20.0436,22.4853,22.4853,71130700
2012-04-01,22.6091,23.91,21.1059,21.6554,21.6554,68677500
2012-05-01,21.9663,22.6557,19.0638,20.4529,20.4529,102479500
2012-06-01,19.4958,21.9885,18.836,21.0878,21.0878,67797500
2012-07-01,21.2553,23.5594,20.1295,23.3185,23.3185,62658200
2012-08-01,23.4652,26.162,22.7006,25.5755,25.5755,73589900
2012-09-01,25.2445,28.3974,24.6424,27.283,27.283,122079600
2012-10-01,27.4943,29.5751,26.6545,28.1967,28.1967,82533500
2012-11-01,28.2759,29.179,23.697,26.2637,26.2637,103019100
2012-12-01,28.1502,32.2522,27.3433,32.2127,32.2127,91748000
2013-01-01,32.9575,36.2245,32.3594,35.7844,35.7844,70449800
2013-02-01,34.9268,35.7167,31.5639,33.076,33.076,91913600
2013-03-01,33.0528,37.3129,32.6211,35.9497,35.9497,77956000
2013-04-01,35.8361,35.9383,31.2522,34.4785,34.4785,99337600
2013-05-01,34.3933,38.6761,32.5643,37.8582,37.8582,98822400
2013-06-01,38.2433,39.7485,36.4404,37.9228,37.9228,89633200
2013-07-01,38.3463,40.8245,37.0528,39.325,39.325,72939100
2013-08-01,39.0903,40.6585,38.6439,40.1491,40.1491,73050700
2013-09-01,40.7444,43.3084,39.4566,41.9119,41.9119,82911700
2013-10-01,42.2341,45.7204,41.6463,42.989,42.989,64257300
2013-11-01,42.7931,45.7205,42.4127,44.4757,44.4757,67448100
2013-12-01,44.9737,46.6521,43.2721,46.623,46.623,59512700
2014-01-01,46.4895,48.1853,43.1908,45.7403,45.7403,83772900
2014-02-01,45.8738,51.7976,44.3232,51.1529,51.1529,68427600
2014-03-01,51.0386,53.7636,50.8983,52.0093,52.0093,65745500
2014-04-01,52.1321,54.9624,49.9393,54.0911,54.0911,72773800
2014-05-01,54.6753,59.2125,54.1332,58.6704,58.6704,55040700
2014-06-01,58.8825,60.4734,56.7789,57.539,57.539,65868400
2014-07-01,57.9221,65.04,57.2091,62.6065,62.6065,54425100
2014-08-01,62.6065,67.397,62.247,67.3793,67.3793,49850900
2014-09-01,68.2294,68.425,63.8416,64.4286,64.4286,54049500
2014-10-01,63.9009,63.9128,48.1169,54.3309,54.3309,169779400
2014-11-01,54.4851,55.9318,46.5931,46.7591,46.7591,98434100
2014-12-01,45.5446,49.8654,41.8692,47.445,47.445,140000700
2015-01-01,47.7737,49.5845,42.8732,47.2657,47.2657,104374800
2015-02-01,47.3614,54.9751,47.3614,51.3415,51.3415,96854400
2015-03-01,51.7458,53.3601,49.2462,52.8842,52.8842,84258800
2015-04-01,53.2035,63.3828,52.4204,62.3528,62.3528,86428500
2015-05-01,62.8286,64.6416,60.0158,60.8952,60.8952,61777800
2015-06-01,61.3108,64.1477,59.4014,62.3528,62.3528,66865000
2015-07-01,62.7323,63.0395,53.3119,56.5163,56.5163,85049600
2015-08-01,56.2271,56.3355,43.8252,51.4266,51.4266,100580600
2015-09-01,50.0426,53.271,48.5045,50.681,50.681,82648600
2015-10-01,51.5079,59.7338,50.9728,56.4872,56.4872,95766800
2015-11-01,56.3534,58.8948,53.9702,58.2564,58.2564,58692600
2015-12-01,58.8486,59.5843,51.0144,53.2703,53.2703,77464500
2016-01-01,52.8902,54.153,42.3588,47.7962,47.7962,84219700
2016-02-01,47.5632,50.2727,43.83,49.1693,49.1693,80060400
2016-03-01,50.2092,55.7199,49.1566,52.9893,52.9893,92034300
2016-04-01,52.3206,58.048,50.525,51.1875,51.1875,69447200
2016-05-01,51.3919,52.6302,49.4105,50.3764,50.3764,59318400
2016-06-01,50.4988,52.2572,43.6905,46.569,46.569,86366800
2016-07-01,46.6816,50.2109,44.7293,47.0946,47.0946,60721100
2016-08-01,47.0947,50.3423,44.7731,49.3662,49.3662,68669300
2016-09-01,49.9072,51.7296,46.8382,51.0399,51.0399,72485300
2016-10-01,51.1601,53.5267,49.4326,50.3375,50.3375,62298100
2016-11-01,50.6286,57.5765,48.5404,57.1525,57.1525,70653500
2016-12-01,58.1342,59.227,54.4085,54.8175,54.8175,59013500
2017-01-01,55.6099,62.3966,54.875,59.604,59.604,60322800
2017-02-01,59.9107,61.2975,57.4248,58.3067,58.3067,57539900
2017-03-01,59.1822,60.6009,54.7408,58.2748,58.2748,54867600
2017-04-01,59.0006,59.3489,54.2349,54.6605,54.6605,49335800
2017-05-01,54.8153,54.9378,50.9653,51.9262,51.9262,67949200
2017-06-01,51.4232,54.8669,50.3075,54.4219,54.4219,63139100
2017-07-01,55.4675,59.5241,53.8306,58.7545,58.7545,44818400
2017-08-01,58.8784,59.6154,55.6632,59.0806,59.0806,49289900
2017-09-01,58.761,65.6676,57.9197,64.598,64.598,50950900
2017-10-01,64.93,71.0298,63.3689,68.1973,68.1973,55385200
2017-11-01,68.6452,70.6148,67.0445,68.968,68.968,39699700
2017-12-01,69.271,73.5263,67.8218,72.67,72.67,36952800
2018-01-01,73.7888,81.0315,73.5496,79.6294,79.6294,39118100
2018-02-01,79.1377,79.563,68.3202,71.9084,71.9084,50430100
2018-03-01,71.9549,74.9715,67.988,70.2206,70.2206,52962400
2018-04-01,70.695,73.4648,64.5114,70.9096,70.9096,55185600
2018-05-01,70.7554,80.0709,68.7165,75.1952,75.1952,51222900
2018-06-01,76.7377,79.7088,71.701,73.6728,73.6728,43090600
2018-07-01,73.7179,75.6455,71.2965,74.9353,74.9353,37488300
2018-08-01,74.9218,78.8854,72.7574,76.2813,76.2813,37458000
2018-09-01,75.7199,76.5925,67.0353,69.335,69.335,55209000
2018-10-01,70.2555,72.7532,58.4155,60.92,60.92,73614500
2018-11-01,62.2302,66.1542,61.0974,63.677,63.677,62221600
2018-12-01,65.5059,66.0381,52.9015,56.7504,56.7504,55141200
2019-01-01,56.4001,61.5908,56.3656,60.0308,60.0308,52979000
2019-02-01,58.8505,61.9428,57.6218,59.0299,59.0299,49042600
2019-03-01,58.9678,62.3707,57.187,58.036,58.036,54004900
2019-04-01,59.4071,66.482,59.3652,61.621,61.621,54461900
2019-05-01,61.6629,62.2566,51.6407,51.8572,51.8572,49550500
2019-06-01,51.9899,61.0134,51.8922,60.1544,60.1544,75213200
2019-07-01,61.4957,62.9817,58.4739,59.2241,59.2241,84116200
2019-08-01,59.0542,59.8327,48.5526,54.7587,54.7587,63137000
2019-09-01,53.0745,64.0645,52.2819,63.3144,63.3144,63910100
2019-10-01,64.5297,66.1366,58.4318,64.3503,64.3503,44513100
2019-11-01,66.2012,70.9575,64.2499,66.3877,66.3877,33217400
2019-12-01,67.4162,69.5127,64.9932,68.5406,68.5406,36210300
2020-01-01,69.121,69.2588,56.0701,56.4836,56.4836,55545200
2020-02-01,56.8464,62.8749,49.6934,51.8407,51.8407,42101600
2020-03-01,53.268,56.1619,24.8226,36.5454,36.5454,111883900
2020-04-01,34.0491,44.2182,32.6427,42.6718,42.6718,63526300
2020-05-01,41.9281,52.1708,36.862,46.9501,46.9501,50795500
2020-06-01,47.009,58.8864,44.2108,48.3933,48.3933,58612100
2020-07-01,49.4265,52.2799,45.9531,46.7001,46.7001,39602800
2020-08-01,47.096,54.9017,46.0203,48.9111,48.9111,34912100
2020-09-01,48.9851,61.2655,48.7045,53.468,53.468,54912800
2020-10-01,53.3542,61.5993,50.6083,51.9206,51.9206,44719600
2020-11-01,52.5881,69.1768,51.6627,64.5499,64.5499,49387500
2020-12-01,66.776,71.0665,64.9646,70.3527,70.3527,31007200
2021-01-01,70.9975,76.6465,64.5194,65.8242,65.8242,34788400
2021-02-01,66.4997,83.0632,65.2486,79.1257,79.1257,29077300
2021-03-01,80.9371,86.5248,76.4316,79.8625,79.8625,45430600
2021-04-01,81.42,84.6138,77.9083,80.4199,80.4199,26445700
2021-05-01,81.3579,90.5209,80.8386,87.3038,87.3038,31863300
2021-06-01,88.8309,91.4899,77.1718,79.7455,79.7455,37025000
2021-07-01,81.5506,82.0203,71.7198,77.7467,77.7467,39112500
2021-08-01,78.2555,83.2335,75.4612,78.5451,78.5451,32700400
2021-09-01,79.6695,79.9862,69.8227,74.287,74.287,52147300
2021-10-01,74.2554,79.3767,72.506,73.4717,73.4717,36193500
2021-11-01,73.4638,76.1709,68.1762,68.9678,68.9678,49256700
2021-12-01,71.3443,74.9989,67.4573,73.9169,73.9169,54042400
2022-01-01,74.494,82.4924,71.5206,77.5234,77.5234,43019800
2022-02-01,77.3311,83.3259,74.6222,77.9241,77.9241,39664100
2022-03-01,78.0684,86.7881,73.6445,82.4042,82.4042,63218700
2022-04-01,84.4259,93.1805,78.9299,85.9498,85.9498,36392700
2022-05-01,88.1952,95.0206,83.3072,92.6131,92.6131,56055400
2022-06-01,93.2211,93.7156,67.6866,70.8967,70.8967,53781900
2022-07-01,74.0799,77.6843,70.4926,76.4828,76.4828,45370800
2022-08-01,75.5216,79.4007,70.75,71.2306,71.2306,42699700
2022-09-01,71.4556,75.1776,62.1421,65.4641,65.4641,59299700
2022-10-01,66.9598,72.8209,65.4293,66.4815,66.4815,49742700
2022-11-01,67.5163,77.9168,66.6467,73.9253,73.9253,52425900
2022-12-01,75.3961,76.163,69.8161,73.1923,73.1923,30565500
2023-01-01,73.3686,85.3219,73.0071,85.2338,85.2338,38485800
2023-02-01,84.9164,89.2975,82.3865,84.6167,84.6167,36794300
2023-03-01,84.4404,86.6795,71.6143,82.7655,82.7655,55084200
2023-04-01,84.4644,87.6323,80.1898,84.4287,84.4287,40087200
2023-05-01,83.9825,84.4554,75.6744,76.3347,76.3347,37186100
2023-06-01,77.9862,84.2768,77.1987,83.1182,83.1182,40676400
2023-07-01,82.892,89.7167,79.5701,89.4813,89.4813,42103400
2023-08-01,88.8658,91.3006,85.5893,89.3999,89.3999,43268200
2023-09-01,91.4621,93.571,85.6672,86.8317,86.8317,43684100
2023-10-01,86.5292,87.6478,81.1102,82.7423,82.7423,36328000
