Date,Open,High,Low,Close,Adj Close,Volume
,L,L,L,L,,L
1985-01-01,0.0,2.6231,1.9748,2.4686,2.4686,54388800
1985-02-01,0.0,2.7129,2.4461,2.673,2.673,43063200
1985-03-01,0.0,2.7428,2.4685,2.6256,2.6256,31621200
1985-04-01,0.0,3.0969,2.6107,2.7304,2.7304,44343600
1985-05-01,0.0,3.0221,2.5882,2.9473,2.9473,85981200
1985-06-01,0.0,3.0146,2.8276,2.9623,2.9623,44151600
1985-07-01,0.0,3.239,2.8949,2.9997,2.9997,54742800
1985-08-01,0.0,3.0819,2.9323,2.9772,2.9772,32901600
1985-09-01,0.0,2.9772,2.4985,2.5957,2.5957,36598800
1985-10-01,0.0,2.8875,2.5808,2.7378,2.7378,32276400
1985-11-01,0.0,3.2241,2.7229,3.1568,3.1568,50143200
1985-12-01,0.0,3.3662,2.9997,3.2615,3.2615,61880400
1986-01-01,0.0,3.7327,3.2166,3.7253,3.7253,49171200
1986-02-01,0.0,4.0544,3.6355,3.8599,3.8599,61447200
1986-03-01,0.0,4.1517,3.7627,4.1517,4.1517,63750000
1986-04-01,0.0,4.3312,3.815,3.8898,3.8898,52314000
1986-05-01,0.0,4.0918,3.7627,4.017,4.017,41618400
1986-06-01,0.0,4.1217,3.6505,4.1142,4.1142,70076400
1986-07-01,0.0,4.1816,3.6056,3.6505,3.6505,43303200
1986-08-01,0.0,4.2489,3.5308,4.1891,4.1891,51585600
1986-09-01,0.0,4.219,3.6355,3.6879,3.6879,49989600
1986-10-01,0.0,4.0544,3.6654,3.8898,3.8898,34602000
1986-11-01,0.0,3.9497,3.5682,3.815,3.815,45681600
1986-12-01,0.0,3.8749,3.441,3.4859,3.4859,53042400
1987-01-01,0.0,4.1517,3.4859,3.9796,3.9796,89763600
1987-02-01,0.0,4.4733,3.9422,4.4733,4.4733,74238000
1987-03-01,0.0,4.6023,3.9792,4.0617,4.0617,65642400
1987-04-01,0.0,4.302,3.6713,3.8515,3.8515,91645200
1987-05-01,0.0,3.859,3.4836,3.7765,3.7765,63861600
1987-06-01,0.0,4.1007,3.8068,3.95,3.95,46104000
1987-07-01,0.0,4.3646,3.9651,4.2817,4.2817,42147600
1987-08-01,4.2364,5.2993,4.2063,5.1184,5.1184,74608800
1987-09-01,5.2343,5.8243,4.6972,5.7638,5.7638,70574400
1987-10-01,5.7562,5.7864,3.6307,4.7426,4.7426,101391600
1987-11-01,4.5989,4.7351,3.8728,3.9484,3.9484,58192800
1987-12-01,4.0073,4.364,3.7872,4.0453,4.0453,44323200
1988-01-01,4.106,4.2806,3.81,4.2426,4.2426,42933600
1988-02-01,4.3564,4.5993,4.1212,4.5993,4.5993,34304400
1988-03-01,4.5703,4.6693,4.2047,4.357,4.357,37287600
1988-04-01,4.3266,4.3646,4.0828,4.2123,4.2123,38654400
1988-05-01,4.2123,4.2428,3.7781,3.9305,3.9305,43326000
1988-06-01,4.0214,4.0979,3.9068,4.0138,4.0138,49742400
1988-07-01,4.0138,4.312,4.0138,4.2967,4.2967,29521200
1988-08-01,4.2967,4.4572,4.1744,4.2814,4.2814,28360800
1988-09-01,4.2886,4.9407,4.2656,4.8487,4.8487,35114400
1988-10-01,4.841,5.1018,4.7566,4.864,4.864,36369600
1988-11-01,4.864,4.9254,4.4881,4.7336,4.7336,29974800
1988-12-01,4.7485,4.864,4.6331,4.8563,4.8563,25642800
1989-01-01,4.8178,5.1025,4.7408,5.0948,5.0948,34084800
1989-02-01,5.0948,5.1487,4.8024,5.0179,5.0179,38854800
1989-03-01,5.0178,5.4655,5.0101,5.4578,5.4578,34366800
1989-04-01,5.4732,5.8669,5.4732,5.8361,5.8361,35824800
1989-05-01,5.8052,6.7856,5.7357,6.6852,6.6852,48754800
1989-06-01,6.71,7.1743,6.648,6.7641,6.7641,44480400
1989-07-01,6.7487,7.4297,6.7177,7.3678,7.3678,31792800
1989-08-01,7.3988,7.9869,7.1279,7.3523,7.3523,38226000
1989-09-01,7.3675,7.8483,6.9177,7.794,7.794,30916800
1989-10-01,7.8095,8.3757,7.1348,7.8405,7.8405,53415600
1989-11-01,7.825,8.0189,7.5769,7.7785,7.7785,26454000
1989-12-01,7.794,8.1748,7.1335,7.7241,7.7241,30498000
1990-01-01,7.7241,7.8872,6.4807,6.675,6.675,54652800
1990-02-01,6.7139,6.8926,6.2165,6.4186,6.4186,42265200
