Date,Open,High,Low,Close,Adj Close,Volume
,MAS,MAS,MAS,MAS,,MAS
1985-01-01,2.5648,3.0824,2.3923,3.0133,3.0133,7937779
1985-02-01,3.0061,3.0986,2.798,2.8442,2.8442,6790220
1985-03-01,2.8442,3.0061,2.6708,2.7864,2.7864,6358689
1985-04-01,2.7864,2.8095,2.6361,2.717,2.717,7223114
1985-05-01,2.7418,3.3227,2.6954,3.2879,3.2879,10524226
1985-06-01,3.2879,3.3111,3.0323,3.2763,3.2763,10720416
1985-07-01,3.2763,3.346,3.1601,3.2995,3.2995,10733162
1985-08-01,3.3127,3.3244,2.9628,2.9978,2.9978,8220002
1985-09-01,3.0211,3.0327,2.8461,2.9978,2.9978,9162722
1985-10-01,2.9861,3.301,2.8928,3.2194,3.2194,7066523
1985-11-01,3.2349,3.5514,3.1529,3.5397,3.5397,9200501
1985-12-01,3.528,3.9734,3.4928,3.7741,3.7741,15432188
1986-01-01,3.7741,4.2898,3.6569,4.2429,4.2429,10936179
1986-02-01,4.2838,4.9429,4.2132,4.9429,4.9429,14824499
1986-03-01,4.8958,5.6961,4.7664,5.449,5.449,15707133
1986-04-01,5.4372,5.5784,4.8958,5.2724,5.2724,10602519
1986-05-01,5.2639,5.5943,4.9334,5.5943,5.5943,10185328
1986-06-01,5.6415,6.5149,5.5471,6.2316,6.2316,10823063
1986-07-01,6.208,6.2316,5.0986,5.5471,5.5471,10830345
1986-08-01,5.5641,5.8009,5.3273,5.7535,5.7535,8702969
1986-09-01,5.7535,5.7535,4.4513,4.6644,4.6644,13473920
1986-10-01,4.688,5.3983,4.4513,5.28,5.28,16436361
1986-11-01,5.3218,5.5119,4.8229,5.2505,5.2505,9693711
1986-12-01,5.2505,5.6069,5.108,5.5119,5.5119,15117421
1987-01-01,5.5594,6.3434,5.4406,6.2484,6.2484,12973428
1987-02-01,6.2914,7.0063,6.2199,6.911,6.911,12183429
1987-03-01,6.911,7.7927,6.8157,7.3876,7.3876,9477492
1987-04-01,7.34,7.7451,5.9578,6.8157,6.8157,14867513
1987-05-01,6.7838,7.0705,5.8284,6.7599,6.7599,10696063
1987-06-01,6.8077,7.1421,6.3777,6.7599,6.7599,9859859
1987-07-01,6.4972,7.0705,6.0672,6.9271,6.9271,14009234
1987-08-01,6.9474,7.5223,6.7557,7.0671,7.0671,15248061
1987-09-01,7.115,7.2109,6.1807,6.1807,6.1807,13510565
1987-10-01,6.2287,6.2766,3.5935,4.7434,4.7434,28581100
1987-11-01,4.785,4.9052,3.8712,3.9915,3.9915,14511322
1987-12-01,3.9915,4.5445,3.6548,4.1598,4.1598,13814410
1988-01-01,4.256,5.0254,4.2319,4.9292,4.9292,16529679
1988-02-01,5.0004,5.2662,4.6623,5.2662,5.2662,14544322
1988-03-01,5.3145,5.7976,4.9521,5.0971,5.0971,14060218
1988-04-01,5.0729,5.4836,4.928,5.0488,5.0488,9652743
1988-05-01,5.091,5.5031,4.7759,5.3092,5.3092,11423243
1988-06-01,5.2607,5.891,5.2607,5.7213,5.7213,15471793
1988-07-01,5.7456,5.7698,5.1153,5.3334,5.3334,10315742
1988-08-01,5.4054,5.5515,4.6506,4.7236,4.7236,13668289
1988-09-01,4.6993,5.235,4.675,5.1863,5.1863,13572015
1988-10-01,5.2106,5.5028,5.0402,5.2106,5.2106,7939825
1988-11-01,5.2338,5.3071,4.6224,4.818,4.818,12930411
1988-12-01,4.7691,5.1359,4.6957,4.9648,4.9648,13381743
1989-01-01,4.9892,5.087,4.7202,4.9648,4.9648,17386137
1989-02-01,5.0127,5.3567,4.9635,4.9635,4.9635,13491443
1989-03-01,5.0127,5.1847,4.8161,5.0127,5.0127,12724891
1989-04-01,5.0127,5.111,4.9144,5.0864,5.0864,11600545
1989-05-01,5.0855,5.7521,5.0608,5.5546,5.5546,19021214
1989-06-01,5.5546,6.1471,5.5052,5.8014,5.8014,18620410
1989-07-01,5.8014,6.0236,5.6533,5.9249,5.9249,14512230
1989-08-01,5.9508,6.0252,5.4053,5.8516,5.8516,21580349
1989-09-01,5.8516,5.926,5.1078,5.1573,5.1573,21802713
1989-10-01,5.1325,5.4797,4.7606,5.0086,5.0086,19138657
1989-11-01,5.0348,5.1345,4.7855,5.1095,5.1095,11476502
1989-12-01,5.1345,5.2092,4.7357,4.8603,4.8603,12054833
1990-01-01,4.8603,5.284,4.6858,4.7855,4.7855,15861217
1990-02-01,4.7598,5.0354,4.7097,4.9853,4.9853,10139351
1990-03-01,4.9853,5.1857,4.9853,5.1606,5.1606,10784827
1990-04-01,5.1105,5.361,4.7849,4.9352,4.9352,8556168
1990-05-01,5.0109,5.2376,4.885,5.0361,5.0361,11500400
1990-06-01,5.0109,5.2627,4.8347,4.9354,4.9354,17849757
1990-07-01,4.9354,4.9606,4.7088,4.7088,4.7088,14212936
1990-08-01,4.7614,4.7868,3.8497,3.9003,3.9003,20989043
1990-09-01,3.8497,3.9257,3.3431,3.4698,3.4698,12279703
1990-10-01,3.4444,3.4951,2.9126,2.9632,2.9632,15628836
1990-11-01,2.9892,3.4491,2.9125,3.1936,3.1936,14386141
