Date,Open,High,Low,Close,Adj Close,Volume
,MCHP,MCHP,MCHP,MCHP,,MCHP
1993-03-01,0.185,0.1971,0.1713,0.1956,0.1956,142669856
1993-04-01,0.1926,0.2578,0.1911,0.2578,0.2578,60784934
1993-05-01,0.2547,0.2972,0.2487,0.282,0.282,32873344
1993-06-01,0.276,0.373,0.2365,0.3548,0.3548,52879839
1993-07-01,0.3457,0.376,0.3215,0.3457,0.3457,99604184
1993-08-01,0.3397,0.5823,0.3397,0.5641,0.5641,122266971
1993-09-01,0.555,0.649,0.5064,0.6308,0.6308,168806786
1993-10-01,0.6308,0.8613,0.5883,0.7764,0.7764,156311272
1993-11-01,0.7885,0.9219,0.655,0.7764,0.7764,128345007
1993-12-01,0.7885,0.9462,0.7703,0.9462,0.9462,71496676
1994-01-01,0.934,1.0129,0.7945,0.9644,0.9644,80055592
1994-02-01,0.9644,1.0796,0.8552,1.0796,1.0796,57021470
1994-03-01,1.0917,1.1403,0.8855,0.928,0.928,75075611
1994-04-01,0.8795,1.0644,0.7005,1.019,1.019,92649070
1994-05-01,1.0008,1.1463,0.8825,1.1281,1.1281,77397021
1994-06-01,1.1463,1.3192,1.0644,1.2828,1.2828,79207371
1994-07-01,1.2919,1.4466,1.0917,1.1645,1.1645,135581854
1994-08-01,1.1827,1.3647,1.1736,1.3374,1.3374,83541883
1994-09-01,1.3192,1.4739,1.301,1.4284,1.4284,42737626
1994-10-01,1.4193,1.7286,1.2646,1.7058,1.7058,72417039
1994-11-01,1.7013,1.7195,1.4329,1.624,1.624,74728580
1994-12-01,1.5967,1.6922,1.351,1.5011,1.5011,76789017
1995-01-01,1.4739,1.6513,1.1873,1.2214,1.2214,147378494
1995-02-01,1.2419,1.5421,1.2146,1.3783,1.3783,79904480
1995-03-01,1.3647,1.6103,1.276,1.5353,1.5353,122254319
1995-04-01,1.5421,1.7331,1.4329,1.5421,1.5421,75257104
1995-05-01,1.5421,1.6922,1.3783,1.624,1.624,114912680
1995-06-01,1.6513,2.1425,1.5967,1.9856,1.9856,106662830
1995-07-01,1.9924,2.3063,1.6922,2.1016,2.1016,132381343
1995-08-01,2.088,2.2108,1.9515,2.0743,2.0743,68468291
1995-09-01,2.0607,2.2381,1.8287,2.0675,2.0675,61771617
1995-10-01,2.0607,2.3472,1.7604,2.1664,2.1664,91933993
1995-11-01,2.1698,2.4564,2.0197,2.2108,2.2108,75245968
1995-12-01,2.1971,2.2108,1.7741,1.9924,1.9924,93278590
1996-01-01,2.0197,2.0197,1.3851,1.815,1.815,169002451
1996-02-01,1.8423,2.1016,1.5148,1.5148,1.5148,208783580
1996-03-01,1.5216,1.7058,1.2964,1.5011,1.5011,121199291
1996-04-01,1.5011,1.5421,1.1873,1.392,1.392,191708780
1996-05-01,1.4056,1.624,1.3647,1.4056,1.4056,114914705
1996-06-01,1.4261,1.4261,1.1327,1.351,1.351,166834694
1996-07-01,1.3783,1.7604,1.0781,1.74,1.74,212806242
1996-08-01,1.7195,2.0607,1.7195,2.0027,2.0027,120887444
1996-09-01,1.9515,2.1767,1.6513,2.0402,2.0402,128688753
1996-10-01,1.9924,2.2176,1.9105,1.9788,1.9788,86418906
1996-11-01,1.9788,2.7839,1.9105,2.6065,2.6065,164860319
1996-12-01,2.6202,2.9272,2.4632,2.7771,2.7771,135083704
1997-01-01,2.7635,3.3366,2.6816,3.1217,3.1217,159146439
1997-02-01,3.1524,3.1933,2.7737,3.0603,3.0603,65265075
1997-03-01,3.0398,3.1626,1.914,2.4564,2.4564,258835500
1997-04-01,2.4155,2.7942,2.3131,2.5588,2.5588,120849300
1997-05-01,2.5588,3.0808,2.4257,2.9068,2.9068,115076025
1997-06-01,2.917,2.9579,2.3387,2.4359,2.4359,99603675
1997-07-01,2.4462,3.2548,2.4462,3.0501,3.0501,113722650
1997-08-01,3.0501,3.4799,3.0091,3.3111,3.3111,79306425
1997-09-01,3.3366,4.0429,3.3162,3.6974,3.6974,60902550
1997-10-01,3.7563,4.0224,2.5895,3.265,3.265,99428850
1997-11-01,3.2803,3.398,2.6355,2.8658,2.8658,67669425
1997-12-01,2.9068,2.9989,2.088,2.4564,2.4564,163302075
1998-01-01,2.4667,2.656,1.699,1.8909,1.8909,197732475
1998-02-01,1.9754,2.2517,1.9651,1.9805,1.9805,93449700
1998-03-01,1.9856,1.9958,1.7195,1.7195,1.7195,131955075
1998-04-01,1.7502,2.4052,1.699,2.3234,2.3234,118138500
1998-05-01,2.3336,2.6816,2.0061,2.0061,2.0061,99237825
1998-06-01,2.0163,2.3541,1.6734,2.1391,2.1391,94437900
1998-07-01,2.5588,2.9375,2.3745,2.5102,2.5102,209261475
1998-08-01,2.4974,2.5844,1.4739,1.4994,1.4994,141880950
1998-09-01,1.5506,1.9651,1.525,1.7911,1.7911,186739425
1998-10-01,1.6888,2.2824,1.392,2.2159,2.2159,198738900
1998-11-01,2.2261,2.9784,2.1788,2.8505,2.8505,130532175
1998-12-01,2.8351,3.3571,2.6714,3.0296,3.0296,114192450
1999-01-01,3.0091,3.4697,2.3438,2.3643,2.3643,123880725
1999-02-01,2.3797,2.8402,2.0828,2.2312,2.2312,89464500
1999-03-01,2.2312,3.0091,2.2108,2.8351,2.8351,104620950
1999-04-01,2.8454,3.1882,2.7021,2.8658,2.8658,98693100
1999-05-01,2.9068,3.8279,2.8454,3.5925,3.5925,142278525
1999-06-01,3.5874,4.1299,3.0552,3.8791,3.8791,92668725
