Date,Open,High,Low,Close,Adj Close,Volume
,MCK,MCK,MCK,MCK,,MCK
1994-11-01,12.8189,12.8189,11.7188,12.0058,12.0058,7179400
1994-12-01,11.958,12.6276,11.5275,12.4841,12.4841,8985000
1995-01-01,12.6351,14.2265,12.2975,14.2265,14.2265,12926200
1995-02-01,14.2748,14.757,14.0819,14.2265,14.2265,10790200
1995-03-01,14.2743,15.7743,14.0807,15.6291,15.6291,10857000
1995-04-01,15.5807,15.6775,14.4194,15.3388,15.3388,3900800
1995-05-01,15.242,17.4194,15.242,17.2743,17.2743,4513400
1995-06-01,17.3263,18.394,17.0837,18.1514,18.1514,4669000
1995-07-01,18.1029,18.1029,16.6469,17.1322,17.1322,4528400
1995-08-01,17.1322,17.3749,16.5983,16.8895,16.8895,8481400
1995-09-01,16.9386,17.7196,16.6457,17.5732,17.5732,2676200
1995-10-01,17.622,19.0376,17.5244,18.6471,18.6471,3677600
1995-11-01,18.5983,20.795,18.5983,20.0627,20.0627,7773800
1995-12-01,20.2585,20.6018,19.0322,19.8661,19.8661,3229000
1996-01-01,19.768,19.8661,18.2473,19.6208,19.6208,8864400
1996-02-01,19.6208,21.5338,19.5227,20.5037,20.5037,5148600
1996-03-01,20.6028,21.9336,20.1099,20.2085,20.2085,9159200
1996-04-01,20.2578,20.2578,18.3355,18.7791,18.7791,7808400
1996-05-01,18.8284,18.927,17.3497,18.3848,18.3848,9073800
1996-06-01,18.3878,19.4286,18.2391,18.8834,18.8834,2807400
1996-07-01,18.933,18.9825,15.4636,17.2478,17.2478,4617200
1996-08-01,17.1983,17.8426,16.6531,16.9009,16.9009,3845400
1996-09-01,16.8508,19.2936,16.8508,18.8948,18.8948,2847400
1996-10-01,18.8948,21.0385,18.0971,19.842,19.842,6221800
1996-11-01,19.7922,22.7336,19.6426,22.4344,22.4344,6899600
1996-12-01,22.4843,22.5845,21.2324,22.3842,22.3842,3912800
1997-01-01,22.4342,23.6361,20.7316,23.586,23.586,4789000
1997-02-01,23.4858,27.8926,22.1338,26.5405,26.5405,10135800
1997-03-01,26.6889,26.6889,24.6784,25.7339,25.7339,6268000
1997-04-01,25.6334,29.1014,25.3318,29.1014,29.1014,8868400
1997-05-01,29.0009,30.7098,28.7496,30.2072,30.2072,6454600
1997-06-01,30.3588,32.3256,30.0562,31.2666,31.2666,7977800
1997-07-01,31.2161,35.2505,30.8631,34.9732,34.9732,6203800
1997-08-01,34.9983,38.3267,34.0402,37.7972,37.7972,9046400
1997-09-01,37.8985,42.9803,37.6456,41.2358,41.2358,9746600
1997-10-01,41.2358,44.6489,39.643,43.41,43.41,9687000
1997-11-01,43.4353,45.8119,41.969,45.2557,45.2557,4523200
1997-12-01,45.3601,46.1204,39.4811,43.9411,43.9411,7430600
1998-01-01,43.8651,43.8651,38.8222,38.8222,38.8222,6566600
1998-02-01,39.329,46.0697,39.2783,42.2685,42.2685,7725900
1998-03-01,42.4696,50.0898,41.9108,46.9401,46.9401,6933100
1998-04-01,46.9909,57.7607,46.8385,57.4559,57.4559,8973200
1998-05-01,57.2527,65.8381,53.341,63.5012,63.5012,5351500
1998-06-01,63.3031,69.8674,61.6747,66.3563,66.3563,5550400
1998-07-01,66.5598,73.3786,61.0641,65.6439,65.6439,12345500
1998-08-01,65.8474,70.0201,61.0641,61.0641,61.0641,7758800
1998-09-01,61.208,78.4848,60.0358,74.7135,74.7135,8413700
1998-10-01,74.1019,78.281,57.0799,62.8898,62.8898,25799500
1998-11-01,63.6033,64.6226,55.9077,58.0482,58.0482,21757400
1998-12-01,58.1463,64.885,54.3176,64.5787,64.5787,19848300
1999-01-01,64.5276,73.3083,57.789,61.2604,61.2604,54062700
1999-02-01,61.2094,62.1283,51.3566,55.5428,55.5428,53359800
1999-03-01,53.9544,58.0929,42.7139,53.9544,53.9544,65912900
1999-04-01,54.7718,56.6112,26.1597,28.6122,28.6122,103333300
1999-05-01,28.6122,32.4952,27.2837,27.8458,27.8458,78812900
1999-06-01,27.8953,30.6081,25.1826,26.3598,26.3598,53646700
1999-07-01,26.5134,27.4859,24.5684,25.4385,25.4385,42773400
1999-08-01,26.7181,27.5371,23.5447,25.5921,25.5921,46864200
1999-09-01,25.6398,28.6653,22.3067,23.7938,23.7938,29847700
1999-10-01,23.5887,23.6399,15.2301,16.4608,16.4608,64659700
1999-11-01,17.23,19.9991,16.0505,19.1786,19.1786,37120400
1999-12-01,19.0245,19.3844,16.4536,18.5103,18.5103,33298700
2000-01-01,18.9217,23.0865,16.4536,16.9164,16.9164,37566300
2000-02-01,17.1735,17.4306,15.0653,15.9394,15.9394,24626100
2000-03-01,15.9891,18.1038,15.0091,17.3301,17.3301,28144800
2000-04-01,17.3301,18.1038,13.6165,13.9776,13.9776,26085500
2000-05-01,14.3386,15.3702,13.2039,13.565,13.565,24675100
2000-06-01,13.5123,18.7412,13.4087,17.3434,17.3434,30959500
2000-07-01,17.3434,22.624,17.1363,20.1908,20.1908,29081700
2000-08-01,20.2425,21.7957,19.3624,20.6697,20.6697,17428800
2000-09-01,20.7581,26.1033,20.0315,25.3767,25.3767,34745200
2000-10-01,25.3767,27.9715,19.8239,23.3009,23.3009,46787700
2000-11-01,23.1452,29.684,23.1452,27.2969,27.2969,38731100
2000-12-01,27.3465,30.7778,26.4107,29.8544,29.8544,23117600
2001-01-01,29.8545,29.8711,22.9752,27.176,27.176,29862800
2001-02-01,27.6584,28.7731,23.9152,24.1897,24.1897,23595300
2001-03-01,24.2927,26.1511,19.5008,22.2926,22.2926,23502900
2001-04-01,22.451,26.4178,20.7092,25.7011,25.7011,21425500
2001-05-01,26.1678,29.1679,25.9178,28.8095,28.8095,29737500
2001-06-01,28.802,31.2898,27.9338,30.9893,30.9893,24363200
2001-07-01,31.1396,34.6459,29.6869,34.6041,34.6041,38726400
2001-08-01,34.2702,34.5791,30.1378,32.7675,32.7675,30238200
2001-09-01,33.0682,33.8792,28.0097,31.5966,31.5966,21973000
2001-10-01,31.5966,33.4277,30.1,30.9278,30.9278,30282500
2001-11-01,31.0615,32.1066,28.7956,31.1618,31.1618,26385100
2001-12-01,31.2957,31.8233,29.1267,31.3208,31.3208,17487800
2002-01-01,31.237,33.1213,28.8922,32.242,32.242,32710500
2002-02-01,32.0326,32.4513,27.8453,29.5203,29.5203,26242800
2002-03-01,29.8659,32.8022,25.5035,31.4011,31.4011,49617400
2002-04-01,31.6109,35.1931,28.9431,33.8844,33.8844,38263100
2002-05-01,35.235,35.3105,29.782,31.4599,31.4599,37587000
2002-06-01,31.2501,31.9213,27.0555,27.433,27.433,30193300
2002-07-01,27.7296,28.78,22.2677,27.6624,27.6624,41018600
2002-08-01,27.6624,29.6203,25.3768,28.1834,28.1834,24627800
2002-09-01,28.0229,28.4185,23.2247,23.8476,23.8476,26598900
2002-10-01,23.7382,26.9285,21.0361,25.0934,25.0934,46865900
2002-11-01,25.0177,26.4151,21.4654,21.8189,21.8189,32378400
2002-12-01,21.9454,23.2026,21.2789,22.806,22.806,34470600
2003-01-01,22.806,25.1263,22.806,23.9873,23.9873,25537600
2003-02-01,23.9872,24.0885,19.8277,22.477,22.477,30730200
2003-03-01,22.4087,22.8992,19.2377,21.0811,21.0811,37827000
2003-04-01,21.0811,23.8463,19.1193,23.4658,23.4658,45453500
2003-05-01,23.4911,25.8758,23.0007,25.639,25.639,34768500
2003-06-01,25.8757,31.4061,25.7235,30.2222,30.2222,38527900
2003-07-01,30.1607,31.1265,27.3141,27.331,27.331,29902700
2003-08-01,27.5344,28.9068,27.026,27.7377,27.7377,22862100
2003-09-01,27.7791,30.7836,27.7791,28.2544,28.2544,25189400
2003-10-01,28.2544,29.5445,25.2244,25.6912,25.6912,47167500
2003-11-01,25.8016,25.8864,23.8495,24.7831,24.7831,46020000
2003-12-01,25.005,28.1009,24.92,27.3524,27.3524,37370100
2004-01-01,26.621,27.2504,24.4777,24.988,24.988,58738800
2004-02-01,24.8774,25.2857,22.9723,23.2274,23.2274,32077300
2004-03-01,23.4142,26.2099,23.167,25.6474,25.6474,40920500
