Date,Open,High,Low,Close,Adj Close,Volume
,MDLZ,MDLZ,MDLZ,MDLZ,,MDLZ
2001-06-01,11.6126,11.7969,10.8753,11.4283,11.4283,157784700
2001-07-01,11.3177,11.7011,11.0596,11.4098,11.4098,43148300
2001-08-01,11.3914,12.1692,11.0596,11.8891,11.8891,36304200
2001-09-01,12.055,12.8328,11.4283,12.6706,12.6706,40118900
2001-10-01,12.7554,13.113,11.9444,12.442,12.442,35602800
2001-11-01,12.4052,12.9397,12.0476,12.2098,12.2098,27242800
2001-12-01,12.2209,12.8955,11.6126,12.5453,12.5453,30857000
2002-01-01,12.6675,13.7296,12.0272,13.7148,13.7148,35353300
2002-02-01,13.6925,14.6547,13.5001,14.4697,14.4697,30839800
2002-03-01,14.5178,14.6917,13.3225,14.3032,14.3032,33781500
2002-04-01,14.2975,15.3299,14.2306,15.2407,15.2407,39928400
2002-05-01,15.2407,16.2471,14.4832,15.9723,15.9723,33013700
2002-06-01,15.6752,16.3214,14.472,15.2073,15.2073,46050500
2002-07-01,15.0885,15.5356,12.6185,13.7846,13.7846,50323500
2002-08-01,13.8218,15.1295,13.6914,14.8165,14.8165,26118200
2002-09-01,14.783,15.0512,13.3338,13.5834,13.5834,29341300
2002-10-01,13.6426,15.4452,13.508,14.772,14.772,47560400
2002-11-01,14.7346,15.146,13.594,14.0465,14.0465,39218300
2002-12-01,14.0503,14.959,13.9119,14.5589,14.5589,28229500
2003-01-01,14.7084,14.791,11.2434,11.9567,11.9567,70603700
2003-02-01,11.9942,12.0693,10.8868,11.1158,11.1158,44169800
2003-03-01,11.1346,11.9379,9.892,10.5865,10.5865,81043800
2003-04-01,10.512,11.7198,10.478,11.6632,11.6632,79792000
2003-05-01,11.6443,12.7956,11.5047,12.2294,12.2294,46088800
2003-06-01,12.2671,12.8182,12.1728,12.286,12.286,36514000
2003-07-01,12.3421,12.4331,10.4652,10.5448,10.5448,78788000
2003-08-01,10.579,11.2918,10.4652,11.2615,11.2615,39067000
2003-09-01,11.2994,11.6596,10.8027,11.1857,11.1857,44228000
2003-10-01,11.2158,11.5134,10.9679,11.1014,11.1014,38993900
2003-11-01,11.1319,12.1505,10.8725,12.0818,12.0818,29220300
2003-12-01,12.0742,12.3985,11.8148,12.2917,12.2917,30538600
2004-01-01,12.3546,12.7422,11.8789,12.3585,12.3585,34540700
2004-02-01,12.3239,13.0146,12.2894,12.9647,12.9647,26976900
2004-03-01,12.934,13.3139,11.8482,12.2817,12.2817,30652900
2004-04-01,12.3623,12.9177,11.8184,12.694,12.694,31485000
2004-05-01,12.6978,12.7788,11.4481,11.5175,11.5175,36555400
2004-06-01,11.5252,12.2272,11.4751,12.2195,12.2195,33320100
2004-07-01,12.26,12.5277,11.6392,11.8526,11.8526,31957800
2004-08-01,11.775,12.3066,11.4259,12.1358,12.1358,30237000
2004-09-01,12.1746,12.6286,12.066,12.3066,12.3066,29011700
2004-10-01,12.3987,13.0899,12.1019,13.0079,13.0079,31609600
2004-11-01,12.9884,13.7459,12.9376,13.3554,13.3554,44238500
