Date,Open,High,Low,Close,Adj Close,Volume
,MDT,MDT,MDT,MDT,,MDT
1985-01-01,0.2306,0.2671,0.2178,0.2585,0.2585,72550400
1985-02-01,0.2625,0.2928,0.2561,0.2636,0.2636,57203200
1985-03-01,0.2636,0.2712,0.2571,0.2647,0.2647,51161600
1985-04-01,0.2658,0.2701,0.2334,0.2388,0.2388,84851200
1985-05-01,0.2457,0.2761,0.2392,0.2729,0.2729,72128000
1985-06-01,0.274,0.287,0.2707,0.2859,0.2859,48921600
1985-07-01,0.2859,0.3261,0.2783,0.3261,0.3261,45260800
1985-08-01,0.327,0.3435,0.2975,0.3402,0.3402,50624000
1985-09-01,0.3402,0.3402,0.3041,0.3303,0.3303,61017600
1985-10-01,0.3314,0.3402,0.3238,0.3391,0.3391,65740800
1985-11-01,0.3398,0.3871,0.3387,0.3838,0.3838,78700800
1985-12-01,0.3827,0.3871,0.3475,0.3827,0.3827,69945600
1986-01-01,0.3805,0.4123,0.3772,0.4101,0.4101,83123200
1986-02-01,0.4131,0.4992,0.4131,0.4904,0.4904,124358400
1986-03-01,0.4904,0.5854,0.4882,0.5567,0.5567,100825600
1986-04-01,0.5567,0.6152,0.5478,0.5699,0.5699,70745600
1986-05-01,0.5673,0.6282,0.5629,0.6138,0.6138,60147200
1986-06-01,0.6161,0.6781,0.5762,0.6759,0.6759,84224000
1986-07-01,0.6792,0.7125,0.6172,0.6958,0.6958,106649600
1986-08-01,0.6989,0.8222,0.6989,0.7622,0.7622,60326400
1986-09-01,0.7622,0.7778,0.6422,0.6934,0.6934,73395200
1986-10-01,0.6956,0.7845,0.6945,0.7778,0.7778,43200000
1986-11-01,0.7788,0.7866,0.7175,0.7655,0.7655,66048000
1986-12-01,0.7577,0.7599,0.6774,0.6852,0.6852,88499200
1987-01-01,0.6841,0.7643,0.6797,0.7031,0.7031,169024000
1987-02-01,0.7028,0.8067,0.7028,0.8045,0.8045,107750400
1987-03-01,0.8045,0.809,0.7174,0.7296,0.7296,73254400
1987-04-01,0.7196,0.8224,0.7196,0.7967,0.7967,107686400
1987-05-01,0.7976,0.8715,0.7954,0.8514,0.8514,92569600
1987-06-01,0.8514,0.8928,0.82,0.8379,0.8379,61171200
1987-07-01,0.8379,0.9119,0.8368,0.9029,0.9029,59238400
1987-08-01,0.9054,0.975,0.8897,0.9177,0.9177,66003200
1987-09-01,0.92,0.9312,0.8717,0.9256,0.9256,52160000
1987-10-01,0.9256,0.9256,0.5841,0.6818,0.6818,111705600
1987-11-01,0.6785,0.7841,0.6672,0.7526,0.7526,105017600
1987-12-01,0.7515,0.8447,0.7346,0.8391,0.8391,81875200
1988-01-01,0.8414,0.8752,0.7513,0.8178,0.8178,78924800
1988-02-01,0.8223,0.8946,0.7794,0.8754,0.8754,48038400
1988-03-01,0.8732,0.9014,0.8088,0.8167,0.8167,69516800
1988-04-01,0.811,0.8122,0.6687,0.689,0.689,101203200
1988-05-01,0.69,0.7025,0.6209,0.6775,0.6775,79628800
1988-06-01,0.6798,0.7546,0.6662,0.7172,0.7172,109830400
1988-07-01,0.7206,0.7229,0.6809,0.7229,0.7229,79545600
1988-08-01,0.7348,0.7348,0.6688,0.7109,0.7109,53388800
1988-09-01,0.7063,0.778,0.6984,0.7689,0.7689,53312000
1988-10-01,0.7655,0.7905,0.7439,0.7564,0.7564,49190400
1988-11-01,0.7636,0.7693,0.6894,0.7054,0.7054,68012800
1988-12-01,0.7054,0.7146,0.6735,0.7088,0.7088,59571200
1989-01-01,0.7054,0.7534,0.7031,0.7454,0.7454,65894400
1989-02-01,0.7483,0.7609,0.7311,0.7402,0.7402,47257600
1989-03-01,0.7402,0.8021,0.7345,0.7987,0.7987,67360000
1989-04-01,0.7987,0.8686,0.7907,0.8686,0.8686,44972800
1989-05-01,0.8693,0.9475,0.8417,0.9337,0.9337,44768000
1989-06-01,0.9325,0.9325,0.8601,0.8865,0.8865,96140800
1989-07-01,0.8854,1.0257,0.8842,1.0188,1.0188,61920000
1989-08-01,1.0225,1.1748,1.0121,1.1379,1.1379,80451200
1989-09-01,1.1356,1.1586,1.0709,1.1263,1.1263,33276800
1989-10-01,1.1263,1.2925,1.0432,1.0894,1.0894,55942400
1989-11-01,1.0879,1.2407,1.0879,1.236,1.236,32793600
1989-12-01,1.2314,1.3147,1.1758,1.2152,1.2152,48678400
1990-01-01,1.2175,1.3055,1.111,1.1782,1.1782,59171200
1990-02-01,1.179,1.2161,1.0954,1.1233,1.1233,48489600
1990-03-01,1.1233,1.1952,1.114,1.1465,1.1465,41987200
1990-04-01,1.1372,1.2625,1.1326,1.1836,1.1836,36758400
1990-05-01,1.187,1.429,1.173,1.4011,1.4011,61328000
1990-06-01,1.4011,1.564,1.3987,1.55,1.55,87830400
1990-07-01,1.5547,1.6245,1.4616,1.4988,1.4988,58377600
1990-08-01,1.4932,1.5328,1.3812,1.4815,1.4815,69929600
1990-09-01,1.4745,1.5865,1.3905,1.4068,1.4068,73683200
1990-10-01,1.4138,1.6285,1.4138,1.5678,1.5678,84633600
1990-11-01,1.5672,1.7029,1.5532,1.6397,1.6397,82076800
1990-12-01,1.6561,1.7216,1.5462,1.614,1.614,105408000
1991-01-01,1.6117,1.7754,1.4433,1.7263,1.7263,95171200
1991-02-01,1.7353,2.1152,1.6697,2.0261,2.0261,87411200
1991-03-01,2.0214,2.2512,1.9933,2.2325,2.2325,78064000
1991-04-01,2.2325,2.3427,2.073,2.0871,2.0871,55004800
1991-05-01,2.1001,2.2645,2.0343,2.234,2.234,49324800
1991-06-01,2.234,2.234,2.0977,2.1235,2.1235,41894400
1991-07-01,2.1329,2.4054,2.1329,2.3937,2.3937,53436800
1991-08-01,2.3732,2.5615,2.2884,2.5191,2.5191,44673600
1991-09-01,2.5238,2.7169,2.4344,2.6557,2.6557,46011200
1991-10-01,2.6557,2.9853,2.5568,2.9664,2.9664,52678400
1991-11-01,2.9763,3.1508,2.7074,2.8442,2.8442,51040000
1991-12-01,2.8018,3.5564,2.7923,3.547,3.547,42467200
1992-01-01,3.4998,3.7262,3.0565,3.264,3.264,80009600
1992-02-01,3.3248,3.3625,2.9139,3.1359,3.1359,60798400
1992-03-01,3.1547,3.1736,2.7675,2.8147,2.8147,51577600
1992-04-01,2.7911,2.8714,2.3897,2.4747,2.4747,69206400
1992-05-01,2.5165,3.0085,2.5071,2.9517,2.9517,46608000
1992-06-01,2.9517,3.122,2.772,3.0936,3.0936,41952000
1992-07-01,3.1031,3.2166,2.876,2.9801,2.9801,45436800
1992-08-01,2.99,3.1795,2.7293,3.1747,3.1747,49928000
1992-09-01,3.1937,3.8287,3.1368,3.677,3.677,90028800
1992-10-01,3.696,3.7718,3.4117,3.6675,3.6675,62995200
1992-11-01,3.6919,3.9672,3.6255,3.6682,3.6682,51998400
1992-12-01,3.6587,3.7631,3.4025,3.616,3.616,64619200
1993-01-01,3.5923,3.6255,3.2933,3.4167,3.4167,56419200
1993-02-01,3.4312,3.4883,2.5758,2.9655,2.9655,129779200
1993-03-01,2.9845,3.0463,2.6281,2.8705,2.8705,127675200
1993-04-01,2.88,2.88,1.9627,2.4855,2.4855,200144000
1993-05-01,2.4904,2.7047,2.4237,2.6428,2.6428,75753600
1993-06-01,2.638,2.7047,2.3999,2.5713,2.5713,83753600
1993-07-01,2.5713,2.5713,2.2094,2.3142,2.3142,66169600
1993-08-01,2.3201,2.597,2.196,2.4538,2.4538,119192000
1993-09-01,2.449,2.6352,2.3154,2.5875,2.5875,79862400
1993-10-01,2.597,2.8787,2.5827,2.8309,2.8309,63987200
1993-11-01,2.838,2.9959,2.7231,2.9576,2.9576,74076800
1993-12-01,3.0246,3.2687,2.9863,3.1443,3.1443,78134400
1994-01-01,3.1443,3.2352,3.0342,3.2161,3.2161,66401600
