Date,Open,High,Low,Close,Adj Close,Volume
,MGM,MGM,MGM,MGM,,MGM
1988-05-01,0.0,2.935,2.4654,2.5828,2.5828,27200
1988-06-01,0.0,3.1698,2.5828,2.8763,2.8763,16000
1988-07-01,0.0,3.4046,2.8176,2.8176,2.8176,28800
1988-08-01,2.8176,3.0524,2.5828,2.5828,2.5828,10800
1988-09-01,2.5828,2.8176,2.4067,2.4067,2.4067,8400
1988-10-01,0.0,2.6415,2.1132,2.1132,2.1132,15200
1988-11-01,2.1132,2.6415,2.0545,2.348,2.348,14000
1988-12-01,0.0,2.7589,2.4067,2.4067,2.4067,7200
1989-01-01,2.4067,2.8176,2.1719,2.2306,2.2306,12400
1989-02-01,2.2306,2.8763,2.2306,2.5241,2.5241,18800
1989-03-01,0.0,2.8763,2.2893,2.2893,2.2893,7600
1989-04-01,0.0,2.8176,2.348,2.5828,2.5828,7200
1989-05-01,2.5828,3.9916,2.4654,3.522,3.522,46800
1989-06-01,0.0,4.9307,3.522,3.6394,3.6394,40400
1989-07-01,3.6394,5.2829,3.6394,4.5785,4.5785,36800
1989-08-01,4.5785,5.2829,3.8742,3.9916,3.9916,62000
1989-09-01,3.9916,4.6959,3.7568,3.7568,3.7568,38800
1989-10-01,0.0,5.0481,4.109,4.2264,4.2264,138000
1989-11-01,0.0,4.8133,3.8742,4.3438,4.3438,73200
1989-12-01,0.0,4.8133,3.522,3.6687,3.6687,2550400
1990-01-01,0.0,3.8448,3.4046,3.4339,3.4339,1152000
1990-02-01,3.4633,3.522,2.9643,3.2285,3.2285,1155600
1990-03-01,3.2578,3.522,3.2285,3.2285,3.2285,357200
1990-04-01,3.2285,3.2578,3.023,3.2285,3.2285,615600
1990-05-01,3.2285,3.6394,3.1991,3.4633,3.4633,652000
1990-06-01,3.4633,3.4926,3.3459,3.4046,3.4046,253200
1990-07-01,3.4046,3.6394,3.2872,3.522,3.522,489200
1990-08-01,3.522,3.522,2.6708,2.7295,2.7295,682000
1990-09-01,2.7295,2.7882,2.436,2.436,2.436,286400
1990-10-01,2.4654,2.6415,2.3186,2.6121,2.6121,350400
1990-11-01,2.6121,2.9643,2.4654,2.9056,2.9056,736400
1990-12-01,2.935,2.935,2.2306,2.2893,2.2893,633200
1991-01-01,2.348,2.5828,2.3186,2.436,2.436,472800
1991-02-01,2.4067,2.6708,2.4067,2.6415,2.6415,396800
1991-03-01,2.6415,3.2872,2.6121,3.2285,3.2285,521600
1991-04-01,3.1991,3.61,3.0817,3.3459,3.3459,766800
1991-05-01,3.3459,3.4339,3.1991,3.2285,3.2285,596400
1991-06-01,3.2285,3.4633,2.935,3.0524,3.0524,583600
1991-07-01,3.0817,3.0817,2.7882,2.7882,2.7882,276800
1991-08-01,2.7882,2.935,2.7295,2.8763,2.8763,7944800
1991-09-01,2.935,2.9643,2.7002,2.8176,2.8176,1993600
1991-10-01,2.8176,3.3165,2.7882,2.8763,2.8763,3622800
1991-11-01,2.8763,2.8763,2.5534,2.6415,2.6415,1065600
1991-12-01,2.6121,2.7002,2.348,2.6708,2.6708,1659200
1992-01-01,2.7002,2.935,2.5534,2.7002,2.7002,1594000
1992-02-01,2.6415,3.023,2.6121,2.8176,2.8176,1996400
1992-03-01,2.8176,3.2285,2.7002,2.9056,2.9056,2864000
1992-04-01,2.9056,2.9937,2.6415,2.6708,2.6708,1764000
1992-05-01,2.7002,2.8763,2.5241,2.7882,2.7882,4848800
1992-06-01,2.8176,3.1991,2.7882,3.1111,3.1111,5132000
1992-07-01,3.1404,3.61,3.0524,3.5807,3.5807,5222400
1992-08-01,3.61,4.3144,3.61,3.8448,3.8448,5282400
1992-09-01,3.8742,4.1677,3.8742,3.9916,3.9916,2511600
1992-10-01,3.9916,4.4025,3.7568,4.3144,4.3144,2801600
1992-11-01,4.2557,4.5198,4.197,4.4612,4.4612,2784800
1992-12-01,4.4612,4.8133,4.3731,4.4905,4.4905,5016800
