Date,Open,High,Low,Close,Adj Close,Volume
,MHK,MHK,MHK,MHK,,MHK
1992-04-01,6.6667,7.4444,6.4444,7.1111,7.1111,8203950
1992-05-01,7.1667,7.5556,7.1111,7.1111,7.1111,899100
1992-06-01,7.1111,7.1111,4.8333,5.1111,5.1111,1719675
1992-07-01,5.3333,7.0,5.2222,5.8889,5.8889,895500
1992-08-01,5.7778,6.2222,5.4444,6.2222,6.2222,1114200
1992-09-01,6.3333,6.6667,5.4444,5.4444,5.4444,887175
1992-10-01,5.4444,5.7778,5.1111,5.5556,5.5556,2190375
1992-11-01,5.7778,7.6667,5.3333,7.6667,7.6667,2309850
1992-12-01,7.6667,9.5556,7.2222,9.4444,9.4444,4946625
1993-01-01,9.1111,10.0,8.7778,9.6667,9.6667,5874750
1993-02-01,9.6667,11.5556,9.2222,11.0,11.0,5901525
1993-03-01,11.0,15.7778,10.8889,15.5556,15.5556,6304500
1993-04-01,15.6667,15.6667,13.1111,13.6667,13.6667,6241950
1993-05-01,13.5556,13.7778,12.1111,12.1111,12.1111,2440125
1993-06-01,12.1111,15.8889,12.0,15.8889,15.8889,5235750
1993-07-01,15.6667,17.6667,15.4444,16.4444,16.4444,3225375
1993-08-01,16.5556,20.3333,16.4444,18.4167,18.4167,5058225
1993-09-01,18.5,20.8333,17.8333,20.3333,20.3333,5809350
1993-10-01,20.3333,21.3333,17.3333,18.8333,18.8333,5048100
1993-11-01,19.3333,20.5,17.8333,20.0,20.0,3847800
1993-12-01,20.0,23.1667,19.0,22.8333,22.8333,7792200
1994-01-01,22.6667,24.3333,19.3333,22.3333,22.3333,6118650
1994-02-01,22.6667,23.0,18.0,18.1667,18.1667,5043150
1994-03-01,18.5,20.1667,16.5,18.1667,18.1667,6962850
1994-04-01,17.6667,19.3333,17.3333,18.5,18.5,3814800
1994-05-01,18.0,18.5,14.3333,15.0,15.0,2529450
1994-06-01,15.0,16.1667,11.1667,11.6667,11.6667,4856700
1994-07-01,12.0,13.6667,9.1667,10.0417,10.0417,10777350
1994-08-01,10.1667,13.0833,9.8333,11.8333,11.8333,4972500
1994-09-01,11.8333,12.1667,9.6667,10.1667,10.1667,5055150
1994-10-01,10.1667,10.8333,9.0,10.75,10.75,7325250
1994-11-01,10.6667,12.1667,10.6667,11.3333,11.3333,3256950
1994-12-01,11.5,12.1667,7.1667,8.5,8.5,9856650
1995-01-01,8.5,9.1667,7.6667,8.5,8.5,4151250
1995-02-01,8.3333,9.5,8.3333,9.0,9.0,5746050
1995-03-01,9.1667,9.1667,7.75,7.8333,7.8333,3722550
1995-04-01,8.0,9.5,7.25,9.1667,9.1667,1897650
1995-05-01,9.0,10.8333,8.3333,10.0,10.0,2461500
1995-06-01,10.3333,11.0,9.6667,9.8333,9.8333,2894100
1995-07-01,9.6667,12.1667,9.6667,11.8333,11.8333,2015250
1995-08-01,11.6667,12.5,11.6667,12.0,12.0,2022600
1995-09-01,11.8333,12.8333,11.3333,11.6667,11.6667,2047800
1995-10-01,11.3333,11.6667,9.8333,10.0,10.0,1111500
1995-11-01,9.8333,12.0,9.8333,11.8333,11.8333,1146000
1995-12-01,11.3333,11.6667,9.0,10.4167,10.4167,1948500
1996-01-01,10.4167,11.0,8.3333,9.0833,9.0833,1586850
1996-02-01,9.3333,9.6667,8.6667,9.5833,9.5833,4461600
1996-03-01,9.3333,10.25,9.0833,10.0,10.0,2422500
1996-04-01,9.8333,10.0,8.8333,9.75,9.75,3737400
1996-05-01,9.75,11.5,9.5833,11.1667,11.1667,8887500
1996-06-01,11.1667,12.25,11.0833,11.8333,11.8333,3345900
1996-07-01,12.0,13.3333,10.9167,11.8333,11.8333,10430250
1996-08-01,11.5,16.8333,11.5,15.2917,15.2917,9519600
1996-09-01,15.1667,17.4167,14.1667,17.0833,17.0833,9613350
1996-10-01,17.0833,18.5833,15.5,16.1667,16.1667,6017400
1996-11-01,16.1667,16.5833,15.25,15.875,15.875,3006750
1996-12-01,15.75,17.9167,13.75,14.6667,14.6667,3590850
1997-01-01,14.8333,18.1667,14.5,17.1667,17.1667,8040000
1997-02-01,17.0,18.6667,17.0,17.5833,17.5833,4797900
1997-03-01,17.3333,18.5833,13.75,13.9167,13.9167,5969550
1997-04-01,13.0833,15.5833,12.9167,14.9167,14.9167,7901100
1997-05-01,14.5833,16.1667,13.3333,14.1667,14.1667,5793900
1997-06-01,13.9167,17.3333,13.9167,15.1667,15.1667,5510400
1997-07-01,15.0833,18.1667,14.6667,17.6667,17.6667,5090550
1997-08-01,17.5,18.0833,16.5,17.25,17.25,2660850
1997-09-01,17.3333,18.3333,17.1667,18.25,18.25,1871700
1997-10-01,18.25,21.25,18.25,20.5,20.5,5743500
1997-11-01,20.3542,21.4167,19.75,20.1667,20.1667,2361900
1997-12-01,20.3333,22.0,19.375,21.9375,21.9375,2163100
1998-01-01,21.9375,24.375,20.5,24.125,24.125,1768900
1998-02-01,23.875,28.5,23.5,26.25,26.25,3864700
1998-03-01,26.25,33.5,25.875,31.5,31.5,3967800
1998-04-01,31.5,33.875,29.0,30.875,30.875,2804300
1998-05-01,30.8125,35.5,28.4375,30.375,30.375,3981600
1998-06-01,30.125,33.125,29.5,31.6875,31.6875,2387700
1998-07-01,31.9375,34.5,30.8125,31.125,31.125,2648400
1998-08-01,30.875,34.9375,26.5,26.5625,26.5625,2721300
1998-09-01,26.5625,30.0,22.625,27.375,27.375,3172000
1998-10-01,27.25,31.625,22.6875,30.1875,30.1875,1384500
1998-11-01,30.4375,38.625,29.25,37.3125,37.3125,2708600
1998-12-01,37.25,42.4375,34.3125,42.0625,42.0625,2182300
1999-01-01,41.875,42.0,36.4375,38.5,38.5,1304800
1999-02-01,38.5,38.875,31.0,32.5,32.5,2436300
1999-03-01,32.75,33.3125,25.9375,30.0,30.0,4376400
1999-04-01,30.0,33.5,28.0,32.25,32.25,4942900
1999-05-01,32.25,38.5625,29.125,29.125,29.125,3484600
1999-06-01,29.25,32.4375,28.1875,30.375,30.375,3162600
1999-07-01,30.4375,30.8125,25.125,27.9375,27.9375,3220100
1999-08-01,27.9375,27.9375,21.875,22.625,22.625,5539300
1999-09-01,22.625,23.5,18.375,19.9375,19.9375,4269400
1999-10-01,19.875,23.75,19.6875,22.9375,22.9375,7576300
1999-11-01,23.375,26.125,22.8125,24.9375,24.9375,2493000
1999-12-01,24.9375,26.8125,23.25,26.375,26.375,3146500
2000-01-01,26.0,26.0,21.1875,23.4375,23.4375,3269100
2000-02-01,23.4375,24.0625,20.3125,22.1875,22.1875,3881600
2000-03-01,22.0625,24.25,18.9375,22.375,22.375,4623400
2000-04-01,22.625,24.9375,21.5,24.8125,24.8125,3885700
2000-05-01,24.875,26.25,22.5625,23.8125,23.8125,3969600
2000-06-01,23.75,24.5625,20.5,21.7344,21.7344,4201900
2000-07-01,22.0,26.6875,22.0,26.6875,26.6875,3205700
2000-08-01,26.6875,27.8125,23.75,23.75,23.75,2851000
2000-09-01,23.875,27.5625,21.125,21.8125,21.8125,8031200
2000-10-01,21.875,22.375,19.0625,21.8125,21.8125,7156800
2000-11-01,22.1875,23.875,19.875,23.6875,23.6875,2780900
2000-12-01,24.125,29.125,23.6875,27.375,27.375,4677700
2001-01-01,27.4375,31.99,26.6875,31.5,31.5,5646600
2001-02-01,31.65,32.6,26.85,29.95,29.95,6189600
2001-03-01,29.95,31.2,25.5,28.08,28.08,5056300
2001-04-01,28.58,33.75,27.91,32.66,32.66,4411800
2001-05-01,32.66,33.4,29.65,32.03,32.03,6546200
2001-06-01,32.04,35.85,31.68,35.2,35.2,4997300
2001-07-01,35.21,45.45,33.72,44.0,44.0,8365000
2001-08-01,44.0,44.8,40.75,44.6,44.6,5258100
2001-09-01,44.61,47.13,29.85,36.75,36.75,6842200
2001-10-01,36.65,46.25,35.9,43.2,43.2,8055700
2001-11-01,43.21,52.75,42.65,45.86,45.86,11288800
2001-12-01,45.78,55.55,44.95,54.88,54.88,10362900
2002-01-01,55.39,56.5,50.5,54.96,54.96,7544900
2002-02-01,55.36,64.25,53.8,62.93,62.93,11141900
2002-03-01,62.95,68.1,57.4,60.09,60.09,15741300
2002-04-01,59.9,66.95,57.25,64.33,64.33,15797900
2002-05-01,64.3,70.6,63.48,65.52,65.52,11915500
2002-06-01,65.53,68.2,60.21,61.53,61.53,10432300
2002-07-01,61.65,62.24,40.25,47.5,47.5,34243400
2002-08-01,47.5,50.5,41.9,49.5,49.5,10278800
2002-09-01,49.0,54.41,45.4,49.65,49.65,11949500
2002-10-01,49.65,55.85,43.75,53.55,53.55,11451500
2002-11-01,53.3,61.99,52.15,61.61,61.61,8034300
2002-12-01,61.98,63.4,55.6,56.95,56.95,10387700
2003-01-01,56.85,59.38,50.81,52.68,52.68,9310200
2003-02-01,52.75,53.93,46.64,49.38,49.38,11359000
2003-03-01,49.38,50.11,41.0,47.94,47.94,17695900
2003-04-01,48.05,56.4,47.95,55.47,55.47,8732800
2003-05-01,55.3,58.84,53.14,57.71,57.71,9292000
2003-06-01,57.9,63.04,54.88,55.53,55.53,14770700
2003-07-01,55.53,68.99,55.25,67.41,67.41,13818500
2003-08-01,67.43,73.15,65.11,72.96,72.96,6298000
2003-09-01,72.96,75.75,69.22,71.32,71.32,8974400
