Date,Open,High,Low,Close,Adj Close,Volume
,MKTX,MKTX,MKTX,MKTX,,MKTX
2004-11-01,10.8144,20.7043,10.8144,16.6245,16.6245,16814500
2004-12-01,16.8705,19.3981,13.2911,14.4277,14.4277,4426600
2005-01-01,14.2071,14.5464,11.5438,11.8577,11.8577,1320000
2005-02-01,11.7559,12.0867,9.1859,10.0256,10.0256,3306800
2005-03-01,10.3055,10.3055,7.7864,9.4743,9.4743,1919700
2005-04-01,10.2546,12.1715,9.9662,10.3988,10.3988,3991100
2005-05-01,10.4497,10.7635,8.0493,8.4819,8.4819,6066400
2005-06-01,8.3801,9.9832,8.0493,9.5845,9.5845,6785300
2005-07-01,9.61,10.1443,8.6515,9.2877,9.2877,3332900
2005-08-01,9.3131,9.7457,8.3207,9.4912,9.4912,2414600
2005-09-01,9.4912,12.3411,9.2283,11.5353,11.5353,2826900
2005-10-01,11.4929,11.4929,9.2452,10.4666,10.4666,2299100
2005-11-01,10.4157,10.8144,9.2028,10.3564,10.3564,2312200
2005-12-01,10.5175,10.5175,8.9145,9.6948,9.6948,3279000
2006-01-01,9.6948,11.3403,8.872,10.9416,10.9416,2653700
2006-02-01,11.0264,11.4505,10.1274,11.1537,11.1537,2918700
2006-03-01,11.1537,11.6795,9.8814,10.2037,10.2037,4822900
2006-04-01,10.1952,10.6702,8.7024,9.4658,9.4658,3670500
2006-05-01,9.5421,9.6184,8.3886,9.2877,9.2877,3243200
2006-06-01,9.2537,9.6863,8.5073,9.3385,9.3385,4470900
2006-07-01,9.3046,9.5421,7.9306,8.6176,8.6176,3080300
2006-08-01,8.5243,8.66,7.4386,7.9899,7.9899,2163400
2006-09-01,8.0154,9.0332,7.973,8.8805,8.8805,2122100
2006-10-01,8.8466,9.7796,8.4904,9.5421,9.5421,2790900
2006-11-01,9.7711,12.7991,9.5251,12.2139,12.2139,7613500
2006-12-01,12.18,12.5532,11.4166,11.5099,11.5099,3335700
2007-01-01,11.5523,11.5862,10.7041,10.7465,10.7465,3304700
2007-02-01,10.7974,12.6719,10.3903,11.8916,11.8916,6034800
2007-03-01,11.6541,14.5125,11.5353,14.1987,14.1987,7723600
2007-04-01,14.2326,14.9027,13.554,13.8933,13.8933,3906200
2007-05-01,13.9866,15.1232,13.2402,14.9875,14.9875,3613800
2007-06-01,15.0468,15.7339,13.6897,15.2589,15.2589,4774800
2007-07-01,15.4455,16.8535,13.9866,14.0884,14.0884,3762000
2007-08-01,13.9951,15.5982,12.7313,14.7839,14.7839,4681600
2007-09-01,14.6906,14.9111,11.4421,12.7228,12.7228,5213900
2007-10-01,12.6634,14.521,12.1291,13.2911,13.2911,4694800
2007-11-01,13.0282,13.6558,11.917,12.18,12.18,2936300
2007-12-01,12.163,12.3072,9.9238,10.8822,10.8822,4692800
2008-01-01,10.8314,11.001,7.8457,8.0154,8.0154,5326300
2008-02-01,8.0663,9.1265,7.6337,7.9475,7.9475,3843800
2008-03-01,8.0154,9.9577,7.4895,8.431,8.431,2946800
2008-04-01,8.5921,9.1095,6.6668,7.4556,7.4556,2142200
2008-05-01,7.4895,8.0917,6.2936,6.6328,6.6328,2221700
2008-06-01,6.5989,7.04,6.2766,6.4123,6.4123,5029300
2008-07-01,6.336,8.6346,5.2164,8.2105,8.2105,4604800
2008-08-01,8.2444,8.8381,7.744,8.5243,8.5243,2698000
2008-09-01,8.7109,9.1689,3.9271,6.8449,6.8449,3255200
2008-10-01,6.6837,7.4216,3.3588,4.8516,4.8516,3765200
2008-11-01,4.7923,5.8355,3.6642,5.4284,5.4284,2264200
2008-12-01,5.1909,7.0145,4.2579,6.9212,6.9212,2137200
2009-01-01,6.9721,7.6846,5.9882,6.548,6.548,1115900
2009-02-01,6.4208,7.481,6.3784,6.6922,6.6922,1336200
2009-03-01,6.4971,7.252,4.9873,6.4802,6.4802,1741800
2009-04-01,6.2851,8.7872,6.09,8.1341,8.1341,2212300
2009-05-01,8.1256,9.3216,7.8373,8.9484,8.9484,2160400
2009-06-01,8.9908,9.4234,7.4301,8.0832,8.0832,3547700
2009-07-01,8.202,9.5421,7.481,8.872,8.872,2358400
2009-08-01,9.0162,10.0001,8.1002,9.4064,9.4064,1996600
2009-09-01,9.2707,10.5175,8.643,10.2037,10.2037,1228500
2009-10-01,10.1104,11.1282,9.3979,10.0765,10.0765,1363500
2009-11-01,10.1358,11.1706,9.7287,10.5599,10.5599,1395900
2009-12-01,10.7832,12.2164,10.6125,11.8581,11.8581,2910500
2010-01-01,12.0543,12.7794,11.1329,11.6277,11.6277,1909100
2010-02-01,11.6363,13.4875,11.1671,12.7453,12.7453,2282400
2010-03-01,12.7899,14.23,12.4299,13.4842,13.4842,2317600
2010-04-01,13.5528,14.9501,13.1842,13.5185,13.5185,2392600
2010-05-01,13.6471,14.7358,11.6926,12.6527,12.6527,3313400
2010-06-01,12.5306,12.8321,11.3336,11.8761,11.8761,2985300
2010-07-01,11.4283,12.944,10.5671,12.2464,12.2464,3817500
2010-08-01,12.4618,13.2541,12.3067,13.1679,13.1679,2745300
2010-09-01,13.2809,15.3055,13.03,14.6912,14.6912,2549900
2010-10-01,14.8729,16.1275,14.3884,15.7208,15.7208,3361800
2010-11-01,15.6516,16.8889,14.449,15.7381,15.7381,2748100
2010-12-01,16.0836,18.5326,15.8317,18.0723,18.0723,2728700
2011-01-01,18.2807,19.0015,16.9694,17.4818,17.4818,2019100
2011-02-01,17.5686,19.1058,17.4644,18.576,18.576,2671300
2011-03-01,18.7151,21.279,18.1046,21.0959,21.0959,2825200
2011-04-01,21.3226,22.2558,20.6686,21.2354,21.2354,2526200
2011-05-01,20.7907,20.9302,18.0,20.8953,20.8953,3796800
2011-06-01,20.9807,22.1804,18.8529,21.9439,21.9439,3708100
2011-07-01,21.979,22.986,21.5412,22.8809,22.8809,2110300
2011-08-01,22.9772,27.1016,19.9212,25.8144,25.8144,8664700
2011-09-01,25.9404,27.1271,21.7649,22.8725,22.8725,5569100
2011-10-01,22.8549,26.8106,21.2639,25.6942,25.6942,4216000
2011-11-01,25.0613,27.6457,22.9956,25.4393,25.4393,3976100
2011-12-01,25.3866,27.8557,23.7201,26.5506,26.5506,4570700
2012-01-01,27.3354,28.42,25.5189,27.3883,27.3883,2688900
2012-02-01,27.7763,31.2329,26.6211,29.2048,29.2048,7105900
2012-03-01,29.3814,33.5749,28.9567,32.991,32.991,6037300
2012-04-01,32.9998,33.3803,28.9301,30.3545,30.3545,5337800
2012-05-01,30.4076,31.0092,27.3731,28.5674,28.5674,7056200
2012-06-01,28.2197,28.2463,23.2042,23.6481,23.6481,7290400
2012-07-01,23.8167,28.0599,23.6481,26.826,26.826,5057300
2012-08-01,26.8526,29.7998,26.0804,28.9121,28.9121,4342200
