Date,Open,High,Low,Close,Adj Close,Volume
,MNST,MNST,MNST,MNST,,MNST
1985-12-01,0.0,0.1065,0.0666,0.0666,0.0666,16362816
1986-01-01,0.0,0.1199,0.0666,0.0932,0.0932,24339456
1986-02-01,0.0,0.1332,0.0799,0.1065,0.1065,23659584
1986-03-01,0.0,0.1598,0.0932,0.1332,0.1332,24619776
1986-04-01,0.0,0.1598,0.1332,0.1332,0.1332,22178112
1986-05-01,0.0,0.1598,0.1332,0.1332,0.1332,12488256
1986-06-01,0.0,0.1598,0.1332,0.1332,0.1332,9918528
1986-07-01,0.0,0.1598,0.1332,0.1332,0.1332,13348224
1986-08-01,0.0,0.1598,0.0932,0.0932,0.0932,28030848
1986-09-01,0.0,0.1332,0.0932,0.0932,0.0932,12271296
1986-10-01,0.0,0.1332,0.0533,0.0666,0.0666,18432192
1986-11-01,0.0,0.1065,0.0666,0.0666,0.0666,12050112
1986-12-01,0.0,0.0932,0.04,0.04,0.04,13380096
1987-01-01,0.0,0.0799,0.04,0.0533,0.0533,8040768
1987-02-01,0.0,0.1065,0.0533,0.0666,0.0666,9952128
1987-03-01,0.0,0.1065,0.0666,0.0666,0.0666,10500096
1987-04-01,0.0,0.1065,0.0666,0.0666,0.0666,9929472
1987-05-01,0.0,0.0932,0.0666,0.0666,0.0666,9273408
1987-06-01,0.0,0.0932,0.0533,0.0533,0.0533,7599360
1987-07-01,0.0,0.0799,0.0533,0.0533,0.0533,8533248
1987-08-01,0.0,0.0932,0.0533,0.0533,0.0533,7847232
1987-09-01,0.0,0.0799,0.0266,0.04,0.04,5138496
1987-10-01,0.0,0.0533,0.0133,0.0133,0.0133,5447808
1987-11-01,0.0,0.04,0.0133,0.0133,0.0133,6117696
1987-12-01,0.0,0.04,0.0133,0.0133,0.0133,8624064
1988-01-01,0.0,0.0533,0.0133,0.0266,0.0266,16727040
1988-02-01,0.0,0.0533,0.0256,0.0256,0.0256,13777920
1988-03-01,0.0,0.0533,0.0277,0.0384,0.0384,15600000
1988-04-01,0.0,0.0543,0.032,0.0458,0.0458,15244800
1988-05-01,0.0,0.0533,0.0405,0.0405,0.0405,11318400
1988-06-01,0.0,0.0511,0.0394,0.0405,0.0405,10435200
1988-07-01,0.0,0.0511,0.0405,0.0426,0.0426,14304000
1988-08-01,0.0,0.0511,0.0415,0.0415,0.0415,9580800
1988-09-01,0.0,0.049,0.0373,0.0373,0.0373,5702400
1988-10-01,0.0,0.0661,0.0352,0.0597,0.0597,30873600
1988-11-01,0.0,0.0692,0.0543,0.0565,0.0565,32092800
1988-12-01,0.0,0.0586,0.0373,0.0394,0.0394,23020800
1989-01-01,0.0,0.0426,0.0341,0.0352,0.0352,11884800
1989-02-01,0.0,0.0479,0.0352,0.0405,0.0405,21676800
1989-03-01,0.0,0.0469,0.0373,0.0373,0.0373,10435200
1989-04-01,0.0,0.0426,0.0309,0.0309,0.0309,10646400
1989-05-01,0.0,0.0341,0.0256,0.0266,0.0266,11184000
1989-06-01,0.0,0.0341,0.0266,0.0266,0.0266,7958400
1989-07-01,0.0,0.033,0.0245,0.0245,0.0245,4041600
1989-08-01,0.0,0.0298,0.0202,0.0202,0.0202,5539200
1989-09-01,0.0,0.0298,0.0181,0.0234,0.0234,14179200
1989-10-01,0.0,0.0288,0.0192,0.0192,0.0192,6403200
1989-11-01,0.0,0.0234,0.016,0.016,0.016,5241600
1989-12-01,0.0,0.0213,0.016,0.016,0.016,3360000
1990-01-01,0.016,0.0213,0.016,0.016,0.016,6950400
1990-02-01,0.0,0.0277,0.016,0.0192,0.0192,14611200
1990-03-01,0.0,0.0469,0.0192,0.0362,0.0362,30566400
1990-04-01,0.0,0.0426,0.0341,0.0341,0.0341,9590400
1990-05-01,0.0,0.0394,0.0341,0.0341,0.0341,2956800
1990-06-01,0.0,0.0511,0.033,0.033,0.033,23491200
1990-07-01,0.0,0.0362,0.032,0.032,0.032,2764800
1990-08-01,0.0,0.0341,0.0256,0.0277,0.0277,11260800
1990-09-01,0.0277,0.033,0.0234,0.0234,0.0234,2054400
1990-10-01,0.0,0.0298,0.0149,0.0149,0.0149,5059200
1990-11-01,0.0,0.0373,0.0192,0.0202,0.0202,30787200
1990-12-01,0.0,0.0286,0.0195,0.0195,0.0195,7248000
1991-01-01,0.0,0.0234,0.0156,0.0182,0.0182,8889600
1991-02-01,0.0182,0.0208,0.0143,0.0156,0.0156,3436800
1991-03-01,0.0,0.026,0.0169,0.0195,0.0195,8428800
1991-04-01,0.0,0.0208,0.0143,0.0143,0.0143,3206400
1991-05-01,0.0,0.0182,0.0143,0.0156,0.0156,1900800
1991-06-01,0.0,0.0208,0.0156,0.0182,0.0182,3379200
1991-07-01,0.0,0.0208,0.0182,0.0182,0.0182,460800
1991-08-01,0.0182,0.0208,0.0182,0.0195,0.0195,2419200
1991-09-01,0.0195,0.0208,0.0195,0.0195,0.0195,1363200
1991-10-01,0.0,0.0208,0.0169,0.0169,0.0169,2534400
1991-11-01,0.0,0.0286,0.0169,0.0234,0.0234,6902400
1991-12-01,0.0234,0.0286,0.0234,0.0234,0.0234,2553600
1992-01-01,0.0,0.0273,0.0208,0.0208,0.0208,1276800
1992-02-01,0.0,0.0352,0.0156,0.0273,0.0273,3561600
1992-03-01,0.0,0.0352,0.0273,0.0286,0.0286,2755200
1992-04-01,0.0,0.0339,0.0208,0.0208,0.0208,3964800
1992-05-01,0.0,0.0286,0.0169,0.0169,0.0169,2976000
1992-06-01,0.0169,0.0234,0.013,0.0156,0.0156,18988800
1992-07-01,0.0156,0.0312,0.0143,0.0299,0.0299,19411200
1992-08-01,0.0299,0.0339,0.0247,0.026,0.026,10867200
1992-09-01,0.0299,0.0312,0.0234,0.0312,0.0312,9724800
1992-10-01,0.0312,0.0312,0.0247,0.0299,0.0299,13027200
1992-11-01,0.0273,0.056,0.0273,0.0495,0.0495,24988800
1992-12-01,0.0534,0.0534,0.0443,0.0462,0.0462,8534400
1993-01-01,0.0469,0.0482,0.0365,0.0443,0.0443,10704000
