Date,Open,High,Low,Close,Adj Close,Volume
,MOH,MOH,MOH,MOH,,MOH
2003-07-01,14.0,16.8667,13.3333,15.8,15.8,14194200
2003-08-01,15.7333,16.1333,14.0333,15.8333,15.8333,4004100
2003-09-01,15.8333,18.5,14.6333,18.5,18.5,2599200
2003-10-01,18.4333,19.3333,17.4333,18.6,18.6,2627550
2003-11-01,18.6667,18.6933,14.5,15.4,15.4,3457800
2003-12-01,15.3667,16.9867,15.2333,16.82,16.82,1626000
2004-01-01,16.82,17.8133,15.5,17.1667,17.1667,3466650
2004-02-01,17.1667,21.8,15.94,21.1333,21.1333,3094800
2004-03-01,21.1333,22.3,18.6667,19.5467,19.5467,4528350
2004-04-01,19.5467,24.0067,19.4733,23.7733,23.7733,1928100
2004-05-01,23.8,26.2667,21.5667,25.6,25.6,3358350
2004-06-01,25.6667,26.4933,23.7333,25.4533,25.4533,3478050
2004-07-01,25.4533,25.4533,21.6,22.12,22.12,1726200
2004-08-01,22.12,22.3867,19.86,22.1333,22.1333,2264400
2004-09-01,22.1333,24.3867,21.5333,23.6667,23.6667,1968000
2004-10-01,23.7333,25.44,23.2667,24.5467,24.5467,1594650
2004-11-01,24.5,29.3867,24.4333,28.9667,28.9667,2596650
2004-12-01,29.0,32.9667,28.8,30.92,30.92,2227350
2005-01-01,31.0667,35.4867,30.6667,33.1533,33.1533,3539250
2005-02-01,33.1667,33.6267,28.1,29.92,29.92,4157400
2005-03-01,29.82,33.2,29.6467,30.7267,30.7267,4705500
2005-04-01,30.7933,31.5,27.2533,29.1667,29.1667,4013400
2005-05-01,29.1333,30.1533,24.8,28.5333,28.5333,6812100
2005-06-01,28.52,30.2733,27.6667,29.5067,29.5067,2498850
2005-07-01,29.6,32.2667,13.3333,15.96,15.96,20179200
2005-08-01,15.6667,18.9667,15.64,18.1533,18.1533,9907050
2005-09-01,18.1533,19.7933,15.8,16.66,16.66,6944100
2005-10-01,16.66,17.06,13.6933,13.7,13.7,7631100
2005-11-01,13.6733,18.6467,13.48,17.8,17.8,6963900
2005-12-01,17.8,18.8733,17.6533,17.76,17.76,2835000
2006-01-01,17.76,18.3333,15.5333,17.64,17.64,5307450
2006-02-01,19.8333,20.92,18.48,18.94,18.94,6175200
2006-03-01,19.0333,23.0667,18.8067,22.3133,22.3133,6801750
2006-04-01,22.18,23.24,20.1133,21.8,21.8,7153950
2006-05-01,22.0667,25.9,21.68,25.2133,25.2133,9240750
2006-06-01,25.2133,26.52,23.1733,25.3667,25.3667,7658700
2006-07-01,25.38,26.26,20.7333,22.0933,22.0933,7324050
2006-08-01,22.2267,25.18,22.2067,24.6933,24.6933,7869150
2006-09-01,24.76,25.4733,22.4267,23.5733,23.5733,6165000
2006-10-01,23.5,27.5,22.9133,26.1533,26.1533,7975950
2006-11-01,26.32,26.5133,21.8867,22.66,22.66,11722500
2006-12-01,22.6667,23.0667,21.3467,21.6733,21.6733,5245800
2007-01-01,21.8067,23.1733,19.2533,20.5533,20.5533,8116350
2007-02-01,20.6,21.2133,19.76,20.7733,20.7733,6793950
2007-03-01,20.6067,21.3467,19.54,20.3933,20.3933,6815700
2007-04-01,20.3667,23.28,19.88,20.1467,20.1467,8067450
2007-05-01,20.1067,22.84,19.1467,21.3133,21.3133,7306050
2007-06-01,21.3333,21.8,20.0267,20.3467,20.3467,5462400
2007-07-01,20.3667,21.5,20.34,20.9267,20.9267,5767800
2007-08-01,20.8867,23.3333,18.7667,22.7,22.7,13340250
2007-09-01,22.7333,25.6067,22.7333,24.18,24.18,5533350
2007-10-01,24.3133,25.7467,22.6733,25.4067,25.4067,18342300
2007-11-01,25.2733,27.4733,24.8067,24.9933,24.9933,10108050
2007-12-01,24.9933,27.3667,24.7267,25.8,25.8,6114000
2008-01-01,25.6667,29.96,22.1667,22.74,22.74,10188150
2008-02-01,22.78,24.3933,20.98,21.1,21.1,9305850
2008-03-01,21.18,21.4867,15.64,16.28,16.28,17519700
2008-04-01,17.36,17.54,15.12,16.5533,16.5533,14619450
2008-05-01,16.6,20.1067,15.6,20.1067,20.1067,9553650
2008-06-01,20.02,20.3333,16.2067,16.2267,16.2267,9999000
2008-07-01,16.1267,20.6667,16.0533,19.8933,19.8933,9244650
2008-08-01,19.8133,21.9467,19.7933,20.98,20.98,6301050
2008-09-01,21.1533,23.7667,18.8333,20.6667,20.6667,6334350
2008-10-01,21.4,21.6333,12.2533,14.8467,14.8467,9397950
2008-11-01,14.5067,16.26,13.2867,15.7933,15.7933,5898150
2008-12-01,15.56,15.56,10.7467,11.74,11.74,9951900
2009-01-01,11.7733,13.02,10.8133,11.6933,11.6933,11349750
2009-02-01,11.6533,15.16,11.4933,12.4867,12.4867,9683250
2009-03-01,12.1733,14.3867,11.14,12.68,12.68,9476250
2009-04-01,12.4733,15.1267,12.0733,14.4333,14.4333,8444400
2009-05-01,14.24,16.56,14.1267,15.96,15.96,6757800
2009-06-01,16.18,17.1667,14.64,15.9467,15.9467,7405050
2009-07-01,16.0533,16.7,14.3133,15.0333,15.0333,6798600
2009-08-01,15.22,15.4533,12.9067,13.5,13.5,8658450
2009-09-01,13.1867,14.3733,13.18,13.7933,13.7933,4368450
2009-10-01,13.6933,13.98,11.3667,12.48,12.48,6882450
2009-11-01,12.4333,14.9733,12.3333,13.9333,13.9333,5173800
2009-12-01,14.1867,15.66,13.5133,15.2467,15.2467,4729500
2010-01-01,15.4733,16.9533,14.6733,14.8333,14.8333,6522750
2010-02-01,14.9733,15.3467,13.3467,14.2533,14.2533,4507950
2010-03-01,14.2667,17.5933,14.2467,16.78,16.78,4424250
2010-04-01,16.8667,19.84,16.6667,19.4467,19.4467,5936550
2010-05-01,19.5733,20.0733,17.2267,18.3467,18.3467,5468250
2010-06-01,18.2733,20.8,17.0333,19.2,19.2,8122500
2010-07-01,19.2867,20.5533,17.9467,19.8733,19.8733,8529150
2010-08-01,20.0,21.2,16.8533,16.9067,16.9067,19173300
2010-09-01,17.26,18.8,16.9133,17.9933,17.9933,9122850
2010-10-01,18.1133,18.8533,17.2,17.28,17.28,6006750
2010-11-01,17.3267,17.5533,16.5533,16.9267,16.9267,5215650
2010-12-01,17.2133,18.8467,16.4333,18.5667,18.5667,5523450
2011-01-01,18.7067,21.3333,17.7733,20.44,20.44,8101050
2011-02-01,20.54,23.8933,20.0667,23.3533,23.3533,8196000
2011-03-01,23.5,26.86,23.14,26.6667,26.6667,10419450
2011-04-01,26.9267,28.9533,26.0067,28.6667,28.6667,10774200
2011-05-01,28.7333,29.0267,25.66,27.18,27.18,11081300
2011-06-01,27.08,27.3,24.72,27.12,27.12,9838300
2011-07-01,27.22,28.21,21.57,22.65,22.65,9923200
2011-08-01,23.07,23.92,15.98,19.23,19.23,15663400
2011-09-01,19.28,19.68,14.82,15.44,15.44,11625700
2011-10-01,15.28,21.66,13.93,21.18,21.18,9705300
2011-11-01,20.38,22.05,19.21,21.85,21.85,6385700
2011-12-01,21.7,26.31,20.15,22.33,22.33,5995200
2012-01-01,22.8,31.05,22.25,30.61,30.61,12507200
2012-02-01,31.01,36.83,30.98,33.96,33.96,19872300
2012-03-01,33.96,34.26,31.72,33.63,33.63,16155900
2012-04-01,33.63,35.37,23.93,25.65,25.65,25801900
2012-05-01,25.57,27.67,23.82,25.51,25.51,16857600
2012-06-01,24.88,25.93,17.63,23.46,23.46,31616200
2012-07-01,23.3,27.73,21.95,24.41,24.41,19228500
2012-08-01,24.43,26.26,22.6,24.24,24.24,12226900
2012-09-01,24.36,25.17,21.62,25.15,25.15,10663200
2012-10-01,25.26,26.95,21.74,25.07,25.07,8852500
2012-11-01,25.06,28.65,24.67,27.84,27.84,8630300
2012-12-01,27.97,29.82,26.26,27.06,27.06,8524600
2013-01-01,27.57,29.36,25.7,28.71,28.71,6421700
2013-02-01,28.88,33.85,28.21,31.91,31.91,21877100
2013-03-01,31.75,33.6,30.77,30.87,30.87,14230800
2013-04-01,30.82,34.28,30.26,33.2,33.2,18198300
2013-05-01,33.2,38.74,32.93,37.8,37.8,14232200
2013-06-01,37.78,38.43,35.37,37.18,37.18,10097000
2013-07-01,37.34,40.9,37.09,37.12,37.12,11470600
2013-08-01,37.2,37.65,33.31,33.39,33.39,11291800
2013-09-01,33.79,39.55,33.45,35.6,35.6,13385300
2013-10-01,35.66,37.39,31.57,31.64,31.64,14145700
2013-11-01,31.58,33.99,31.1,33.6,33.6,11499900
2013-12-01,33.63,34.89,31.6,34.75,34.75,9289500
2014-01-01,35.0,39.21,34.89,36.0,36.0,13015400
2014-02-01,35.98,38.12,32.41,37.68,37.68,13673800
2014-03-01,37.42,38.87,35.53,37.56,37.56,9743200
2014-04-01,37.67,38.34,32.86,37.4,37.4,11911900
2014-05-01,37.51,43.91,37.26,43.09,43.09,16727100
2014-06-01,43.11,46.17,42.65,44.63,44.63,12597800
2014-07-01,44.29,47.22,39.23,40.85,40.85,13024500
2014-08-01,40.64,48.03,39.65,47.84,47.84,17144400
2014-09-01,47.84,47.89,42.29,42.3,42.3,15561600
2014-10-01,42.0,49.0,40.79,48.64,48.64,18498800
2014-11-01,48.93,51.8,47.8,51.12,51.12,11614100
2014-12-01,50.8,54.57,49.5,53.53,53.53,8747100
2015-01-01,53.9,54.3,49.37,50.91,50.91,11721900
2015-02-01,50.92,64.33,49.43,63.69,63.69,18662200
2015-03-01,63.68,67.58,60.0,67.29,67.29,13196900
2015-04-01,67.27,67.99,58.8,59.23,59.23,11690800
2015-05-01,59.24,73.98,57.35,72.74,72.74,18650300
2015-06-01,72.84,73.05,65.74,70.3,70.3,31309400
2015-07-01,70.94,76.97,66.9,75.43,75.43,19939800
2015-08-01,75.71,82.37,69.9,74.59,74.59,19670800
2015-09-01,73.66,81.95,65.72,68.85,68.85,20227500
2015-10-01,68.63,70.82,60.83,62.0,62.0,28521800
2015-11-01,62.6,66.67,55.49,60.26,60.26,19601900
2015-12-01,60.39,63.09,56.67,60.13,60.13,15269300
2016-01-01,59.16,61.37,51.78,54.91,54.91,16984800
2016-02-01,54.94,63.77,48.0,62.04,62.04,21434400
2016-03-01,62.46,66.45,61.83,64.49,64.49,15480300
2016-04-01,64.15,67.87,50.91,51.76,51.76,23132000
2016-05-01,51.81,51.9,44.5,48.43,48.43,35581000
2016-06-01,48.44,52.75,48.3,49.9,49.9,19313800
2016-07-01,49.85,59.66,47.81,56.81,56.81,23160500
2016-08-01,56.72,59.5,53.05,53.81,53.81,15986000
2016-09-01,53.67,59.15,52.78,58.32,58.32,14683900
2016-10-01,57.91,60.66,53.59,54.41,54.41,14486500
2016-11-01,54.52,59.06,46.97,52.86,52.86,28182800
2016-12-01,52.58,55.65,52.2,54.26,54.26,16691900
2017-01-01,54.25,60.0,53.23,56.72,56.72,18385200
2017-02-01,57.06,60.3,47.67,48.51,48.51,35149400
2017-03-01,49.03,50.5,42.56,45.6,45.6,28157300
2017-04-01,45.5,50.16,45.43,49.79,49.79,16645000
2017-05-01,49.7,68.67,49.66,64.57,64.57,53167300
2017-06-01,64.64,72.15,64.64,69.18,69.18,19225400
2017-07-01,69.24,72.79,66.69,66.8,66.8,15190300
2017-08-01,67.25,67.86,56.68,64.0,64.0,31812500
2017-09-01,63.83,68.81,61.18,68.76,68.76,18180200
2017-10-01,69.0,69.1,58.66,67.83,67.83,26609700
2017-11-01,67.83,80.65,67.56,78.24,78.24,28566500
2017-12-01,78.4,80.74,73.12,76.68,76.68,22719300
2018-01-01,76.68,93.98,76.28,91.36,91.36,27372200
2018-02-01,91.46,92.68,71.09,72.3,72.3,27646000
2018-03-01,72.17,81.91,71.07,81.18,81.18,23389900
2018-04-01,81.7,91.15,78.02,83.25,83.25,23740300
2018-05-01,83.63,88.81,80.77,84.93,84.93,22306500
2018-06-01,85.91,103.27,83.31,97.94,97.94,24536600
2018-07-01,97.71,107.73,97.0,104.09,104.09,15560300
2018-08-01,120.84,141.12,118.22,138.0,138.0,25629400
2018-09-01,138.11,154.06,134.51,148.7,148.7,24210600
2018-10-01,149.64,151.96,122.28,126.77,126.77,18171900
2018-11-01,137.11,141.47,114.44,139.71,139.71,21132100
2018-12-01,141.23,144.25,105.85,116.22,116.22,18642500
2019-01-01,114.99,139.18,105.28,132.98,132.98,17558800
2019-02-01,132.72,147.76,124.5,134.63,134.63,17209300
2019-03-01,135.85,149.66,128.21,141.96,141.96,20201300
2019-04-01,143.32,147.94,112.16,129.63,129.63,21220200
2019-05-01,129.69,143.18,123.14,142.26,142.26,14363600
2019-06-01,145.01,159.0,135.76,143.14,143.14,13236400
2019-07-01,144.23,145.79,130.57,132.78,132.78,10459000
2019-08-01,132.29,139.66,121.73,130.28,130.28,10696100
2019-09-01,128.85,129.32,106.5,109.72,109.72,13344100
2019-10-01,110.19,127.02,107.08,117.64,117.64,14592800
2019-11-01,118.95,139.96,117.02,135.5,135.5,11094000
2019-12-01,136.05,138.84,127.43,135.69,135.69,10286000
2020-01-01,136.0,146.28,122.83,122.97,122.97,13588200
2020-02-01,123.65,154.89,119.21,122.55,122.55,12395900
2020-03-01,123.48,146.37,102.85,139.71,139.71,22562900
2020-04-01,134.15,175.0,127.56,163.97,163.97,14751500
2020-05-01,169.99,196.52,165.8,185.82,185.82,15823500
2020-06-01,185.84,188.53,161.64,177.98,177.98,14571100
2020-07-01,179.81,190.38,176.06,184.7,184.7,7833500
2020-08-01,187.01,198.38,178.2,184.97,184.97,6286900
2020-09-01,187.43,194.09,151.4,183.04,183.04,10155800
2020-10-01,182.53,215.62,181.22,186.47,186.47,7494300
2020-11-01,189.31,224.0,189.31,204.13,204.13,6539100
2020-12-01,207.05,216.36,196.08,212.68,212.68,5686500
2021-01-01,214.98,246.72,210.98,213.61,213.61,6349100
2021-02-01,214.81,227.88,199.81,216.76,216.76,7900100
