Date,Open,High,Low,Close,Adj Close,Volume
,MO,MO,MO,MO,,MO
1985-01-01,0.0969,0.1014,0.0949,0.0993,0.0993,162784800
1985-02-01,0.0993,0.1096,0.0985,0.1089,0.1089,120698400
1985-03-01,0.1092,0.1138,0.1075,0.1122,0.1122,158056800
1985-04-01,0.1137,0.1155,0.1032,0.1043,0.1043,137328000
1985-05-01,0.1026,0.1064,0.099,0.1043,0.1043,316910400
1985-06-01,0.1051,0.1079,0.102,0.1037,0.1037,176887200
1985-07-01,0.1052,0.1087,0.1006,0.1024,0.1024,227589600
1985-08-01,0.103,0.105,0.0987,0.1004,0.1004,146133600
1985-09-01,0.0998,0.1006,0.0898,0.0921,0.0921,172612800
1985-10-01,0.0933,0.0969,0.0896,0.0913,0.0913,183996000
1985-11-01,0.0913,0.0989,0.0899,0.0989,0.0989,244526400
1985-12-01,0.0995,0.1129,0.0976,0.1099,0.1099,346744800
1986-01-01,0.1115,0.1212,0.1107,0.1203,0.1203,254361600
1986-02-01,0.1204,0.1335,0.1193,0.1316,0.1316,217176000
1986-03-01,0.1313,0.1593,0.1289,0.148,0.148,315499200
1986-04-01,0.1497,0.1774,0.1395,0.1528,0.1528,301818000
1986-05-01,0.1532,0.1783,0.1528,0.1758,0.1758,169641600
1986-06-01,0.1742,0.1936,0.1675,0.1901,0.1901,207540000
1986-07-01,0.1921,0.1975,0.1786,0.185,0.185,233698800
1986-08-01,0.1844,0.2004,0.1763,0.1953,0.1953,159160800
1986-09-01,0.1953,0.1972,0.1619,0.1702,0.1702,218865600
1986-10-01,0.1719,0.1946,0.1713,0.1904,0.1904,167984400
1986-11-01,0.1907,0.194,0.1723,0.1923,0.1923,152019600
1986-12-01,0.1898,0.1966,0.1855,0.1862,0.1862,182546400
1987-01-01,0.1904,0.2388,0.19,0.2306,0.2306,323658000
1987-02-01,0.2313,0.2385,0.2169,0.2211,0.2211,213115200
1987-03-01,0.2205,0.2355,0.2178,0.2228,0.2228,210666000
1987-04-01,0.2217,0.2435,0.2168,0.2204,0.2204,249739200
1987-05-01,0.2184,0.2313,0.2108,0.2254,0.2254,205010400
1987-06-01,0.2277,0.2402,0.225,0.2366,0.2366,178442400
1987-07-01,0.2386,0.2629,0.2379,0.2619,0.2619,200272800
1987-08-01,0.2595,0.3314,0.2579,0.3138,0.3138,304916400
1987-09-01,0.3128,0.3188,0.2905,0.3164,0.3164,263740800
1987-10-01,0.3203,0.3236,0.2067,0.2489,0.2489,399946800
1987-11-01,0.2486,0.2539,0.2241,0.2302,0.2302,222643200
1987-12-01,0.2338,0.2509,0.2251,0.2288,0.2288,230182800
1988-01-01,0.2315,0.2447,0.2193,0.2348,0.2348,191835600
1988-02-01,0.2409,0.2545,0.2332,0.2538,0.2538,166864800
1988-03-01,0.2545,0.2609,0.2386,0.2426,0.2426,172964400
1988-04-01,0.2443,0.2552,0.2337,0.2436,0.2436,171835200
1988-05-01,0.2443,0.2457,0.22,0.2293,0.2293,163408800
1988-06-01,0.2286,0.2385,0.2245,0.2293,0.2293,254106000
1988-07-01,0.2327,0.2538,0.2286,0.2531,0.2531,192444000
1988-08-01,0.2538,0.2565,0.2441,0.2538,0.2538,136704000
1988-09-01,0.2531,0.2721,0.2507,0.2672,0.2672,172659600
1988-10-01,0.2711,0.2826,0.2606,0.2665,0.2665,268671600
1988-11-01,0.2672,0.2718,0.2526,0.27,0.27,154087200
1988-12-01,0.2711,0.2851,0.2676,0.2847,0.2847,138416400
1989-01-01,0.2873,0.3099,0.2827,0.3082,0.3082,184257600
1989-02-01,0.3078,0.3159,0.3014,0.3057,0.3057,157624800
1989-03-01,0.3064,0.3414,0.3064,0.3396,0.3396,249585600
1989-04-01,0.3426,0.3662,0.3341,0.363,0.363,150490800
1989-05-01,0.3612,0.4015,0.3562,0.3973,0.3973,195483600
1989-06-01,0.3965,0.4105,0.3844,0.3958,0.3958,205648800
1989-07-01,0.4011,0.4576,0.3979,0.4562,0.4562,165522000
1989-08-01,0.4576,0.4792,0.4432,0.4713,0.4713,254673600
1989-09-01,0.4706,0.4835,0.4454,0.4738,0.4738,187634400
1989-10-01,0.4789,0.5312,0.4615,0.4992,0.4992,221757300
1989-11-01,0.4992,0.5021,0.463,0.492,0.492,119124300
1989-12-01,0.4934,0.505,0.4571,0.4833,0.4833,111042600
1990-01-01,0.4858,0.5121,0.4287,0.4433,0.4433,175062600
1990-02-01,0.4462,0.4638,0.4316,0.4331,0.4331,106475100
1990-03-01,0.436,0.4726,0.4214,0.4638,0.4638,131851800
1990-04-01,0.4636,0.5138,0.4606,0.496,0.496,101839500
1990-05-01,0.499,0.5359,0.4901,0.4975,0.4975,144462000
1990-06-01,0.5005,0.558,0.496,0.5492,0.5492,125187900
1990-07-01,0.5535,0.613,0.5505,0.5699,0.5699,148067400
1990-08-01,0.5699,0.5728,0.4865,0.5371,0.5371,164855100
1990-09-01,0.5312,0.5505,0.5118,0.5386,0.5386,99190800
1990-10-01,0.5513,0.5873,0.5288,0.5663,0.5663,159936900
1990-11-01,0.5663,0.5979,0.5573,0.5843,0.5843,165831900
1990-12-01,0.5888,0.6249,0.5828,0.6219,0.6219,101828400
