Date,Open,High,Low,Close,Adj Close,Volume
,MRK,MRK,MRK,MRK,,MRK
1985-01-01,0.7125,0.7305,0.685,0.7286,0.7286,174333541
1985-02-01,0.7248,0.7685,0.721,0.758,0.758,154677255
1985-03-01,0.7622,0.8062,0.7565,0.8024,0.8024,165101501
1985-04-01,0.8005,0.8024,0.7737,0.7785,0.7785,106389188
1985-05-01,0.7727,0.8378,0.7517,0.8253,0.8253,159853532
1985-06-01,0.8378,0.8837,0.8225,0.8617,0.8617,154624433
1985-07-01,0.8652,0.9038,0.8402,0.87,0.87,144098323
1985-08-01,0.8729,0.9076,0.8565,0.8797,0.8797,103340763
1985-09-01,0.8849,0.8858,0.8034,0.8402,0.8402,154198108
1985-10-01,0.8393,0.9043,0.8228,0.9043,0.9043,147607027
1985-11-01,0.9014,1.0207,0.9014,1.009,1.009,134832324
1985-12-01,1.0129,1.0692,0.9935,1.0634,1.0634,142762752
1986-01-01,1.0708,1.1119,1.0493,1.0757,1.0757,165418417
1986-02-01,1.0777,1.2115,1.0747,1.1773,1.1773,131663177
1986-03-01,1.1756,1.3918,1.15,1.3702,1.3702,180000289
1986-04-01,1.378,1.439,1.266,1.3643,1.3643,209375309
1986-05-01,1.3574,1.5766,1.3368,1.5176,1.5176,154303746
1986-06-01,1.5216,1.6651,1.4469,1.6434,1.6434,131627333
1986-07-01,1.6355,1.6987,1.5091,1.6829,1.6829,144036073
1986-08-01,1.6868,1.8449,1.6789,1.8271,1.8271,123453562
1986-09-01,1.8251,1.8271,1.5328,1.5565,1.5565,191660124
1986-10-01,1.5659,1.7505,1.5639,1.7247,1.7247,143928549
1986-11-01,1.7306,1.7783,1.5957,1.7544,1.7544,105966634
1986-12-01,1.7465,2.0561,1.7267,1.9668,1.9668,261151329
1987-01-01,1.9806,2.3057,1.9467,2.194,2.194,253981124
1987-02-01,2.19,2.4972,2.1222,2.4613,2.4613,187545887
1987-03-01,2.4553,2.6149,2.4015,2.4673,2.4673,217992382
1987-04-01,2.4621,2.6543,2.322,2.362,2.362,250561079
1987-05-01,2.362,2.5622,2.354,2.5362,2.5362,174043037
1987-06-01,2.5462,2.7704,2.4741,2.7303,2.7303,179838057
1987-07-01,2.7259,3.0533,2.7239,3.0413,3.0413,209743156
1987-08-01,3.0011,3.3586,2.973,3.2843,3.2843,234715320
1987-09-01,3.3556,3.5976,3.158,3.3375,3.3375,290073616
1987-10-01,3.3334,3.3838,2.3715,2.9281,2.9281,380313329
1987-11-01,2.9039,2.9846,2.6942,2.7426,2.7426,217198211
1987-12-01,2.7668,2.7668,2.4643,2.557,2.557,194580275
1988-01-01,2.5934,2.7636,2.3341,2.4435,2.4435,187853370
1988-02-01,2.4759,2.6948,2.4151,2.6806,2.6806,160100655
1988-03-01,2.6986,2.7149,2.5356,2.56,2.56,190694289
1988-04-01,2.5437,2.7271,2.5274,2.5661,2.5661,185817946
1988-05-01,2.5804,2.6171,2.3888,2.611,2.611,133928740
1988-06-01,2.6354,2.7822,2.6171,2.7516,2.7516,134609731
1988-07-01,2.7862,2.7862,2.6324,2.7493,2.7493,84322080
1988-08-01,2.7677,2.8661,2.6385,2.7001,2.7001,105074994
1988-09-01,2.6898,2.9186,2.665,2.8567,2.8567,97253351
1988-10-01,2.8691,2.9495,2.7825,2.832,2.832,87569830
1988-11-01,2.832,2.9433,2.6465,2.7949,2.7949,91074762
1988-12-01,2.8138,2.9258,2.7764,2.876,2.876,71773118
1989-01-01,2.8511,3.2558,2.8013,3.2495,3.2495,134562570
1989-02-01,3.2184,3.3056,3.0503,3.1811,3.1811,91911697
1989-03-01,3.1873,3.3118,3.1313,3.2371,3.2371,101663755
1989-04-01,3.2518,3.4523,3.2393,3.421,3.421,82883386
1989-05-01,3.3959,3.6528,3.3458,3.4773,3.4773,115340156
1989-06-01,3.4914,3.6426,3.3275,3.3716,3.3716,107771917
1989-07-01,3.3716,3.9262,3.359,3.8317,3.8317,96035366
1989-08-01,3.8254,3.8632,3.6615,3.6994,3.6994,105876086
1989-09-01,3.7472,3.8677,3.5443,3.8423,3.8423,99378696
1989-10-01,3.8169,4.0389,3.4936,3.9501,3.9501,113192173
1989-11-01,3.912,4.0959,3.8106,4.0008,4.0008,90656610
1989-12-01,4.0262,4.0325,3.7916,3.9311,3.9311,79583443
1990-01-01,3.9409,4.0812,3.5583,3.6858,3.6858,138978004
1990-02-01,3.7113,3.7432,3.418,3.4881,3.4881,91150847
1990-03-01,3.4945,3.6922,3.4243,3.5455,3.5455,104496498
1990-04-01,3.5429,3.8574,3.5301,3.7611,3.7611,77964911
1990-05-01,3.7932,4.3837,3.7354,4.2489,4.2489,122529228
1990-06-01,4.2976,4.5041,4.104,4.4783,4.4783,96276196
1990-07-01,4.4718,4.7041,4.375,4.6009,4.6009,94019433
1990-08-01,4.6138,4.6461,3.8975,4.2137,4.2137,141097690
1990-09-01,4.1976,4.3015,3.7622,3.9572,3.9572,97065343
1990-10-01,4.0026,4.2885,3.8857,3.9961,3.9961,128304753
1990-11-01,3.9896,4.49,3.9182,4.4835,4.4835,99944614
1990-12-01,4.4965,4.6719,4.386,4.6719,4.6719,70206778
1991-01-01,4.6697,4.8136,4.2904,4.7875,4.7875,114022818
1991-02-01,4.7613,5.4677,4.7482,5.3434,5.3434,108741529
1991-03-01,5.2584,5.7031,5.206,5.52,5.52,86714034
1991-04-01,5.5241,6.0896,5.5043,5.6687,5.6687,80256888
1991-05-01,5.695,6.4645,5.6753,6.254,6.254,96927632
1991-06-01,6.208,6.2475,5.9581,6.1094,6.1094,78601887
1991-07-01,6.1713,6.8122,6.1317,6.8056,6.8056,66915637
1991-08-01,6.799,6.8585,6.1845,6.7065,6.7065,75017726
1991-09-01,6.713,7.0782,6.6598,6.9122,6.9122,60675425
1991-10-01,6.9387,7.2906,6.7329,7.2906,7.2906,68500216
1991-11-01,7.2641,7.782,7.1445,7.7753,7.7753,103889079
1991-12-01,7.6757,8.8709,7.5164,8.8444,8.8444,87254176
1992-01-01,8.8559,9.056,7.949,8.3825,8.3825,137809066
1992-02-01,8.3891,8.5825,7.6556,8.4091,8.4091,111191334
1992-03-01,8.4025,8.4291,7.7489,7.849,7.849,102866650
1992-04-01,7.8835,8.3456,7.3141,7.7696,7.7696,130040869
1992-05-01,7.7294,8.2385,7.6156,8.0978,8.0978,91190462
1992-06-01,8.0375,8.2586,7.5553,7.8366,7.8366,92362337
1992-07-01,7.9122,8.3764,7.8516,8.3764,8.3764,68188747
1992-08-01,8.3562,8.6186,7.8113,7.8516,7.8516,60760315
1992-09-01,7.8916,8.0945,6.857,7.2221,7.2221,107933101
1992-10-01,7.2627,7.3033,6.573,7.1207,7.1207,143081975
1992-11-01,7.1004,7.567,6.715,7.3236,7.3236,90683440
1992-12-01,7.3236,7.7496,7.0396,7.0396,7.0396,81862424
1993-01-01,7.1598,7.2006,6.4459,6.5887,6.5887,128315653
1993-02-01,6.4663,6.6907,5.8339,6.2827,6.2827,162423441
1993-03-01,6.4051,6.6907,5.426,5.7727,5.7727,183435423
1993-04-01,5.7685,6.1995,5.4195,6.0764,6.0764,131688116
1993-05-01,6.1174,6.4664,5.8711,6.2817,6.2817,92697488
1993-06-01,6.3022,6.4254,5.789,5.83,5.83,84773559
1993-07-01,5.7859,5.8479,5.0006,5.0626,5.0626,153496786
1993-08-01,5.0626,5.5792,4.732,5.2693,5.2693,172962131
1993-09-01,5.2693,5.4966,4.9593,5.0833,5.0833,112324011
1993-10-01,5.1283,5.4827,4.9616,5.3577,5.3577,106472190
1993-11-01,5.3577,5.9205,5.2951,5.7121,5.7121,187428513
1993-12-01,5.7329,5.9414,5.3994,5.7329,5.7329,142744311
1994-01-01,5.8436,6.3901,5.7595,6.1378,6.1378,148198520
1994-02-01,6.1168,6.1799,5.3391,5.4442,5.4442,116433429
1994-03-01,5.4232,5.4652,4.8346,5.0028,5.0028,153041954
1994-04-01,4.8985,5.3014,4.7713,5.0257,5.0257,127902948
1994-05-01,5.0681,5.471,5.0045,5.1742,5.1742,108530671
1994-06-01,5.153,5.4074,5.0257,5.0469,5.0469,103465477
1994-07-01,5.1153,5.2009,4.9655,5.0725,5.0725,71500011
