Date,Open,High,Low,Close,Adj Close,Volume
,MRNA,MRNA,MRNA,MRNA,,MRNA
2018-12-01,22.0,22.75,13.03,15.27,15.27,40358400
2019-01-01,14.93,17.94,14.4,16.6,16.6,20543700
2019-02-01,16.8,24.4,15.9,22.6,22.6,19919700
2019-03-01,23.09,23.39,18.21,20.35,20.35,20079100
2019-04-01,20.54,29.79,19.54,26.03,26.03,19735100
2019-05-01,26.31,28.95,20.74,20.78,20.78,15468600
2019-06-01,20.79,20.99,13.5,14.64,14.64,45682700
2019-07-01,14.86,15.47,13.04,13.1,13.1,23680100
2019-08-01,13.2,15.75,11.54,15.73,15.73,35778300
2019-09-01,16.1,18.48,14.35,15.92,15.92,93708100
2019-10-01,15.87,17.24,13.53,16.75,16.75,26981000
2019-11-01,16.8,21.0,15.52,20.36,20.36,30863800
2019-12-01,20.3,21.5,18.22,19.56,19.56,42372900
2020-01-01,19.57,23.5,17.68,20.51,20.51,73539900
2020-02-01,20.66,36.0,17.91,25.93,25.93,323753900
2020-03-01,27.0,34.98,19.31,29.95,29.95,397926200
2020-04-01,30.05,56.38,29.44,45.99,45.99,310717800
2020-05-01,48.71,87.0,46.13,61.5,61.5,650301000
2020-06-01,62.76,67.0,55.355,64.21,64.21,346314400
2020-07-01,63.0,95.21,55.81,74.1,74.1,734188500
2020-08-01,74.98,78.62,62.54,64.89,64.89,291350000
2020-09-01,63.54,75.39,54.21,70.75,70.75,205003700
2020-10-01,69.57,81.37,65.49,67.47,67.47,139744400
2020-11-01,68.02,153.87,66.55,152.74,152.74,431438200
2020-12-01,177.66,178.5,102.66,104.47,104.47,756621500
2021-01-01,107.23,185.98,103.26,173.16,173.16,343701600
2021-02-01,173.03,189.26,136.0,154.81,154.81,197558400
2021-03-01,154.463,157.78,117.341,130.95,130.95,205716900
2021-04-01,132.2,186.8,127.04,178.82,178.82,207906500
2021-05-01,183.9,189.0,143.56,185.01,185.01,188520700
2021-06-01,184.08,245.7,178.8,234.98,234.98,210650200
2021-07-01,236.3,362.0,214.07,353.6,353.6,415615500
2021-08-01,360.0,497.49,343.2,376.69,376.69,483062700
2021-09-01,382.837,464.85,375.2,384.86,384.86,284766900
2021-10-01,358.33,359.115,293.58,345.21,345.21,239916600
2021-11-01,334.99,376.65,210.96,352.43,352.43,323401700
2021-12-01,330.0,336.36,233.2,253.98,253.98,246429800
2022-01-01,247.12,249.42,138.17,169.33,169.33,199784200
2022-02-01,175.2,177.57,134.0,153.6,153.6,141493600
2022-03-01,152.48,188.0,122.01,172.26,172.26,186985000
2022-04-01,173.35,180.87,134.19,134.41,134.41,109512600
2022-05-01,134.87,155.46,119.01,145.33,145.33,145019800
2022-06-01,146.09,152.73,115.61,142.85,142.85,114296100
2022-07-01,141.93,180.73,139.54,164.09,164.09,89683100
2022-08-01,163.85,197.44,131.71,132.27,132.27,109743600
2022-09-01,131.13,144.788,115.03,118.25,118.25,110262400
2022-10-01,119.32,154.34,115.41,150.33,150.33,104670900
2022-11-01,154.77,188.65,135.09,175.91,175.91,90277900
2022-12-01,173.41,217.25,162.78,179.62,179.62,154467700
2023-01-01,180.85,207.51,171.4,176.06,176.06,75859400
2023-02-01,174.7,178.74,136.72,138.81,138.81,72493300
2023-03-01,138.39,156.57,133.66,153.58,153.58,74028300
2023-04-01,153.5,163.24,129.02,132.89,132.89,70567600
2023-05-01,132.0,142.79,122.56,127.71,127.71,75662900
2023-06-01,128.44,134.585,117.227,121.5,121.5,60768300
2023-07-01,121.75,128.98,117.05,117.66,117.66,65265700
2023-08-01,117.0,118.07,95.02,113.07,113.07,103437700
2023-09-01,114.21,115.25,97.11,103.29,103.29,74642800
2023-10-01,103.12,105.941,71.55,75.96,75.96,89621800
2023-11-01,75.22,81.12,62.55,77.7,77.7,91356800
2023-12-01,76.58,102.95,73.25,99.45,99.45,118945500
2024-01-01,99.88,115.97,96.65,101.05,101.05,101517400
2024-02-01,100.9,101.73,84.06,92.24,92.24,86398500
2024-03-01,92.52,114.25,92.11,106.56,106.56,81312800
2024-04-01,106.29,115.89,97.0,110.31,110.31,66806600
2024-05-01,111.11,170.47,109.0,142.55,142.55,111538700
2024-06-01,139.75,158.82,118.03,118.75,118.75,74184800
2024-07-01,117.05,129.39,114.02,119.22,119.22,60333000
2024-08-01,99.58,102.9,76.06,77.4,77.4,103867500
2024-09-01,77.55,79.959,63.37,66.83,66.83,127147200
2024-10-01,67.13,67.55,52.26,54.36,54.36,103866400
2024-11-01,54.49,56.695,35.8,43.06,43.06,213133100
2024-12-01,43.33,47.413,37.44,41.58,41.58,164997400
2025-01-01,42.2,48.92,31.94,39.42,39.42,251949300
2025-02-01,38.21,38.65,29.25,30.96,30.96,241140900
2025-03-01,31.18,38.12,26.802,28.35,28.35,205714300
2025-04-01,28.7,28.85,23.15,28.54,28.54,188563300
2025-05-01,27.68,30.3,23.155,26.79,26.79,265326390
