Date,Open,High,Low,Close,Adj Close,Volume
,MSFT,MSFT,MSFT,MSFT,,MSFT
1986-03-01,0.0543,0.0633,0.0543,0.0585,0.0585,1857052800
1986-04-01,0.0585,0.0748,0.0569,0.0686,0.0686,547142400
1986-05-01,0.0686,0.0756,0.066,0.0745,0.0745,333446400
1986-06-01,0.0745,0.0745,0.0628,0.0655,0.0655,293788800
1986-07-01,0.0655,0.067,0.0553,0.0607,0.0607,460800000
1986-08-01,0.0607,0.0655,0.058,0.0607,0.0607,266256000
1986-09-01,0.0607,0.067,0.0559,0.0601,0.0601,285120000
1986-10-01,0.0601,0.0857,0.0585,0.0825,0.0825,1565712000
1986-11-01,0.083,0.1091,0.083,0.1059,0.1059,1053964800
1986-12-01,0.1059,0.1064,0.0963,0.1027,0.1027,721526400
1987-01-01,0.1027,0.165,0.1011,0.1556,0.1556,1961596800
1987-02-01,0.1556,0.1692,0.1415,0.1634,0.1634,1834272000
1987-03-01,0.1634,0.2107,0.1564,0.2059,0.2059,1783324800
1987-04-01,0.2059,0.232,0.1926,0.2214,0.2214,2118585600
1987-05-01,0.2214,0.273,0.2187,0.2453,0.2453,2192054400
1987-06-01,0.2453,0.2453,0.2049,0.2171,0.2171,1729353600
1987-07-01,0.2166,0.2251,0.1884,0.2001,0.2001,1813536000
1987-08-01,0.2001,0.2581,0.1942,0.2528,0.2528,2034921600
1987-09-01,0.2512,0.2836,0.2256,0.282,0.282,1554912000
1987-10-01,0.282,0.3374,0.1586,0.2118,0.2118,3567225600
1987-11-01,0.2097,0.2214,0.1724,0.1905,0.1905,1550188800
1987-12-01,0.1894,0.2384,0.1703,0.2309,0.2309,1780200000
1988-01-01,0.2331,0.2629,0.2235,0.2373,0.2373,1966795200
1988-02-01,0.2416,0.2586,0.2118,0.2528,0.2528,1403899200
1988-03-01,0.2544,0.2788,0.2309,0.2405,0.2405,2113675200
1988-04-01,0.2384,0.2501,0.2246,0.232,0.232,1155096000
1988-05-01,0.232,0.2522,0.2277,0.2469,0.2469,1033012800
1988-06-01,0.248,0.2873,0.2458,0.2852,0.2852,1198598400
1988-07-01,0.2852,0.3001,0.2416,0.2533,0.2533,1401105600
1988-08-01,0.2544,0.2554,0.2033,0.2128,0.2128,1862596800
1988-09-01,0.2107,0.2352,0.2043,0.2224,0.2224,1216584000
1988-10-01,0.2182,0.2299,0.2033,0.2086,0.2086,1532102400
1988-11-01,0.2086,0.215,0.1926,0.2011,0.2011,1558929600
1988-12-01,0.2022,0.2309,0.2001,0.2267,0.2267,1030464000
1989-01-01,0.2277,0.2565,0.2139,0.2538,0.2538,1375084800
1989-02-01,0.2533,0.2756,0.249,0.2533,0.2533,1802145600
1989-03-01,0.2554,0.265,0.1948,0.2123,0.2123,3058704000
1989-04-01,0.2128,0.2405,0.2022,0.2379,0.2379,1134820800
1989-05-01,0.2357,0.2597,0.2171,0.2575,0.2575,1258977600
1989-06-01,0.2565,0.2586,0.2182,0.2256,0.2256,1072584000
1989-07-01,0.2262,0.2426,0.2192,0.2331,0.2331,1221019200
1989-08-01,0.2331,0.2575,0.2299,0.2501,0.2501,1380729600
1989-09-01,0.2512,0.2959,0.2458,0.2916,0.2916,1284523200
1989-10-01,0.2905,0.3661,0.2895,0.348,0.348,2608992000
1989-11-01,0.348,0.3799,0.3235,0.3704,0.3704,1835870400
1989-12-01,0.3709,0.3757,0.3193,0.3704,0.3704,1460664000
1990-01-01,0.3714,0.4087,0.3576,0.3938,0.3938,2380968000
1990-02-01,0.3938,0.4278,0.3927,0.4204,0.4204,1429344000
1990-03-01,0.4193,0.4981,0.4193,0.4715,0.4715,1717819200
1990-04-01,0.4672,0.5364,0.4651,0.4938,0.4938,1200837600
