Date,Open,High,Low,Close,Adj Close,Volume
,MTB,MTB,MTB,MTB,,MTB
1985-01-01,0.0,1.052,0.9715,1.0144,1.0144,3080000
1985-02-01,0.0,1.0306,0.95,0.95,0.95,1502000
1985-03-01,0.0,1.0574,0.9661,1.0413,1.0413,1518000
1985-04-01,0.0,1.1808,1.052,1.1272,1.1272,2646000
1985-05-01,0.0,1.1808,1.1272,1.1325,1.1325,1116000
1985-06-01,0.0,1.1969,1.1325,1.1594,1.1594,1398000
1985-07-01,0.0,1.3794,1.1594,1.2828,1.2828,1730000
1985-08-01,0.0,1.3043,1.2452,1.2775,1.2775,626000
1985-09-01,0.0,1.3258,1.2721,1.2882,1.2882,1692000
1985-10-01,0.0,1.3526,1.2828,1.3365,1.3365,1646000
1985-11-01,0.0,1.5351,1.3204,1.5083,1.5083,1306000
1985-12-01,0.0,1.5136,1.4814,1.4814,1.4814,1434000
1986-01-01,0.0,1.5351,1.4868,1.519,1.519,1330000
1986-02-01,0.0,1.9538,1.519,1.943,1.943,2060000
1986-03-01,0.0,1.943,1.7713,1.8357,1.8357,1818000
1986-04-01,0.0,1.8893,1.8142,1.8518,1.8518,1660000
1986-05-01,0.0,1.8732,1.8142,1.8357,1.8357,798000
1986-06-01,0.0,2.1255,1.8571,2.1094,2.1094,2544000
1986-07-01,0.0,2.1148,1.9538,1.9538,1.9538,1406000
1986-08-01,0.0,1.986,1.9215,1.9699,1.9699,2218000
1986-09-01,0.0,1.986,1.6317,1.7927,1.7927,1410000
1986-10-01,0.0,1.8249,1.7605,1.7713,1.7713,1042000
1986-11-01,0.0,1.7927,1.6961,1.7176,1.7176,1996000
1986-12-01,0.0,1.7391,1.6424,1.6532,1.6532,2652000
1987-01-01,0.0,1.782,1.6639,1.7444,1.7444,1594000
1987-02-01,0.0,1.9323,1.7498,1.9323,1.9323,1382000
1987-03-01,0.0,2.0708,1.9306,2.0601,2.0601,816000
1987-04-01,0.0,2.0493,1.9846,2.0169,2.0169,1740000
1987-05-01,0.0,2.0277,1.9846,1.9953,1.9953,2224000
1987-06-01,2.004,2.0365,2.004,2.0148,2.0148,844000
1987-07-01,0.0,2.4481,2.004,2.3723,2.3723,1468000
1987-08-01,0.0,2.3831,2.2098,2.3723,2.3723,2104000
