Date,Open,High,Low,Close,Adj Close,Volume
,MU,MU,MU,MU,,MU
1985-01-01,0.0,2.6485,1.9174,2.3009,2.3009,32174000
1985-02-01,0.0,2.3489,0.9587,1.1145,1.1145,45575000
1985-03-01,0.0,1.3182,0.9587,1.1025,1.1025,30358000
1985-04-01,0.0,1.3901,0.9827,1.0306,1.0306,60159000
1985-05-01,0.0,1.0306,0.743,0.7909,0.7909,31727000
1985-06-01,0.0,0.8868,0.5632,0.8509,0.8509,38081000
1985-07-01,0.0,0.9947,0.7071,0.767,0.767,21677000
1985-08-01,0.0,0.9108,0.6831,0.7071,0.7071,18625000
1985-09-01,0.0,0.779,0.6352,0.6711,0.6711,15811000
1985-10-01,0.0,0.6831,0.3715,0.4314,0.4314,45070000
1985-11-01,0.0,0.8628,0.4314,0.8509,0.8509,46762000
1985-12-01,0.0,0.9467,0.6831,0.8149,0.8149,60801000
1986-01-01,0.0,1.1505,0.743,1.1265,1.1265,59448000
1986-02-01,0.0,1.1265,0.9347,1.1025,1.1025,60754000
1986-03-01,0.0,1.3182,0.9827,1.1385,1.1385,54350000
1986-04-01,0.0,1.6418,1.0666,1.3901,1.3901,71257000
1986-05-01,0.0,1.498,1.0786,1.1984,1.1984,49001000
1986-06-01,0.0,1.2104,0.731,0.8988,0.8988,54272000
1986-07-01,0.0,0.9347,0.6232,0.767,0.767,32713000
1986-08-01,0.0,0.9947,0.5752,0.9707,0.9707,74887000
1986-09-01,0.0,0.9947,0.719,0.8389,0.8389,40975000
1986-10-01,0.0,0.8628,0.6591,0.6831,0.6831,25208000
1986-11-01,0.0,0.731,0.3715,0.4674,0.4674,55066000
1986-12-01,0.0,0.4674,0.3236,0.4314,0.4314,40113000
1987-01-01,0.0,0.5872,0.3835,0.5393,0.5393,41221000
1987-02-01,0.0,0.7071,0.5273,0.6471,0.6471,38562000
1987-03-01,0.0,0.767,0.5513,0.743,0.743,73866000
1987-04-01,0.0,1.0186,0.719,0.9947,0.9947,103693000
1987-05-01,0.0,1.2463,0.9587,1.1984,1.1984,62559000
1987-06-01,0.0,1.3302,1.0067,1.0426,1.0426,75772000
1987-07-01,0.0,1.2943,0.9827,1.1505,1.1505,47548000
1987-08-01,0.0,1.2463,1.0546,1.1505,1.1505,34210000
1987-09-01,0.0,1.3901,1.0426,1.2943,1.2943,74603000
1987-10-01,0.0,1.5459,0.5153,0.8269,0.8269,111160000
1987-11-01,0.0,0.8988,0.6591,0.7909,0.7909,52452000
1987-12-01,0.0,1.474,0.743,1.4141,1.4141,90156000
1988-01-01,0.0,1.51,1.1864,1.3542,1.3542,89857000
1988-02-01,0.0,1.8935,1.1505,1.8455,1.8455,112156000
1988-03-01,0.0,2.1451,1.6298,1.7137,1.7137,188742000
1988-04-01,0.0,2.0253,1.6897,1.9294,1.9294,112139000
