Date,Open,High,Low,Close,Adj Close,Volume
,NCLH,NCLH,NCLH,NCLH,,NCLH
2013-01-01,25.1,28.86,24.16,26.37,26.37,25181800
2013-02-01,26.47,31.91,26.18,30.98,30.98,12191500
2013-03-01,30.5,31.68,29.02,29.65,29.65,9891200
2013-04-01,29.79,31.07,28.51,31.01,31.01,8002700
2013-05-01,31.36,32.93,29.91,30.75,30.75,8351000
2013-06-01,30.85,32.08,28.0,30.31,30.31,8978400
2013-07-01,30.34,32.27,29.26,30.31,30.31,5621800
2013-08-01,30.5,32.93,28.28,31.09,31.09,21801200
2013-09-01,31.35,33.67,30.19,30.85,30.85,8927300
2013-10-01,30.86,33.5,28.57,32.02,32.02,22726100
2013-11-01,32.04,34.55,31.12,34.1,34.1,7787100
2013-12-01,34.05,35.97,31.5,35.47,35.47,27657300
2014-01-01,35.16,37.3,33.78,35.02,35.02,14275900
2014-02-01,35.02,36.7,31.65,34.27,34.27,21915900
2014-03-01,33.88,34.32,31.61,32.27,32.27,32910200
2014-04-01,32.45,33.66,29.08,32.77,32.77,27947400
2014-05-01,32.78,34.18,31.16,33.75,33.75,19345000
2014-06-01,33.74,34.14,31.04,31.7,31.7,25986400
2014-07-01,31.72,34.33,31.41,32.78,32.78,22790400
2014-08-01,32.72,34.5,31.38,33.31,33.31,14517200
2014-09-01,38.01,38.05,35.73,36.02,36.02,21057800
2014-10-01,35.9,39.51,30.44,39.0,39.0,26814500
2014-11-01,39.2,45.07,38.11,43.89,43.89,23633600
2014-12-01,43.86,48.16,42.28,46.76,46.76,25786800
2015-01-01,47.23,47.46,42.64,43.76,43.76,27973900
2015-02-01,43.87,50.09,42.55,49.32,49.32,29699900
2015-03-01,49.44,55.35,49.42,54.01,54.01,37338400
2015-04-01,54.14,55.38,48.08,48.51,48.51,22626300
2015-05-01,48.6,57.55,48.03,54.56,54.56,32246400
2015-06-01,54.82,57.0,53.68,56.04,56.04,29298000
2015-07-01,56.51,63.22,54.48,62.42,62.42,23240500
2015-08-01,62.97,62.97,50.0,57.6,57.6,41992100
2015-09-01,56.71,62.94,55.59,57.3,57.3,24814700
2015-10-01,57.0,64.1,56.0,63.62,63.62,22447200
2015-11-01,63.54,64.27,53.46,57.44,57.44,28437900
2015-12-01,57.35,60.13,55.71,58.6,58.6,45001500
2016-01-01,57.56,58.19,42.21,45.37,45.37,48811600
2016-02-01,44.96,50.16,37.01,49.13,49.13,62684300
2016-03-01,49.84,55.59,46.45,55.29,55.29,43571400
2016-04-01,54.71,55.25,47.78,48.89,48.89,33953000
2016-05-01,48.83,50.31,44.09,46.41,46.41,37305300
2016-06-01,46.18,46.66,38.17,39.84,39.84,41266600
2016-07-01,40.0,44.7,39.32,42.6,42.6,39044600
2016-08-01,42.5,43.57,35.36,35.89,35.89,65494900
2016-09-01,37.47,38.31,34.16,37.7,37.7,49143000
2016-10-01,37.69,39.19,35.57,38.87,38.87,42012300
2016-11-01,39.11,41.61,35.21,39.81,39.81,43484200
2016-12-01,39.87,45.5,38.66,42.53,42.53,29111200
2017-01-01,43.13,50.05,42.64,47.0,47.0,22889400
2017-02-01,47.3,52.5,46.83,50.7,50.7,27566900
2017-03-01,51.12,52.1,49.05,50.73,50.73,24100800
2017-04-01,50.74,54.87,46.96,53.93,53.93,30797800
2017-05-01,54.0,56.29,47.76,49.97,49.97,41593700
2017-06-01,50.23,56.26,49.52,54.29,54.29,36800200
2017-07-01,54.63,56.36,53.16,55.07,55.07,19249300
2017-08-01,56.49,61.48,54.15,59.46,59.46,54544900
2017-09-01,59.62,60.0,51.99,54.05,54.05,38591400
2017-10-01,53.94,59.66,53.45,55.75,55.75,92973400
2017-11-01,56.06,58.27,52.36,54.16,54.16,44383700
2017-12-01,53.94,56.84,52.58,53.25,53.25,35266100
2018-01-01,53.76,61.05,53.58,60.74,60.74,34247700
2018-02-01,60.77,61.18,54.25,56.9,56.9,44045900
2018-03-01,57.0,57.5,51.3,52.97,52.97,48510600
2018-04-01,53.0,57.37,50.98,53.47,53.47,39434900
2018-05-01,53.24,55.78,50.16,52.34,52.34,39936900
2018-06-01,52.55,55.11,47.06,47.25,47.25,48407100
2018-07-01,46.79,51.7,46.16,50.03,50.03,39898500
2018-08-01,50.03,54.55,47.78,53.61,53.61,39972300
2018-09-01,53.53,58.09,52.53,57.43,57.43,33642200
2018-10-01,57.6,57.86,41.61,44.07,44.07,55042200
2018-11-01,44.56,52.73,44.28,51.32,51.32,62616000
2018-12-01,52.0,52.88,39.36,42.39,42.39,48330200
2019-01-01,41.88,51.8,40.5,51.43,51.43,46078500
2019-02-01,51.4,56.43,50.66,55.53,55.53,42650100
2019-03-01,55.96,56.67,53.26,54.96,54.96,44386700
2019-04-01,55.47,59.71,55.42,56.39,56.39,35918700
2019-05-01,58.71,59.6,54.27,54.71,54.71,43638300
2019-06-01,54.64,54.87,49.88,53.63,53.63,52736400
2019-07-01,54.3,54.3,47.74,49.44,49.44,46593000
2019-08-01,49.48,51.65,45.64,50.75,50.75,54873400
2019-09-01,50.27,55.75,49.44,51.77,51.77,33510500
2019-10-01,52.0,53.15,46.96,50.76,50.76,34935800
2019-11-01,51.12,54.71,50.05,53.64,53.64,35269400
2019-12-01,53.7,59.34,52.1,58.41,58.41,27401600
2020-01-01,58.79,59.78,52.77,53.85,53.85,36509700
2020-02-01,54.19,55.85,33.17,37.26,37.26,76275700
2020-03-01,37.1,37.1,7.03,10.96,10.96,584251700
2020-04-01,10.5,17.48,8.08,16.4,16.4,706845700
2020-05-01,15.25,17.84,9.24,15.66,15.66,1486704100
2020-06-01,15.88,26.91,14.5,16.43,16.43,1721091700
2020-07-01,16.93,18.68,13.26,13.64,13.64,923751000
2020-08-01,13.31,17.84,12.56,17.11,17.11,684450100
2020-09-01,16.75,19.2,14.15,17.11,17.11,611045900
2020-10-01,17.4,18.91,14.77,16.63,16.63,453764800
2020-11-01,16.06,24.32,15.29,22.87,22.87,628436300
2020-12-01,23.55,28.98,21.82,25.43,25.43,500414200
2021-01-01,25.35,26.97,22.27,22.65,22.65,295043200
2021-02-01,22.85,32.66,21.88,29.56,29.56,379572500
2021-03-01,30.71,34.49,24.02,27.59,27.59,604905100
2021-04-01,27.89,33.08,25.79,31.05,31.05,437568500
2021-05-01,31.18,32.49,25.48,31.9,31.9,394737100
2021-06-01,32.53,33.95,28.67,29.41,29.41,308566700
2021-07-01,29.68,30.05,21.28,24.03,24.03,356767100
2021-08-01,24.06,26.4,22.34,25.84,25.84,307093600
2021-09-01,26.0,29.45,24.0,26.71,26.71,282200300
2021-10-01,27.79,28.62,24.91,25.72,25.72,235484100
2021-11-01,25.86,29.45,18.84,19.51,19.51,463944300
2021-12-01,20.0,23.38,17.78,20.74,20.74,570592300
