Date,Open,High,Low,Close,Adj Close,Volume
,NEM,NEM,NEM,NEM,,NEM
1985-01-01,5.3778,6.694,5.3402,6.6564,6.6564,4747875
1985-02-01,6.6188,6.8632,6.2803,6.412,6.412,4813875
1985-03-01,6.3931,6.6752,5.9231,6.6564,6.6564,4599375
1985-04-01,6.6,7.0325,6.5248,6.6564,6.6564,3237000
1985-05-01,6.6376,6.9196,6.6188,6.788,6.788,4649250
1985-06-01,6.788,6.788,6.2239,6.2803,6.2803,3043500
1985-07-01,6.2427,7.0325,6.0359,6.7316,6.7316,4961250
1985-08-01,6.7316,7.0325,6.5436,6.8068,6.8068,2123625
1985-09-01,6.8256,7.0325,6.2051,6.3367,6.3367,3026250
1985-10-01,6.3367,6.8632,6.3179,6.7128,6.7128,3289500
1985-11-01,6.7316,7.3521,6.5812,7.2205,7.2205,3835500
1985-12-01,7.2017,7.3709,6.8068,7.0889,7.0889,3426000
1986-01-01,7.0513,8.1043,7.0325,7.6342,7.6342,5188125
1986-02-01,7.653,7.653,7.0701,7.2957,7.2957,4081500
1986-03-01,7.3145,7.8222,7.0701,7.4461,7.4461,5685750
1986-04-01,7.4085,7.4085,6.4872,6.5248,6.5248,5731500
1986-05-01,6.4872,7.5213,6.1675,7.4837,7.4837,6182250
1986-06-01,7.4461,8.0666,6.8444,7.0513,7.0513,6446250
1986-07-01,7.0513,7.0889,6.412,6.8632,6.8632,3802500
1986-08-01,6.8632,8.2547,6.8256,8.0855,8.0855,9217875
1986-09-01,8.1231,9.4393,8.0855,8.988,8.988,12307500
1986-10-01,9.0068,9.3829,8.8,8.9692,8.9692,7151250
1986-11-01,9.0632,9.5333,8.5931,9.082,9.082,7359000
1986-12-01,9.082,9.2889,8.8376,9.2513,9.2513,6774375
1987-01-01,9.3077,10.7931,9.2325,10.5111,10.5111,12515625
1987-02-01,10.4923,12.7111,10.3795,12.335,12.335,9820125
1987-03-01,12.338,14.6018,12.1493,14.2434,14.2434,16158375
1987-04-01,14.1679,15.8281,13.5831,13.6963,13.6963,19726500
1987-05-01,13.734,16.5261,13.734,14.9603,14.9603,11098875
1987-06-01,14.8333,15.3631,13.2819,14.2657,14.2657,10860754
1987-07-01,14.3414,21.0391,14.2279,20.9634,20.9634,13671382
1987-08-01,22.4014,28.7585,20.9256,27.8504,27.8504,34742629
1987-09-01,27.9015,31.0101,26.2335,29.9866,29.9866,87100501
1987-10-01,29.7402,29.9678,11.1526,16.3306,16.3306,16026939
1987-11-01,16.7289,20.712,13.8269,17.3548,17.3548,5145000
1987-12-01,17.265,18.2941,14.2922,16.1217,16.1217,4207750
1988-01-01,15.7786,16.3503,13.8921,14.9211,14.9211,8261750
1988-02-01,14.9211,15.7786,13.8349,15.7215,15.7215,2977875
1988-03-01,15.6196,17.0553,15.3325,15.8493,15.8493,3112125
1988-04-01,15.8493,16.8256,15.8493,16.1939,16.1939,3037250
1988-05-01,16.1365,17.6295,15.7919,17.5147,17.5147,2335750
1988-06-01,17.7015,21.5071,17.4132,18.9124,18.9124,6653625
1988-07-01,18.97,20.5268,17.9898,19.143,19.143,3644500
1988-08-01,19.0854,19.2007,16.7213,16.952,16.952,2256750
1988-09-01,17.0214,17.1372,15.4003,16.3846,16.3846,3591250
1988-10-01,16.5003,17.6004,15.8056,16.153,16.153,1628625
1988-11-01,16.153,16.9635,15.5161,16.4425,16.4425,1972625
1988-12-01,16.5132,16.5714,14.6526,15.4085,15.4085,2283000
1989-01-01,15.4666,18.4902,14.7107,17.211,17.211,2952250
1989-02-01,17.2691,21.3393,17.0365,20.0019,20.0019,9550625
1989-03-01,20.0734,20.4235,17.2725,18.5563,18.5563,4650750
1989-04-01,18.4395,18.7896,16.6889,17.3892,17.3892,6024000
1989-05-01,17.2725,19.6649,15.9887,16.2221,16.2221,10453125
1989-06-01,16.2333,19.2222,15.8817,18.5189,18.5189,6301500
1989-07-01,18.3431,18.9877,17.5812,18.3431,18.3431,3418375
1989-08-01,18.4017,19.5152,17.6985,18.8119,18.8119,3409125
