Date,Open,High,Low,Close,Adj Close,Volume
,NFLX,NFLX,NFLX,NFLX,,NFLX
2002-05-01,1.1564,1.2429,1.0714,1.0764,1.0764,147880600
2002-06-01,1.08,1.2321,0.8421,0.9993,0.9993,74190200
2002-07-01,1.0,1.2993,0.85,0.9536,0.9536,73610600
2002-08-01,0.95,0.9993,0.7064,0.9364,0.9364,64883000
2002-09-01,0.9364,0.9764,0.6893,0.6929,0.6929,55749400
2002-10-01,0.7093,0.7357,0.3464,0.6407,0.6407,169148000
2002-11-01,0.6286,0.8,0.5536,0.775,0.775,101967600
2002-12-01,0.7429,0.9286,0.6843,0.7864,0.7864,95100600
2003-01-01,0.8464,0.9564,0.7621,0.9429,0.9429,115997000
2003-02-01,0.9386,1.2286,0.8243,1.2221,1.2221,129178000
2003-03-01,1.2079,1.595,1.0643,1.4536,1.4536,243329800
2003-04-01,1.4643,1.7636,1.3257,1.6286,1.6286,336562800
2003-05-01,1.6193,1.8521,1.4664,1.6071,1.6071,283290000
2003-06-01,1.6079,1.8821,1.2893,1.825,1.825,475367200
2003-07-01,1.8286,2.0429,1.6107,1.8714,1.8714,299930400
2003-08-01,1.8514,2.4129,1.6143,2.3807,2.3807,213253600
2003-09-01,2.3736,2.8743,2.1729,2.3971,2.3971,359199400
2003-10-01,2.3857,4.3571,2.3857,4.0929,4.0929,711555600
2003-11-01,4.0993,4.325,3.1557,3.5,3.5,607833800
2003-12-01,3.53,4.2307,3.075,3.9064,3.9064,480523400
2004-01-01,4.1071,5.6814,3.8421,5.2436,5.2436,932327200
2004-02-01,5.3,5.6393,4.3229,4.9143,4.9143,727418300
2004-03-01,4.9071,5.0657,3.9529,4.8743,4.8743,417452700
2004-04-01,5.1557,5.5171,3.5957,3.6229,3.6229,482976900
2004-05-01,3.6143,4.7529,3.6129,4.7029,4.7029,285411700
2004-06-01,4.6271,5.2243,4.05,5.1429,5.1429,258797700
2004-07-01,5.1,5.1529,2.6429,2.9286,2.9286,578550700
2004-08-01,2.8343,2.9143,1.9786,1.9929,1.9929,290639300
2004-09-01,2.0014,2.5857,1.9829,2.2029,2.2029,341873000
2004-10-01,2.4929,2.8,1.3214,1.3529,1.3529,959910700
2004-11-01,1.3543,1.7543,1.3357,1.6257,1.6257,404514600
2004-12-01,1.6314,1.9743,1.5786,1.7614,1.7614,372483300
2005-01-01,1.8,1.8743,1.5043,1.6429,1.6429,275782500
2005-02-01,1.6314,1.7429,1.43,1.5286,1.5286,158103400
2005-03-01,1.5286,1.5786,1.2729,1.55,1.55,168671300
2005-04-01,1.5571,1.8571,1.5014,1.65,1.65,179357500
2005-05-01,1.6471,2.7529,1.6171,2.0414,2.0414,409696700
2005-06-01,2.0286,2.5486,2.0286,2.3443,2.3443,176552600
2005-07-01,2.3429,2.9714,2.2857,2.6514,2.6514,220176600
2005-08-01,2.67,3.2486,2.6071,3.08,3.08,236261200
2005-09-01,3.08,3.8071,3.0357,3.7129,3.7129,190140300
2005-10-01,3.7114,4.2129,3.4014,3.7729,3.7729,257765200
2005-11-01,3.72,4.3214,3.6329,3.9343,3.9343,198991100
2005-12-01,3.9643,4.01,3.22,3.8657,3.8657,208978700
2006-01-01,3.8657,4.2743,3.2986,3.9357,3.9357,311671500
2006-02-01,3.9071,3.9286,3.4271,3.83,3.83,168249200
2006-03-01,3.83,4.2,3.5214,4.1414,4.1414,138239500
