Date,Open,High,Low,Close,Adj Close,Volume
,NKE,NKE,NKE,NKE,,NKE
1985-01-01,0.0862,0.1108,0.0862,0.1012,0.1012,266310400
1985-02-01,0.1012,0.1053,0.0985,0.0998,0.0998,121689600
1985-03-01,0.0998,0.104,0.0916,0.0957,0.0957,93465600
1985-04-01,0.0957,0.1176,0.0903,0.1081,0.1081,208448000
1985-05-01,0.1094,0.1286,0.1094,0.1217,0.1217,225062400
1985-06-01,0.1217,0.1245,0.1067,0.1176,0.1176,165734400
1985-07-01,0.1176,0.1286,0.1149,0.1231,0.1231,182342400
1985-08-01,0.1231,0.1381,0.1217,0.1368,0.1368,189760000
1985-09-01,0.1368,0.1491,0.1245,0.1464,0.1464,163948800
1985-10-01,0.1464,0.1614,0.1436,0.1477,0.1477,338828800
1985-11-01,0.1477,0.1518,0.1313,0.145,0.145,165196800
1985-12-01,0.145,0.1587,0.1381,0.1546,0.1546,190195200
1986-01-01,0.1546,0.186,0.1491,0.1847,0.1847,624236800
1986-02-01,0.1847,0.1929,0.1778,0.1792,0.1792,334777600
1986-03-01,0.1792,0.2038,0.171,0.1983,0.1983,564608000
1986-04-01,0.1983,0.1983,0.171,0.1764,0.1764,391225600
1986-05-01,0.1764,0.1956,0.1669,0.1915,0.1915,224198400
1986-06-01,0.1915,0.2243,0.1805,0.2134,0.2134,476416000
1986-07-01,0.2134,0.2216,0.1491,0.1532,0.1532,444038400
1986-08-01,0.1532,0.1737,0.1477,0.16,0.16,294291200
1986-09-01,0.16,0.1641,0.1135,0.1163,0.1163,343833600
1986-10-01,0.1163,0.1655,0.1135,0.16,0.16,535174400
1986-11-01,0.16,0.1737,0.1395,0.1532,0.1532,574054400
1986-12-01,0.1532,0.1587,0.1245,0.1286,0.1286,345299200
1987-01-01,0.1286,0.1423,0.1258,0.1354,0.1354,344736000
1987-02-01,0.1354,0.1641,0.134,0.1641,0.1641,285523200
1987-03-01,0.1641,0.2065,0.1532,0.1983,0.1983,936435200
1987-04-01,0.1983,0.1997,0.1723,0.1833,0.1833,375033600
1987-05-01,0.1833,0.1874,0.1641,0.1847,0.1847,327321600
1987-06-01,0.1847,0.2093,0.1778,0.1847,0.1847,340192000
1987-07-01,0.1847,0.2407,0.1833,0.2339,0.2339,529984000
1987-08-01,0.2325,0.2476,0.2188,0.2353,0.2353,294572800
1987-09-01,0.2353,0.2708,0.2161,0.2612,0.2612,484953600
1987-10-01,0.2618,0.2672,0.1535,0.1836,0.1836,583648000
1987-11-01,0.1836,0.196,0.1672,0.1713,0.1713,276192000
1987-12-01,0.1713,0.2289,0.1631,0.2138,0.2138,235865600
1988-01-01,0.2152,0.2221,0.1904,0.1959,0.1959,300352000
1988-02-01,0.1959,0.2538,0.1959,0.2345,0.2345,347065600
1988-03-01,0.2345,0.2925,0.2331,0.2456,0.2456,1000524800
1988-04-01,0.2466,0.2812,0.2383,0.2785,0.2785,409478400
1988-05-01,0.2785,0.284,0.2438,0.2688,0.2688,290284800
1988-06-01,0.2688,0.3228,0.2563,0.3159,0.3159,426214400
1988-07-01,0.3172,0.3172,0.274,0.2838,0.2838,250963200
1988-08-01,0.2838,0.2963,0.2615,0.2824,0.2824,271635200
1988-09-01,0.2824,0.3408,0.2754,0.3283,0.3283,668224000
1988-10-01,0.3294,0.3839,0.3239,0.3574,0.3574,442604800
1988-11-01,0.3574,0.3769,0.2973,0.3169,0.3169,746144000
1988-12-01,0.3169,0.3266,0.2722,0.2959,0.2959,701600000
1989-01-01,0.2976,0.3509,0.2835,0.3397,0.3397,576480000
1989-02-01,0.3397,0.3734,0.3284,0.3369,0.3369,331891200
1989-03-01,0.3369,0.3874,0.3327,0.3776,0.3776,429273600
1989-04-01,0.3795,0.426,0.3781,0.4133,0.4133,309766400
1989-05-01,0.4133,0.4486,0.4091,0.4288,0.4288,360524800
1989-06-01,0.4288,0.5149,0.4288,0.4599,0.4599,649830400
1989-07-01,0.4615,0.5252,0.4558,0.5252,0.5252,589273600
1989-08-01,0.5252,0.5903,0.5138,0.5903,0.5903,400832000
1989-09-01,0.5903,0.7771,0.5789,0.7531,0.7531,870624000
1989-10-01,0.7508,0.7863,0.6529,0.6983,0.6983,596755200
1989-11-01,0.6983,0.721,0.6472,0.6699,0.6699,598048000
1989-12-01,0.6699,0.6756,0.5365,0.6046,0.6046,660038400
1990-01-01,0.6068,0.6496,0.5556,0.5755,0.5755,425433600
1990-02-01,0.5755,0.6467,0.547,0.6467,0.6467,363891200
1990-03-01,0.6467,0.8063,0.6239,0.7721,0.7721,532960000
1990-04-01,0.7746,0.8118,0.746,0.7861,0.7861,404140800
1990-05-01,0.7861,0.949,0.7861,0.8975,0.8975,663059200
1990-06-01,0.8975,0.9233,0.8075,0.8775,0.8775,682073600
1990-07-01,0.8798,1.0991,0.877,0.9859,0.9859,890694400
1990-08-01,0.9859,1.0016,0.6735,0.7509,0.7509,1135193600
1990-09-01,0.7509,0.8712,0.662,0.7165,0.7165,829804800
1990-10-01,0.7272,0.7804,0.5978,0.6323,0.6323,631235200
1990-11-01,0.6323,0.8393,0.6266,0.7847,0.7847,339955200
1990-12-01,0.7933,0.9255,0.7933,0.9255,0.9255,319811200
1991-01-01,0.929,1.1021,0.8136,1.1021,1.1021,312720000
1991-02-01,1.1021,1.2435,1.004,1.1079,1.1079,350928000
1991-03-01,1.1079,1.2579,1.0098,1.0646,1.0646,298153600
1991-04-01,1.065,1.1602,0.9842,1.0967,1.0967,325856000
1991-05-01,1.0967,1.14,0.8803,0.9178,0.9178,427395200
1991-06-01,0.9178,0.964,0.811,0.8341,0.8341,269859200
1991-07-01,0.8345,1.0135,0.82,1.0077,1.0077,305676800
1991-08-01,1.0077,1.155,0.976,1.1521,1.1521,297177600
1991-09-01,1.1521,1.2618,1.0943,1.2503,1.2503,233571200
1991-10-01,1.2507,1.3056,1.1439,1.2767,1.2767,245801600
1991-11-01,1.2825,1.45,1.2623,1.3605,1.3605,212531200
1991-12-01,1.3489,1.7504,1.3229,1.6725,1.6725,190147200
1992-01-01,1.6412,1.7915,1.6065,1.7019,1.7019,217632000
1992-02-01,1.7077,1.7886,1.5632,1.6874,1.6874,133628800
1992-03-01,1.6932,1.7308,1.5083,1.5574,1.5574,187872000
1992-04-01,1.5492,1.659,1.3584,1.448,1.448,254089600
1992-05-01,1.4538,1.526,1.3122,1.3411,1.3411,213974400
1992-06-01,1.344,1.4509,1.2717,1.4364,1.4364,173193600
1992-07-01,1.4398,1.6711,1.382,1.6596,1.6596,199916800
1992-08-01,1.6538,1.6942,1.5844,1.674,1.674,115926400
1992-09-01,1.674,1.859,1.6567,1.8388,1.8388,185708800
1992-10-01,1.8335,1.8393,1.7149,1.8017,1.8017,165008000
1992-11-01,1.8075,2.088,1.8075,1.9955,1.9955,158806400
1992-12-01,1.9926,2.0822,1.9203,1.9203,1.9203,187875200
1993-01-01,1.9266,2.025,1.8196,1.889,1.889,163939200
1993-02-01,1.9064,2.0655,1.4927,1.6692,1.6692,242966400
1993-03-01,1.6692,1.8398,1.6315,1.7733,1.7733,201008000
1993-04-01,1.771,1.7739,1.5685,1.58,1.58,189539200
1993-05-01,1.5858,1.7884,1.58,1.6784,1.6784,178752000
1993-06-01,1.6842,1.7305,1.253,1.2762,1.2762,351235200
1993-07-01,1.2737,1.3432,1.2448,1.3027,1.3027,269683200
1993-08-01,1.3085,1.3316,1.1435,1.2477,1.2477,224012800
1993-09-01,1.2448,1.2593,1.0016,1.0421,1.0421,355510400
1993-10-01,1.0426,1.1469,1.0368,1.1208,1.1208,244019200
1993-11-01,1.1208,1.2598,1.1063,1.1092,1.1092,234256000
1993-12-01,1.1179,1.1266,0.9992,1.0716,1.0716,334928000
1994-01-01,1.0751,1.2257,1.0722,1.1591,1.1591,267929600
1994-02-01,1.1649,1.2054,1.133,1.1997,1.1997,167766400
1994-03-01,1.1939,1.3532,1.1707,1.2286,1.2286,292531200
1994-04-01,1.2176,1.3626,1.2118,1.2437,1.2437,163840000
1994-05-01,1.2495,1.4351,1.2292,1.3684,1.3684,189664000
1994-06-01,1.3626,1.409,1.3046,1.3858,1.3858,165734400
1994-07-01,1.3893,1.4821,1.3516,1.427,1.427,186275200
1994-08-01,1.4328,1.5459,1.427,1.4937,1.4937,192784000
1994-09-01,1.4995,1.5401,1.3487,1.3748,1.3748,171948800
1994-10-01,1.3753,1.4594,1.3492,1.413,1.413,86121600
1994-11-01,1.4101,1.516,1.3782,1.4827,1.4827,119628800
1994-12-01,1.4856,1.7757,1.4769,1.7322,1.7322,218908800
1995-01-01,1.7185,1.7185,1.6198,1.6488,1.6488,171318400
1995-02-01,1.6372,1.7185,1.5966,1.6692,1.6692,154931200
1995-03-01,1.6692,1.8114,1.6633,1.7417,1.7417,248832000
1995-04-01,1.7366,1.786,1.6466,1.7802,1.7802,208822400
1995-05-01,1.7744,1.8731,1.7686,1.8325,1.8325,161600000
1995-06-01,1.8296,1.9893,1.8151,1.9515,1.9515,160800000
1995-07-01,1.9465,2.1557,1.9349,2.1005,2.1005,168070400
1995-08-01,2.1063,2.2486,2.0743,2.1528,2.1528,179542400
1995-09-01,2.1528,2.6379,2.1063,2.5827,2.5827,277667200
1995-10-01,2.5865,2.7144,2.5022,2.633,2.633,173388800
1995-11-01,2.6272,2.912,2.604,2.697,2.697,139150400
1995-12-01,2.697,3.2724,2.6911,3.2375,3.2375,152985600
1996-01-01,3.1988,3.321,2.9604,3.2454,3.2454,166953600
1996-02-01,3.1058,3.2105,2.9545,3.0243,3.0243,193336000
1996-03-01,3.0418,3.9956,3.0418,3.7804,3.7804,240600000
1996-04-01,3.7825,4.4052,3.6196,4.0735,4.0735,219643200
1996-05-01,4.0793,4.8474,4.0735,4.6728,4.6728,207619200
1996-06-01,4.667,5.022,4.5274,4.7834,4.7834,137120000
1996-07-01,4.7911,5.1462,4.4592,4.7911,4.7911,263596800
1996-08-01,4.8027,5.1811,4.8027,5.0297,5.0297,132184000
1996-09-01,4.9541,5.8447,4.9308,5.6701,5.6701,207443200
1996-10-01,5.6837,5.9633,5.3576,5.509,5.509,195209600
1996-11-01,5.5323,5.5789,4.8102,5.2994,5.2994,360784000
1996-12-01,5.311,5.8468,4.7986,5.5906,5.5906,241409600
1997-01-01,5.5724,6.4701,5.3976,6.3768,6.3768,235096000
1997-02-01,6.3535,7.1229,5.8872,6.7033,6.7033,197195200
1997-03-01,6.5983,6.8198,5.724,5.7706,5.7706,330716800
1997-04-01,5.7634,5.9034,4.7834,5.25,5.25,590005600
1997-05-01,5.285,6.2067,5.0167,5.3667,5.3667,652409600
1997-06-01,5.39,5.7984,5.1217,5.4484,5.4484,346074400
1997-07-01,5.4296,5.9901,5.1961,5.85,5.85,323491200
