Date,Open,High,Low,Close,Adj Close,Volume
,NTAP,NTAP,NTAP,NTAP,,NTAP
1995-11-01,0.8068,1.4849,0.8068,1.4148,1.4148,87808000
1995-12-01,1.4381,1.9526,1.3914,1.8766,1.8766,47649600
1996-01-01,1.8707,1.8707,1.064,1.4381,1.4381,52400000
1996-02-01,1.4615,1.9292,1.4264,1.4849,1.4849,45744000
1996-03-01,1.5083,1.5317,1.4031,1.4849,1.4849,12670400
1996-04-01,1.4849,1.6369,1.216,1.4966,1.4966,23808000
1996-05-01,1.5434,1.8474,1.4498,1.6018,1.6018,45950400
1996-06-01,1.6018,1.6603,1.3329,1.3914,1.3914,21608000
1996-07-01,1.3446,1.3914,0.9354,1.1224,1.1224,7022400
1996-08-01,1.0523,1.4615,0.9529,1.3095,1.3095,52926400
1996-09-01,1.2628,1.4966,1.1458,1.4031,1.4031,53848000
1996-10-01,1.4031,1.7304,1.2978,1.6369,1.6369,47899200
1996-11-01,1.6369,1.8824,1.5609,1.6837,1.6837,42988800
1996-12-01,1.6603,2.4203,1.6603,2.3794,2.3794,95425600
1997-01-01,2.4086,2.8003,2.1514,2.3969,2.3969,59819200
1997-02-01,2.4086,2.5723,1.7304,1.8707,1.8707,59617600
1997-03-01,1.8357,1.976,1.3797,1.52,1.52,32500800
1997-04-01,1.4615,1.8474,0.9938,1.3621,1.3621,52275200
1997-05-01,1.368,1.9526,1.3212,1.8971,1.8971,49737600
1997-06-01,1.8707,1.8707,1.5901,1.7772,1.7772,28558400
1997-07-01,1.7538,2.0929,1.6311,2.0403,2.0403,32649600
1997-08-01,2.0227,2.2244,1.8766,2.2098,2.2098,44360000
1997-09-01,2.1864,2.6249,2.0286,2.5372,2.5372,47337600
1997-10-01,2.5197,2.6717,2.1981,2.3501,2.3501,33776000
1997-11-01,2.432,2.5957,2.2917,2.356,2.356,21590400
1997-12-01,2.3501,3.3673,2.2215,3.3206,3.3206,61384800
1998-01-01,3.2738,3.2738,2.432,2.8178,2.8178,33274400
1998-02-01,2.923,3.2738,2.4963,2.7594,2.7594,44761600
1998-03-01,2.8061,3.4258,2.619,3.3206,3.3206,47671200
1998-04-01,3.4024,3.496,2.8997,3.3732,3.3732,18012800
1998-05-01,3.4141,3.7415,3.0984,3.2533,3.2533,30244800
1998-06-01,3.1569,3.648,3.0867,3.6421,3.6421,38940800
1998-07-01,3.5544,4.8289,3.5544,3.9052,3.9052,42340800
1998-08-01,3.8701,4.7236,3.6713,3.8993,3.8993,31128000
