Date,Open,High,Low,Close,Adj Close,Volume
,NTRS,NTRS,NTRS,NTRS,,NTRS
1985-01-01,0.0,0.7839,0.7343,0.7746,0.7746,8334000
1985-02-01,0.0,0.8025,0.7746,0.7963,0.7963,5954400
1985-03-01,0.0,0.8211,0.7932,0.7932,0.7932,4176000
1985-04-01,0.0,0.7963,0.7684,0.7746,0.7746,15091200
1985-05-01,0.0,0.8366,0.7777,0.8304,0.8304,13856400
1985-06-01,0.0,0.8861,0.8304,0.883,0.883,4464000
1985-07-01,0.0,0.9264,0.8768,0.8768,0.8768,11858400
1985-08-01,0.0,0.8923,0.8366,0.8366,0.8366,6940800
1985-09-01,0.0,0.8583,0.8428,0.8521,0.8521,9406800
1985-10-01,0.0,0.976,0.8521,0.9512,0.9512,4852800
1985-11-01,0.0,1.0535,0.9512,1.0473,1.0473,4215600
1985-12-01,0.0,1.0597,1.0442,1.0504,1.0504,3110400
1986-01-01,0.0,1.1464,1.0504,1.1294,1.1294,8758800
1986-02-01,0.0,1.1495,1.1278,1.1402,1.1402,5637600
1986-03-01,0.0,1.2672,1.1309,1.2672,1.2672,13500000
1986-04-01,0.0,1.3137,1.2363,1.2703,1.2703,7038000
1986-05-01,0.0,1.5244,1.2549,1.5058,1.5058,5836800
1986-06-01,0.0,1.5802,1.4222,1.5755,1.5755,11097600
1986-07-01,0.0,1.7475,1.5244,1.5988,1.5988,9183600
1986-08-01,0.0,1.6731,1.5709,1.6267,1.6267,8276400
1986-09-01,0.0,1.636,1.3292,1.3617,1.3617,9153600
1986-10-01,0.0,1.4593,1.3478,1.4593,1.4593,9075600
1986-11-01,0.0,1.4872,1.4036,1.4408,1.4408,7998000
1986-12-01,0.0,1.5337,1.3757,1.4547,1.4547,7404000
1987-01-01,0.0,1.6358,1.4582,1.5984,1.5984,8582400
1987-02-01,0.0,1.6825,1.5984,1.6638,1.6638,8151600
1987-03-01,0.0,1.6732,1.5517,1.561,1.561,19849200
1987-04-01,0.0,1.5787,1.3907,1.4189,1.4189,16738800
1987-05-01,0.0,1.5223,1.4189,1.5035,1.5035,8653200
1987-06-01,0.0,1.7008,1.5035,1.6961,1.6961,4300800
1987-07-01,0.0,1.7105,1.5876,1.6538,1.6538,5713200
1987-08-01,0.0,1.9278,1.6443,1.7955,1.7955,7308000
1987-09-01,0.0,1.8239,1.6632,1.6821,1.6821,6530400
1987-10-01,0.0,1.7662,1.13,1.3674,1.3674,12614400
1987-11-01,0.0,1.5193,1.3484,1.4054,1.4054,8918400
1987-12-01,0.0,1.4054,1.2534,1.3674,1.3674,4378800
1988-01-01,0.0,1.6067,1.3963,1.5971,1.5971,4414800
1988-02-01,0.0,1.6067,1.4728,1.5684,1.5684,4116000
1988-03-01,0.0,1.6641,1.5302,1.6497,1.6497,3522000
1988-04-01,0.0,1.6552,1.5878,1.607,1.607,3441600
1988-05-01,0.0,1.6263,1.5301,1.5397,1.5397,6772800
1988-06-01,0.0,1.6648,1.5397,1.6648,1.6648,7555200
1988-07-01,0.0,1.6945,1.6267,1.6364,1.6364,3060000
1988-08-01,0.0,1.6654,1.5977,1.5977,1.5977,6892800
1988-09-01,0.0,1.6751,1.588,1.6461,1.6461,17067600
1988-10-01,0.0,1.8704,1.6658,1.8119,1.8119,8586000
1988-11-01,0.0,1.8119,1.6853,1.695,1.695,5772000
1988-12-01,0.0,1.734,1.695,1.734,1.734,9261600
1989-01-01,0.0,1.8346,1.7169,1.815,1.815,15207600
1989-02-01,0.0,1.9229,1.815,1.8444,1.8444,7651200
1989-03-01,0.0,1.9523,1.8346,1.9327,1.9327,7197600
1989-04-01,0.0,2.0788,1.9455,2.0739,2.0739,7572000
1989-05-01,0.0,2.2813,2.0541,2.2813,2.2813,22057200
1989-06-01,0.0,2.3603,2.2418,2.2467,2.2467,9916800
1989-07-01,0.0,2.5712,2.2634,2.5414,2.5414,10407600
1989-08-01,0.0,2.8293,2.5215,2.6804,2.6804,19821600
1989-09-01,0.0,2.6804,2.5215,2.5414,2.5414,7858800
1989-10-01,0.0,2.7028,2.5133,2.5532,2.5532,12069600
1989-11-01,0.0,2.5731,2.5432,2.5432,2.5432,8682000
1989-12-01,0.0,2.613,2.4136,2.4634,2.4634,9738000
1990-01-01,0.0,2.6085,2.3978,2.468,2.468,13130400
1990-02-01,0.0,2.5784,2.458,2.5383,2.5383,7246800
1990-03-01,0.0,2.5985,2.448,2.468,2.468,7076400
1990-04-01,2.4729,2.5031,2.4325,2.4628,2.4628,7311600
1990-05-01,2.483,2.7252,2.4224,2.5637,2.5637,7181400
1990-06-01,2.5637,2.6848,2.4022,2.4426,2.4426,7851600
1990-07-01,2.4167,2.4878,2.1933,2.3355,2.3355,14112600
1990-08-01,2.3355,2.3355,1.8887,2.0207,2.0207,11455200
1990-09-01,2.0106,2.0918,1.5841,1.7059,1.7059,12763200
1990-10-01,1.7395,2.1693,1.7191,1.9851,1.9851,10471800
1990-11-01,1.9646,2.333,1.9646,2.2614,2.2614,6304200
1990-12-01,2.2921,2.5377,2.1693,2.4149,2.4149,7459200
1991-01-01,2.4433,2.5774,2.2268,2.5567,2.5567,9501600
1991-02-01,2.598,2.8454,2.5361,2.7629,2.7629,15590400
