Date,Open,High,Low,Close,Adj Close,Volume
,NVR,NVR,NVR,NVR,,NVR
1985-07-01,23.5866,23.9717,21.5649,21.6612,21.6612,1252300
1985-08-01,21.6612,22.3351,20.3134,20.891,20.891,268300
1985-09-01,20.9873,21.0835,18.4842,19.6395,19.6395,184900
1985-10-01,19.6395,21.3724,18.773,18.9656,18.9656,726000
1985-11-01,18.9656,20.2171,16.1737,20.0246,20.0246,1188700
1985-12-01,20.0246,20.7947,19.7357,20.7947,20.7947,948400
1986-01-01,20.9873,23.009,20.0246,22.8164,22.8164,998700
1986-02-01,23.009,27.5338,22.7202,27.4375,27.4375,650900
1986-03-01,27.3412,34.8504,27.1487,34.6579,34.6579,2002500
1986-04-01,34.8504,35.043,28.3039,29.0741,29.0741,947800
1986-05-01,28.8816,31.866,28.5928,30.1331,30.1331,436100
1986-06-01,30.1331,30.3256,23.8754,26.7636,26.7636,1261700
1986-07-01,26.3785,27.9189,23.4903,24.4531,24.4531,854900
1986-08-01,24.4531,30.2294,24.4531,29.3629,29.3629,866700
1986-09-01,29.5555,39.0864,27.7263,38.1237,38.1237,5942900
1986-10-01,38.0274,38.2199,32.3474,35.4281,35.4281,5576100
1986-11-01,35.7169,36.102,34.4653,35.7169,35.7169,2788500
1986-12-01,35.7169,36.0057,34.6579,35.1392,35.1392,269700
1987-01-01,35.2355,36.0057,35.2355,35.9094,35.9094,226200
1987-02-01,36.0057,36.4871,36.0057,36.1982,36.1982,413200
1987-03-01,36.2945,36.487,36.1982,36.2945,36.2945,116400
1987-04-01,36.2945,36.487,36.2945,36.2945,36.2945,251900
1987-05-01,36.1982,36.7759,35.4281,36.5833,36.5833,226500
1987-06-01,36.6796,36.6796,7.0278,7.4129,7.4129,582900
1987-07-01,7.2204,7.4129,5.9689,6.8353,6.8353,868300
1987-08-01,6.8353,7.0278,6.0651,6.2577,6.2577,683700
1987-09-01,6.3539,6.4502,4.4285,4.8136,4.8136,903600
1987-10-01,4.8779,5.4632,2.5365,3.5121,3.5121,1445400
1987-11-01,3.4145,3.9023,3.0243,3.1218,3.1218,720100
1987-12-01,3.0243,3.317,2.7316,2.9267,2.9267,992600
1988-01-01,3.1384,4.657,3.1384,4.657,4.657,788300
1988-02-01,4.657,5.8718,4.4545,4.657,4.657,815400
1988-03-01,4.657,4.7582,4.0496,4.1508,4.1508,575700
1988-04-01,4.3178,4.4206,3.701,4.4206,4.4206,325400
1988-05-01,4.5234,5.2431,4.5234,5.1403,5.1403,623200
1988-06-01,5.1403,6.0655,5.0375,5.9627,5.9627,711500
1988-07-01,5.9627,5.9627,5.0375,5.5515,5.5515,432100
1988-08-01,5.6582,5.763,4.9248,5.2391,5.2391,498700
1988-09-01,5.1343,5.1343,4.6104,4.82,4.82,351200
1988-10-01,4.82,5.2391,4.7152,5.0296,5.0296,380300
1988-11-01,5.1343,5.3439,4.6104,4.7152,4.7152,505000
1988-12-01,4.9203,5.2412,4.8134,5.0273,5.0273,336700
1989-01-01,5.1343,6.4178,5.0273,6.4178,6.4178,921000
1989-02-01,6.4178,6.6317,5.883,5.99,5.99,1002300
1989-03-01,6.1421,6.5808,6.0324,6.1421,6.1421,600800
1989-04-01,6.1421,6.1421,5.2647,6.0324,6.0324,592700
1989-05-01,6.1021,6.5541,6.1021,6.4411,6.4411,528300
1989-06-01,6.4411,6.5541,5.9891,6.2151,6.2151,548700
1989-07-01,6.2151,6.6671,6.1021,6.5541,6.5541,557800
1989-08-01,6.8777,7.6937,6.6445,7.2274,7.2274,986500
1989-09-01,7.1108,7.3439,6.4114,6.7611,6.7611,606500
1989-10-01,6.7611,6.8777,5.712,5.8285,5.8285,773100
1989-11-01,6.1509,6.1509,5.4272,5.6684,5.6684,670200
1989-12-01,5.6684,5.7891,4.583,4.8242,4.8242,972700
1990-01-01,4.8242,5.186,4.7036,4.8242,4.8242,479500
1990-02-01,4.8242,4.8242,4.1006,4.3418,4.3418,556300
1990-03-01,4.5,4.5,4.0,4.25,4.25,439800
1990-04-01,4.25,4.375,3.125,3.25,3.25,560200
1990-05-01,3.125,3.25,2.375,2.5,2.5,1033800
1990-06-01,2.5,3.125,1.625,1.75,1.75,969400
1990-07-01,1.625,2.125,1.0,1.25,1.25,967100
1990-08-01,1.25,1.375,0.3125,0.9375,0.9375,925800
1990-09-01,0.9375,0.9375,0.5,0.5,0.5,574000
1990-10-01,0.5625,0.625,0.4375,0.5,0.5,785100
1990-11-01,0.5,0.5,0.25,0.3125,0.3125,891500
1990-12-01,0.25,0.4375,0.1875,0.3125,0.3125,1252900
1991-01-01,0.3125,1.125,0.3125,1.0625,1.0625,693800
1991-02-01,1.125,2.25,0.75,1.375,1.375,1529800
1991-03-01,1.25,1.625,1.25,1.375,1.375,685700
1991-04-01,1.375,1.625,1.25,1.375,1.375,601600
1991-05-01,1.375,1.5,1.125,1.25,1.25,350600
1991-06-01,1.375,1.375,0.75,1.125,1.125,416800
1991-07-01,1.125,1.25,0.75,0.8125,0.8125,257800
1991-08-01,0.8125,1.125,0.75,0.875,0.875,347700
1991-09-01,0.875,1.0,0.625,0.625,0.625,254400
1991-10-01,0.75,0.8125,0.5,0.5,0.5,509200
1991-11-01,0.5,1.0,0.5,0.6875,0.6875,1031100
1991-12-01,0.6875,1.125,0.5,0.875,0.875,1028900
1992-01-01,0.875,2.125,0.8125,1.625,1.625,2591400
1992-02-01,1.625,1.875,1.25,1.5,1.5,1753500
1992-03-01,1.5,1.625,1.125,1.125,1.125,983500
1992-04-01,1.125,1.125,0.375,0.6875,0.6875,2499600
1992-05-01,0.6875,0.75,0.5625,0.75,0.75,548700
1992-06-01,0.75,0.8125,0.5625,0.5625,0.5625,478100
1992-07-01,0.625,0.625,0.5,0.625,0.625,281300
1992-08-01,0.5625,0.625,0.5,0.5625,0.5625,390200
1992-09-01,0.625,0.625,0.5,0.625,0.625,234200
1992-10-01,0.5625,0.5625,0.4375,0.5,0.5,339900
1992-11-01,0.5,0.8125,0.25,0.5,0.5,585500
1992-12-01,0.5,0.625,0.5,0.5,0.5,932300
1993-01-01,0.5,1.0,0.5,0.75,0.75,1035900
1993-02-01,0.75,0.75,0.625,0.625,0.625,431300
1993-03-01,0.625,0.75,0.625,0.6875,0.6875,389800
1993-04-01,0.625,0.6875,0.5,0.625,0.625,356900
1993-05-01,0.6875,0.6875,0.4375,0.5625,0.5625,954100
1993-06-01,0.5,0.5625,0.375,0.375,0.375,672600
1993-07-01,0.375,0.4375,0.3125,0.375,0.375,1440700
1993-08-01,0.375,0.5,0.375,0.5,0.5,1870100
1993-09-01,0.4375,0.5,0.375,0.375,0.375,1312500
1993-10-01,9.75,11.125,9.375,10.125,10.125,666400
1993-11-01,10.0,10.25,8.5,8.875,8.875,522800
1993-12-01,8.875,10.125,8.875,9.75,9.75,406200
1994-01-01,9.875,11.25,9.625,11.0,11.0,1317400
1994-02-01,10.75,10.75,9.375,9.5,9.5,389200
1994-03-01,9.375,9.5,7.5,7.5,7.5,608400
1994-04-01,7.25,8.75,7.0,7.5,7.5,1234900
1994-05-01,7.5,8.125,6.875,7.0,7.0,846100
1994-06-01,7.0,7.0,5.75,6.25,6.25,1797700
1994-07-01,6.125,6.75,5.875,6.125,6.125,1469900
1994-08-01,6.25,6.25,5.5,5.875,5.875,390600
1994-09-01,5.875,6.25,5.625,5.875,5.875,618800
1994-10-01,5.625,6.0,5.125,6.0,6.0,572300
1994-11-01,5.875,5.875,5.125,5.25,5.25,597700
1994-12-01,5.125,5.75,5.125,5.5,5.5,378300
1995-01-01,5.5,5.625,5.375,5.625,5.625,472600
1995-02-01,5.5,6.25,5.5,6.0,6.0,601700
1995-03-01,5.875,6.0,5.625,5.875,5.875,179500
1995-04-01,5.875,6.75,5.875,6.75,6.75,286400
1995-05-01,6.75,8.125,6.625,7.25,7.25,405700
1995-06-01,7.25,7.5625,7.0,7.3125,7.3125,564400
1995-07-01,7.25,7.5,6.4375,7.0,7.0,180200
1995-08-01,7.125,10.0,7.125,9.8125,9.8125,1079600
1995-09-01,10.0,11.625,9.25,9.75,9.75,761500
1995-10-01,9.8125,10.25,9.5,10.0,10.0,611900
1995-11-01,9.875,10.0,9.25,9.75,9.75,975000
1995-12-01,9.625,11.25,9.625,10.0,10.0,1065600
1996-01-01,9.8125,10.75,9.8125,10.375,10.375,1053900
1996-02-01,10.5,11.125,9.75,10.0,10.0,680400
1996-03-01,10.125,10.125,9.0,9.5625,9.5625,439400
1996-04-01,9.6875,10.125,9.375,10.125,10.125,612700
1996-05-01,10.125,10.625,10.0,10.625,10.625,470300
1996-06-01,10.5,11.5,10.375,11.125,11.125,648100
1996-07-01,10.875,11.0,10.375,10.875,10.875,582800
1996-08-01,11.0,11.0,9.125,9.375,9.375,252400
1996-09-01,9.25,9.5,9.125,9.4375,9.4375,629400
1996-10-01,9.375,10.125,8.75,9.4375,9.4375,351500
1996-11-01,9.375,10.375,8.875,10.125,10.125,1164800
1996-12-01,10.125,13.25,10.0,13.0,13.0,1315200
1997-01-01,13.0,14.125,12.25,12.875,12.875,645500
1997-02-01,12.75,13.625,12.5,12.75,12.75,331200
1997-03-01,13.0,15.75,12.875,15.125,15.125,803600
1997-04-01,15.0,15.25,12.125,12.75,12.75,556200
1997-05-01,12.75,15.4375,12.75,15.3125,15.3125,349900
1997-06-01,15.0625,16.0,14.75,15.25,15.25,326500
1997-07-01,15.25,17.5,15.0,17.3125,17.3125,336400
1997-08-01,17.75,21.375,17.5,21.375,21.375,534800
1997-09-01,21.5,29.25,21.5,26.0,26.0,605900
1997-10-01,26.125,26.125,20.375,21.875,21.875,1058300
1997-11-01,22.125,23.375,20.375,22.5,22.5,900500
1997-12-01,22.5625,22.875,20.75,21.875,21.875,541600
1998-01-01,21.875,25.75,21.625,25.0,25.0,588800
1998-02-01,27.5,32.875,27.375,32.375,32.375,768700
1998-03-01,32.0,34.0,29.75,31.5625,31.5625,626700
1998-04-01,32.0,38.5,31.0,34.625,34.625,1914900
1998-05-01,34.25,34.875,31.3125,32.125,32.125,602100
1998-06-01,31.875,42.0,31.75,41.0625,41.0625,1163700
1998-07-01,41.0625,46.625,38.25,39.375,39.375,1416400
1998-08-01,39.125,41.5625,32.5,32.5625,32.5625,1128800
1998-09-01,32.75,37.3125,30.625,33.0,33.0,526300
1998-10-01,32.75,34.125,23.25,34.0,34.0,655800
1998-11-01,34.25,42.0,34.25,39.375,39.375,582600
1998-12-01,39.875,50.25,39.625,47.6875,47.6875,1093600
1999-01-01,47.6875,48.125,42.1875,44.5,44.5,790100
1999-02-01,44.875,47.1875,42.625,43.0,43.0,559800
1999-03-01,43.125,43.25,41.0,42.125,42.125,657700
1999-04-01,42.0,49.0,41.875,48.125,48.125,992300
1999-05-01,48.375,50.25,47.5,48.125,48.125,448300
1999-06-01,48.0,52.5,47.125,52.1875,52.1875,757200
1999-07-01,52.1875,57.8125,51.25,56.25,56.25,883900
1999-08-01,56.0,58.0,53.25,57.75,57.75,600100
1999-09-01,57.75,58.0,50.375,50.5,50.5,691100
1999-10-01,50.25,52.125,38.0,41.0,41.0,625800
1999-11-01,41.0,50.25,40.8125,48.625,48.625,602500
1999-12-01,48.875,49.8125,42.5,47.75,47.75,545700
2000-01-01,47.75,49.25,45.25,45.25,45.25,475100
2000-02-01,45.0,46.75,42.0,44.125,44.125,562100
2000-03-01,44.125,57.0,44.0,54.0,54.0,662600
2000-04-01,54.25,63.3125,52.125,62.0,62.0,775100
2000-05-01,62.5,65.0,55.0,55.0,55.0,1261500
2000-06-01,55.125,60.25,53.875,57.0,57.0,475500
2000-07-01,57.0,61.875,57.0,61.625,61.625,275700
2000-08-01,61.375,74.25,61.375,73.5,73.5,529200
2000-09-01,73.875,81.25,71.1875,81.0,81.0,435300
2000-10-01,81.25,106.0,75.95,103.4,103.4,618700
2000-11-01,103.4,113.2,81.65,91.0,91.0,726300
2000-12-01,90.5,128.74,90.5,123.6,123.6,1035300
2001-01-01,123.6,137.5,103.0,115.0,115.0,1958000
2001-02-01,115.25,149.24,111.5,147.25,147.25,1723600
2001-03-01,145.5,178.5,143.25,163.0,163.0,1812300
2001-04-01,163.5,199.91,160.0,190.62,190.62,1744500
