Date,Open,High,Low,Close,Adj Close,Volume
,OKE,OKE,OKE,OKE,,OKE
1985-01-01,0.0,0.485,0.4229,0.4793,0.4793,10937704
1985-02-01,0.0,0.5019,0.4587,0.4793,0.4793,4333964
1985-03-01,0.0,0.4793,0.4624,0.4681,0.4681,3043734
1985-04-01,0.0,0.4737,0.4455,0.4624,0.4624,8453191
1985-05-01,0.0,0.5075,0.4587,0.4925,0.4925,5971422
1985-06-01,0.0,0.4981,0.4605,0.4812,0.4812,2671833
1985-07-01,0.4775,0.4925,0.4587,0.4643,0.4643,6314997
1985-08-01,0.4738,0.4776,0.4335,0.4623,0.4623,2318210
1985-09-01,0.4623,0.468,0.4277,0.4316,0.4316,2629801
1985-10-01,0.4316,0.4584,0.4297,0.445,0.445,17963610
1985-11-01,0.4549,0.5039,0.4529,0.498,0.498,3169833
1985-12-01,0.498,0.5019,0.4647,0.5,0.5,2872862
1986-01-01,0.5,0.5098,0.4608,0.4706,0.4706,15225983
1986-02-01,0.4802,0.4902,0.4362,0.4582,0.4582,3465891
1986-03-01,0.4582,0.5042,0.4562,0.4822,0.4822,8373696
1986-04-01,0.4862,0.5022,0.4622,0.4722,0.4722,9251823
1986-05-01,0.4821,0.5025,0.4678,0.4984,0.4984,3915463
1986-06-01,0.4984,0.5045,0.4719,0.4984,0.4984,2095250
1986-07-01,0.4943,0.5209,0.4841,0.5066,0.5066,6305857
1986-08-01,0.5173,0.5485,0.5131,0.5444,0.5444,8847025
1986-09-01,0.5465,0.5506,0.4985,0.5235,0.5235,7397800
1986-10-01,0.5214,0.5757,0.5089,0.5444,0.5444,5013799
1986-11-01,0.5506,0.608,0.5506,0.5995,0.5995,5308030
1986-12-01,0.5953,0.6059,0.5634,0.5698,0.5698,10642562
1987-01-01,0.5762,0.6506,0.5676,0.6484,0.6484,6079245
1987-02-01,0.6596,0.7418,0.651,0.6899,0.6899,6094780
1987-03-01,0.6942,0.7396,0.6488,0.718,0.718,5181936
1987-04-01,0.7137,0.7613,0.5407,0.558,0.558,6724358
1987-05-01,0.5666,0.6041,0.5578,0.5688,0.5688,4527682
1987-06-01,0.5666,0.6151,0.5292,0.6085,0.6085,9891452
1987-07-01,0.6041,0.6218,0.5666,0.6019,0.6019,6855941
1987-08-01,0.618,0.6809,0.6045,0.6697,0.6697,7173014
1987-09-01,0.6719,0.6719,0.5843,0.5865,0.5865,4137504
1987-10-01,0.591,0.6382,0.3596,0.4202,0.4202,9090086
1987-11-01,0.4319,0.5169,0.4158,0.425,0.425,6972901
1987-12-01,0.4273,0.4687,0.2665,0.3078,0.3078,19683304
1988-01-01,0.3101,0.3653,0.3055,0.3561,0.3561,22196146
1988-02-01,0.3687,0.3734,0.333,0.3544,0.3544,5804205
1988-03-01,0.3544,0.3568,0.1831,0.1927,0.1927,34159089
1988-04-01,0.1903,0.226,0.1855,0.2117,0.2117,12791727
1988-05-01,0.2117,0.264,0.195,0.226,0.226,12343071
1988-06-01,0.226,0.3116,0.2093,0.3092,0.3092,12460031
1988-07-01,0.3163,0.3592,0.3021,0.3544,0.3544,9978260
1988-08-01,0.3592,0.3758,0.3163,0.3235,0.3235,6653086
1988-09-01,0.3211,0.3496,0.3187,0.3306,0.3306,3931911
1988-10-01,0.333,0.3401,0.3211,0.3259,0.3259,4674796
1988-11-01,0.3259,0.3473,0.3235,0.3354,0.3354,6575416
1988-12-01,0.333,0.3592,0.3306,0.3592,0.3592,5903803
1989-01-01,0.3592,0.4258,0.352,0.402,0.402,6843150
1989-02-01,0.4053,0.4367,0.3981,0.4318,0.4318,2720262
1989-03-01,0.4294,0.4343,0.4125,0.4198,0.4198,4835618
1989-04-01,0.4198,0.4801,0.4125,0.4729,0.4729,3953841
1989-05-01,0.4788,0.4886,0.4471,0.4569,0.4569,5327221
1989-06-01,0.4593,0.4886,0.4569,0.4666,0.4666,3695244
1989-07-01,0.4642,0.5497,0.4544,0.5473,0.5473,6216309
1989-08-01,0.5642,0.5964,0.5618,0.5939,0.5939,6844062
1989-09-01,0.5915,0.6038,0.5791,0.6038,0.6038,5772220
1989-10-01,0.6063,0.6261,0.5172,0.5618,0.5618,7015849
1989-11-01,0.5693,0.6821,0.5693,0.6746,0.6746,5929387
1989-12-01,0.6771,0.6796,0.6295,0.6395,0.6395,5569366
