Date,Open,High,Low,Close,Adj Close,Volume
,ON,ON,ON,ON,,ON
2000-05-01,24.875,25.0625,17.8125,19.3125,19.3125,24418300
2000-06-01,19.5938,26.8125,19.5625,21.875,21.875,13987700
2000-07-01,22.875,24.6875,19.375,22.125,22.125,15203300
2000-08-01,21.75,22.0,16.25,17.0,17.0,14983900
2000-09-01,17.25,17.625,10.125,10.875,10.875,9466400
2000-10-01,11.0,12.9375,9.1875,10.0625,10.0625,7716000
2000-11-01,9.9375,10.75,6.5,6.625,6.625,9708800
2000-12-01,6.9688,9.75,4.0,5.25,5.25,16629900
2001-01-01,5.125,8.75,4.75,7.375,7.375,8362300
2001-02-01,7.4375,7.6875,5.5,6.0,6.0,2252400
2001-03-01,5.8125,6.75,4.5938,5.3438,5.3438,4601000
2001-04-01,5.3125,5.99,3.9375,5.9,5.9,2319000
2001-05-01,5.91,8.0,5.6,7.01,7.01,4789200
2001-06-01,6.8,6.99,4.25,4.55,4.55,4137700
2001-07-01,4.59,5.0,3.04,3.39,3.39,3932100
2001-08-01,3.5,4.02,3.25,3.31,3.31,4084400
2001-09-01,3.39,3.54,1.65,1.85,1.85,3593300
2001-10-01,1.76,2.13,1.12,1.44,1.44,8544000
2001-11-01,1.48,1.96,1.3,1.63,1.63,8643100
2001-12-01,1.59,2.65,1.54,2.07,2.07,17237300
2002-01-01,2.09,4.13,2.01,3.1,3.1,13061300
2002-02-01,3.0,3.09,2.0,2.85,2.85,4742500
2002-03-01,2.9,4.2,2.79,4.2,4.2,4133400
2002-04-01,4.2,6.27,3.27,3.64,3.64,10411300
2002-05-01,3.69,4.3,2.81,2.86,2.86,11649500
2002-06-01,2.96,3.08,1.58,2.06,2.06,7192100
2002-07-01,2.04,2.9,1.67,1.67,1.67,4974800
2002-08-01,1.9,2.3,1.76,1.93,1.93,1633800
2002-09-01,1.93,1.99,1.13,1.25,1.25,2198500
2002-10-01,1.3,1.51,0.89,1.29,1.29,2132700
2002-11-01,1.29,2.67,1.29,2.19,2.19,3401300
2002-12-01,2.2,2.5,1.31,1.37,1.37,2651600
2003-01-01,1.46,1.97,1.2,1.28,1.28,2553900
2003-02-01,1.29,1.49,1.1,1.41,1.41,2124200
2003-03-01,1.38,1.49,1.19,1.27,1.27,4052000
2003-04-01,1.31,1.39,0.95,1.36,1.36,18120200
2003-05-01,1.41,2.85,1.31,2.71,2.71,12564700
2003-06-01,2.71,2.95,2.09,2.7,2.7,8734200
2003-07-01,2.7,3.6,2.35,2.92,2.92,10818300
2003-08-01,2.81,4.85,2.72,4.79,4.79,7590500
2003-09-01,4.98,6.39,3.73,4.0,4.0,51598600
2003-10-01,4.2,5.1,4.0,4.3,4.3,42701700
2003-11-01,4.31,6.73,4.22,6.57,6.57,46670100
2003-12-01,6.66,7.49,5.53,6.48,6.48,45265600
2004-01-01,6.57,8.56,6.0,7.0,7.0,49619300
2004-02-01,7.0,8.7,6.8,8.47,8.47,85282100
