Date,Open,High,Low,Close,Adj Close,Volume
,ORCL,ORCL,ORCL,ORCL,,ORCL
1986-03-01,0.0509,0.0546,0.0484,0.0515,0.0515,790657200
1986-04-01,0.0497,0.0717,0.0484,0.0621,0.0621,395247600
1986-05-01,0.0621,0.0671,0.0577,0.0584,0.0584,199195200
1986-06-01,0.0584,0.0646,0.0522,0.0605,0.0605,308221200
1986-07-01,0.0605,0.0615,0.0385,0.0385,0.0385,448513200
1986-08-01,0.0385,0.0422,0.0335,0.041,0.041,357080400
1986-09-01,0.041,0.0428,0.0323,0.0354,0.0354,414752400
1986-10-01,0.0354,0.0478,0.0342,0.0447,0.0447,603158400
1986-11-01,0.0441,0.0546,0.0435,0.0534,0.0534,551545200
1986-12-01,0.0534,0.0534,0.0466,0.0515,0.0515,354650400
1987-01-01,0.0515,0.0745,0.0503,0.0671,0.0671,1310158800
1987-02-01,0.0671,0.0962,0.0664,0.0956,0.0956,1006959600
1987-03-01,0.0956,0.1155,0.0931,0.1093,0.1093,548596800
1987-04-01,0.1093,0.1391,0.1006,0.1167,0.1167,849722400
1987-05-01,0.1167,0.1465,0.1105,0.1354,0.1354,509765400
1987-06-01,0.1354,0.1366,0.1018,0.1105,0.1105,653491800
1987-07-01,0.1105,0.1192,0.0994,0.113,0.113,614660400
1987-08-01,0.113,0.1329,0.1105,0.1329,0.1329,519598800
1987-09-01,0.1329,0.1701,0.1155,0.1614,0.1614,650057400
1987-10-01,0.1614,0.1888,0.0758,0.1242,0.1242,1512318600
1987-11-01,0.1242,0.1279,0.0969,0.108,0.108,614887200
1987-12-01,0.108,0.159,0.0956,0.1441,0.1441,647643600
1988-01-01,0.1441,0.1664,0.113,0.1391,0.1391,734840100
1988-02-01,0.1391,0.1614,0.1192,0.1503,0.1503,508931100
1988-03-01,0.1503,0.1763,0.1465,0.1614,0.1614,865420200
1988-04-01,0.1614,0.1689,0.1465,0.1664,0.1664,437788800
1988-05-01,0.1664,0.1788,0.1515,0.1664,0.1664,463279500
1988-06-01,0.1664,0.2062,0.1664,0.1962,0.1962,831805200
1988-07-01,0.1962,0.2211,0.1788,0.1888,0.1888,740032200
1988-08-01,0.1888,0.2012,0.1664,0.1838,0.1838,570264300
1988-09-01,0.1838,0.2037,0.1763,0.1999,0.1999,483359400
1988-10-01,0.1999,0.2012,0.1441,0.1565,0.1565,1300438800
1988-11-01,0.1565,0.1788,0.149,0.1714,0.1714,715545900
1988-12-01,0.1714,0.1962,0.1689,0.1937,0.1937,1106735400
1989-01-01,0.1937,0.2434,0.1863,0.2347,0.2347,1255419000
1989-02-01,0.2347,0.2484,0.2186,0.2235,0.2235,794383200
1989-03-01,0.2235,0.2533,0.2136,0.2397,0.2397,1134396900
1989-04-01,0.2397,0.2906,0.231,0.2881,0.2881,974810700
1989-05-01,0.2856,0.3055,0.2608,0.303,0.303,876978900
1989-06-01,0.303,0.3328,0.2931,0.2956,0.2956,864942300
1989-07-01,0.3005,0.3428,0.3005,0.3055,0.3055,651171150
1989-08-01,0.3055,0.3775,0.2931,0.3726,0.3726,868720950
1989-09-01,0.3726,0.4794,0.3602,0.4694,0.4694,801077850
1989-10-01,0.4694,0.5166,0.4173,0.462,0.462,912521700
1989-11-01,0.462,0.4992,0.4272,0.4769,0.4769,506537550
1989-12-01,0.4769,0.4968,0.4049,0.4645,0.4645,687653550
1990-01-01,0.4645,0.4843,0.3552,0.4272,0.4272,1409707800
1990-02-01,0.4272,0.4794,0.385,0.4446,0.4446,804735000
1990-03-01,0.4446,0.5638,0.3428,0.3751,0.3751,2355856650
1990-04-01,0.3751,0.39,0.303,0.3154,0.3154,1416260700
1990-05-01,0.3154,0.4024,0.2881,0.3924,0.3924,1616549400
1990-06-01,0.3924,0.4769,0.3924,0.4595,0.4595,1252057500
1990-07-01,0.4595,0.4694,0.3303,0.3353,0.3353,1457781300
1990-08-01,0.3353,0.3452,0.2086,0.231,0.231,1320761700
1990-09-01,0.231,0.2409,0.1018,0.1292,0.1292,2038806450
1990-10-01,0.1292,0.1366,0.0969,0.1068,0.1068,934752150
1990-11-01,0.1068,0.159,0.1018,0.1565,0.1565,1035382500
1990-12-01,0.1565,0.1689,0.1416,0.1565,0.1565,907252650
1991-01-01,0.1565,0.1937,0.1093,0.1788,0.1788,2137776300
1991-02-01,0.1788,0.2211,0.1639,0.1788,0.1788,1468663650
1991-03-01,0.1763,0.1962,0.159,0.1788,0.1788,1197350100
1991-04-01,0.1788,0.2285,0.1763,0.1838,0.1838,1230766650
1991-05-01,0.1838,0.1987,0.1391,0.149,0.149,750303000
1991-06-01,0.149,0.1987,0.1465,0.1689,0.1689,841500900
1991-07-01,0.1689,0.1888,0.1565,0.1813,0.1813,798093000
1991-08-01,0.1813,0.2285,0.1763,0.2235,0.2235,916786350
1991-09-01,0.2235,0.2807,0.2037,0.2658,0.2658,1275920100
1991-10-01,0.2658,0.3204,0.2633,0.313,0.313,1395395100
1991-11-01,0.313,0.3303,0.2633,0.2682,0.2682,848288700
1991-12-01,0.2682,0.3005,0.2384,0.2881,0.2881,933678900
1992-01-01,0.2881,0.3924,0.2782,0.3676,0.3676,1883501100
1992-02-01,0.3676,0.4198,0.3651,0.3974,0.3974,799465950
1992-03-01,0.3949,0.4049,0.2633,0.2682,0.2682,1704766500
1992-04-01,0.2658,0.2881,0.2384,0.2757,0.2757,979755750
1992-05-01,0.2757,0.3254,0.2732,0.2956,0.2956,610249950
1992-06-01,0.2931,0.3452,0.2782,0.303,0.303,828986400
1992-07-01,0.3328,0.38,0.3204,0.3701,0.3701,1294282800
1992-08-01,0.3651,0.3726,0.313,0.3477,0.3477,616146750
1992-09-01,0.3477,0.4198,0.3452,0.3974,0.3974,1372253400
1992-10-01,0.3949,0.4645,0.3701,0.4421,0.4421,1380450600
1992-11-01,0.4421,0.4918,0.4024,0.4421,0.4421,952345350
1992-12-01,0.4421,0.5688,0.3751,0.5638,0.5638,1503315450
1993-01-01,0.5613,0.7228,0.5514,0.6458,0.6458,1563393150
1993-02-01,0.6483,0.6855,0.529,0.6508,0.6508,1313390700
1993-03-01,0.6557,0.7451,0.6209,0.7302,0.7302,1470688650
1993-04-01,0.7278,0.7427,0.6309,0.7079,0.7079,1060176600
1993-05-01,0.7104,0.8867,0.7029,0.8296,0.8296,1280504700
1993-06-01,0.8296,1.0208,0.7898,0.9786,0.9786,1415195550
1993-07-01,0.9786,1.0457,0.9091,1.001,1.001,1241154900
1993-08-01,0.996,1.1301,0.9265,1.0233,1.0233,1394682300
1993-09-01,1.0233,1.2717,0.9463,1.2195,1.2195,1539307800
1993-10-01,1.2195,1.2841,1.1401,1.1773,1.1773,1467707850
1993-11-01,1.1798,1.3114,1.0929,1.2568,1.2568,1000550475
1993-12-01,1.2816,1.5002,1.1326,1.1425,1.1425,1462286925
1994-01-01,1.1425,1.4058,1.0829,1.2767,1.2767,1354178250
1994-02-01,1.2767,1.3959,1.2121,1.3114,1.3114,790446600
1994-03-01,1.3214,1.4257,1.2022,1.2767,1.2767,863528850
1994-04-01,1.2469,1.3437,1.0432,1.1873,1.1873,1012362300
1994-05-01,1.1922,1.3661,1.1078,1.3611,1.3611,960439275
1994-06-01,1.3562,1.54,1.3363,1.4903,1.4903,1381493475
1994-07-01,1.4903,1.5946,1.4108,1.5201,1.5201,814728375
1994-08-01,1.5251,1.7635,1.4456,1.6964,1.6964,902163825
1994-09-01,1.684,1.7883,1.6443,1.7089,1.7089,723799800
1994-10-01,1.7138,1.8479,1.6492,1.8281,1.8281,735931575
1994-11-01,1.8181,1.843,1.535,1.6393,1.6393,859499100
1994-12-01,1.6294,1.7983,1.4704,1.7536,1.7536,1053433350
1995-01-01,1.7536,1.7834,1.5896,1.694,1.694,888551775
1995-02-01,1.7138,1.915,1.6741,1.8703,1.8703,627496875
1995-03-01,1.8852,2.064,1.8256,1.8628,1.8628,832434300
1995-04-01,1.8554,1.9821,1.6691,1.8181,1.8181,972492750
1995-05-01,1.8256,2.295,1.7734,2.0715,2.0715,1133985150
1995-06-01,2.0864,2.4143,2.0268,2.3025,2.3025,872500950
1995-07-01,2.3099,2.6229,2.1758,2.4962,2.4962,798700500
1995-08-01,2.5037,2.6452,2.2522,2.3919,2.3919,735855300
1995-09-01,2.3919,2.8017,2.1684,2.2876,2.2876,1385949150
1995-10-01,2.3025,2.6825,2.0864,2.6005,2.6005,1212979050
1995-11-01,2.608,2.906,2.5707,2.7049,2.7049,904903650
1995-12-01,2.7123,2.839,2.377,2.526,2.526,1145360250
1996-01-01,2.5484,2.9508,2.3546,2.8464,2.8464,1435228200
1996-02-01,2.839,3.2786,2.8017,3.0998,3.0998,1108042200
1996-03-01,3.1072,3.1072,2.7868,2.8092,2.8092,1264721850
1996-04-01,2.8315,3.1408,2.3686,3.0178,3.0178,1634831100
1996-05-01,3.0178,3.219,2.8613,2.9619,2.9619,733859100
1996-06-01,2.9619,3.6102,2.8613,3.5264,3.5264,865091700
1996-07-01,3.532,3.5767,2.9731,3.4984,3.4984,863568900
1996-08-01,3.4984,3.7667,3.1408,3.1519,3.1519,764326800
1996-09-01,3.1072,3.979,3.0849,3.8058,3.8058,897347700
1996-10-01,3.7946,4.1467,3.6549,3.7834,3.7834,702131400
1996-11-01,3.8337,4.482,3.8226,4.3814,4.3814,746407800
1996-12-01,4.3702,4.5603,3.6884,3.7331,3.7331,1117974600
1997-01-01,3.7667,4.0349,3.3084,3.4761,3.4761,1562391000
1997-02-01,3.5208,3.8114,3.3643,3.5096,3.5096,931099500
1997-03-01,3.5096,3.8002,3.0066,3.4481,3.4481,1501357500
1997-04-01,3.2637,3.5767,3.1184,3.5543,3.5543,1066227300
1997-05-01,3.5655,4.3032,3.5431,4.1691,4.1691,1244190600
1997-06-01,4.1802,4.7838,4.1132,4.5044,4.5044,1237316400
1997-07-01,4.4652,5.2756,4.2361,4.8676,4.8676,948777300
1997-08-01,4.8844,5.65,4.8453,5.1135,5.1135,872595000
1997-09-01,5.1806,5.3734,4.795,4.8872,4.8872,918231600
1997-10-01,4.9626,5.0632,3.8561,4.7992,4.7992,863802000
1997-11-01,4.8453,4.9962,4.2585,4.468,4.468,644599800
1997-12-01,4.3255,4.3591,2.8082,2.9927,2.9927,2827331400
1998-01-01,3.001,3.2022,2.3807,3.1184,3.1184,1702180200
1998-02-01,3.3196,3.854,3.1687,3.3028,3.3028,1345186800
1998-03-01,3.2944,4.2585,3.2358,4.2333,4.2333,1688463000
1998-04-01,4.2585,4.2752,3.4621,3.4705,3.4705,934683000
1998-05-01,3.504,3.6214,3.1436,3.1687,3.1687,726183000
1998-06-01,3.1603,3.5543,2.9591,3.2944,3.2944,976592400
1998-07-01,3.2944,3.8226,3.0346,3.5543,3.5543,1004490000
1998-08-01,3.5459,3.6549,2.6574,2.6741,2.6741,775521600
1998-09-01,2.6825,3.9567,2.4394,3.9064,3.9064,1272451200
1998-10-01,3.8142,3.9902,2.9927,3.9651,3.9651,1073089800
1998-11-01,3.9651,4.9626,3.9651,4.5938,4.5938,974212200
1998-12-01,4.5183,6.0189,4.5183,5.7841,5.7841,1138519800
1999-01-01,5.8512,7.5278,5.5746,7.4272,7.4272,1159495800
1999-02-01,7.8128,8.2822,6.6392,7.4942,7.4942,1310171400
1999-03-01,7.532,7.9721,5.1932,5.3063,5.3063,1816896800
1999-04-01,5.4069,5.8847,4.2249,5.4446,5.4446,1689117600
1999-05-01,5.3943,5.4321,4.5393,4.992,4.992,1566474800
1999-06-01,5.0171,7.5068,5.0045,7.4691,7.4691,1929128800
1999-07-01,7.4188,8.0098,7.0038,7.6577,7.6577,939684800
1999-08-01,7.6074,7.9972,6.9787,7.3433,7.3433,762387200
1999-09-01,7.3685,9.4432,7.3559,9.154,9.154,1406936400
1999-10-01,8.9906,9.8079,8.4499,9.569,9.569,896976400
1999-11-01,9.6822,15.7304,9.6319,13.643,13.643,1330184800
1999-12-01,13.7688,22.8096,13.5802,22.5456,22.5456,1215079200
2000-01-01,25.073,25.1862,18.7607,20.0999,20.0999,1544676200
2000-02-01,20.6217,30.7817,20.1188,29.8764,29.8764,1192036000
2000-03-01,29.6752,36.2138,27.3112,31.4104,31.4104,1381303800
2000-04-01,31.6367,35.2581,24.2117,32.1649,32.1649,1299359400
2000-05-01,32.1397,32.9445,23.3881,28.9207,28.9207,1081648800
2000-06-01,29.7506,35.2581,29.5746,33.8247,33.8247,949581800
2000-07-01,32.6427,32.8942,28.5938,30.2536,30.2536,769943400
2000-08-01,30.2536,36.6162,28.8201,36.591,36.591,735063400
2000-09-01,37.1003,37.3957,30.0775,31.687,31.687,953280400
2000-10-01,32.0894,33.0451,24.3437,26.5568,26.5568,1160272000
2000-11-01,26.4059,26.7077,17.3021,21.3259,21.3259,1357050400
2000-12-01,21.2253,26.6573,20.5211,23.3881,23.3881,913793000
2001-01-01,23.7904,28.1663,20.3199,23.4384,23.4384,1023181800
2001-02-01,23.5389,24.6958,15.1394,15.2903,15.2903,915545800
