Date,Open,High,Low,Close,Adj Close,Volume
,ORLY,ORLY,ORLY,ORLY,,ORLY
1993-04-01,2.4375,2.4375,2.2812,2.3438,2.3438,24788800
1993-05-01,2.4062,2.7812,2.3125,2.6562,2.6562,8468800
1993-06-01,2.6562,3.125,2.6562,3.0,3.0,6668800
1993-07-01,3.0,3.0312,2.875,2.9688,2.9688,1297600
1993-08-01,2.9375,3.0,2.875,2.9375,2.9375,3812800
1993-09-01,2.875,3.125,2.7812,2.9062,2.9062,4212800
1993-10-01,2.9688,4.0625,2.9062,3.8438,3.8438,3204000
1993-11-01,3.9375,3.9688,3.4375,3.4375,3.4375,1755200
1993-12-01,3.5312,3.875,3.4688,3.625,3.625,1308000
1994-01-01,3.625,4.2188,3.5625,3.9688,3.9688,3380000
1994-02-01,3.9688,4.4062,3.625,3.75,3.75,4219200
1994-03-01,3.75,3.75,3.4062,3.5,3.5,2700800
1994-04-01,3.375,3.5312,3.0,3.125,3.125,3517600
1994-05-01,3.1875,3.3125,2.9062,3.0938,3.0938,1748800
1994-06-01,3.1875,3.5938,3.0938,3.25,3.25,2603200
1994-07-01,3.2812,3.5,3.2812,3.375,3.375,689600
1994-08-01,3.4688,3.4688,3.0625,3.2344,3.2344,1989600
1994-09-01,3.1875,3.25,3.0312,3.125,3.125,1316000
1994-10-01,3.125,3.4062,3.0625,3.1875,3.1875,1148000
1994-11-01,3.1875,3.25,3.0625,3.0625,3.0625,1619200
1994-12-01,3.0625,3.125,3.0,3.0938,3.0938,1124000
1995-01-01,3.0625,3.1562,2.9375,3.125,3.125,4424800
1995-02-01,3.125,3.5156,2.875,3.3125,3.3125,7999200
1995-03-01,3.3438,3.4062,3.1875,3.2344,3.2344,2032000
1995-04-01,3.2812,3.4688,3.1875,3.3438,3.3438,1344000
1995-05-01,3.3438,3.375,3.0938,3.25,3.25,3110400
1995-06-01,3.3438,3.5625,3.3125,3.5156,3.5156,2802400
1995-07-01,3.5,3.6562,3.5,3.6562,3.6562,1521600
1995-08-01,3.6562,3.7188,3.5625,3.625,3.625,2600800
1995-09-01,3.625,3.875,3.625,3.7812,3.7812,2083200
1995-10-01,3.7812,4.2031,3.7188,4.0938,4.0938,3264000
1995-11-01,4.0938,4.0938,3.5938,3.6875,3.6875,15446400
1995-12-01,3.7812,3.8125,3.4375,3.625,3.625,5814400
1996-01-01,3.5938,3.9062,3.5938,3.7812,3.7812,4150400
1996-02-01,3.7812,4.375,3.75,4.3125,4.3125,6984800
1996-03-01,4.25,4.4375,4.25,4.3438,4.3438,3631200
1996-04-01,4.4375,4.9062,4.375,4.9062,4.9062,4980800
1996-05-01,4.9062,5.0938,4.75,4.9062,4.9062,3778400
1996-06-01,4.7812,4.8438,4.4375,4.5312,4.5312,1584800
1996-07-01,4.5312,4.7812,4.2812,4.375,4.375,3292800
1996-08-01,4.4062,4.5312,4.3125,4.5312,4.5312,2115200
1996-09-01,4.4688,4.5312,4.3125,4.3125,4.3125,4624800
1996-10-01,4.375,4.625,4.1875,4.4219,4.4219,5712800
1996-11-01,4.4062,4.4375,4.2188,4.2812,4.2812,3138400
1996-12-01,4.25,4.3906,3.875,4.0,4.0,2928000
1997-01-01,4.0,4.4219,3.9062,4.125,4.125,3343200
1997-02-01,4.0938,4.1719,3.875,4.1719,4.1719,20653600
1997-03-01,4.1719,4.7656,4.1719,4.5938,4.5938,7354400
1997-04-01,4.5938,4.6562,4.2188,4.375,4.375,6720000
1997-05-01,4.375,4.7188,4.2344,4.5312,4.5312,6840800
1997-06-01,4.5312,4.9688,4.5,4.8125,4.8125,8347200
1997-07-01,4.8125,5.6562,4.7188,5.5156,5.5156,8992800
1997-08-01,5.5156,5.75,5.1484,5.5156,5.5156,4608000
1997-09-01,5.5,6.5,5.5,5.6875,5.6875,5884400
1997-10-01,5.6875,6.625,5.25,6.0938,6.0938,5631600
1997-11-01,6.0938,6.25,5.8438,5.9062,5.9062,2818400
1997-12-01,6.0,7.0,5.8438,6.5625,6.5625,5828800
1998-01-01,6.6562,7.2812,6.1562,6.3438,6.3438,11879600
1998-02-01,6.3125,7.5,6.3125,7.4219,7.4219,7490000
1998-03-01,7.4375,7.625,6.6562,6.8906,6.8906,5210400
1998-04-01,6.8438,6.9688,6.4062,6.875,6.875,4964800
1998-05-01,6.8125,8.3125,6.625,8.125,8.125,8264400
1998-06-01,8.0938,9.1875,7.25,9.0,9.0,5153200
1998-07-01,9.0625,9.375,8.4375,8.8438,8.8438,4062800
1998-08-01,8.8438,9.875,7.2188,7.2188,7.2188,7692800
1998-09-01,7.3125,9.7812,7.1562,9.0625,9.0625,11460400
1998-10-01,8.9062,10.0,7.9062,9.7812,9.7812,7248400
1998-11-01,9.875,11.5938,9.5,11.3438,11.3438,9989600
1998-12-01,11.125,12.0938,9.9531,11.8125,11.8125,5007600
1999-01-01,11.75,13.1875,11.5625,12.4375,12.4375,6809600
1999-02-01,12.375,12.5781,10.5,10.9844,10.9844,4972800
1999-03-01,10.8906,11.5,9.3125,11.1875,11.1875,28646400
1999-04-01,11.3125,12.2812,11.0312,11.4375,11.4375,10740800
1999-05-01,11.4844,11.7812,10.0,11.0156,11.0156,8798400
1999-06-01,11.0,12.875,10.6562,12.5938,12.5938,8539200
1999-07-01,12.5312,13.6562,10.5,10.6562,10.6562,8819200
1999-08-01,10.6562,11.0625,8.9375,9.5625,9.5625,23847200
1999-09-01,9.5,11.9688,9.5,11.9141,11.9141,14479200
1999-10-01,11.7031,12.0469,9.8125,10.9062,10.9062,14111200
1999-11-01,10.9062,12.1875,10.6875,11.5,11.5,9058000
1999-12-01,11.625,12.0,9.7188,10.75,10.75,8719200
2000-01-01,11.0625,11.0625,6.1875,6.5625,6.5625,30056200
2000-02-01,6.5312,7.25,5.25,7.0,7.0,21198400
2000-03-01,6.9688,8.4375,4.125,7.0938,7.0938,23937600
2000-04-01,7.3125,7.625,6.0,6.75,6.75,10669400
2000-05-01,6.875,7.7188,6.125,6.8125,6.8125,11333400
2000-06-01,6.6875,7.25,5.875,6.9375,6.9375,11564800
2000-07-01,6.8438,7.5,6.5625,7.2188,7.2188,4773200
2000-08-01,7.25,8.0625,7.25,7.625,7.625,6217800
2000-09-01,7.6875,7.7188,6.8125,7.3125,7.3125,6298600
2000-10-01,7.3281,9.4062,7.0,9.0,9.0,6082000
2000-11-01,8.6562,9.6875,8.125,8.3125,8.3125,7880000
2000-12-01,8.5312,13.625,8.1875,13.375,13.375,29758400
2001-01-01,13.5625,13.5938,10.0,11.25,11.25,18739000
2001-02-01,11.25,11.5,7.75,9.4688,9.4688,9683200
2001-03-01,9.3438,10.0,8.8438,9.9688,9.9688,6961600
2001-04-01,9.75,12.4,9.375,11.825,11.825,5964400
2001-05-01,11.875,13.125,10.945,12.605,12.605,8853200
2001-06-01,12.605,14.725,12.325,14.35,14.35,18705800
2001-07-01,14.3,17.77,13.79,17.45,17.45,23459800
2001-08-01,17.425,17.45,14.285,15.6,15.6,13045600
2001-09-01,15.55,16.54,11.3,14.325,14.325,14572400
2001-10-01,14.375,16.21,13.5,14.13,14.13,21545800
2001-11-01,14.075,17.0,14.0,16.72,16.72,25281800
2001-12-01,16.725,19.22,16.105,18.235,18.235,24045000
2002-01-01,18.155,18.625,14.305,16.545,16.545,28992200
2002-02-01,16.53,17.93,15.865,16.525,16.525,11697600
2002-03-01,16.625,16.745,15.395,15.785,15.785,13767000
2002-04-01,15.64,17.21,13.525,16.195,16.195,27027200
2002-05-01,16.17,17.015,15.12,16.08,16.08,13664800
2002-06-01,16.08,16.655,13.55,13.78,13.78,16888000
2002-07-01,13.895,14.955,12.05,14.09,14.09,20032000
2002-08-01,14.095,15.505,12.71,14.89,14.89,16105200
2002-09-01,14.875,16.235,14.075,14.31,14.31,11881800
2002-10-01,14.25,15.695,12.64,13.635,13.635,20224400
2002-11-01,13.6,14.415,12.31,13.88,13.88,19611200
2002-12-01,13.925,14.185,12.135,12.645,12.645,16177200
2003-01-01,12.65,13.025,11.875,12.215,12.215,9933000
2003-02-01,12.17,12.965,11.455,12.765,12.765,12896800
2003-03-01,12.8,13.93,11.995,13.535,13.535,16478200
2003-04-01,13.525,15.0,13.38,14.81,14.81,12736200
2003-05-01,14.845,15.685,14.385,15.255,15.255,10247200
2003-06-01,15.28,17.695,15.25,16.735,16.735,11397200
2003-07-01,16.675,19.75,16.615,19.08,19.08,11716400
2003-08-01,18.995,19.175,17.165,19.175,19.175,11978000
2003-09-01,19.25,19.98,18.38,18.4,18.4,21799800
2003-10-01,18.42,22.45,18.27,21.73,21.73,13128000
2003-11-01,21.745,21.85,20.135,21.76,21.76,8778400
2003-12-01,21.7,21.9,18.985,19.28,19.28,14499800
2004-01-01,19.325,19.84,18.23,19.235,19.235,12216400
2004-02-01,19.14,20.845,18.625,20.315,20.315,11640000
2004-03-01,20.325,20.45,18.66,20.02,20.02,15138200
2004-04-01,19.94,23.345,19.59,22.45,22.45,15489000
2004-05-01,22.35,22.555,20.575,22.46,22.46,14146200
2004-06-01,22.495,23.535,21.73,22.6,22.6,12162400
2004-07-01,22.675,22.675,19.475,20.245,20.245,15873600
2004-08-01,20.275,20.33,18.03,19.705,19.705,19883400
2004-09-01,19.71,20.795,18.885,19.145,19.145,16907000
2004-10-01,19.11,21.6,18.5,21.53,21.53,18957400
2004-11-01,21.39,22.82,21.39,21.77,21.77,13804800
2004-12-01,21.67,22.665,21.35,22.525,22.525,11395600
2005-01-01,22.61,23.5,21.975,22.865,22.865,11399000
2005-02-01,23.125,25.475,22.715,25.45,25.45,13281600
2005-03-01,25.395,26.215,24.195,24.765,24.765,11001000
2005-04-01,24.86,26.24,23.205,25.66,25.66,13515600
2005-05-01,25.49,28.8,25.445,27.78,27.78,15053600
2005-06-01,27.885,30.5,27.75,29.83,29.83,11722700
2005-07-01,29.67,32.53,29.04,32.26,32.26,9701700
2005-08-01,32.47,32.47,27.27,27.57,27.57,10116400
