Date,Open,High,Low,Close,Adj Close,Volume
,PANW,PANW,PANW,PANW,,PANW
2012-07-01,9.1917,10.345,8.5167,9.5233,9.5233,61584000
2012-08-01,9.7867,11.4167,8.8783,10.73,10.73,34219800
2012-09-01,10.8833,12.1017,10.2117,10.2617,10.2617,75725400
2012-10-01,10.2683,11.1667,9.0,9.1633,9.1633,87344400
2012-11-01,9.2917,9.5567,8.335,9.07,9.07,56157600
2012-12-01,9.07,9.1667,7.9383,8.92,8.92,82605600
2013-01-01,9.0867,9.6083,7.8333,9.2267,9.2267,124150800
2013-02-01,9.2817,10.1917,8.8083,10.1883,10.1883,81583800
2013-03-01,9.7583,10.365,8.8833,9.4333,9.4333,180896400
2013-04-01,9.4167,9.4167,8.3817,9.0167,9.0167,96394200
2013-05-01,8.9817,9.4333,7.8333,8.0867,8.0867,157326000
2013-06-01,8.1167,8.1167,6.5133,7.0267,7.0267,167838000
2013-07-01,7.0383,8.485,6.8167,8.1567,8.1567,103029000
2013-08-01,8.21,8.3533,7.84,8.0033,8.0033,51747000
2013-09-01,7.955,8.4167,7.43,7.6367,7.6367,183353400
2013-10-01,7.6117,8.0067,7.0067,7.0267,7.0267,124678800
2013-11-01,7.02,8.405,6.7267,8.325,8.325,135270000
2013-12-01,8.1883,9.65,8.015,9.5783,9.5783,146499600
2014-01-01,9.4517,10.82,9.1167,9.9083,9.9083,154792800
2014-02-01,10.18,13.3317,9.5033,11.8583,11.8583,226239000
2014-03-01,11.6317,13.4733,11.0633,11.4333,11.4333,261948600
2014-04-01,11.75,12.0833,9.8667,10.5967,10.5967,263266800
2014-05-01,10.65,13.0,9.5783,12.485,12.485,250561800
2014-06-01,12.52,14.2967,12.0,13.975,13.975,222839400
2014-07-01,14.0383,14.2667,12.1867,13.4767,13.4767,189782400
2014-08-01,13.395,14.6317,12.81,14.165,14.165,137839800
2014-09-01,14.2333,17.075,14.2267,16.35,16.35,307711800
2014-10-01,16.2983,18.0833,14.6383,17.6167,17.6167,335423400
2014-11-01,17.62,20.5367,17.0033,20.5,20.5,193105800
2014-12-01,20.5,21.3667,18.7033,20.4283,20.4283,165783000
2015-01-01,20.4333,21.6667,19.6,21.065,21.065,125312400
2015-02-01,21.0267,24.38,20.2183,23.7033,23.7033,127668600
2015-03-01,23.7033,25.0733,22.345,24.3467,24.3467,237011400
2015-04-01,24.4067,26.3733,23.2567,24.62,24.62,145206000
2015-05-01,25.0117,28.3067,24.07,28.2483,28.2483,167696400
2015-06-01,28.3217,30.8333,27.9,29.1167,29.1167,195173400
2015-07-01,29.4317,33.425,27.97,30.9717,30.9717,181563600
2015-08-01,31.0583,31.8333,23.3983,27.37,27.37,212109000
2015-09-01,26.715,31.62,26.4333,28.6667,28.6667,223823400
2015-10-01,28.4217,29.7933,25.035,26.8333,26.8333,211847400
2015-11-01,26.9667,31.3833,25.48,31.2233,31.2233,216495000
2015-12-01,31.25,32.455,28.9433,29.3567,29.3567,164778600
2016-01-01,28.825,28.96,22.6483,24.915,24.915,224005800
2016-02-01,24.6467,25.655,18.515,24.1317,24.1317,416283600
2016-03-01,24.4567,27.5483,23.9567,27.19,27.19,192996000
2016-04-01,26.8617,27.2917,22.46,25.145,25.145,225303000
2016-05-01,25.275,25.3317,21.375,21.7433,21.7433,287150400
2016-06-01,21.7433,23.4717,19.1067,20.44,20.44,238866600
2016-07-01,20.445,22.45,19.5033,21.815,21.815,147169800
2016-08-01,21.81,24.0417,20.79,22.195,22.195,233518800
2016-09-01,22.2117,26.6667,22.2117,26.555,26.555,211558200
2016-10-01,26.5117,27.1683,24.3133,25.6383,25.6383,140806200
2016-11-01,25.625,27.615,22.02,22.395,22.395,278449800
2016-12-01,22.4,22.465,20.595,20.8417,20.8417,173151000
2017-01-01,20.975,24.73,20.97,24.5933,24.5933,197007000
2017-02-01,24.6667,26.275,24.1017,25.3167,25.3167,172143000
2017-03-01,25.3167,25.3167,18.34,18.78,18.78,424720800
2017-04-01,18.805,19.0333,17.885,18.0683,18.0683,199710000
2017-05-01,18.125,20.3467,18.025,19.765,19.765,241026600
2017-06-01,22.1883,23.55,21.4133,22.3017,22.3017,312796200
2017-07-01,22.475,23.9833,21.7333,21.9633,21.9633,128677200
2017-08-01,22.0967,22.48,21.0933,22.115,22.115,140575200
2017-09-01,24.135,24.7917,22.7833,24.0167,24.0167,222953400
2017-10-01,24.1,25.5583,23.8983,24.5333,24.5333,152597400
2017-11-01,24.5967,26.1417,22.6417,24.2917,24.2917,269314800
2017-12-01,24.265,24.9033,23.3533,24.1567,24.1567,115161600
2018-01-01,24.3333,26.805,24.1833,26.3117,26.3117,148229400
2018-02-01,26.1,29.8583,24.735,28.895,28.895,211946400
2018-03-01,28.8917,31.9217,28.1733,30.2533,30.2533,185130000
2018-04-01,29.9933,32.8667,29.6,32.085,32.085,185995800
2018-05-01,31.9583,35.285,31.64,34.6817,34.6817,137452800
2018-06-01,35.0,36.2333,32.63,34.245,34.245,225513600
2018-07-01,34.1483,36.5633,32.2683,33.0433,33.0433,139764000
2018-08-01,33.4283,38.7183,33.0033,38.525,38.525,160606800
2018-09-01,38.4017,39.9167,36.4783,37.5433,37.5433,147056400
2018-10-01,37.805,38.1767,29.2383,30.5067,30.5067,205921800
2018-11-01,30.75,32.045,26.68,28.825,28.825,210846600
2018-12-01,29.4467,32.1333,28.135,31.3917,31.3917,189044400
2019-01-01,30.84,36.2133,29.8,35.8033,35.8033,151180800
2019-02-01,35.85,43.4383,35.7333,41.045,41.045,188887800
2019-03-01,41.0117,41.71,38.3933,40.48,40.48,164896800
2019-04-01,41.0,41.7233,38.5567,41.4717,41.4717,124829400
2019-05-01,41.5817,41.8233,32.8467,33.3567,33.3567,197481600
2019-06-01,33.31,35.7317,32.445,33.96,33.96,166327200
2019-07-01,34.725,38.24,33.8883,37.7567,37.7567,124999800
2019-08-01,37.775,38.3233,32.0283,33.9367,33.9367,172510800
2019-09-01,33.6317,36.44,32.715,33.9717,33.9717,211484400
2019-10-01,34.325,38.1483,33.7517,37.8983,37.8983,133698000
2019-11-01,38.0,41.825,35.8167,37.87,37.87,199033200
2019-12-01,37.98,39.1967,36.8367,38.5417,38.5417,115216200
2020-01-01,38.8733,41.2883,38.8233,39.13,39.13,108636000
2020-02-01,39.1433,41.8517,30.1767,30.77,30.77,211177800
2020-03-01,30.8183,31.86,20.9117,27.3267,27.3267,268005000
2020-04-01,26.3333,33.4417,26.3333,32.7517,32.7517,160987200
2020-05-01,32.1667,40.5233,31.7583,39.2117,39.2117,192873600
2020-06-01,39.1667,40.14,36.2467,38.2783,38.2783,187125600
2020-07-01,38.235,42.6533,37.9533,42.6533,42.6533,142941600
2020-08-01,42.6533,45.8383,41.7867,42.9017,42.9017,163555200
2020-09-01,43.15,43.5183,37.8583,40.7917,40.7917,157114800
2020-10-01,41.445,43.3583,36.5567,36.865,36.865,102369000
2020-11-01,37.1317,49.75,36.8283,48.9867,48.9867,149780400
2020-12-01,49.4917,62.5,48.3417,59.2317,59.2317,167806800
2021-01-01,59.23,62.3733,55.7617,58.4583,58.4583,123036000
2021-02-01,59.1483,67.1667,58.6667,59.7183,59.7183,151809600
2021-03-01,60.71,61.455,51.9267,53.6767,53.6767,164865600
2021-04-01,54.5,62.1683,54.3083,58.8983,58.8983,111178800
2021-05-01,59.2617,62.3817,53.705,60.5417,60.5417,137466600
2021-06-01,61.0083,64.4533,58.4933,61.8417,61.8417,111604200
2021-07-01,61.6667,67.5267,61.0483,66.5083,66.5083,110608800
2021-08-01,66.6667,77.4833,59.7283,76.84,76.84,232883400
2021-09-01,76.16,82.6533,75.9667,79.8333,79.8333,163219800
2021-10-01,80.0883,86.575,77.1883,84.8483,84.8483,133149000
2021-11-01,85.085,93.2567,80.8767,91.1567,91.1567,175014600
2021-12-01,91.585,95.445,83.0383,92.7933,92.7933,184456200
2022-01-01,93.0733,93.4,75.96,86.2333,86.2333,218010000
2022-02-01,86.31,99.2167,77.75,99.0417,99.0417,218218200
2022-03-01,98.565,105.9817,84.8533,103.7517,103.7517,248377800
2022-04-01,103.55,106.8167,92.905,93.5467,93.5467,136735800
2022-05-01,93.0433,95.4783,70.2583,83.7967,83.7967,292148400
2022-06-01,84.5367,89.1367,76.625,82.3233,82.3233,165670800
2022-07-01,82.5,87.7867,77.2017,83.1833,83.1833,144675000
2022-08-01,83.2933,96.465,80.6783,92.8017,92.8017,216183600
2022-09-01,91.4083,95.0,80.27,81.895,81.895,165591800
