Date,Open,High,Low,Close,Adj Close,Volume
,PG,PG,PG,PG,,PG
1985-01-01,1.2402,1.2565,1.191,1.2292,1.2292,111104000
1985-02-01,1.2271,1.2797,1.2189,1.2575,1.2575,76660800
1985-03-01,1.252,1.2741,1.2133,1.2271,1.2271,85536000
1985-04-01,1.194,1.2161,1.1415,1.1525,1.1525,93441600
1985-05-01,1.167,1.2258,1.1278,1.2062,1.2062,77854400
1985-06-01,1.2062,1.2761,1.1754,1.2566,1.2566,68299200
1985-07-01,1.2622,1.3265,1.2594,1.2817,1.2817,74820800
1985-08-01,1.2963,1.3444,1.268,1.302,1.302,49750400
1985-09-01,1.302,1.3331,1.2567,1.2765,1.2765,49593600
1985-10-01,1.2652,1.452,1.2454,1.435,1.435,89502400
1985-11-01,1.4515,1.5488,1.4401,1.5374,1.5374,86921600
1985-12-01,1.5317,1.6433,1.5174,1.5975,1.5975,93219200
1986-01-01,1.5975,1.6061,1.4601,1.5088,1.5088,115347200
1986-02-01,1.5148,1.6044,1.4917,1.5958,1.5958,93246400
1986-03-01,1.5958,1.7779,1.5351,1.7027,1.7027,131080000
1986-04-01,1.6941,1.7952,1.6478,1.6998,1.6998,104536000
1986-05-01,1.7095,1.8612,1.6599,1.8174,1.8174,91988800
1986-06-01,1.8116,1.8816,1.7357,1.8699,1.8699,96865600
1986-07-01,1.867,1.9254,1.6832,1.8058,1.8058,105468800
1986-08-01,1.8217,1.8982,1.7658,1.8835,1.8835,79000000
1986-09-01,1.8835,1.8953,1.551,1.5951,1.5951,112936000
1986-10-01,1.5951,1.7864,1.5892,1.7658,1.7658,90670400
1986-11-01,1.812,1.8714,1.7021,1.8476,1.8476,90124800
1986-12-01,1.8536,1.9249,1.7971,1.815,1.815,120793600
1987-01-01,1.8239,2.1625,1.8239,2.0912,2.0912,138395200
1987-02-01,2.1142,2.1441,2.0243,2.0782,2.0782,98387200
1987-03-01,2.0782,2.3148,2.0393,2.204,2.204,145539200
1987-04-01,2.18,2.3567,2.0004,2.0303,2.0303,150628800
1987-05-01,2.046,2.3327,1.9977,2.209,2.209,173545600
1987-06-01,2.2391,2.3991,2.209,2.3659,2.3659,162825600
1987-07-01,2.3538,2.3538,2.1908,2.2482,2.2482,127804800
1987-08-01,2.2308,2.5013,2.2187,2.4922,2.4922,181219200
1987-09-01,2.5013,2.5135,2.3038,2.4557,2.4557,159456000
1987-10-01,2.4557,2.5165,1.4589,2.1457,2.1457,270801600
1987-11-01,2.1353,2.1629,1.9546,1.9944,1.9944,117798400
1987-12-01,2.0312,2.1813,1.8627,2.0925,2.0925,109166400
1988-01-01,2.0986,2.1568,1.9975,2.0802,2.0802,102715200
1988-02-01,2.116,2.116,1.9708,2.082,2.082,84950400
1988-03-01,2.082,2.082,1.8967,1.9245,1.9245,157193600
1988-04-01,1.9183,2.0697,1.8565,1.906,1.906,106921600
1988-05-01,1.9199,1.9448,1.7641,1.9043,1.9043,95257600
1988-06-01,1.895,1.9916,1.8732,1.9324,1.9324,102691200
1988-07-01,1.9324,1.9542,1.789,1.8732,1.8732,92924800
1988-08-01,1.8939,1.9128,1.809,1.8782,1.8782,93558400
