Date,Open,High,Low,Close,Adj Close,Volume
,PLTR,PLTR,PLTR,PLTR,,PLTR
2020-09-01,10.0,11.41,9.11,9.5,9.5,338584400
2020-10-01,9.69,11.1,8.9,10.13,10.13,704629200
2020-11-01,10.23,33.5,10.23,27.11,27.11,1655174000
2020-12-01,28.09,31.24,21.15,23.55,23.55,1476607700
2021-01-01,23.91,45.0,22.5,35.18,35.18,1244340400
2021-02-01,35.33,39.22,22.7,23.9,23.9,2181517700
2021-03-01,25.19,27.47,20.18,23.29,23.29,1805085500
2021-04-01,23.95,26.2,21.24,23.04,23.04,1012475100
2021-05-01,23.01,24.75,17.055,22.95,22.95,1460052600
2021-06-01,23.19,27.5,22.36,26.36,26.36,1178021600
2021-07-01,26.1,26.13,20.55,21.71,21.71,579358800
2021-08-01,21.91,26.6,21.48,26.34,26.34,1091002700
2021-09-01,26.46,29.29,23.88,24.04,24.04,1178728900
2021-10-01,24.21,26.75,23.02,25.88,25.88,750518600
2021-11-01,26.11,27.11,20.05,20.65,20.65,885986000
2021-12-01,20.53,20.89,17.81,18.21,18.21,781294500
2022-01-01,18.36,18.84,11.75,13.71,13.71,1057405800
2022-02-01,14.23,14.37,9.74,11.85,11.85,1301730900
2022-03-01,11.99,14.36,10.27,13.73,13.73,1015571800
2022-04-01,13.77,14.86,10.36,10.4,10.4,645660400
2022-05-01,10.38,11.01,6.44,8.68,8.68,1127366900
2022-06-01,8.72,10.2,7.5,9.07,9.07,826595600
2022-07-01,9.11,10.76,8.65,10.35,10.35,711722800
2022-08-01,10.25,11.62,7.68,7.72,7.72,905373100
2022-09-01,7.61,8.5,7.13,8.13,8.13,757743600
2022-10-01,8.145,9.05,7.53,8.79,8.79,664673300
2022-11-01,8.99,9.06,6.89,7.5,7.5,813268600
2022-12-01,7.51,7.97,5.92,6.42,6.42,627320000
2023-01-01,6.58,7.82,6.09,7.78,7.78,606538900
2023-02-01,7.73,10.31,7.45,7.84,7.84,1277113800
2023-03-01,7.83,8.62,7.19,8.45,8.45,663922700
2023-04-01,8.37,9.04,7.62,7.75,7.75,502721600
2023-05-01,7.75,15.005,7.28,14.71,14.71,2089445100
2023-06-01,14.46,17.16,13.56,15.33,15.33,1898472600
2023-07-01,15.49,19.995,14.62,19.84,19.84,1222840300
2023-08-01,19.46,20.24,13.68,14.98,14.98,1698050500
2023-09-01,15.16,16.81,13.68,16.0,16.0,944863000
2023-10-01,16.03,18.44,14.55,14.8,14.8,1207421600
2023-11-01,14.8,21.85,14.48,20.05,20.05,1546755800
2023-12-01,19.93,20.29,17.05,17.17,17.17,1109985200
2024-01-01,16.95,18.35,15.664,16.09,16.09,880120200
2024-02-01,16.21,25.525,16.03,25.08,25.08,2234352300
2024-03-01,25.3,27.5,22.92,23.01,23.01,1263591100
2024-04-01,22.98,24.1,20.33,21.97,21.97,757448200
2024-05-01,21.93,25.355,20.5,21.68,21.68,1122349800
2024-06-01,21.7,26.57,21.005,25.33,25.33,779045100
2024-07-01,25.48,29.83,25.142,26.89,26.89,936510300
2024-08-01,27.02,33.125,21.23,31.48,31.48,1203111000
2024-09-01,31.35,38.19,29.31,37.2,37.2,1602739300
2024-10-01,37.21,45.14,36.05,41.56,41.56,1069695200
2024-11-01,41.93,67.88,41.032,67.08,67.08,1708424200
2024-12-01,67.44,84.797,65.96,75.63,75.63,1986227500
2025-01-01,76.2,85.22,63.4,82.49,82.49,1374341900
2025-02-01,80.125,125.41,78.47,84.92,84.92,2356232800
2025-03-01,88.55,98.17,74.57,84.4,84.4,2206072600
2025-04-01,83.89,118.78,66.12,118.44,118.44,2370585800
2025-05-01,120.04,133.49,105.32,122.7505,122.7505,1855863561
