Date,Open,High,Low,Close,Adj Close,Volume
,PM,PM,PM,PM,,PM
2008-03-01,22.3506,24.4516,20.9649,22.6099,22.6099,58655400
2008-04-01,22.8423,23.4369,21.2018,22.8111,22.8111,229897200
2008-05-01,22.7217,24.1163,22.5294,23.5397,23.5397,148768600
2008-06-01,23.3117,23.5799,21.6935,22.078,22.078,196787300
2008-07-01,22.1135,24.549,21.9782,23.2952,23.2952,186814100
2008-08-01,23.3403,25.3744,23.1283,24.2198,24.2198,149527200
2008-09-01,24.2423,25.1354,21.1077,21.6941,21.6941,252888100
2008-10-01,21.8469,23.6645,15.1689,19.8016,19.8016,346357500
2008-11-01,19.6923,21.1682,16.3989,19.2049,19.2049,232665000
2008-12-01,18.6355,20.2708,17.7654,19.8198,19.8198,234520600
2009-01-01,20.0585,20.7737,17.0684,17.1422,17.1422,202378900
2009-02-01,16.9253,17.8621,15.4211,15.4441,15.4441,250174200
2009-03-01,15.1304,18.1251,14.7843,16.4178,16.4178,275644800
2009-04-01,16.4837,18.2341,16.4509,16.9424,16.9424,197184900
2009-05-01,16.9798,20.4525,16.933,19.9564,19.9564,180974400
2009-06-01,19.9751,21.2669,19.2591,20.4151,20.4151,218092100
2009-07-01,20.8128,23.0552,19.9215,22.0928,22.0928,167317300
2009-08-01,22.2967,22.7044,21.3485,21.6709,21.6709,138815800
2009-09-01,21.6519,23.681,21.3343,23.1074,23.1074,161300700
2009-10-01,23.3531,25.1137,22.5808,22.7199,22.7199,176938100
2009-11-01,22.7295,24.4565,22.5856,23.0701,23.0701,147841300
2009-12-01,23.2812,24.2454,23.0845,23.118,23.118,176290800
2010-01-01,23.4595,24.3672,22.0519,22.0907,22.0907,137751700
2010-02-01,22.2023,24.4692,21.848,23.775,23.775,167471200
2010-03-01,23.809,25.7603,23.6828,25.3186,25.3186,165378400
2010-04-01,25.6386,26.4582,23.6657,24.0877,24.0877,147152700
2010-05-01,24.2055,24.4166,21.089,21.6535,21.6535,227720100
2010-06-01,21.4817,23.1062,21.0743,22.4976,22.4976,240063200
2010-07-01,22.7483,25.621,22.6389,25.3675,25.3675,156133600
2010-08-01,25.5812,26.461,25.119,25.5266,25.5266,154365400
2010-09-01,25.785,28.3844,25.785,27.8426,27.8426,151489800
2010-10-01,28.1744,30.0898,27.7018,29.4162,29.4162,146381600
2010-11-01,29.4664,30.6027,28.5313,28.6017,28.6017,151210900
2010-12-01,28.843,30.2357,28.5112,29.4262,29.4262,131809500
2011-01-01,29.9237,29.9796,28.3838,29.0902,29.0902,142677900
2011-02-01,29.2325,32.0785,29.1359,31.9057,31.9057,112672100
2011-03-01,32.048,33.5015,31.179,33.3541,33.3541,171779900
2011-04-01,33.8199,35.8326,33.1114,35.6529,35.6529,119448500
2011-05-01,35.8429,36.8389,34.8314,36.8389,36.8389,132389600
2011-06-01,36.8133,36.8389,33.2089,34.282,34.282,150506200
2011-07-01,34.5456,37.6965,34.2916,36.8828,36.8828,124137100
2011-08-01,37.116,37.1368,33.2863,35.9241,35.9241,233093800
2011-09-01,35.9759,36.3128,32.2965,32.3275,32.3275,219327000
2011-10-01,32.6419,38.0175,31.7031,36.6435,36.6435,174761100
2011-11-01,35.7572,40.0682,35.5316,39.9842,39.9842,132014400
2011-12-01,39.9108,41.652,39.014,41.159,41.159,115149500
2012-01-01,41.9395,42.3633,38.5964,39.6136,39.6136,124239100
2012-02-01,39.8361,44.6627,39.8149,44.2494,44.2494,105317700
2012-03-01,44.2388,47.0785,43.9262,46.9461,46.9461,118464900
2012-04-01,47.4934,48.4394,46.0183,47.8408,47.8408,113298100
2012-05-01,47.7339,48.6639,44.7783,45.1684,45.1684,112116200
2012-06-01,44.4469,47.5308,43.3459,46.6383,46.6383,122184900
2012-07-01,47.1027,49.5134,46.8276,49.3138,49.3138,99888800
2012-08-01,49.3192,50.4787,47.6096,48.1597,48.1597,90812000
2012-09-01,48.2352,49.934,46.4393,48.5049,48.5049,134386400
2012-10-01,49.1362,51.2373,47.574,48.2054,48.2054,92848000
2012-11-01,48.4286,49.4465,44.6891,48.9239,48.9239,110799000
2012-12-01,48.9947,49.2559,44.8741,45.5273,45.5273,106731900
2013-01-01,46.1717,49.219,45.9701,48.0579,48.0579,106238400
2013-02-01,48.4722,51.0288,47.3165,50.0149,50.0149,94565700
2013-03-01,49.9821,50.6635,49.0827,50.5382,50.5382,108999200
2013-04-01,51.026,53.1498,49.9036,52.5941,52.5941,99218600
2013-05-01,52.4455,53.2213,50.0081,50.0191,50.0191,115908400
2013-06-01,50.0412,51.2626,47.3452,47.6588,47.6588,119759300
2013-07-01,48.4021,50.7858,48.1076,49.5523,49.5523,97688900
2013-08-01,49.7912,49.9523,46.0406,46.3629,46.3629,94747300
2013-09-01,46.5796,50.7024,46.2073,48.1131,48.1131,113585800
2013-10-01,48.701,50.9078,47.2579,50.043,50.043,110473000
2013-11-01,50.1778,51.5535,47.651,48.0328,48.0328,102889500
2013-12-01,47.9149,49.0435,47.0613,48.9256,48.9256,99812100
2014-01-01,49.3955,49.5091,43.8258,44.3651,44.3651,136015900
2014-02-01,44.3368,46.3296,42.7413,45.9379,45.9379,117411700
2014-03-01,45.5632,46.5284,44.7342,46.4829,46.4829,106948700
2014-04-01,46.958,49.3076,46.935,49.0778,49.0778,104308200
2014-05-01,49.1123,51.0138,48.7274,50.8644,50.8644,80180200
2014-06-01,50.7438,52.6396,48.285,48.4344,48.4344,111587100
2014-07-01,48.9664,50.4177,47.6022,47.608,47.608,92184600
2014-08-01,47.6022,49.7443,47.1319,49.6804,49.6804,63797800
2014-09-01,49.5178,49.9648,47.7647,48.4149,48.4149,98199400
2014-10-01,48.896,52.4142,48.1031,52.2791,52.2791,113236000
2014-11-01,52.1851,53.0074,50.2117,51.0574,51.0574,76973700
2014-12-01,50.7285,51.4979,47.6685,47.8388,47.8388,101359600
2015-01-01,48.511,50.7047,47.4766,47.7025,47.7025,118540900
2015-02-01,47.7025,49.8546,47.5955,49.3195,49.3195,85348500
2015-03-01,49.3196,49.4741,44.7657,44.7835,44.7835,132574200
2015-04-01,45.3153,51.6246,45.3153,50.252,50.252,128987000
2015-05-01,50.252,52.323,49.7041,50.0112,50.0112,70039200
2015-06-01,49.9088,50.3664,47.7897,48.2653,48.2653,95653400
2015-07-01,48.9687,52.7163,48.8103,52.1191,52.1191,80944700
2015-08-01,52.1009,52.6127,46.6409,48.6275,48.6275,84322700
2015-09-01,47.6586,50.6079,46.9213,48.3411,48.3411,91379800
2015-10-01,49.1767,55.5953,48.3929,54.5585,54.5585,91745600
2015-11-01,54.7621,54.9164,51.3923,53.9351,53.9351,71774300
2015-12-01,53.966,55.7126,52.9168,54.2561,54.2561,93028100
2016-01-01,54.2383,56.3554,52.7458,56.2118,56.2118,104390100
2016-02-01,56.0744,57.9979,54.5943,56.8488,56.8488,95732900
2016-03-01,57.2047,62.1571,56.6989,61.2703,61.2703,107735200
2016-04-01,61.6962,64.3655,60.5225,61.9171,61.9171,93058200
2016-05-01,62.1064,64.7126,61.3365,62.2705,62.2705,73213400
2016-06-01,62.2705,64.3718,61.1409,64.1888,64.1888,114661400
2016-07-01,64.8401,66.4209,61.7995,63.9094,63.9094,96415300
2016-08-01,63.578,64.1134,62.6218,63.6991,63.6991,78010900
2016-09-01,63.6162,65.2608,61.9079,61.9716,61.9716,90976000
2016-10-01,62.6967,63.1218,61.1832,62.1107,62.1107,88215300
2016-11-01,62.233,63.2506,55.9666,56.8553,56.8553,134134400
2016-12-01,56.5784,59.6569,55.8893,58.9227,58.9227,92019400
2017-01-01,59.7958,63.1703,58.6102,62.6231,62.6231,88370600
2017-02-01,62.2843,71.6521,62.0172,71.2351,71.2351,91400800
2017-03-01,71.0072,74.6878,70.7987,73.5478,73.5478,107867000
2017-04-01,74.2314,76.0197,71.3716,72.8705,72.8705,89203100
2017-05-01,72.9757,79.6224,72.2854,78.7612,78.7612,73694100
2017-06-01,78.8927,81.2266,76.7428,77.2162,77.2162,78309300
2017-07-01,78.1514,80.691,72.482,77.3888,77.3888,89413200
2017-08-01,77.5877,78.4365,75.5123,77.5347,77.5347,78485900
2017-09-01,77.6938,79.1924,73.5628,73.6092,73.6092,69824700
2017-10-01,74.4586,77.1697,69.7928,70.0471,70.0471,94069600
2017-11-01,70.1409,70.2881,67.9988,68.782,68.782,88067200
2017-12-01,69.1301,73.8159,68.3803,70.7233,70.7233,92831700
2018-01-01,71.5451,75.2164,69.652,72.4984,72.4984,103349400
2018-02-01,72.3699,72.735,65.352,70.0104,70.0104,117982800
2018-03-01,70.0915,74.3036,64.5745,67.2045,67.2045,115299300
2018-04-01,68.0593,70.7655,54.9928,56.0384,56.0384,178649700
2018-05-01,55.6283,56.7491,53.7216,54.3572,54.3572,135047300
2018-06-01,54.2957,56.134,52.0815,55.1773,55.1773,144284100
2018-07-01,55.8744,60.2754,53.0329,59.811,59.811,131104500
2018-08-01,59.6239,60.6011,53.6982,53.9824,53.9824,107633800
2018-09-01,54.0586,58.12,53.4834,56.5121,56.5121,106004500
2018-10-01,57.2213,65.1497,56.5465,61.9024,61.9024,151642000
2018-11-01,62.0852,63.8775,58.2194,60.82,60.82,110103300
2018-12-01,60.82,62.2187,45.4551,46.9241,46.9241,168983500
2019-01-01,47.1971,55.0264,46.9187,54.7552,54.7552,157116000
2019-02-01,54.9764,62.5916,53.7132,62.0492,62.0492,112311600
2019-03-01,62.3918,66.1887,61.3427,63.0841,63.0841,120310500
2019-04-01,63.8756,64.3888,59.5898,62.5602,62.5602,99826100
2019-05-01,62.9144,63.2902,55.6436,55.7448,55.7448,81403100
2019-06-01,56.0195,57.4505,54.6246,56.7567,56.7567,116326300
2019-07-01,57.8116,66.0138,57.1,61.3405,61.3405,104243900
2019-08-01,61.8467,63.1306,50.8199,52.8888,52.8888,171358800
2019-09-01,52.8228,57.1367,51.7737,55.706,55.706,162063000
2019-10-01,56.835,61.4886,56.5367,60.7354,60.7354,114545100
2019-11-01,61.0263,63.8378,60.8174,61.8466,61.8466,89239100
2019-12-01,61.5632,64.9415,60.7056,63.4575,63.4575,93518400
2020-01-01,64.6508,67.3877,62.2011,62.5262,62.5262,102807900
2020-02-01,62.4809,68.174,58.7686,61.8987,61.8987,108421400
2020-03-01,61.7021,67.4255,42.347,55.1622,55.1622,203373000
2020-04-01,53.6961,60.6996,53.319,57.4133,57.4133,126509400
2020-05-01,57.3748,57.7212,51.4488,56.459,56.459,106183700
2020-06-01,56.4513,59.8607,52.6186,53.9193,53.9193,114252400
2020-07-01,54.8331,62.0421,54.2389,60.0561,60.0561,109997400
2020-08-01,59.8371,63.5042,59.368,62.3861,62.3861,71471300
2020-09-01,61.8778,64.5753,58.0936,58.6331,58.6331,91456600
2020-10-01,59.3308,63.453,54.748,56.408,56.408,105030100
2020-11-01,57.1387,62.9129,55.7011,60.1648,60.1648,96840500
2020-12-01,60.3792,68.7904,60.1171,65.7563,65.7563,132299600
2021-01-01,66.7316,67.4809,64.0082,64.1774,64.1774,92502100
2021-02-01,63.6536,71.0584,63.1218,67.6984,67.6984,89082000
2021-03-01,68.2705,73.524,67.9241,71.5015,71.5015,114637600
2021-04-01,72.2004,78.0633,71.3104,77.5734,77.5734,98505100
2021-05-01,77.9899,80.5294,77.2468,78.7411,78.7411,73544100
2021-06-01,79.2147,82.432,78.4553,80.9295,80.9295,126994000
2021-07-01,81.9946,83.1682,77.639,82.7219,82.7219,79065300
2021-08-01,83.1764,85.6476,81.4739,85.1269,85.1269,58859900
2021-09-01,85.2509,88.0278,77.9944,78.3416,78.3416,99487600
2021-10-01,79.6266,83.4418,78.907,79.0995,79.0995,83388600
2021-11-01,79.1831,80.2708,71.653,71.904,71.904,93041900
2021-12-01,72.7742,79.6433,72.5065,79.4843,79.4843,119504000
2022-01-01,80.4735,87.9874,80.0919,87.2241,87.2241,125873900
2022-02-01,87.2665,95.3911,84.8665,85.7146,85.7146,136148700
2022-03-01,85.7146,87.7669,74.9441,79.6678,79.6678,162874600
2022-04-01,81.6223,90.8882,81.3043,85.9544,85.9544,111504700
2022-05-01,87.1492,94.3865,82.9374,91.3265,91.3265,123765000
2022-06-01,91.5242,92.5901,82.7397,84.8714,84.8714,117798200
2022-07-01,85.858,86.9981,76.824,84.5525,84.5525,100536300
2022-08-01,84.8136,88.9389,82.8379,83.1077,83.1077,75677300
2022-09-01,83.0729,85.4925,72.1068,72.246,72.246,100500800
2022-10-01,74.3021,82.2205,73.9225,81.0817,81.0817,99196300
2022-11-01,81.4437,88.1703,77.8332,87.9849,87.9849,78522100
2022-12-01,88.3292,92.081,87.8349,89.3444,89.3444,130404600
2023-01-01,90.7513,93.5048,88.1944,93.1919,93.1919,94519600
2023-02-01,93.4244,94.4257,86.308,86.9875,86.9875,71764000
