Date,Open,High,Low,Close,Adj Close,Volume
,PNC,PNC,PNC,PNC,,PNC
1985-01-01,0.0,3.2241,2.9201,3.2161,3.2161,3436400
1985-02-01,0.0,3.3281,3.2081,3.2481,3.2481,3012800
1985-03-01,0.0,3.2801,3.1281,3.1441,3.1441,2315600
1985-04-01,0.0,3.6482,3.1361,3.6402,3.6402,5614800
1985-05-01,0.0,3.8802,3.6242,3.7362,3.7362,4281600
1985-06-01,0.0,3.9602,3.6962,3.8882,3.8882,2137600
1985-07-01,0.0,4.1282,3.4081,3.7282,3.7282,5487600
1985-08-01,0.0,3.8722,3.6642,3.8402,3.8402,3494600
1985-09-01,0.0,3.8562,3.3921,3.3921,3.3921,4043800
1985-10-01,0.0,3.8882,3.3601,3.8882,3.8882,4107600
1985-11-01,0.0,4.5602,3.9042,4.4802,4.4802,3507400
1985-12-01,0.0,4.4962,4.2082,4.4802,4.4802,5158200
1986-01-01,0.0,4.9122,4.4642,4.8642,4.8642,4185400
1986-02-01,0.0,5.6002,4.7202,5.4562,5.4562,4521000
1986-03-01,0.0,5.9843,5.4082,5.6322,5.6322,4820000
1986-04-01,0.0,5.8082,5.2642,5.3442,5.3442,5303200
1986-05-01,0.0,5.8722,5.2802,5.8242,5.8242,5343800
1986-06-01,0.0,5.8562,5.5682,5.7122,5.7122,2815800
1986-07-01,0.0,6.1763,5.6802,5.8562,5.8562,5206400
1986-08-01,0.0,6.5283,5.7922,6.4483,6.4483,3684600
1986-09-01,0.0,6.5123,5.2642,5.6322,5.6322,4700600
1986-10-01,0.0,5.7122,5.3602,5.4882,5.4882,3816000
1986-11-01,0.0,5.5842,5.1842,5.2642,5.2642,3752200
1986-12-01,0.0,5.7122,5.2002,5.2802,5.2802,5580400
1987-01-01,0.0,6.0724,5.3618,5.5717,5.5717,5611800
1987-02-01,0.0,6.2823,5.5556,6.25,6.25,6595000
1987-03-01,0.0,6.3631,5.8301,5.9109,5.9109,6397200
1987-04-01,0.0,6.3314,5.8106,6.071,6.071,7559600
1987-05-01,0.0,6.1361,5.6315,5.9082,5.9082,5001600
1987-06-01,0.0,6.4128,5.8594,6.3151,6.3151,7988200
1987-07-01,0.0,6.4399,5.8813,5.9799,5.9799,4615000
1987-08-01,0.0,6.7027,5.7006,6.637,6.637,10832400
1987-09-01,0.0,6.7255,5.9138,6.1126,6.1126,10939400
1987-10-01,0.0,6.477,4.7708,4.8868,4.8868,8542800
1987-11-01,0.0,5.2181,4.6383,4.8371,4.8371,3400800
1987-12-01,0.0,5.1254,4.4554,4.9914,4.9914,4759000
1988-01-01,0.0,5.8624,4.8909,5.7619,5.7619,3126200
1988-02-01,0.0,5.8289,5.4939,5.6279,5.6279,3202800
1988-03-01,0.0,5.8875,5.1938,5.2615,5.2615,3553600
1988-04-01,0.0,5.989,5.1092,5.8705,5.8705,6885200
1988-05-01,0.0,6.0736,5.8029,5.8367,5.8367,6653800
1988-06-01,0.0,6.3282,5.9006,6.0717,6.0717,8691000
1988-07-01,0.0,6.3624,5.798,6.1914,6.1914,4379400
1988-08-01,0.0,6.3453,5.9519,5.9862,5.9862,3947400
1988-09-01,0.0,6.0375,5.8151,5.9177,5.9177,10035600
1988-10-01,6.0527,6.0527,5.6895,5.776,5.776,5502600
1988-11-01,5.7933,5.9143,5.4474,5.6722,5.6722,6424200
1988-12-01,5.7228,5.8978,5.5303,5.5653,5.5653,7279200
1989-01-01,5.6003,5.9678,5.4603,5.9153,5.9153,8484000
1989-02-01,5.9328,6.1254,5.6878,5.7228,5.7228,5636800
1989-03-01,5.8423,6.0016,5.6122,5.8069,5.8069,6595600
1989-04-01,5.8423,6.3734,5.7892,6.2141,6.2141,6865200
1989-05-01,6.1964,6.639,6.0902,6.5859,6.5859,7195400
1989-06-01,6.6991,6.9499,6.2334,6.2334,6.2334,16995000
1989-07-01,6.2334,6.717,6.1796,6.717,6.717,4659200
1989-08-01,6.7349,6.8245,6.5737,6.7528,6.7528,6143800
1989-09-01,6.717,7.0215,6.6274,6.8424,6.8424,4673400
1989-10-01,6.9202,6.9565,6.1231,6.3405,6.3405,5124800
1989-11-01,6.3043,6.413,5.9057,5.942,5.942,3460000
1989-12-01,5.9239,6.0869,5.5797,6.0325,6.0325,5755600
1990-01-01,6.0932,6.4786,5.5426,5.7445,5.7445,4988200
1990-02-01,5.7812,5.9647,5.6894,5.8546,5.8546,3653400
1990-03-01,5.9895,6.0825,5.8779,5.8965,5.8965,4119600
1990-04-01,5.8965,5.9895,4.9107,5.1897,5.1897,8674000
1990-05-01,5.1897,5.7663,5.1897,5.2827,5.2827,8607400
1990-06-01,5.3765,5.7727,4.4144,4.5276,4.5276,6369800
1990-07-01,4.5653,4.6785,3.9428,3.9994,3.9994,4528000
1990-08-01,3.9805,4.0371,3.358,3.6598,3.6598,6709200
1990-09-01,3.7407,3.895,3.0659,3.4322,3.4322,5710200
1990-10-01,3.5479,3.7407,2.4295,2.5067,2.5067,8621600
1990-11-01,2.4874,3.5865,2.4681,3.4708,3.4708,10040000
1990-12-01,3.4708,3.9721,3.2394,3.3358,3.3358,7344400
1991-01-01,3.436,3.8705,2.9818,3.7717,3.7717,8412600
1991-02-01,3.752,4.8578,3.6927,4.2457,4.2457,9942400
1991-03-01,4.2062,5.2923,4.1864,5.233,5.233,10099800
1991-04-01,5.2947,5.9187,4.8115,5.6772,5.6772,7029000
1991-05-01,5.6772,5.9389,5.3148,5.9187,5.9187,6367200
1991-06-01,5.9187,6.2006,5.657,5.8181,5.8181,6326000
1991-07-01,5.8181,6.4019,5.6168,6.3214,6.3214,7376400
1991-08-01,6.4179,7.1332,6.3157,6.8267,6.8267,6790200
1991-09-01,6.8675,6.9289,6.2748,6.6631,6.6631,4387600
1991-10-01,6.6631,7.6851,6.4383,6.7858,6.7858,8958000
1991-11-01,6.897,7.4563,6.6899,6.9385,6.9385,13251000
1991-12-01,6.8556,7.9948,6.8349,7.8084,7.8084,6710600
1992-01-01,7.7048,8.3883,7.6634,7.7669,7.7669,10269400
1992-02-01,7.8327,8.6914,7.7489,8.5867,8.5867,10004000
1992-03-01,8.6076,8.6076,8.0421,8.3144,8.3144,8810400
1992-04-01,8.2725,8.8799,7.8746,8.838,8.838,9240200
1992-05-01,8.9139,9.4645,8.5963,8.681,8.681,6803600
1992-06-01,8.681,9.2104,8.4693,9.1468,9.1468,6798600
1992-07-01,9.1257,9.3162,8.5117,8.7234,8.7234,5916400
1992-08-01,8.8092,9.1086,8.0395,8.4885,8.4885,4817400
1992-09-01,8.5313,8.681,8.2106,8.6596,8.6596,5946200
1992-10-01,8.7237,9.1514,8.7023,9.1086,9.1086,5624600
1992-11-01,9.2076,10.1154,9.2076,9.856,9.856,5857300
1992-12-01,9.7696,9.9857,9.4238,9.856,9.856,5211600
1993-01-01,9.9425,10.9368,9.3373,10.5045,10.5045,7934700
1993-02-01,10.612,11.1797,10.219,10.8304,10.8304,4234400
1993-03-01,10.9614,12.4025,10.874,11.6601,11.6601,7222400
1993-04-01,11.7038,12.7082,10.612,11.1797,11.1797,6805200
1993-05-01,11.2338,11.5863,10.4849,11.2779,11.2779,5902600
1993-06-01,11.1898,11.5422,10.3527,11.5422,11.5422,9185900
1993-07-01,11.5862,11.5862,9.9562,10.1765,10.1765,7286000
1993-08-01,10.1784,10.934,10.0895,10.6673,10.6673,7723200
1993-09-01,10.6228,11.2006,10.3117,10.934,10.934,6752000
1993-10-01,10.934,11.2006,10.045,10.2228,10.2228,8026000
1993-11-01,10.3757,10.735,9.7917,10.6452,10.6452,7533000
1993-12-01,10.735,10.8697,10.2409,10.4206,10.4206,4829600
1994-01-01,10.3307,10.735,9.9714,10.6452,10.6452,8359300
1994-02-01,10.7609,10.7609,9.8982,10.0344,10.0344,8603700
1994-03-01,10.0344,10.2615,9.1717,9.6712,9.6712,9508300
1994-04-01,9.535,11.0333,9.4896,10.1252,10.1252,9303000
1994-05-01,10.3331,11.3434,10.1035,11.2516,11.2516,6705400
