Date,Open,High,Low,Close,Adj Close,Volume
,PNR,PNR,PNR,PNR,,PNR
1985-01-01,1.7492,1.9063,1.5921,1.842,1.842,3379731
1985-02-01,1.8135,1.8563,1.792,1.8135,1.8135,3112604
1985-03-01,1.8277,1.8349,1.7207,1.792,1.792,2278168
1985-04-01,1.4136,1.5993,1.3994,1.5422,1.5422,2413964
1985-05-01,1.5207,1.5493,1.4636,1.4636,1.4636,2105743
1985-06-01,1.4922,1.7492,1.4493,1.7064,1.7064,1616162
1985-07-01,1.7635,1.9063,1.7349,1.842,1.842,2329988
1985-08-01,1.8706,1.8849,1.6278,1.6635,1.6635,1502697
1985-09-01,1.6421,1.6707,1.585,1.585,1.585,1426758
1985-10-01,1.6136,1.6921,1.5707,1.585,1.585,1567917
1985-11-01,1.585,1.7349,1.585,1.7207,1.7207,3130475
1985-12-01,1.6921,2.0277,1.6921,1.8849,1.8849,3184972
1986-01-01,1.8277,1.9063,1.7349,1.8135,1.8135,2768645
1986-02-01,1.8135,2.0062,1.7349,1.9777,1.9777,5835689
1986-03-01,2.0277,2.0419,1.6493,1.7992,1.7992,5459568
1986-04-01,1.7849,1.8135,1.6278,1.6278,1.6278,4114999
1986-05-01,1.6136,1.7278,1.5921,1.7278,1.7278,3290391
1986-06-01,1.6921,1.7278,1.5921,1.6921,1.6921,3184076
1986-07-01,1.7064,1.7278,1.3565,1.3779,1.3779,3926493
1986-08-01,1.3779,1.4993,1.2423,1.3208,1.3208,11234505
1986-09-01,1.3208,1.485,1.2994,1.4136,1.4136,4662655
1986-10-01,1.4136,1.4351,1.3137,1.3779,1.3779,3465500
1986-11-01,1.3779,1.4565,1.3137,1.4279,1.4279,5598044
1986-12-01,1.4136,1.485,1.3779,1.4636,1.4636,5245150
1987-01-01,1.4565,1.7492,1.4565,1.6707,1.6707,5604299
1987-02-01,1.6921,1.8135,1.6707,1.7849,1.7849,7559057
1987-03-01,1.7849,1.8349,1.4565,1.485,1.485,6447668
1987-04-01,1.485,1.5779,1.4279,1.5207,1.5207,9604051
1987-05-01,1.535,1.5707,1.4993,1.5564,1.5564,4105176
