Date,Open,High,Low,Close,Adj Close,Volume
,PODD,PODD,PODD,PODD,,PODD
2007-05-01,17.0,17.0,14.57,14.82,14.82,6831200
2007-06-01,15.0,15.04,13.63,14.2,14.2,2525700
2007-07-01,14.3,15.09,13.28,14.02,14.02,853700
2007-08-01,13.98,19.0,13.75,17.62,17.62,2188000
2007-09-01,17.61,24.0,17.14,21.75,21.75,2389300
2007-10-01,21.7,27.67,21.09,25.04,25.04,3039000
2007-11-01,24.89,27.85,22.53,27.46,27.46,6070500
2007-12-01,26.9,26.99,20.73,23.48,23.48,2917100
2008-01-01,23.14,26.71,18.14,19.81,19.81,3722700
2008-02-01,19.82,20.05,15.58,17.13,17.13,4941600
2008-03-01,17.06,17.15,12.35,14.4,14.4,4796200
2008-04-01,14.21,19.84,14.03,18.31,18.31,6539900
2008-05-01,18.25,20.29,15.72,16.3,16.3,5167300
2008-06-01,16.35,18.2,14.25,15.73,15.73,14606700
2008-07-01,15.52,17.36,12.45,13.95,13.95,7699300
2008-08-01,13.91,15.75,13.02,14.34,14.34,9265800
2008-09-01,14.49,16.84,13.19,13.92,13.92,6935500
2008-10-01,13.84,14.66,5.06,5.6,5.6,9582900
2008-11-01,5.58,6.99,3.11,4.89,4.89,7776800
2008-12-01,4.78,9.07,3.95,7.72,7.72,6436600
2009-01-01,7.7,9.85,7.39,7.94,7.94,5045700
2009-02-01,7.84,9.06,6.05,6.12,6.12,3694200
2009-03-01,5.87,6.68,2.57,4.1,4.1,9756900
2009-04-01,4.01,6.07,3.53,5.75,5.75,4783500
2009-05-01,5.75,7.79,5.45,7.23,7.23,6384600
2009-06-01,7.35,8.0,6.3,7.7,7.7,6506600
2009-07-01,7.74,8.0,5.74,6.7,6.7,4019800
2009-08-01,6.7,9.95,6.36,9.21,9.21,6113100
2009-09-01,9.15,11.73,8.98,11.23,11.23,7374000
2009-10-01,11.1,11.33,8.8,11.1,11.1,10577400
2009-11-01,11.25,13.29,11.0,12.26,12.26,6959900
2009-12-01,12.37,14.66,11.5,14.28,14.28,9952100
2010-01-01,14.47,15.22,13.5,13.63,13.63,6697300
2010-02-01,13.65,15.47,12.9,14.7,14.7,4610300
2010-03-01,14.76,16.5,14.73,15.09,15.09,5045900
2010-04-01,15.12,15.81,13.58,13.81,13.81,5123100
2010-05-01,13.82,15.99,12.25,14.57,14.57,5870900
2010-06-01,14.39,15.99,13.29,15.05,15.05,5483400
2010-07-01,14.99,15.74,14.31,14.79,14.79,3529600
2010-08-01,14.96,15.5,13.15,13.22,13.22,4536800
2010-09-01,13.44,14.88,13.24,14.14,14.14,3319600
2010-10-01,14.29,16.53,14.17,15.95,15.95,4724300
2010-11-01,15.96,16.44,12.58,13.57,13.57,7646800
2010-12-01,13.83,15.64,13.6,15.5,15.5,6389600
2011-01-01,15.58,17.5,15.33,17.03,17.03,5927800
2011-02-01,17.09,18.53,16.36,17.77,17.77,5745800
2011-03-01,17.74,21.34,17.16,20.62,20.62,6467200
2011-04-01,20.88,21.92,20.36,21.49,21.49,5099600
2011-05-01,21.5,21.93,19.92,21.08,21.08,6772400
2011-06-01,20.92,22.33,18.1,22.17,22.17,15590200
2011-07-01,22.12,23.33,19.33,19.66,19.66,7114100
2011-08-01,19.88,19.92,15.05,17.48,17.48,12976700
2011-09-01,17.79,18.13,14.69,15.26,15.26,10987600
2011-10-01,15.07,16.82,14.0,16.32,16.32,7853200
2011-11-01,15.6,19.06,14.14,18.58,18.58,10708400
2011-12-01,18.47,19.33,17.37,18.83,18.83,7313100
2012-01-01,19.22,20.16,17.35,19.46,19.46,6967500
2012-02-01,19.55,21.0,18.95,19.74,19.74,8473700
2012-03-01,19.71,20.2,18.37,19.14,19.14,5179200
2012-04-01,19.15,19.66,16.85,17.86,17.86,6434400
2012-05-01,17.81,18.85,16.95,18.42,18.42,6865900
2012-06-01,18.01,21.73,17.34,21.37,21.37,8433700
2012-07-01,21.33,21.92,19.54,19.56,19.56,4889600
2012-08-01,19.7,21.4,17.95,20.97,20.97,5486400
2012-09-01,20.9,22.36,20.62,21.58,21.58,4848100
2012-10-01,21.68,22.14,20.47,21.21,21.21,4369500
2012-11-01,20.8,22.35,18.5,21.95,21.95,6507600
2012-12-01,22.05,22.34,20.32,21.22,21.22,5812500
2013-01-01,21.69,24.28,21.1,23.07,23.07,8433000
2013-02-01,23.05,23.48,20.87,22.57,22.57,9687400
2013-03-01,22.25,25.99,21.97,25.86,25.86,6860000
2013-04-01,25.85,26.87,24.32,25.24,25.24,8980800
2013-05-01,25.23,31.07,23.5,29.86,29.86,13051400
2013-06-01,29.86,32.0,28.73,31.41,31.41,7687700
2013-07-01,31.1,33.57,30.87,31.89,31.89,5975500
2013-08-01,32.19,34.79,30.18,33.34,33.34,7188300
2013-09-01,33.83,37.96,32.77,36.24,36.24,7985200
2013-10-01,36.2,39.34,34.39,39.07,39.07,9065100
2013-11-01,38.9,40.5,34.02,37.02,37.02,11851200
2013-12-01,37.11,38.33,35.51,37.1,37.1,9132100
2014-01-01,37.0,44.61,35.52,43.0,43.0,12645700
2014-02-01,42.99,49.95,41.6,47.41,47.41,10499800
