Date,Open,High,Low,Close,Adj Close,Volume
,POOL,POOL,POOL,POOL,,POOL
1995-10-01,0.6772,0.7256,0.6288,0.653,0.653,17560927
1995-11-01,0.653,0.7256,0.6449,0.653,0.653,8265038
1995-12-01,0.6449,0.6933,0.6449,0.6742,0.6742,5191848
1996-01-01,0.6691,0.7901,0.6449,0.7901,0.7901,6098541
1996-02-01,0.7901,0.8304,0.7578,0.8142,0.8142,3338593
1996-03-01,0.8304,0.9835,0.8062,0.9352,0.9352,5614440
1996-04-01,0.9674,1.1125,0.9029,1.0803,1.0803,5514200
1996-05-01,1.0642,1.2254,1.0642,1.2254,1.2254,5038073
1996-06-01,1.2254,1.2899,1.0803,1.1609,1.1609,4523216
1996-07-01,1.1609,1.2738,1.1125,1.2093,1.2093,8194415
1996-08-01,1.2254,1.2254,1.1609,1.2254,1.2254,2566309
1996-09-01,1.1609,1.3866,1.1609,1.306,1.306,2033224
1996-10-01,1.3383,1.3383,1.1609,1.1609,1.1609,1878314
1996-11-01,1.1609,1.2738,1.1609,1.2254,1.2254,1604940
1996-12-01,1.2093,1.3383,1.1932,1.3383,1.3383,1215380
1997-01-01,1.2738,1.435,1.2738,1.3866,1.3866,1175513
1997-02-01,1.435,1.5479,1.3866,1.5479,1.5479,1107170
1997-03-01,1.4995,1.5479,1.2738,1.3705,1.3705,3810164
1997-04-01,1.3221,1.3866,1.3221,1.3866,1.3866,3863699
1997-05-01,1.3463,1.5962,1.3383,1.5801,1.5801,4622316
1997-06-01,1.5317,1.6124,1.2576,1.3624,1.3624,9177424
1997-07-01,1.3544,1.4673,1.3221,1.4673,1.4673,3003708
1997-08-01,1.435,1.5559,1.4028,1.4834,1.4834,3031045
1997-09-01,1.4834,1.6769,1.4834,1.6688,1.6688,1530901
1997-10-01,1.6688,2.3218,1.5962,2.3218,2.3218,1666072
1997-11-01,2.1283,2.2976,1.8986,1.9107,1.9107,850502
1997-12-01,1.9107,1.9107,1.7414,1.8623,1.8623,18120968
1998-01-01,1.8139,2.0316,1.7776,2.0074,2.0074,4364889
1998-02-01,2.0316,2.2734,1.9348,2.213,2.213,4332997
1998-03-01,2.1767,2.2734,2.1283,2.1767,2.1767,4225165
1998-04-01,2.1767,2.3218,2.1283,2.2855,2.2855,3985204
