Date,Open,High,Low,Close,Adj Close,Volume
,PPL,PPL,PPL,PPL,,PPL
1985-01-01,0.0,0.7422,0.7276,0.7349,0.7349,10115525
1985-02-01,0.0,0.7458,0.7056,0.7422,0.7422,9536613
1985-03-01,0.0,0.8007,0.7203,0.8007,0.8007,11968218
1985-04-01,0.0,0.8117,0.6983,0.7056,0.7056,23267340
1985-05-01,0.7056,0.7824,0.702,0.7824,0.7824,11707537
1985-06-01,0.7897,0.797,0.7568,0.7861,0.7861,13810179
1985-07-01,0.8015,0.8352,0.7341,0.7528,0.7528,9986256
1985-08-01,0.7603,0.7865,0.7303,0.7828,0.7828,5846682
1985-09-01,0.7865,0.7903,0.7041,0.7303,0.7303,7603177
1985-10-01,0.7524,0.7985,0.7294,0.7985,0.7985,8858493
1985-11-01,0.7947,0.8561,0.787,0.8369,0.8369,8731371
1985-12-01,0.8292,0.8906,0.7985,0.8829,0.8829,23796435
1986-01-01,0.9043,0.9397,0.8689,0.9161,0.9161,9947604
1986-02-01,0.9161,1.0458,0.9082,1.034,1.034,10536398
1986-03-01,1.038,1.0419,0.9751,0.9947,0.9947,15126047
1986-04-01,1.0225,1.0666,1.0024,1.0105,1.0105,9176724
1986-05-01,1.0064,1.0786,0.9984,1.0786,1.0786,11643977
1986-06-01,1.0786,1.0906,1.0225,1.0866,1.0866,16687137
1986-07-01,1.1117,1.2793,1.0913,1.2548,1.2548,12790637
1986-08-01,1.2466,1.4183,1.2343,1.3611,1.3611,13888341
1986-09-01,1.3651,1.3692,1.1526,1.1935,1.1935,23412499
1986-10-01,1.1976,1.2916,1.1771,1.2834,1.2834,9649130
1986-11-01,1.2752,1.3161,1.2343,1.2752,1.2752,6886837
1986-12-01,1.2711,1.2997,1.1853,1.1935,1.1935,28831009
1987-01-01,1.2016,1.3406,1.1976,1.3324,1.3324,12090188
1987-02-01,1.3324,1.3529,1.2875,1.3406,1.3406,5522438
1987-03-01,1.3488,1.3529,1.267,1.3079,1.3079,14142580
1987-04-01,1.2957,1.2957,1.1117,1.1771,1.1771,14255532
1987-05-01,1.169,1.2303,1.1322,1.1812,1.1812,7524156
1987-06-01,1.1812,1.2303,1.1526,1.1771,1.1771,9011381
1987-07-01,1.1771,1.1935,1.0954,1.1076,1.1076,5970797
1987-08-01,1.1158,1.2221,1.0954,1.1853,1.1853,12202708
1987-09-01,1.1771,1.1935,1.1117,1.1649,1.1649,19805884
1987-10-01,1.1914,1.2622,0.9539,1.158,1.158,15968221
1987-11-01,1.1455,1.1914,1.1039,1.108,1.108,12847328
1987-12-01,1.108,1.1289,1.0581,1.0997,1.0997,15333476
1988-01-01,1.1313,1.2589,1.127,1.2589,1.2589,8211294
1988-02-01,1.2631,1.2886,1.2419,1.2504,1.2504,7792569
1988-03-01,1.2504,1.2546,1.1653,1.1738,1.1738,11800301
1988-04-01,1.2006,1.2266,1.1659,1.2093,1.2093,5746190
1988-05-01,1.2006,1.2786,1.1963,1.2743,1.2743,5166847
1988-06-01,1.2743,1.3003,1.2266,1.2396,1.2396,77613057
1988-07-01,1.2586,1.2851,1.2012,1.2409,1.2409,3710116
1988-08-01,1.2409,1.2586,1.1923,1.2453,1.2453,3990124
1988-09-01,1.2409,1.2674,1.2233,1.263,1.263,26943954
1988-10-01,1.2793,1.3243,1.2703,1.3153,1.3153,5874170
1988-11-01,1.3153,1.3334,1.2748,1.2883,1.2883,4553144
1988-12-01,1.2883,1.3153,1.2613,1.3018,1.3018,13821346
1989-01-01,1.3063,1.3063,1.2793,1.3063,1.3063,5272064
1989-02-01,1.3063,1.3108,1.2523,1.2613,1.2613,6140865
1989-03-01,1.2613,1.2703,1.2343,1.2613,1.2613,13634958
1989-04-01,1.2782,1.3196,1.2736,1.3104,1.3104,6928066
1989-05-01,1.3058,1.4345,1.2874,1.4253,1.4253,10857204
1989-06-01,1.4207,1.4575,1.4115,1.4207,1.4207,15502252
1989-07-01,1.4422,1.5405,1.4328,1.5405,1.5405,8143870
1989-08-01,1.5311,1.5452,1.503,1.5311,1.5311,6046810
1989-09-01,1.4984,1.5311,1.4984,1.5311,1.5311,8678120
1989-10-01,1.5536,1.5632,1.5298,1.5536,1.5536,4938803
1989-11-01,1.5489,1.6156,1.5441,1.6108,1.6108,4812539
1989-12-01,1.6203,1.6346,1.587,1.6346,1.6346,9987116
1990-01-01,1.6626,1.682,1.5511,1.5851,1.5851,9044018
1990-02-01,1.5851,1.6335,1.5754,1.6044,1.6044,3838094
1990-03-01,1.5996,1.6384,1.5899,1.6238,1.6238,11067213
1990-04-01,1.6435,1.6632,1.5448,1.5793,1.5793,4482286
1990-05-01,1.5892,1.7027,1.5645,1.6731,1.6731,4796652
1990-06-01,1.678,1.6978,1.6435,1.6879,1.6879,11748336
1990-07-01,1.7179,1.7229,1.6275,1.6878,1.6878,7427957
1990-08-01,1.6878,1.7179,1.5722,1.6124,1.6124,9330898
1990-09-01,1.5823,1.6074,1.5672,1.6074,1.6074,5554219
1990-10-01,1.6327,1.7146,1.6327,1.7043,1.7043,12964139
1990-11-01,1.7095,1.7811,1.7095,1.7811,1.7811,5179730
1990-12-01,1.7914,1.8169,1.7453,1.7914,1.7914,10074294
1991-01-01,1.8223,1.8327,1.739,1.765,1.765,3376851
1991-02-01,1.7754,1.8744,1.7546,1.8327,1.8327,6561735
1991-03-01,1.8379,1.8744,1.7702,1.8639,1.8639,6586216
1991-04-01,1.8919,1.9555,1.8548,1.8866,1.8866,3946319
1991-05-01,1.8866,1.929,1.8654,1.8972,1.8972,7458878
1991-06-01,1.8972,1.9025,1.8071,1.8495,1.8495,5563239
1991-07-01,1.8767,1.9522,1.8767,1.9468,1.9468,5570966
1991-08-01,1.9414,2.0439,1.936,2.0439,2.0439,4983893
1991-09-01,2.0439,2.0708,1.9738,2.0708,2.0708,6029202
1991-10-01,2.1054,2.1766,2.0725,2.1766,2.1766,3963495
1991-11-01,2.1766,2.2205,2.1218,2.1766,2.1766,4744255
1991-12-01,2.1821,2.3082,2.1273,2.3082,2.3082,7281081
1992-01-01,2.3333,2.3612,2.1774,2.2052,2.2052,6647626
1992-02-01,2.2052,2.2275,2.1496,2.2164,2.2164,6129268
1992-03-01,2.2164,2.2164,2.1273,2.1551,2.1551,7421515
1992-04-01,2.1852,2.2815,2.1796,2.2758,2.2758,4019754
1992-05-01,2.2758,2.3664,2.2701,2.3551,2.3551,5221604
1992-06-01,2.3437,2.3551,2.2305,2.3437,2.3437,7711186
1992-07-01,2.3809,2.5994,2.3694,2.5879,2.5879,4888984
1992-08-01,2.5994,2.5994,2.5189,2.5764,2.5764,4057975
1992-09-01,2.5649,2.5764,2.3579,2.5304,2.5304,9743181
1992-10-01,2.5674,2.6025,2.4391,2.5324,2.5324,4027701
1992-11-01,2.5208,2.5558,2.4157,2.5558,2.5558,7510845
1992-12-01,2.5558,2.6025,2.4157,2.5441,2.5441,10917759
1993-01-01,2.5825,2.6536,2.4878,2.6418,2.6418,4983897
1993-02-01,2.6418,2.855,2.6299,2.855,2.855,3710972
1993-03-01,2.855,2.8906,2.7484,2.8313,2.8313,11830578
1993-04-01,2.8581,2.9541,2.81,2.8581,2.8581,4161478
1993-05-01,2.8581,2.9061,2.726,2.8581,2.8581,2957053
1993-06-01,2.8461,2.9061,2.75,2.8221,2.8221,11022978
1993-07-01,2.8742,2.9595,2.862,2.9473,2.9473,2956839
1993-08-01,2.9473,3.0082,2.9351,2.9838,2.9838,4406915
1993-09-01,2.9838,3.0203,2.8986,2.9473,2.9473,10994418
1993-10-01,2.9746,2.987,2.8142,2.8882,2.8882,7420657
1993-11-01,2.8759,2.8759,2.592,2.6537,2.6537,4715911
1993-12-01,2.6784,2.7401,2.5797,2.6661,2.6661,8071720
1994-01-01,2.7074,2.7324,2.5068,2.5319,2.5319,6067424
1994-02-01,2.5444,2.557,2.3439,2.4191,2.4191,6808457
1994-03-01,2.394,2.4567,2.2687,2.3063,2.3063,21090619
1994-04-01,2.3464,2.5377,2.3337,2.5122,2.5122,5178657
1994-05-01,2.4994,2.5122,2.2444,2.2572,2.2572,9031997
1994-06-01,2.2572,2.2699,1.9894,2.0021,2.0021,20220528
1994-07-01,2.0541,2.1451,2.0411,2.1321,2.1321,8829933
1994-08-01,2.1451,2.2751,2.0931,2.1971,2.1971,7721494
1994-09-01,2.2101,2.2231,2.0021,2.0801,2.0801,13142799
1994-10-01,2.1356,2.1356,2.0162,2.0693,2.0693,7590937
1994-11-01,2.0826,2.2019,1.9764,2.1224,2.1224,7991840
1994-12-01,2.1224,2.1356,2.0162,2.0162,2.0162,15768094
1995-01-01,2.0731,2.2628,2.0325,2.2222,2.2222,7826927
1995-02-01,2.2493,2.2628,2.1815,2.2493,2.2493,4568395
1995-03-01,2.2493,2.2493,2.0731,2.1273,2.1273,12080312
1995-04-01,2.1716,2.1992,2.0194,2.0333,2.0333,8642474
1995-05-01,2.0194,2.1439,1.9779,2.1301,2.1301,10453295
1995-06-01,2.1439,2.1992,2.0194,2.1578,2.1578,12571395
1995-07-01,2.1903,2.2327,2.162,2.1761,2.1761,8963925
1995-08-01,2.162,2.5294,2.1055,2.4729,2.4729,18146231
1995-09-01,2.4729,2.6566,2.4022,2.6425,2.6425,23911531
1995-10-01,2.6792,2.7513,2.5928,2.5928,2.5928,17322743
1995-11-01,2.5928,3.0538,2.492,2.8665,2.8665,40106510
1995-12-01,2.8665,2.9097,2.8089,2.8809,2.8809,13870302
1996-01-01,2.9299,3.0324,2.9006,3.0178,3.0178,11506548
1996-02-01,3.0031,3.0471,2.9006,2.9152,2.9152,6712475
1996-03-01,2.9152,2.9445,2.7541,2.8566,2.8566,11133779
1996-04-01,2.9055,2.9204,2.6224,2.6969,2.6969,9275930
1996-05-01,2.682,2.8608,2.6373,2.7267,2.7267,7120895
1996-06-01,2.6969,2.8608,2.6373,2.8161,2.8161,13484647
1996-07-01,2.8831,2.9134,2.6858,2.7162,2.7162,6779043
1996-08-01,2.7162,2.8527,2.701,2.7313,2.7313,6662445
1996-09-01,2.7162,2.7769,2.6251,2.6555,2.6555,10859996
1996-10-01,2.7063,2.8919,2.7063,2.8919,2.8919,9114450
1996-11-01,2.8919,3.0311,2.83,2.83,2.83,9256602
1996-12-01,2.8455,2.9074,2.7836,2.8455,2.8455,15285807
1997-01-01,2.9128,3.023,2.8498,2.8498,2.8498,8591370
1997-02-01,2.8498,2.9128,2.8183,2.8813,2.8813,8147520
1997-03-01,2.897,2.897,2.5191,2.5506,2.5506,14814471
1997-04-01,2.5823,2.5984,2.438,2.5182,2.5182,10326820
1997-05-01,2.5342,2.6786,2.5342,2.5663,2.5663,9418512
1997-06-01,2.5984,2.6465,2.4701,2.5583,2.5583,22678977
1997-07-01,2.6058,2.7123,2.5484,2.6795,2.6795,25124758
1997-08-01,2.6549,2.8844,2.6303,2.8762,2.8762,13069573
1997-09-01,2.868,3.0237,2.8516,2.868,2.868,21615635
1997-10-01,2.9385,3.0303,2.6714,2.8884,2.8884,12222891
1997-11-01,2.9051,3.1639,2.8049,3.1389,3.1389,8981104
