Date,Open,High,Low,Close,Adj Close,Volume
,PRU,PRU,PRU,PRU,,PRU
2001-12-01,14.3544,16.6432,14.305,16.3719,16.3719,98045700
2002-01-01,16.0858,16.1795,14.5665,15.3163,15.3163,53652000
2002-02-01,15.2669,15.923,14.7983,15.0795,15.0795,44139000
2002-03-01,15.1387,15.8145,14.9956,15.3163,15.3163,44716400
2002-04-01,15.3656,16.3768,15.2571,15.8342,15.8342,43616100
2002-05-01,15.8589,17.166,15.2176,17.0131,17.0131,53268500
2002-06-01,17.0131,17.758,15.2916,16.4557,16.4557,71419400
2002-07-01,16.2535,16.2781,13.8118,16.2732,16.2732,169324300
2002-08-01,16.0808,16.5494,14.5517,14.897,14.897,56542400
2002-09-01,14.6503,15.2867,13.3974,14.088,14.088,59342400
2002-10-01,14.1127,15.0252,12.4552,14.4037,14.4037,65532600
2002-11-01,14.3642,15.2916,13.9893,14.8378,14.8378,42723500
2002-12-01,15.1262,16.2563,14.7762,15.8713,15.8713,50380500
2003-01-01,15.7513,17.2414,15.5013,15.8863,15.8863,51220400
2003-02-01,15.9913,16.1913,14.3562,15.0162,15.0162,39197800
2003-03-01,15.1112,15.7513,13.5161,14.6262,14.6262,39767500
2003-04-01,14.6462,16.1463,14.6412,15.9863,15.9863,32133700
2003-05-01,15.9863,16.7764,15.6413,16.7614,16.7614,40672700
2003-06-01,16.8514,17.3664,16.3013,16.8264,16.8264,37093700
2003-07-01,16.8264,18.4665,16.7564,17.7915,17.7915,39958800
2003-08-01,17.8015,18.6865,17.1764,18.2065,18.2065,28367100
2003-09-01,18.2765,19.1316,17.7515,18.6815,18.6815,33496200
2003-10-01,18.7465,19.7516,18.5015,19.3216,19.3216,37007900
2003-11-01,19.3366,19.6266,18.0015,19.5566,19.5566,37623000
2003-12-01,19.8944,21.3947,19.8741,21.1717,21.1717,33370500
2004-01-01,21.2376,22.8697,20.7763,22.0485,22.0485,27219300
2004-02-01,22.0941,24.3294,22.0232,23.5134,23.5134,27087900
2004-03-01,23.7212,24.4257,22.0941,22.6973,22.6973,46900700
2004-04-01,22.6973,23.6604,21.638,22.2716,22.2716,34401700
2004-05-01,22.3679,22.8088,20.3455,22.454,22.454,36806200
2004-06-01,22.4743,23.6705,22.1144,23.5539,23.5539,33747800
2004-07-01,23.6198,23.7921,22.5351,23.5995,23.5995,28558800
2004-08-01,23.3157,23.6908,22.2361,23.4069,23.4069,39657800
2004-09-01,23.4069,24.6639,23.1839,23.8428,23.8428,41549000
2004-10-01,23.8935,24.6082,21.491,23.5539,23.5539,57621900
2004-11-01,23.6553,25.3431,23.4678,24.8109,24.8109,48379500
2004-12-01,25.4176,28.5601,25.4022,28.2212,28.2212,44262100
2005-01-01,28.1647,28.3753,26.7373,27.6821,27.6821,32657500
2005-02-01,27.7899,30.5627,27.4972,29.2688,29.2688,32468500
2005-03-01,29.3458,30.7065,28.9401,29.4741,29.4741,36003500
