Date,Open,High,Low,Close,Adj Close,Volume
,PTC,PTC,PTC,PTC,,PTC
1989-12-01,0.0,2.2396,1.6406,2.1875,2.1875,38327040
1990-01-01,0.0,2.8516,1.9531,2.4479,2.4479,21379200
1990-02-01,0.0,2.6953,2.2396,2.2786,2.2786,20047680
1990-03-01,0.0,2.6042,2.0573,2.1094,2.1094,21628800
1990-04-01,2.0573,2.6302,2.0052,2.474,2.474,11296320
1990-05-01,2.526,3.0208,2.3177,2.9427,2.9427,38108160
1990-06-01,2.9427,2.9948,2.3958,2.8125,2.8125,31881600
1990-07-01,2.8125,3.2552,2.6302,2.7865,2.7865,23490240
1990-08-01,2.7865,3.0599,2.2396,2.474,2.474,23282880
1990-09-01,2.474,2.6302,1.7969,2.0052,2.0052,17237760
1990-10-01,2.0573,2.4219,1.5625,2.2656,2.2656,26475840
1990-11-01,2.2266,2.7083,2.1094,2.3958,2.3958,14201280
1990-12-01,2.5,2.8906,2.4479,2.8125,2.8125,13363200
1991-01-01,2.7344,3.8021,2.3438,3.8021,3.8021,29156160
1991-02-01,3.8021,3.9844,3.2812,3.5677,3.5677,15780480
1991-03-01,3.5156,4.0104,3.2031,3.75,3.75,17110080
1991-04-01,3.724,4.3229,3.6719,3.8542,3.8542,12648960
1991-05-01,3.776,4.1406,3.5807,4.1406,4.1406,11132160
1991-06-01,4.1406,4.6094,3.6719,3.7109,3.7109,12134080
1991-07-01,3.75,4.7656,3.7305,4.2969,4.2969,15456640
1991-08-01,4.2969,5.7812,4.2578,5.5859,5.5859,17296640
1991-09-01,5.5078,6.0547,4.9609,5.1172,5.1172,14191360
1991-10-01,5.1562,6.7969,4.8438,6.7969,6.7969,21139200
1991-11-01,6.7969,7.1875,6.1328,6.875,6.875,13733760
1991-12-01,6.7578,9.5703,6.7188,9.4141,9.4141,24762880
1992-01-01,9.1797,11.0156,9.0625,9.9219,9.9219,38910720
1992-02-01,9.9609,11.1328,8.5938,8.75,8.75,22357440
1992-03-01,8.9062,10.0,7.8906,8.9062,8.9062,12033280
1992-04-01,8.75,11.7188,8.2031,11.4062,11.4062,21671040
1992-05-01,11.4062,12.8125,10.8594,12.2656,12.2656,16672640
1992-06-01,12.1094,12.8906,10.3125,11.6406,11.6406,17273280
1992-07-01,11.5625,12.6562,9.6094,12.6562,12.6562,29992000
1992-08-01,12.5,13.4375,11.4844,13.3594,13.3594,22540800
1992-09-01,13.2031,15.5469,12.8125,14.6094,14.6094,17992640
1992-10-01,14.375,16.6406,13.4375,15.9375,15.9375,23543360
1992-11-01,16.0156,17.5781,15.1562,16.7188,16.7188,20377280
1992-12-01,16.5625,16.875,14.0625,16.5625,16.5625,30976960
1993-01-01,16.5625,19.7656,15.1562,18.2812,18.2812,27616960
1993-02-01,18.4375,19.9219,15.5469,18.4375,18.4375,27722560
1993-03-01,18.75,19.6875,15.7812,17.9688,17.9688,15183520
1993-04-01,18.2812,18.5938,14.0625,17.3438,17.3438,21018560
1993-05-01,17.1875,21.4062,16.875,20.625,20.625,16482400
1993-06-01,20.625,21.0938,17.1875,20.0,20.0,14103200
1993-07-01,20.0,23.125,19.5312,21.875,21.875,12421920
1993-08-01,21.875,25.0,21.5625,24.375,24.375,10102720
1993-09-01,24.375,25.7812,21.4062,25.3125,25.3125,13597920
1993-10-01,25.1562,27.9688,24.2188,24.8438,24.8438,14710240
