Date,Open,High,Low,Close,Adj Close,Volume
,PWR,PWR,PWR,PWR,,PWR
1998-02-01,7.1987,8.5076,7.1987,7.8123,7.8123,5687850
1998-03-01,7.7714,10.9617,7.5259,10.9617,10.9617,2453700
1998-04-01,10.8799,11.6161,9.0802,9.6119,9.6119,924750
1998-05-01,9.7346,9.7346,8.0168,8.344,8.344,2057250
1998-06-01,8.4258,10.4709,8.2213,9.6119,9.6119,686550
1998-07-01,9.5301,9.8164,8.0168,8.2622,8.2622,614700
1998-08-01,8.344,10.0619,7.9759,8.5894,8.5894,832500
1998-09-01,8.5076,8.6712,7.8532,8.0577,8.0577,305100
1998-10-01,8.0168,9.4483,7.3623,9.4483,9.4483,869850
1998-11-01,9.5301,12.925,9.5301,12.516,12.516,1893900
1998-12-01,12.516,15.0519,12.516,14.4384,14.4384,1833450
1999-01-01,14.4793,19.4693,14.152,18.4058,18.4058,4976250
1999-02-01,18.3649,19.4693,16.688,17.6696,17.6696,2855700
1999-03-01,17.7514,17.915,14.3975,16.6471,16.6471,1909350
1999-04-01,16.6471,20.7781,15.4609,18.8558,18.8558,1945800
1999-05-01,18.9376,23.3959,18.9376,22.2097,22.2097,4442250
1999-06-01,22.3733,29.0403,21.1872,28.7949,28.7949,3505500
1999-07-01,27.6497,27.6497,20.2873,20.3282,20.3282,3272250
1999-08-01,20.4918,21.678,13.1704,14.6838,14.6838,11085150
1999-09-01,14.8474,19.183,14.5611,19.183,19.183,5300550
1999-10-01,19.183,19.183,15.3791,18.2422,18.2422,4037400
1999-11-01,18.0786,22.7005,17.915,18.324,18.324,4696500
1999-12-01,18.2422,20.9417,15.7881,18.4876,18.4876,4582800
2000-01-01,18.4876,24.8683,17.5878,21.4326,21.4326,5256600
2000-02-01,21.3508,27.4042,21.269,26.5044,26.5044,6141600
2000-03-01,26.7498,45.9737,26.7089,39.7157,39.7157,14920950
2000-04-01,40.0838,46.1373,33.3759,45.5851,45.5851,8128250
2000-05-01,45.7692,56.8127,40.002,48.1006,48.1006,11576200
2000-06-01,47.7325,61.9663,46.6281,53.9904,53.9904,17626100
2000-07-01,53.2542,58.776,40.4928,44.9102,44.9102,16309100
2000-08-01,44.9102,46.8735,33.4986,45.8919,45.8919,11031700
2000-09-01,46.3827,46.9962,25.1546,27.8542,27.8542,13421000
2000-10-01,27.1179,31.5353,22.3324,30.4923,30.4923,11762000
2000-11-01,32.2716,38.2228,28.4677,30.615,30.615,8488800
2000-12-01,31.0445,36.7503,27.5474,31.5967,31.5967,8141200
