Date,Open,High,Low,Close,Adj Close,Volume
,RCL,RCL,RCL,RCL,,RCL
1993-04-01,5.8177,5.977,5.738,5.8575,5.8575,10476600
1993-05-01,5.8177,5.8575,4.9809,5.5387,5.5387,8528400
1993-06-01,5.5786,6.2161,5.3793,6.0567,6.0567,3774000
1993-07-01,6.0567,7.4514,5.8575,7.4514,7.4514,4145200
1993-08-01,7.4514,7.8499,7.0928,7.5709,7.5709,3643400
1993-09-01,7.6267,8.0281,7.2253,7.8675,7.8675,2605600
1993-10-01,7.8675,8.8309,7.426,8.5098,8.5098,3140000
1993-11-01,8.4696,8.7506,7.5464,8.2689,8.2689,1230800
1993-12-01,8.2991,8.702,7.5739,8.6214,8.6214,927400
1994-01-01,8.6617,9.1451,8.4602,8.7423,8.7423,945400
1994-02-01,8.7423,9.3466,8.42,8.8228,8.8228,1426600
1994-03-01,8.8529,8.8933,8.004,8.0444,8.0444,1254800
1994-04-01,7.8827,8.9742,7.6402,8.9742,8.9742,1556800
1994-05-01,8.9742,9.4188,8.5295,9.4188,9.4188,862800
1994-06-01,9.4492,9.5303,8.6787,9.0031,9.0031,944200
1994-07-01,9.0031,9.7331,8.8814,9.3681,9.3681,774000
1994-08-01,9.3681,9.7331,9.287,9.5303,9.5303,593200
1994-09-01,9.5661,9.5661,8.3856,8.467,8.467,1460600
1994-10-01,8.467,9.9325,8.4263,9.6883,9.6883,2146000
1994-11-01,9.6475,9.6475,8.6706,8.9555,8.9555,1199600
1994-12-01,8.9104,9.3191,8.2973,9.3191,9.3191,991400
1995-01-01,9.3192,9.3192,8.5017,8.9922,8.9922,1087800
1995-02-01,8.9922,9.0739,7.8477,8.3382,8.3382,2454400
1995-03-01,8.3738,8.579,7.8812,8.579,8.579,1466600
1995-04-01,8.538,8.7843,7.676,7.8402,7.8402,3005400
1995-05-01,7.7991,8.6611,7.676,8.2096,8.2096,3490400
1995-06-01,8.245,8.3687,7.0495,7.2556,7.2556,2793600
1995-07-01,7.2144,7.874,7.0907,7.1731,7.1731,1911800
1995-08-01,7.1731,7.5442,7.0082,7.1731,7.1731,2026600
1995-09-01,7.1273,8.0804,7.1273,8.039,8.039,1659000
1995-10-01,7.9975,7.9975,7.4588,7.6246,7.6246,991600
1995-11-01,7.7075,8.3705,7.6246,8.039,8.039,1036400
