Date,Open,High,Low,Close,Adj Close,Volume
,REG,REG,REG,REG,,REG
1993-10-01,3.6615,3.6853,3.6615,3.6615,3.6615,1381000
1993-11-01,3.6615,3.6853,3.1147,3.2573,3.2573,1388300
1993-12-01,3.2573,3.3524,2.9958,3.1622,3.1622,610700
1994-01-01,3.186,3.4238,3.1622,3.4,3.4,234000
1994-02-01,3.4,3.5902,3.3287,3.5664,3.5664,406500
1994-03-01,3.6136,3.6136,3.445,3.445,3.445,259900
1994-04-01,3.4209,3.4931,3.3486,3.4209,3.4209,80200
1994-05-01,3.3968,3.469,3.3004,3.3727,3.3727,96900
1994-06-01,3.4219,3.6435,3.3481,3.4219,3.4219,186000
1994-07-01,3.3973,3.4958,3.2004,3.2742,3.2742,339000
1994-08-01,3.2496,3.4465,3.225,3.3481,3.3481,158200
1994-09-01,3.4493,3.4493,3.1724,3.2227,3.2227,96800
1994-10-01,3.2227,3.3738,3.0717,3.1976,3.1976,472400
1994-11-01,3.1976,3.2731,3.0717,3.0968,3.0968,255800
1994-12-01,3.1752,3.6141,3.1236,3.4592,3.4592,163300
1995-01-01,3.485,3.5366,3.1494,3.3301,3.3301,109800
1995-02-01,3.3043,3.4592,3.2011,3.4076,3.4076,271800
1995-03-01,3.466,3.5454,3.3602,3.3866,3.3866,82000
1995-04-01,3.3866,3.4131,3.3337,3.3602,3.3602,98900
1995-05-01,3.3602,3.7306,3.3337,3.6512,3.6512,274000
1995-06-01,3.7979,3.9878,3.6623,3.6894,3.6894,261800
1995-07-01,3.6894,3.7979,3.5537,3.6623,3.6623,315500
1995-08-01,3.6623,3.9335,3.6351,3.8793,3.8793,419200
1995-09-01,3.9431,3.9709,3.832,3.9153,3.9153,226200
1995-10-01,3.8598,3.8876,3.7765,3.7765,3.7765,91000
1995-11-01,3.8043,3.8598,3.5821,3.6654,3.6654,116300
1995-12-01,3.7223,3.9212,3.7223,3.9212,3.9212,210100
1996-01-01,3.8643,3.978,3.6086,3.7791,3.7791,294300
1996-02-01,3.7507,3.7791,3.6086,3.7507,3.7507,528400
1996-03-01,3.8458,4.0789,3.8167,3.9332,3.9332,324200
1996-04-01,3.9041,4.108,3.8458,4.0497,4.0497,203900
1996-05-01,4.0789,4.4576,4.0206,4.3994,4.3994,2100000
1996-06-01,4.5028,5.0396,4.473,4.98,4.98,605000
1996-07-01,5.0098,5.0098,4.5923,4.8905,4.8905,350700
1996-08-01,4.9203,5.0992,4.8607,5.0396,5.0396,1368300
1996-09-01,5.1083,5.4428,5.0779,5.4428,5.4428,410800
1996-10-01,5.4124,5.4428,5.1387,5.2907,5.2907,162800
1996-11-01,5.2907,5.9901,5.2907,5.838,5.838,317300
1996-12-01,5.9439,6.5011,5.851,6.5011,6.5011,303800
1997-01-01,6.5321,6.594,6.1915,6.4701,6.4701,353800
1997-02-01,6.5011,6.8107,6.4082,6.7488,6.7488,372000
1997-03-01,6.8879,7.0451,6.6677,6.7306,6.7306,265200
1997-04-01,6.6992,6.8879,6.2588,6.5419,6.5419,559000
1997-05-01,6.5104,6.7306,6.479,6.6362,6.6362,401200
1997-06-01,6.7122,7.1916,6.7122,6.9679,6.9679,106700
1997-07-01,7.0318,7.2236,6.8081,6.856,6.856,1252000
1997-08-01,6.84,7.1277,6.3606,6.7921,6.7921,1037000
1997-09-01,6.9285,7.1394,6.5877,6.9447,6.9447,738000
1997-10-01,6.9447,6.9447,6.2956,6.6851,6.6851,703300
1997-11-01,6.6202,7.0096,6.4904,6.896,6.896,465600
1997-12-01,7.039,7.3851,6.8906,7.3027,7.3027,386600
1998-01-01,7.2862,7.3357,6.9565,7.1709,7.1709,856300
1998-02-01,7.1873,7.2862,6.8906,6.9071,6.9071,753900
1998-03-01,7.0356,7.1026,6.6001,7.0859,7.0859,1330900
1998-04-01,7.0524,7.0524,6.5331,6.9016,6.9016,539500
1998-05-01,6.9016,7.1529,6.5163,6.5666,6.5666,485100
1998-06-01,6.6772,7.1541,6.558,6.8475,6.8475,659200
1998-07-01,6.8646,7.2223,6.4728,6.4728,6.4728,805700
1998-08-01,6.4387,6.4387,5.9277,6.0129,6.0129,587100
1998-09-01,6.1485,6.6696,5.6796,6.3743,6.3743,665900
1998-10-01,6.3743,6.4611,5.6275,6.409,6.409,673700
1998-11-01,6.3917,6.5133,6.2875,6.4785,6.4785,486600
1998-12-01,6.6028,6.6205,6.1957,6.3019,6.3019,452600
1999-01-01,6.3373,6.5497,5.9478,6.0363,6.0363,461700
1999-02-01,6.1072,6.178,5.7,5.7354,5.7354,728900
1999-03-01,5.8962,6.258,5.426,5.426,5.426,1027800
1999-04-01,5.4983,6.3665,5.4983,6.258,6.258,2235200
1999-05-01,6.2761,6.5112,6.2037,6.3846,6.3846,1898900
1999-06-01,6.5213,6.5398,6.1334,6.4844,6.4844,2167000
1999-07-01,6.4844,6.5398,6.1518,6.2442,6.2442,1330300
1999-08-01,6.2257,6.5029,6.0225,6.2073,6.2073,1228900
1999-09-01,6.3282,6.3849,5.9693,6.3471,6.3471,933900
1999-10-01,6.2905,6.2905,5.6671,5.9882,5.9882,1242400
1999-11-01,6.0071,6.2338,5.8749,6.1204,6.1204,2785600
1999-12-01,6.2843,6.439,5.8203,6.1876,6.1876,1910200
2000-01-01,6.149,6.4777,5.9169,6.0523,6.0523,1271300
2000-02-01,6.0523,6.207,5.6656,5.8493,5.8493,1055700
2000-03-01,6.003,6.419,5.9436,6.2606,6.2606,1159300
2000-04-01,6.2804,7.0134,6.1021,6.9738,6.9738,772100
2000-05-01,6.9738,7.37,6.4587,6.6766,6.6766,776700
2000-06-01,6.8075,7.704,6.7467,7.6938,7.6938,919100
2000-07-01,7.6584,7.78,7.0506,7.78,7.78,1316300
2000-08-01,7.7394,7.78,7.2127,7.3342,7.3342,800000
2000-09-01,7.4855,7.5889,7.0306,7.5889,7.5889,840400
2000-10-01,7.5475,7.5889,7.2994,7.4442,7.4442,1188300
