Date,Open,High,Low,Close,Adj Close,Volume
,RF,RF,RF,RF,,RF
1985-01-01,0.0,1.2134,1.054,1.1643,1.1643,1662265
1985-02-01,0.0,1.2379,1.1521,1.2134,1.2134,2414632
1985-03-01,0.0,1.2624,1.2011,1.2624,1.2624,2710146
1985-04-01,0.0,1.2869,1.2501,1.2869,1.2869,1868691
1985-05-01,0.0,1.3972,1.2746,1.3359,1.3359,1806222
1985-06-01,0.0,1.4707,1.3114,1.4462,1.4462,1476483
1985-07-01,0.0,1.6178,1.4217,1.4217,1.4217,2765011
1985-08-01,0.0,1.483,1.4217,1.434,1.434,1089164
1985-09-01,0.0,1.4585,1.3114,1.4585,1.4585,3338653
1985-10-01,0.0,1.6056,1.434,1.5933,1.5933,4321890
1985-11-01,0.0,1.8262,1.5933,1.8139,1.8139,3601032
1985-12-01,0.0,1.8139,1.5933,1.5933,1.5933,2672118
1986-01-01,0.0,1.912,1.6056,1.912,1.912,9608547
1986-02-01,0.0,1.9487,1.8139,1.8997,1.8997,4464758
1986-03-01,0.0,1.9549,1.8384,1.912,1.912,5445818
1986-04-01,0.0,2.059,1.8629,1.961,1.961,5490364
1986-05-01,0.0,2.3409,1.9365,2.2919,2.2919,5671801
1986-06-01,0.0,2.3287,2.1326,2.3042,2.3042,3405469
1986-07-01,0.0,2.5983,2.1081,2.2306,2.2306,5012329
1986-08-01,0.0,2.2306,2.1081,2.1326,2.1326,4176305
1986-09-01,0.0,2.2797,1.9365,2.1694,2.1694,5407252
1986-10-01,0.0,2.1939,2.0223,2.0468,2.0468,2797331
1986-11-01,0.0,2.0958,1.8997,1.9365,1.9365,3315297
1986-12-01,0.0,2.1694,1.9365,2.1203,2.1203,10027372
1987-01-01,0.0,2.3828,2.1235,2.2346,2.2346,6310090
1987-02-01,0.0,2.2593,2.1606,2.1729,2.1729,4060053
1987-03-01,0.0,2.247,2.1235,2.1606,2.1606,3393521
1987-04-01,0.0,2.204,2.0296,2.1417,2.1417,3945708
1987-05-01,0.0,2.1666,1.9674,1.9923,1.9923,2666413
1987-06-01,0.0,2.2662,1.9674,2.1915,2.1915,4960990
1987-07-01,0.0,2.2752,1.9861,1.9987,1.9987,4807532
1987-08-01,0.0,2.1873,1.9736,1.9861,1.9861,3395151
1987-09-01,0.0,2.0113,1.785,1.8604,1.8604,3360384
1987-10-01,0.0,1.9812,1.3589,1.6637,1.6637,6645260
1987-11-01,0.0,1.7145,1.4224,1.4732,1.4732,3556489
1987-12-01,0.0,1.4859,1.3462,1.397,1.397,4627454
1988-01-01,0.0,1.5961,1.3773,1.5703,1.5703,2317937
1988-02-01,0.0,1.7119,1.5575,1.6733,1.6733,2222058
1988-03-01,0.0,1.7248,1.5446,1.6089,1.6089,1972447
1988-04-01,0.0,1.695,1.5385,1.5907,1.5907,2351344
1988-05-01,0.0,1.6168,1.4473,1.4994,1.4994,1648142
1988-06-01,0.0,1.7341,1.4994,1.708,1.708,4506044
1988-07-01,0.0,1.7693,1.6372,1.6504,1.6504,2544462
1988-08-01,0.0,1.7165,1.6372,1.6372,1.6372,1893951
1988-09-01,0.0,1.7165,1.6372,1.6636,1.6636,2214997
1988-10-01,0.0,1.6981,1.6045,1.6179,1.6179,2058822
1988-11-01,0.0,1.6312,1.551,1.6045,1.6045,2029754
1988-12-01,0.0,1.6847,1.5911,1.6446,1.6446,3624935
1989-01-01,0.0,1.8015,1.639,1.7745,1.7745,4034797
1989-02-01,0.0,1.8422,1.7609,1.7609,1.7609,1908074
1989-03-01,0.0,1.8422,1.7067,1.8286,1.8286,2771257
1989-04-01,0.0,1.9484,1.8112,1.9484,1.9484,2501275
1989-05-01,0.0,2.1131,1.8936,2.0445,2.0445,3269936
1989-06-01,0.0,2.1131,1.8524,1.8524,1.8524,1781776
1989-07-01,0.0,1.9981,1.8732,1.9565,1.9565,2076474
1989-08-01,0.0,2.1369,1.9704,2.0814,2.0814,2960843
1989-09-01,0.0,2.1369,2.0259,2.0814,2.0814,3559747
1989-10-01,0.0,2.1749,1.8943,1.9224,1.9224,2809011
1989-11-01,0.0,2.0346,1.9083,1.9785,1.9785,2378507
1989-12-01,0.0,2.0206,1.754,1.9504,1.9504,3971782
1990-01-01,0.0,2.0175,1.7901,1.8185,1.8185,3617873
1990-02-01,0.0,1.918,1.8185,1.8754,1.8754,3912845
1990-03-01,0.0,1.9748,1.7617,1.7759,1.7759,3642317
