Date,Open,High,Low,Close,Adj Close,Volume
,RJF,RJF,RJF,RJF,,RJF
1983-07-01,0.0,0.3489,0.287,0.3151,0.3151,11258776
1983-08-01,0.0,0.332,0.2701,0.2701,0.2701,1681255
1983-09-01,0.0,0.2813,0.2476,0.2476,0.2476,1117419
1983-10-01,0.0,0.2588,0.2138,0.2138,0.2138,1194307
1983-11-01,0.0,0.2588,0.2026,0.2419,0.2419,2275847
1983-12-01,0.0,0.2476,0.2082,0.2082,0.2082,2365548
1984-01-01,0.0,0.2419,0.2082,0.2138,0.2138,1614619
1984-02-01,0.0,0.2307,0.1801,0.1913,0.1913,1086665
1984-03-01,0.0,0.2026,0.1801,0.1829,0.1829,597150
1984-04-01,0.0,0.1885,0.1688,0.1688,0.1688,633035
1984-05-01,0.0,0.1801,0.1519,0.1547,0.1547,781680
1984-06-01,0.0,0.1688,0.1519,0.1519,0.1519,1186620
1984-07-01,0.0,0.1632,0.1519,0.1519,0.1519,599717
1984-08-01,0.0,0.2082,0.1519,0.1857,0.1857,1363459
1984-09-01,0.0,0.1969,0.1801,0.1801,0.1801,1637688
1984-10-01,0.0,0.1969,0.1801,0.1829,0.1829,1222502
1984-11-01,0.0,0.1913,0.1519,0.1519,0.1519,1314763
1984-12-01,0.0,0.1575,0.1407,0.1407,0.1407,1219936
1985-01-01,0.0,0.2138,0.1407,0.2026,0.2026,1455721
1985-02-01,0.0,0.2307,0.1969,0.211,0.211,1863220
1985-03-01,0.0,0.2194,0.211,0.2138,0.2138,1547986
1985-04-01,0.0,0.2194,0.1969,0.211,0.211,707359
1985-05-01,0.0,0.2194,0.2026,0.2138,0.2138,592028
1985-06-01,0.0,0.2335,0.1969,0.2223,0.2223,1614620
1985-07-01,0.0,0.2588,0.2251,0.2251,0.2251,3485535
1985-08-01,0.0,0.2419,0.2194,0.2307,0.2307,1901666
1985-09-01,0.0,0.2307,0.2138,0.2194,0.2194,1020030
1985-10-01,0.0,0.2419,0.2194,0.2194,0.2194,1450595
1985-11-01,0.0,0.2757,0.2194,0.2757,0.2757,3280500
1985-12-01,0.0,0.2982,0.2532,0.2532,0.2532,2593646
1986-01-01,0.0,0.3263,0.2532,0.3263,0.3263,3393266
1986-02-01,0.0,0.377,0.3207,0.3601,0.3601,5077086
1986-03-01,0.0,0.4501,0.3545,0.422,0.422,5889523
1986-04-01,0.0,0.4248,0.377,0.3798,0.3798,3836644
1986-05-01,0.0,0.3826,0.3179,0.377,0.377,3019085
1986-06-01,0.0,0.3798,0.3207,0.3601,0.3601,3798202
1986-07-01,0.0,0.3657,0.2926,0.2926,0.2926,4285153
1986-08-01,0.0,0.3151,0.2813,0.3038,0.3038,2693597
1986-09-01,0.0,0.3067,0.2729,0.2757,0.2757,1189181
1986-10-01,0.0,0.3095,0.2729,0.2982,0.2982,4656772
1986-11-01,0.0,0.3095,0.2645,0.2813,0.2813,1942672
1986-12-01,0.0,0.2898,0.2729,0.2729,0.2729,1919605
1987-01-01,0.0,0.3839,0.2766,0.3613,0.3613,4615766
1987-02-01,0.0,0.4657,0.3613,0.4657,0.4657,4454305
1987-03-01,0.0,0.5758,0.4544,0.5334,0.5334,8039787
1987-04-01,0.0,0.5825,0.4694,0.4722,0.4722,4074998
1987-05-01,0.0,0.4722,0.4128,0.4241,0.4241,1940108
1987-06-01,0.0,0.4439,0.4072,0.41,0.41,4010924
1987-07-01,0.0,0.4108,0.374,0.3853,0.3853,6758342
1987-08-01,0.0,0.459,0.3768,0.4505,0.4505,4200577
1987-09-01,0.0,0.4533,0.3797,0.3853,0.3853,1999058
1987-10-01,0.0,0.389,0.2329,0.2499,0.2499,3821271
1987-11-01,0.0,0.2612,0.2215,0.2215,0.2215,5130907
1987-12-01,0.0,0.2385,0.1959,0.213,0.213,7399065
1988-01-01,0.2187,0.247,0.2187,0.2414,0.2414,3031902
1988-02-01,0.2452,0.2481,0.2196,0.2338,0.2338,2616711
1988-03-01,0.2395,0.2851,0.2395,0.2538,0.2538,5194980
1988-04-01,0.2547,0.2633,0.2289,0.2375,0.2375,1127673
1988-05-01,0.2375,0.2375,0.2175,0.2261,0.2261,2921695
1988-06-01,0.2261,0.2432,0.2203,0.2232,0.2232,1173805
1988-07-01,0.2212,0.2298,0.2183,0.2298,0.2298,1688946
1988-08-01,0.2298,0.2355,0.2154,0.2183,0.2183,1022591
1988-09-01,0.2183,0.2327,0.2126,0.2212,0.2212,827812
1988-10-01,0.2221,0.2481,0.2077,0.2481,0.2481,1307073
1988-11-01,0.2462,0.2462,0.2173,0.2317,0.2317,1519795
1988-12-01,0.2289,0.2578,0.2289,0.2549,0.2549,2065691
1989-01-01,0.2562,0.3057,0.2446,0.3057,0.3057,2137452
1989-02-01,0.3057,0.3319,0.3028,0.3203,0.3203,3262562
1989-03-01,0.3185,0.3419,0.3097,0.3185,0.3185,1873474
1989-04-01,0.3214,0.3302,0.3185,0.3244,0.3244,1284010
