Date,Open,High,Low,Close,Adj Close,Volume
,RMD,RMD,RMD,RMD,,RMD
1995-06-01,0.626,0.626,0.5087,0.626,0.626,65448000
1995-07-01,0.626,0.7565,0.6,0.7173,0.7173,8019200
1995-08-01,0.7565,0.7826,0.7173,0.7826,0.7826,15208000
1995-09-01,0.7826,0.9391,0.7434,0.926,0.926,14700800
1995-10-01,0.8869,0.926,0.7173,0.7826,0.7826,15532800
1995-11-01,0.7826,0.8347,0.626,0.7434,0.7434,14849600
1995-12-01,0.7565,0.7565,0.5478,0.6782,0.6782,16041600
1996-01-01,0.6782,0.7304,0.626,0.6913,0.6913,9908800
1996-02-01,0.7304,0.7304,0.5217,0.5608,0.5608,13654400
1996-03-01,0.5478,0.7434,0.5478,0.6913,0.6913,18160000
1996-04-01,0.6978,0.7565,0.6521,0.6521,0.6521,5889600
1996-05-01,0.6913,0.926,0.6521,0.8999,0.8999,7062400
1996-06-01,0.8999,0.9391,0.7565,0.8086,0.8086,13918400
1996-07-01,0.8478,0.8869,0.7695,0.8347,0.8347,3283200
1996-08-01,0.8347,1.1086,0.7565,1.0043,1.0043,10177600
1996-09-01,1.0043,1.0825,1.0043,1.0304,1.0304,5235200
1996-10-01,1.0304,1.0695,0.8347,0.8739,0.8739,12523200
1996-11-01,0.8478,1.0043,0.8478,0.9782,0.9782,5129600
1996-12-01,0.926,1.1999,0.926,1.1478,1.1478,2955200
1997-01-01,1.1478,1.226,1.0434,1.1412,1.1412,8558400
1997-02-01,1.1738,1.3043,1.0173,1.0173,1.0173,5083200
1997-03-01,1.0173,1.0825,0.8999,0.913,0.913,5084800
1997-04-01,0.913,0.9782,0.8608,0.913,0.913,2888000
1997-05-01,0.9391,1.1086,0.913,1.0956,1.0956,3772800
1997-06-01,1.0695,1.2651,1.0565,1.2651,1.2651,6644800
1997-07-01,1.226,1.3043,1.226,1.2521,1.2521,10616000
1997-08-01,1.3043,1.4608,1.2521,1.2782,1.2782,10339200
1997-09-01,1.2782,1.3564,1.2782,1.3564,1.3564,7704000
1997-10-01,1.3564,1.4869,1.3304,1.4608,1.4608,7201600
1997-11-01,1.4608,1.6173,1.4217,1.5651,1.5651,6547200
1997-12-01,1.5912,1.5912,1.4347,1.4673,1.4673,6080000
1998-01-01,1.4738,1.6955,1.4477,1.689,1.689,6841600
1998-02-01,1.826,1.826,1.6695,1.7738,1.7738,3681600
1998-03-01,1.7477,1.9042,1.526,1.8521,1.8521,12697600
1998-04-01,1.8521,2.0999,1.7868,2.064,2.064,11686400
1998-05-01,2.0607,2.1781,1.839,1.8521,1.8521,15262400
1998-06-01,1.839,2.377,1.839,2.377,2.377,14216000
1998-07-01,2.3607,2.5759,2.2368,2.3412,2.3412,26840000
1998-08-01,2.3738,2.5694,1.9042,1.9303,1.9303,13196800
1998-09-01,1.9303,2.8074,1.8781,2.7129,2.7129,38204800
1998-10-01,2.6933,2.7911,2.152,2.6607,2.6607,29907200
1998-11-01,2.6868,3.5737,2.6868,3.5606,3.5606,38036000
1998-12-01,3.4824,5.0345,3.2476,4.7345,4.7345,43304800
1999-01-01,4.7214,5.4388,3.8345,5.1388,5.1388,26426400
1999-02-01,5.1388,5.2562,2.9346,3.2346,3.2346,50220000
1999-03-01,3.2998,4.0693,2.2433,2.9476,2.9476,62581600
1999-04-01,2.8172,3.3389,2.002,2.7585,2.7585,40944800
1999-05-01,2.8042,3.8737,2.6803,2.9281,2.9281,19200800
1999-06-01,2.9803,3.8606,2.8955,3.4628,3.4628,16884800
1999-07-01,3.4954,3.665,2.7259,2.9737,2.9737,22678400
1999-08-01,2.9607,3.4693,2.8955,2.8955,2.8955,17770400
1999-09-01,3.1042,3.4563,2.4325,3.4563,3.4563,23763200
1999-10-01,3.4302,3.6519,2.6607,3.6128,3.6128,12760800
1999-11-01,3.5476,4.3823,3.3389,4.1802,4.1802,16734400
1999-12-01,4.1997,4.9823,4.0758,4.3562,4.3562,14436800
2000-01-01,4.4084,5.9475,4.1671,4.4867,4.4867,19512800
2000-02-01,4.4606,8.0082,4.4345,7.7865,7.7865,23842400
2000-03-01,8.0343,8.4908,6.0518,7.4474,7.4474,24298400
2000-04-01,7.5387,8.1386,5.5823,7.0952,7.0952,11510000
2000-05-01,7.4082,8.0604,4.1215,5.0084,5.0084,24594400
2000-06-01,5.1127,6.5213,4.6171,5.5823,5.5823,19997200
2000-07-01,5.5562,6.4431,5.0084,5.7909,5.7909,18886400
2000-08-01,5.8301,7.6821,5.804,7.6821,7.6821,22374400
2000-09-01,7.7734,8.0343,6.2866,6.5213,6.5213,14777600
2000-10-01,6.3909,6.5735,4.9823,5.3214,5.3214,33254800
2000-11-01,5.3344,7.8256,5.3344,7.3169,7.3169,18915200
2000-12-01,7.3169,8.9473,7.3169,8.3212,8.3212,13357600
2001-01-01,8.3734,9.0516,7.9821,8.7647,8.7647,15335200
2001-02-01,8.7321,9.8603,8.2462,9.3809,9.3809,13671600
2001-03-01,9.3907,9.619,7.5647,8.4321,8.4321,16163600
2001-04-01,8.4321,9.5368,7.8908,9.349,9.349,12837600
2001-05-01,9.349,12.3039,9.3072,11.3941,11.3941,33690800
2001-06-01,11.3962,11.7384,10.382,10.5489,10.5489,34215200
2001-07-01,10.576,11.2689,10.4341,10.9976,10.9976,11851600
2001-08-01,11.1645,12.811,11.081,11.4671,11.4671,30240000
2001-09-01,11.4671,11.4671,9.3824,10.6011,10.6011,15853200
2001-10-01,10.6011,12.4124,10.3715,11.6445,11.6445,17821200
2001-11-01,11.6862,12.5001,11.5673,12.2079,12.2079,17918800
2001-12-01,12.1871,12.9801,10.9558,11.2522,11.2522,17401200
2002-01-01,11.2522,11.2522,8.7647,8.9734,8.9734,27832400
2002-02-01,8.7647,8.7647,7.3456,7.5877,7.5877,29334400
2002-03-01,7.5543,8.556,7.5439,8.3744,8.3744,11075200
2002-04-01,8.3744,8.4725,7.5042,7.7442,7.7442,10291600
2002-05-01,7.5334,7.5334,5.6887,5.7283,5.7283,30307200
2002-06-01,5.7179,6.2459,5.071,6.1353,6.1353,18517600
2002-07-01,6.0935,6.104,5.1086,5.6574,5.6574,18407200
2002-08-01,5.6657,7.0952,5.3631,6.4921,6.4921,21989200
2002-09-01,6.3648,6.6257,5.8139,5.9683,5.9683,12650800
2002-10-01,6.0101,7.0952,5.6887,7.0472,7.0472,18053600
2002-11-01,6.8761,7.1891,6.7196,6.7634,6.7634,16751200
2002-12-01,6.7718,6.7822,5.9579,6.3794,6.3794,11358000
2003-01-01,6.417,7.0973,6.3481,6.9178,6.9178,12208400
2003-02-01,6.9596,7.0723,6.346,6.5547,6.5547,19492400
2003-03-01,6.5693,6.6987,6.1207,6.6737,6.6737,16892400
2003-04-01,6.6591,7.8047,6.6152,7.6545,7.6545,21646000
2003-05-01,7.596,8.3473,7.4103,8.3056,8.3056,19810800
2003-06-01,8.3369,8.8043,7.9195,8.1804,8.1804,19501600
2003-07-01,8.1178,8.6624,7.9404,8.2847,8.2847,16286000
2003-08-01,8.243,9.2926,8.1282,9.036,9.036,14544000
2003-09-01,8.9838,9.2175,8.6833,9.1779,9.1779,12146400
2003-10-01,9.1612,9.7455,8.2221,8.7167,8.7167,23184400
2003-11-01,8.7021,8.7042,8.0865,8.1386,8.1386,20953200
2003-12-01,8.0551,8.8941,7.8861,8.6687,8.6687,19563200
2004-01-01,8.6603,9.3072,8.4203,9.1925,9.1925,18120800
2004-02-01,9.0506,10.0877,8.9963,9.8206,9.8206,27426400
2004-03-01,9.8269,9.8811,9.2509,9.4304,9.4304,12006400
2004-04-01,9.4304,10.4091,9.3093,10.2839,10.2839,16102400
2004-05-01,10.2818,10.6219,9.8081,10.6011,10.6011,11876400
2004-06-01,10.4863,10.8494,10.3277,10.6345,10.6345,10794000
2004-07-01,10.6637,10.7743,9.7935,10.2254,10.2254,14565600
2004-08-01,10.2004,10.5406,8.8377,9.9688,9.9688,24821200
2004-09-01,9.9688,10.3256,9.7935,9.9354,9.9354,16480800
2004-10-01,9.9354,10.0397,8.9796,9.8081,9.8081,35456800
2004-11-01,9.7371,10.7409,9.6641,10.4467,10.4467,26356000
2004-12-01,10.3694,10.6825,10.0689,10.6637,10.6637,11862000
2005-01-01,10.6845,10.839,10.2254,10.7054,10.7054,14379200
2005-02-01,10.695,12.7401,10.695,12.3018,12.3018,27972000
2005-03-01,12.3018,12.6336,11.5005,11.7697,11.7697,19602400
2005-04-01,11.8114,13.0489,11.6508,12.9592,12.9592,17211600
2005-05-01,13.0009,13.5539,12.5961,13.0364,13.0364,19718000
2005-06-01,13.0364,14.0005,12.4083,13.771,13.771,25910800
2005-07-01,13.7209,14.2468,13.435,13.9817,13.9817,15711600
2005-08-01,13.9066,15.7868,13.1574,15.0961,15.0961,28781600
2005-09-01,15.0231,16.9763,14.925,16.6216,16.6216,18271200
2005-10-01,16.4901,16.9868,14.9208,15.9141,15.9141,25793800
2005-11-01,15.9141,17.8674,15.4425,17.0285,17.0285,22445800
2005-12-01,16.9116,17.5085,15.6971,15.9893,15.9893,17826000
2006-01-01,16.1938,16.7823,15.359,16.4609,16.4609,22069000
2006-02-01,16.4025,18.1262,15.6429,16.9409,16.9409,20513200
2006-03-01,16.8783,18.6854,16.1228,18.3557,18.3557,20868600
2006-04-01,18.3182,18.748,17.2455,18.0093,18.0093,13076600
2006-05-01,18.5018,20.3841,17.6796,18.9734,18.9734,23199800
2006-06-01,18.9734,19.6579,17.6796,19.5953,19.5953,17181200
2006-07-01,19.9292,20.334,17.9258,19.3699,19.3699,21845000
2006-08-01,19.3032,19.7456,16.2814,16.9784,16.9784,32435000
2006-09-01,17.0494,17.4584,15.9392,16.799,16.799,40153000
2006-10-01,16.7363,18.6938,16.3607,18.3599,18.3599,36182800
2006-11-01,18.4809,21.0561,18.1345,20.8683,20.8683,32016400
2006-12-01,20.8224,21.3566,19.3783,20.5427,20.5427,13422600
2007-01-01,20.8057,22.5753,20.2005,21.9451,21.9451,16587800
2007-02-01,21.8825,23.4392,19.5202,19.9208,19.9208,29319400
2007-03-01,19.9083,21.4401,18.6771,21.0227,21.0227,22132400
2007-04-01,20.9517,21.6613,17.2247,17.6379,17.6379,37691600
2007-05-01,17.6546,19.5327,17.3582,18.8148,18.8148,29347800
2007-06-01,18.9066,19.1445,16.9534,17.2205,17.2205,30857800
2007-07-01,17.3332,18.3098,16.8783,17.9384,17.9384,26162400
2007-08-01,17.5085,19.491,16.0018,16.9701,16.9701,48671400
2007-09-01,17.0995,18.8482,17.0035,17.8924,17.8924,20014200
2007-10-01,17.834,17.9968,16.4567,17.2914,17.2914,31081000
2007-11-01,17.1328,19.4325,16.7447,19.1153,19.1153,35682400
2007-12-01,19.0444,22.7798,18.723,21.9242,21.9242,34497600
2008-01-01,21.2522,21.8783,17.6545,19.3866,19.3866,28321800
2008-02-01,19.4993,19.9668,16.8365,16.8991,16.8991,32862000
2008-03-01,16.8949,18.0385,16.319,17.6045,17.6045,25748200
2008-04-01,17.7255,19.0569,16.9283,17.9968,17.9968,26341600
2008-05-01,17.7297,18.1721,15.9684,16.44,16.44,25396200
2008-06-01,16.0602,17.0953,13.9609,14.9166,14.9166,40089600
2008-07-01,14.8707,16.7697,14.662,15.7848,15.7848,39366400
2008-08-01,15.718,21.1103,15.3674,19.5327,19.5327,36563800
2008-09-01,19.0819,20.0586,17.5711,17.9467,17.9467,36806400
2008-10-01,17.9008,18.3307,12.0619,14.2989,14.2989,42248200
2008-11-01,14.3198,15.7889,12.7422,15.1671,15.1671,26627800
2008-12-01,14.6328,15.8432,13.915,15.6428,15.6428,27062000
2009-01-01,15.7096,17.3666,14.8666,16.6529,16.6529,26009000
2009-02-01,16.4066,18.1512,15.3757,15.3924,15.3924,32216800
2009-03-01,15.1086,15.5051,13.1428,14.7497,14.7497,63143600
2009-04-01,14.4617,16.4692,13.9358,16.0477,16.0477,30133800
2009-05-01,16.0853,17.1454,15.021,15.4717,15.4717,30883200
2009-06-01,15.6512,17.4876,15.1504,16.9993,16.9993,26381600
2009-07-01,16.9993,17.3207,16.2647,17.112,17.112,21488400
2009-08-01,17.2581,19.3115,17.1078,19.1612,19.1612,25007200
2009-09-01,19.0986,19.4701,18.2639,18.8649,18.8649,19566000
2009-10-01,18.9317,21.0728,17.8924,20.5385,20.5385,37854400
2009-11-01,20.6304,21.8532,19.5494,20.981,20.981,30562200
2009-12-01,21.1604,22.279,21.0436,21.8157,21.8157,15462600
2010-01-01,21.9701,22.5335,20.8975,21.3441,21.3441,24783000
2010-02-01,21.4359,24.3658,21.0853,23.8232,23.8232,30219200
2010-03-01,23.9276,26.7323,23.8232,26.5653,26.5653,18224000
