Date,Open,High,Low,Close,Adj Close,Volume
,ROP,ROP,ROP,ROP,,ROP
1992-02-01,1.6058,2.0825,1.6058,2.0324,2.0324,32400000
1992-03-01,2.0825,2.0951,1.8818,2.0073,2.0073,6006400
1992-04-01,1.9571,2.0575,1.8065,1.8065,1.8065,2617600
1992-05-01,1.8605,1.8857,1.408,1.5085,1.5085,6155200
1992-06-01,1.4834,1.5337,1.1817,1.2697,1.2697,9204800
1992-07-01,1.2861,1.3617,1.16,1.2609,1.2609,9128000
1992-08-01,1.2609,1.4122,1.1852,1.1852,1.1852,6050400
1992-09-01,1.1852,1.8156,1.1852,1.5635,1.5635,7527200
1992-10-01,1.6643,1.9417,1.5635,1.8156,1.8156,3660800
1992-11-01,1.82,2.0476,1.6431,1.82,1.82,3156000
1992-12-01,1.82,1.997,1.7695,1.82,1.82,1151200
1993-01-01,1.7948,2.5531,1.7948,2.5278,2.5278,14845600
1993-02-01,2.5581,3.2166,2.4314,3.2166,3.2166,14822400
1993-03-01,3.2166,3.9511,2.8367,3.3432,3.3432,15954400
1993-04-01,3.3432,3.9004,3.1406,3.8751,3.8751,6276000
1993-05-01,3.8751,5.6606,3.7991,5.3694,5.3694,8946400
1993-06-01,5.3242,5.5017,4.5636,5.4763,5.4763,5348000
1993-07-01,5.2521,6.2923,5.2521,6.2416,6.2416,5554400
1993-08-01,6.2162,7.3072,5.9371,7.1042,7.1042,5984000
1993-09-01,7.1104,7.923,6.6025,7.3643,7.3643,5349600
1993-10-01,7.3643,7.7198,5.993,7.1104,7.1104,6700000
1993-11-01,7.1104,7.7198,6.5009,6.8564,6.8564,5122800
1993-12-01,6.8564,7.6182,5.5867,6.6025,6.6025,7280400
1994-01-01,6.247,6.9072,4.4694,5.1296,5.1296,13276000
1994-02-01,5.1344,6.3036,4.8293,5.8969,5.8969,10658800
1994-03-01,5.8969,6.6086,5.0835,5.4902,5.4902,6275600
1994-04-01,5.0327,5.3377,4.5752,4.931,4.931,3329600
1994-05-01,4.9375,5.4465,4.4793,4.7338,4.7338,9044000
1994-06-01,4.5811,5.701,4.4793,5.3447,5.3447,3555600
1994-07-01,4.9884,5.5483,4.9374,5.4974,5.4974,4090800
1994-08-01,5.1979,5.3508,3.6691,4.459,4.459,5714400
1994-09-01,4.6883,5.1469,4.3316,4.8794,4.8794,4195200
1994-10-01,4.6883,5.2998,4.5354,4.8921,4.8921,6040400
1994-11-01,4.8513,5.8726,4.8002,5.2598,5.2598,4477200
1994-12-01,5.0556,5.5662,4.8513,5.1577,5.1577,5011200
1995-01-01,5.0556,5.1577,4.2896,4.4428,4.4428,11147600
1995-02-01,4.2984,5.3729,4.2984,5.1171,5.1171,4543600
1995-03-01,5.1171,5.6288,4.5798,5.5009,5.5009,3861200
1995-04-01,5.5776,5.7311,5.2706,5.5265,5.5265,2049600
1995-05-01,5.4854,7.2284,5.4854,6.6132,6.6132,6093200
1995-06-01,6.6132,7.7923,6.6132,7.1771,7.1771,3168000
1995-07-01,7.1899,7.3822,6.767,7.0233,7.0233,3591600
1995-08-01,7.136,7.136,6.8793,6.982,6.982,2830800
1995-09-01,6.982,8.15,6.982,7.9574,7.9574,4316400
1995-10-01,7.9061,7.9574,7.0333,7.4441,7.4441,2559600
1995-11-01,7.4599,8.3345,7.1512,7.3056,7.3056,4124800
1995-12-01,7.3056,7.8201,7.3056,7.5628,7.5628,1019600
1996-01-01,7.8201,8.4374,7.5628,8.1416,8.1416,5992000
1996-02-01,8.2471,9.845,8.0409,9.3038,9.3038,4537600
1996-03-01,9.5357,9.5873,9.1749,9.4842,9.4842,2322400
1996-04-01,9.4842,10.8759,9.278,9.5873,9.5873,5849600
1996-05-01,9.6018,9.9115,9.1888,9.705,9.705,4977200
1996-06-01,9.4469,10.0664,9.4469,10.0664,10.0664,1858000
1996-07-01,10.0664,10.1696,7.4336,7.6401,7.6401,2839600
1996-08-01,7.3937,9.0483,7.2386,8.5829,8.5829,5332400
1996-09-01,8.5829,10.2375,8.3761,9.7722,9.7722,2974800
1996-10-01,9.6946,10.0307,8.7381,8.7381,8.7381,4060400
1996-11-01,8.807,9.0919,8.4703,8.9624,8.9624,1874800
1996-12-01,8.9883,8.9883,7.7968,8.1076,8.1076,2752800
1997-01-01,8.1076,8.4444,7.6932,8.4444,8.4444,5034000
1997-02-01,8.5011,8.7085,8.1901,8.3456,8.3456,3505600
1997-03-01,8.2938,9.5638,8.2679,8.7344,8.7344,2252400
1997-04-01,8.7603,8.9158,8.3715,8.4752,8.4752,2378800
1997-05-01,8.5318,10.2693,8.3762,10.1915,10.1915,3852800
1997-06-01,10.2693,11.151,10.1656,10.762,10.762,2989200
1997-07-01,10.762,11.929,10.7361,11.6178,11.6178,4825200
1997-08-01,11.6362,12.3894,11.0388,11.7401,11.7401,3118600
1997-09-01,11.7141,14.4933,11.7141,14.0258,14.0258,4244800
1997-10-01,13.9219,14.1296,10.5972,11.1167,11.1167,3243400
1997-11-01,11.2409,12.7761,10.8766,11.9954,11.9954,2845800
1997-12-01,12.1516,12.698,10.174,11.7613,11.7613,2600000
1998-01-01,11.7873,12.9062,10.4863,12.4118,12.4118,2459600
1998-02-01,12.4401,13.9789,11.1622,12.1272,12.1272,3412400
1998-03-01,12.4401,12.6227,10.7449,12.388,12.388,2942000
1998-04-01,12.4401,13.2486,11.5795,12.9357,12.9357,2335400
1998-05-01,12.9626,14.1909,12.7013,13.8773,13.8773,2606000
1998-06-01,13.8773,14.2432,10.506,10.9241,10.9241,3224600
1998-07-01,11.1332,11.865,8.363,9.5913,9.5913,3872000
1998-08-01,9.5083,9.744,7.1247,7.1247,7.1247,6923200
1998-09-01,7.0723,7.3866,6.7056,7.2818,7.2818,2804400
1998-10-01,7.177,7.7271,5.5792,7.4652,7.4652,2787000
1998-11-01,7.5499,7.813,6.6292,7.813,7.813,2254200
1998-12-01,7.7867,8.5759,7.5236,8.5759,8.5759,3108800
1999-01-01,8.4706,9.4703,8.2602,9.4177,9.4177,2338400
1999-02-01,9.3947,9.8697,9.1572,9.3419,9.3419,1968200
1999-03-01,9.3419,10.5822,8.8141,10.0808,10.0808,3378000
1999-04-01,10.1863,12.4954,9.7641,12.0336,12.0336,3243400
1999-05-01,11.9596,14.2087,11.8538,13.653,13.653,2684000
1999-06-01,13.653,15.4522,13.3884,13.5472,13.5472,2944000
1999-07-01,13.5472,15.1083,13.4942,14.8172,14.8172,2289200
1999-08-01,14.9522,15.8006,14.7932,15.1908,15.1908,2059000
1999-09-01,15.2704,16.3573,15.2704,16.2248,16.2248,1270400
1999-10-01,16.1187,16.1452,12.6193,13.0965,13.0965,1743800
1999-11-01,13.1471,16.3873,12.7487,15.803,15.803,3578600
1999-12-01,15.6968,16.3077,14.1298,16.0686,16.0686,3566600
2000-01-01,16.0686,16.1217,13.8907,14.2626,14.2626,2900200
2000-02-01,14.2921,15.9156,11.3645,11.604,11.604,4268000
2000-03-01,11.4976,14.9308,10.9919,14.4518,14.4518,4477600
