Date,Open,High,Low,Close,Adj Close,Volume
,ROST,ROST,ROST,ROST,,ROST
1985-08-01,0.0,0.4195,0.3875,0.3875,0.3875,73728000
1985-09-01,0.0,0.3962,0.303,0.3496,0.3496,35235200
1985-10-01,0.0,0.3991,0.3496,0.3817,0.3817,17190400
1985-11-01,0.0,0.472,0.3788,0.4691,0.4691,37446400
1985-12-01,0.0,0.4691,0.3962,0.4195,0.4195,37875200
1986-01-01,0.0,0.4254,0.2826,0.303,0.303,100131200
1986-02-01,0.0,0.3351,0.2622,0.2797,0.2797,63065600
1986-03-01,0.0,0.3205,0.268,0.303,0.303,85619200
1986-04-01,0.0,0.3292,0.2768,0.303,0.303,64425600
1986-05-01,0.0,0.3234,0.2797,0.3205,0.3205,53321600
1986-06-01,0.0,0.3817,0.3059,0.37,0.37,95321600
1986-07-01,0.0,0.3729,0.2331,0.2389,0.2389,60812800
1986-08-01,0.2418,0.2535,0.2243,0.2273,0.2273,34771200
1986-09-01,0.2302,0.2302,0.1719,0.2069,0.2069,83593600
1986-10-01,0.2098,0.2127,0.1777,0.1806,0.1806,59340800
1986-11-01,0.1836,0.1836,0.0991,0.1282,0.1282,221968000
1986-12-01,0.1311,0.1311,0.102,0.1107,0.1107,83110400
1987-01-01,0.1107,0.1369,0.1107,0.1224,0.1224,83286400
1987-02-01,0.1165,0.2039,0.1165,0.1865,0.1865,235513600
1987-03-01,0.1836,0.1923,0.1486,0.1573,0.1573,90371200
1987-04-01,0.1544,0.1661,0.1457,0.1573,0.1573,46784000
1987-05-01,0.1544,0.1777,0.1515,0.1661,0.1661,59852800
1987-06-01,0.1632,0.201,0.1573,0.1981,0.1981,84953600
1987-07-01,0.201,0.2593,0.1981,0.2447,0.2447,102777600
1987-08-01,0.2447,0.2593,0.2331,0.2418,0.2418,140224000
1987-09-01,0.2447,0.2447,0.1777,0.1865,0.1865,72892800
1987-10-01,0.1836,0.1923,0.0845,0.1078,0.1078,134041600
1987-11-01,0.1107,0.1195,0.0874,0.0932,0.0932,55561600
1987-12-01,0.0961,0.1078,0.0845,0.0961,0.0961,77977600
1988-01-01,0.0991,0.1719,0.0961,0.1573,0.1573,159260800
1988-02-01,0.1573,0.1602,0.1253,0.1398,0.1398,84393600
1988-03-01,0.1398,0.1486,0.1282,0.1369,0.1369,79424000
1988-04-01,0.134,0.1398,0.1165,0.1253,0.1253,58896000
1988-05-01,0.1224,0.1457,0.1224,0.1457,0.1457,61139200
1988-06-01,0.1486,0.1661,0.1398,0.1661,0.1661,78995200
1988-07-01,0.1661,0.2039,0.1632,0.201,0.201,111996800
1988-08-01,0.201,0.2273,0.201,0.2214,0.2214,196662400
1988-09-01,0.2214,0.2622,0.2156,0.2389,0.2389,90326400
1988-10-01,0.2389,0.2593,0.2185,0.236,0.236,58156800
1988-11-01,0.2389,0.2593,0.2069,0.2535,0.2535,50652800
1988-12-01,0.2506,0.2622,0.2302,0.2447,0.2447,70022400
1989-01-01,0.2447,0.2622,0.236,0.2622,0.2622,100659200
1989-02-01,0.2622,0.3205,0.2535,0.3088,0.3088,93337600
1989-03-01,0.3088,0.3321,0.3088,0.3263,0.3263,74012800
1989-04-01,0.3292,0.3671,0.3176,0.3613,0.3613,53670400
1989-05-01,0.3613,0.4487,0.3584,0.4429,0.4429,101923200
1989-06-01,0.4429,0.4749,0.3729,0.3846,0.3846,107984000
1989-07-01,0.3817,0.4516,0.3817,0.4487,0.4487,83664000
1989-08-01,0.4487,0.4953,0.4341,0.472,0.472,161155200
1989-09-01,0.472,0.5507,0.472,0.5507,0.5507,106128000
1989-10-01,0.5507,0.574,0.4341,0.4458,0.4458,93929600
1989-11-01,0.4487,0.4836,0.3438,0.3671,0.3671,146092800
1989-12-01,0.3729,0.3729,0.3088,0.3321,0.3321,136185600
1990-01-01,0.3321,0.3409,0.2622,0.2797,0.2797,146646400
1990-02-01,0.2826,0.2913,0.2331,0.271,0.271,96294400
1990-03-01,0.268,0.338,0.2651,0.3234,0.3234,109289600
1990-04-01,0.3205,0.338,0.2273,0.2418,0.2418,125942400
1990-05-01,0.2476,0.2855,0.1923,0.2535,0.2535,197356800
1990-06-01,0.2593,0.2768,0.2273,0.2651,0.2651,68220800
1990-07-01,0.2651,0.2768,0.2331,0.236,0.236,72819200
1990-08-01,0.2389,0.2389,0.1806,0.1952,0.1952,72220800
1990-09-01,0.1923,0.1981,0.1049,0.1165,0.1165,82947200
1990-10-01,0.1165,0.1398,0.102,0.1049,0.1049,60918400
1990-11-01,0.1049,0.1369,0.102,0.1282,0.1282,80972800
1990-12-01,0.1311,0.169,0.1224,0.1398,0.1398,66604800
1991-01-01,0.1369,0.169,0.1122,0.1457,0.1457,70976000
1991-02-01,0.1486,0.1777,0.1457,0.1748,0.1748,61436800
1991-03-01,0.1806,0.2156,0.1719,0.201,0.201,96569600
1991-04-01,0.201,0.2127,0.1894,0.1952,0.1952,59616000
1991-05-01,0.1952,0.303,0.1952,0.303,0.303,272867200
1991-06-01,0.303,0.3205,0.2768,0.3059,0.3059,191840000
1991-07-01,0.3059,0.37,0.303,0.3263,0.3263,233353600
1991-08-01,0.3263,0.4254,0.3263,0.3962,0.3962,215488000
1991-09-01,0.3962,0.4079,0.338,0.3467,0.3467,133424000
1991-10-01,0.3467,0.3671,0.2943,0.3554,0.3554,157542400
1991-11-01,0.3554,0.4283,0.3351,0.3438,0.3438,195840000
1991-12-01,0.3438,0.3962,0.3321,0.3788,0.3788,132556800
1992-01-01,0.3846,0.5011,0.3729,0.5011,0.5011,217484800
1992-02-01,0.4924,0.5361,0.4312,0.472,0.472,132400000
1992-03-01,0.4662,0.4749,0.3846,0.4108,0.4108,94294400
1992-04-01,0.405,0.4312,0.3292,0.37,0.37,89340800
1992-05-01,0.37,0.4079,0.3001,0.3351,0.3351,216985600
1992-06-01,0.3438,0.3525,0.2884,0.3234,0.3234,190819200
1992-07-01,0.3147,0.3263,0.2535,0.3205,0.3205,167222400
1992-08-01,0.3263,0.3467,0.303,0.3467,0.3467,100643200
1992-09-01,0.3409,0.3554,0.2884,0.2972,0.2972,117798400
1992-10-01,0.2943,0.4079,0.2651,0.405,0.405,228809600
1992-11-01,0.405,0.4982,0.3875,0.472,0.472,186800000
1992-12-01,0.4749,0.4749,0.4021,0.4662,0.4662,176259200
1993-01-01,0.4632,0.5477,0.4603,0.5157,0.5157,300710400
1993-02-01,0.5128,0.5594,0.4341,0.4662,0.4662,147107200
1993-03-01,0.4691,0.5303,0.4429,0.4662,0.4662,185302400
1993-04-01,0.4603,0.4662,0.3467,0.3788,0.3788,222227200
1993-05-01,0.3788,0.3817,0.2943,0.3147,0.3147,349008000
1993-06-01,0.3147,0.3613,0.3088,0.3554,0.3554,184364800
1993-07-01,0.3554,0.3642,0.2972,0.3205,0.3205,147942400
1993-08-01,0.3147,0.338,0.303,0.3234,0.3234,231692800
1993-09-01,0.3234,0.3525,0.3088,0.3234,0.3234,122649600
1993-10-01,0.3263,0.37,0.3176,0.3642,0.3642,185731200
1993-11-01,0.3671,0.4283,0.3613,0.4166,0.4166,204220800
1993-12-01,0.4195,0.4195,0.2972,0.303,0.303,225004800
1994-01-01,0.3088,0.3263,0.2855,0.3088,0.3088,144649600
1994-02-01,0.3059,0.37,0.303,0.3409,0.3409,104124800
1994-03-01,0.3351,0.3875,0.3351,0.3554,0.3554,146444800
1994-04-01,0.3537,0.4151,0.3478,0.3946,0.3946,171030400
1994-05-01,0.3946,0.4004,0.3054,0.3128,0.3128,144438400
1994-06-01,0.3157,0.342,0.3069,0.342,0.342,82678400
1994-07-01,0.3373,0.3725,0.3373,0.3549,0.3549,58758400
1994-08-01,0.352,0.3843,0.3491,0.3813,0.3813,61462400
1994-09-01,0.3725,0.3989,0.3432,0.3432,0.3432,82892800
1994-10-01,0.3443,0.3561,0.3178,0.3267,0.3267,79878400
1994-11-01,0.3325,0.3414,0.3061,0.3237,0.3237,86713600
1994-12-01,0.3237,0.3237,0.2531,0.2649,0.2649,90377600
1995-01-01,0.2658,0.2777,0.2452,0.254,0.254,119702400
1995-02-01,0.254,0.2895,0.2452,0.2762,0.2762,161932800
1995-03-01,0.2717,0.2865,0.254,0.2599,0.2599,84604800
1995-04-01,0.2642,0.2642,0.2256,0.2316,0.2316,74505600
1995-05-01,0.2286,0.2583,0.2286,0.2523,0.2523,215696000
1995-06-01,0.2523,0.285,0.2523,0.2791,0.2791,74848000
1995-07-01,0.2805,0.3014,0.2746,0.291,0.291,78012800
1995-08-01,0.2895,0.385,0.2805,0.382,0.382,321248000
1995-09-01,0.382,0.394,0.3701,0.376,0.376,204460800
1995-10-01,0.3714,0.4074,0.3685,0.3759,0.3759,185404800
1995-11-01,0.3774,0.4733,0.3744,0.4583,0.4583,218988800
1995-12-01,0.4583,0.5152,0.4344,0.4583,0.4583,147440000
1996-01-01,0.4598,0.4928,0.4417,0.4808,0.4808,142102400
1996-02-01,0.4778,0.589,0.4778,0.589,0.589,332233600
1996-03-01,0.589,0.6611,0.583,0.604,0.604,265667200
1996-04-01,0.5966,0.8587,0.5966,0.8316,0.8316,388124800
1996-05-01,0.8346,1.0184,0.8165,0.9461,0.9461,419411200
1996-06-01,0.9461,1.0124,0.7382,0.8376,0.8376,426048000
1996-07-01,0.8452,0.8543,0.6852,0.7124,0.7124,244534400
1996-08-01,0.7154,0.972,0.7094,0.9298,0.9298,341824000
1996-09-01,0.9298,0.9418,0.812,0.8694,0.8694,172307200
1996-10-01,0.871,1.0373,0.8317,1.0041,1.0041,275065600
1996-11-01,1.0041,1.24,0.998,1.2309,1.2309,254780800
1996-12-01,1.2491,1.2823,1.1644,1.2097,1.2097,203296000
1997-01-01,1.2053,1.2689,0.9721,0.9933,0.9933,306601600
1997-02-01,0.9873,1.2023,0.9449,1.1629,1.1629,165212800
1997-03-01,1.1599,1.381,1.1508,1.2295,1.2295,155688000
1997-04-01,1.2317,1.4562,1.1771,1.3652,1.3652,107529600
1997-05-01,1.3592,1.4684,1.1771,1.3652,1.3652,158208000
1997-06-01,1.3592,1.614,1.3288,1.5867,1.5867,235726400
1997-07-01,1.5859,1.671,1.3186,1.5373,1.5373,237380800
1997-08-01,1.5555,1.6224,1.3793,1.4279,1.4279,212896000
1997-09-01,1.4462,1.7561,1.434,1.6588,1.6588,127123200
1997-10-01,1.6735,1.9108,1.6126,1.8195,1.8195,116985600
1997-11-01,1.85,2.063,1.7769,1.8986,1.8986,89955200
1997-12-01,1.923,2.0447,1.5944,1.7709,1.7709,133163200
1998-01-01,1.785,1.8154,1.5657,1.5839,1.5839,137291200
1998-02-01,1.6144,1.9373,1.6022,1.919,1.919,162724800
1998-03-01,1.9251,2.1566,1.8276,2.1505,2.1505,189096000
1998-04-01,2.1597,2.3732,2.1231,2.2604,2.2604,147971200
1998-05-01,2.2634,2.3,2.0011,2.1536,2.1536,134649600
1998-06-01,2.1841,2.2207,1.9279,2.0987,2.0987,186164800
1998-07-01,2.1135,2.4434,2.0341,2.0555,2.0555,195964800
1998-08-01,2.0708,2.1868,1.7592,1.7776,1.7776,165742400
1998-09-01,1.7898,1.8478,1.3836,1.3988,1.3988,168950400
1998-10-01,1.3706,1.8019,1.138,1.5908,1.5908,248321600
1998-11-01,1.6031,1.808,1.5266,1.7805,1.7805,188974400
1998-12-01,1.7499,1.9488,1.548,1.9273,1.9273,224348800
1999-01-01,1.9395,2.0099,1.774,1.9364,1.9364,207195200
1999-02-01,1.9609,2.298,1.9487,2.2428,2.2428,159235200
1999-03-01,2.2428,2.3531,1.9303,2.1478,2.1478,169992000
1999-04-01,2.1663,2.2553,2.0252,2.2553,2.2553,116609600
1999-05-01,2.2645,2.4793,2.1878,2.2553,2.2553,174422400
1999-06-01,2.2399,2.4977,2.154,2.4731,2.4731,93867200
1999-07-01,2.4767,2.5689,2.3476,2.366,2.366,70907200
1999-08-01,2.3614,2.3906,2.0219,2.0465,2.0465,131451200
1999-09-01,2.0495,2.1018,1.8007,1.9789,1.9789,135809600
1999-10-01,1.982,2.3698,1.9204,2.0312,2.0312,153376000
1999-11-01,2.0682,2.1174,1.6865,1.8897,1.8897,148799200
1999-12-01,1.8958,2.0066,1.6742,1.7665,1.7665,176000000
2000-01-01,1.785,1.7943,1.1838,1.2578,1.2578,301854400
2000-02-01,1.2887,1.5723,1.1962,1.4305,1.4305,242891200
2000-03-01,1.4181,2.38,1.3503,2.3738,2.3738,219343200
