Date,Open,High,Low,Close,Adj Close,Volume
,RSG,RSG,RSG,RSG,,RSG
1998-07-01,10.6754,11.6003,10.3583,10.5697,10.5697,48498150
1998-08-01,10.5697,10.5697,6.6589,6.8175,6.8175,12330750
1998-09-01,6.8175,9.09,5.6548,8.2444,8.2444,13970100
1998-10-01,8.1387,9.3542,5.9191,9.2485,9.2485,13053300
1998-11-01,9.2749,10.3848,7.5309,7.8745,7.8745,13078200
1998-12-01,7.8745,8.0858,6.5532,7.7952,7.7952,16352850
1999-01-01,7.9009,9.0636,7.4517,8.72,8.72,15573150
1999-02-01,8.72,9.3806,6.5268,7.3724,7.3724,9687300
1999-03-01,7.1874,7.3988,6.0776,6.8439,6.8439,16457250
1999-04-01,6.8439,8.9314,6.6589,8.6936,8.6936,59389350
1999-05-01,8.7465,9.9356,8.1915,9.9356,9.9356,31483200
1999-06-01,10.0413,10.7811,9.1164,10.464,10.464,19238100
1999-07-01,10.3583,10.7283,8.2708,8.5351,8.5351,28927650
1999-08-01,8.5351,8.6936,4.5186,4.5978,4.5978,68970150
1999-09-01,4.6507,5.0735,4.2543,4.545,4.545,61810650
1999-10-01,4.545,5.1792,3.7523,5.1792,5.1792,61992750
1999-11-01,5.232,5.6548,4.7564,5.2584,5.2584,31853100
1999-12-01,5.232,6.104,4.7564,6.0247,6.0247,26949300
2000-01-01,6.1833,6.1833,4.8621,4.9678,4.9678,24422550
2000-02-01,5.0206,5.047,4.1486,4.545,4.545,32898750
2000-03-01,4.4393,4.8092,4.0693,4.6243,4.6243,28687200
2000-04-01,4.6771,5.8926,4.5186,5.7869,5.7869,23810250
2000-05-01,5.7605,7.0817,5.6812,6.976,6.976,26073450
2000-06-01,6.976,7.0553,5.6284,6.725,6.725,18883950
2000-07-01,6.7646,7.2667,6.5004,7.0817,7.0817,12959550
2000-08-01,7.0289,7.3988,6.1833,6.1833,6.1833,18901650
2000-09-01,6.3683,7.1081,5.3906,5.5491,5.5491,20144700
2000-10-01,5.6548,5.9191,4.545,5.6812,5.6812,36193350
2000-11-01,5.5755,6.6061,5.4963,6.1569,6.1569,18715200
2000-12-01,6.1569,7.2931,6.104,7.2667,7.2667,23391450
2001-01-01,7.2931,7.2931,5.8134,5.8134,5.8134,32052150
2001-02-01,5.9191,7.0352,5.8979,7.0352,7.0352,25618950
2001-03-01,7.0183,8.0753,7.0183,7.9273,7.9273,27503700
2001-04-01,7.9062,8.1387,7.3777,7.6102,7.6102,12972150
2001-05-01,7.6102,8.2867,7.42,7.7709,7.7709,14520000
2001-06-01,7.8131,8.4347,7.7201,8.3924,8.3924,11271600
2001-07-01,8.3712,8.8363,7.7582,8.4135,8.4135,14105100
2001-08-01,8.4135,8.6714,7.9907,8.3924,8.3924,18694350
2001-09-01,8.4346,8.5319,6.5955,6.8492,6.8492,14745000
2001-10-01,6.8703,7.6102,6.6801,6.9253,6.9253,15436950
2001-11-01,6.9126,7.9019,6.4475,7.2931,7.2931,14617050
2001-12-01,7.2931,8.7095,7.1874,8.4431,8.4431,52843200
2002-01-01,8.2021,8.4558,7.1451,7.3565,7.3565,19429350
2002-02-01,7.2931,7.737,6.9549,7.5891,7.5891,22454850
2002-03-01,7.5848,8.2444,7.1451,7.8977,7.8977,17994600
2002-04-01,7.9823,8.4981,7.8639,8.3712,8.3712,14556300
2002-05-01,8.329,9.0604,8.0372,8.887,8.887,18551100
2002-06-01,8.8997,9.2041,7.9231,8.0626,8.0626,18168300
2002-07-01,8.0541,8.4135,6.8746,7.4411,7.4411,22841850
2002-08-01,7.5257,8.942,7.5045,8.7095,8.7095,18970500
2002-09-01,8.6038,8.663,7.8597,7.9484,7.9484,13555050
2002-10-01,8.0119,9.0012,7.9315,8.701,8.701,25532250
2002-11-01,8.6799,9.4113,8.6038,9.09,9.09,17364150
2002-12-01,9.1323,9.1534,8.4135,8.8701,8.8701,17194650
2003-01-01,8.9758,9.0012,8.2317,8.6587,8.6587,18414900
2003-02-01,8.6249,8.6249,7.7159,8.0626,8.0626,22417500
2003-03-01,8.033,8.646,7.8301,8.3881,8.3881,15574500
2003-04-01,8.4558,9.1872,8.2444,9.0731,9.0731,20988300
2003-05-01,9.0308,10.1427,8.849,10.1089,10.1089,21788700
2003-06-01,10.1258,10.3203,9.3859,9.5846,9.5846,19210050
2003-07-01,9.555,10.3583,9.4916,10.2315,10.2315,13113150
2003-08-01,10.1681,10.464,9.7242,10.4091,10.4091,14992950
2003-09-01,9.5508,9.8933,9.2041,9.572,9.572,25537950
2003-10-01,9.5379,10.1313,9.3895,9.8558,9.8558,14935050
2003-11-01,9.9194,10.8562,9.7498,10.7884,10.7884,12681300
2003-12-01,10.8096,11.0597,9.9194,10.8647,10.8647,15622800
2004-01-01,10.8899,11.1959,10.4098,10.601,10.601,13564200
2004-02-01,10.516,11.472,10.4905,11.1491,11.1491,13357800
2004-03-01,11.1746,11.6547,10.8772,11.5018,11.5018,14902650
2004-04-01,11.5576,12.8905,11.5193,12.273,12.273,19423800
2004-05-01,12.3284,12.4774,11.6045,12.2858,12.2858,23181300
2004-06-01,12.2858,12.3667,11.7876,12.3241,12.3241,20086200
2004-07-01,12.2692,12.6363,11.8425,12.2052,12.2052,16206600
2004-08-01,12.1412,12.2906,11.309,11.9278,11.9278,15600750
2004-09-01,11.9492,12.8454,11.8724,12.7003,12.7003,14628300
2004-10-01,12.7273,13.3786,12.4059,13.1987,13.1987,14947500
2004-11-01,13.2415,13.8843,12.9544,13.4943,13.4943,15505500
2004-12-01,13.5072,14.5614,13.5072,14.3728,14.3728,14584800
2005-01-01,14.4717,14.4717,13.7621,14.1793,14.1793,14685900
2005-02-01,14.2266,14.476,12.9493,13.6374,13.6374,30386100
2005-03-01,13.6245,14.4588,13.5471,14.3986,14.3986,21114000
2005-04-01,14.4595,15.6033,14.0279,14.9343,14.9343,22847550
2005-05-01,14.999,15.9055,14.6192,15.3141,15.3141,28179600
2005-06-01,15.3659,15.8752,14.9084,15.5429,15.5429,17972250
2005-07-01,15.6126,16.4442,15.3311,15.6993,15.6993,17009550
2005-08-01,15.6646,16.4745,15.1666,15.6906,15.6906,13302750
2005-09-01,15.6559,15.8465,14.5429,15.2835,15.2835,12811350
2005-10-01,15.3459,15.5764,14.3501,15.372,15.372,16247850
2005-11-01,15.2937,15.946,15.1415,15.5894,15.5894,14775900
2005-12-01,15.6547,16.6722,15.1763,16.3287,16.3287,22935300
2006-01-01,16.3238,17.0178,16.0183,16.5202,16.5202,17166600
2006-02-01,16.4766,17.236,16.3718,16.9654,16.9654,16930350
2006-03-01,16.9479,18.6502,16.8126,18.5541,18.5541,21021900
2006-04-01,18.6119,19.352,18.4762,19.2732,19.2732,19129050
2006-05-01,19.2688,19.3608,17.2894,17.8674,17.8674,23484600
2006-06-01,17.8675,18.2966,16.9128,17.666,17.666,24856650
2006-07-01,17.7592,17.9525,16.8626,17.6493,17.6493,20881500
2006-08-01,17.6888,18.1503,16.6561,17.0428,17.0428,16371750
2006-09-01,17.1219,17.9481,16.5067,17.6713,17.6713,18118950
2006-10-01,17.7161,18.7795,17.5882,18.0956,18.0956,15065250
2006-11-01,18.0912,19.0796,18.0426,18.303,18.303,15034500
2006-12-01,18.3295,18.9163,17.7205,17.9456,17.9456,17629200
