Date,Open,High,Low,Close,Adj Close,Volume
,RTX,RTX,RTX,RTX,,RTX
1985-01-01,1.1084,1.3134,1.0477,1.302,1.302,97002729
1985-02-01,1.2944,1.3666,1.2527,1.2717,1.2717,72600774
1985-03-01,1.2818,1.366,1.2129,1.2512,1.2512,78468636
1985-04-01,1.2282,1.2397,1.1555,1.167,1.167,87783986
1985-05-01,1.1785,1.3468,1.0331,1.3392,1.3392,117758886
1985-06-01,1.3392,1.3736,1.1976,1.2703,1.2703,122750886
1985-07-01,1.2665,1.3698,1.255,1.2703,1.2703,126317875
1985-08-01,1.2741,1.3086,1.2091,1.2282,1.2282,85724643
1985-09-01,1.2349,1.2465,1.1423,1.15,1.15,86449230
1985-10-01,1.1462,1.2774,1.1192,1.2465,1.2465,90734443
1985-11-01,1.2388,1.3391,1.2079,1.2967,1.2967,91242921
1985-12-01,1.3001,1.448,1.2689,1.3624,1.3624,93395063
1986-01-01,1.3701,1.4869,1.3507,1.4597,1.4597,96790437
1986-02-01,1.4558,1.6776,1.4519,1.6582,1.6582,118712282
1986-03-01,1.6616,1.7635,1.6224,1.6812,1.6812,88914082
1986-04-01,1.689,1.689,1.5675,1.5832,1.5832,112862221
1986-05-01,1.5675,1.6067,1.4774,1.5832,1.5832,93525996
1986-06-01,1.5949,1.6185,1.4922,1.5633,1.5633,97788328
1986-07-01,1.5554,1.5712,1.2909,1.2988,1.2988,140119292
1986-08-01,1.3067,1.4725,1.2396,1.4488,1.4488,99242585
1986-09-01,1.4561,1.5237,1.3049,1.3447,1.3447,96705268
1986-10-01,1.3527,1.3885,1.2572,1.3646,1.3646,130702244
1986-11-01,1.3686,1.468,1.3487,1.4203,1.4203,89242054
1986-12-01,1.4272,1.5395,1.4152,1.4753,1.4753,130952667
1987-01-01,1.4753,1.6156,1.4713,1.5836,1.5836,153356298
1987-02-01,1.5836,1.76,1.5595,1.7519,1.7519,135509919
1987-03-01,1.7641,1.7681,1.4936,1.6429,1.6429,118670337
1987-04-01,1.6228,1.6874,1.4048,1.4936,1.4936,141532863
1987-05-01,1.4976,1.5784,1.4532,1.4694,1.4694,93922614
1987-06-01,1.4968,1.7287,1.4724,1.7002,1.7002,91006481
1987-07-01,1.7002,1.9036,1.7002,1.8792,1.8792,131968356
1987-08-01,1.8507,1.9686,1.8303,1.8751,1.8751,139473522
1987-09-01,1.8901,1.9515,1.7183,1.8983,1.8983,87716613
1987-10-01,1.8901,1.9024,1.0392,1.1537,1.1537,181111678
1987-11-01,1.1455,1.2478,0.9901,1.0351,1.0351,155329200
1987-12-01,1.0582,1.1657,0.9921,1.1202,1.1202,119316105
1988-01-01,1.1285,1.2773,1.0913,1.2691,1.2691,100178188
1988-02-01,1.2773,1.3889,1.1823,1.3476,1.3476,101739223
1988-03-01,1.3646,1.4189,1.2854,1.302,1.302,98266302
1988-04-01,1.302,1.3939,1.2728,1.2979,1.2979,89220445
1988-05-01,1.2979,1.3271,1.1768,1.252,1.252,84759801
1988-06-01,1.2736,1.3832,1.2567,1.2989,1.2989,89822993
1988-07-01,1.2947,1.32,1.2188,1.2652,1.2652,67400295
1988-08-01,1.2736,1.2905,1.1766,1.2399,1.2399,57303150
1988-09-01,1.2454,1.3733,1.2198,1.3605,1.3605,71044824
1988-10-01,1.3648,1.514,1.352,1.4202,1.4202,86304307
1988-11-01,1.4245,1.4373,1.3008,1.369,1.369,54792534
1988-12-01,1.3789,1.4349,1.3487,1.4176,1.4176,60909547
1989-01-01,1.4176,1.5685,1.3746,1.5211,1.5211,103574834
1989-02-01,1.5211,1.5986,1.4737,1.5081,1.5081,82514862
1989-03-01,1.5261,1.6,1.4913,1.5826,1.5826,67386313
1989-04-01,1.5913,1.8609,1.587,1.8087,1.8087,110677029
1989-05-01,1.7913,1.8391,1.7217,1.787,1.787,106784612
1989-06-01,1.7966,1.836,1.7352,1.7615,1.7615,85709388
1989-07-01,1.7659,1.9368,1.7484,1.9236,1.9236,78539822
1989-08-01,1.9236,1.9631,1.8491,1.9543,1.9543,92403528
1989-09-01,1.9774,2.026,1.9333,1.9642,1.9642,63976954
1989-10-01,1.9775,2.0083,1.7832,1.8848,1.8848,105118072
1989-11-01,1.8803,1.9289,1.7744,1.8274,1.8274,93275573
1989-12-01,1.8453,1.9476,1.8231,1.9298,1.9298,59554450
1990-01-01,1.9254,1.9876,1.7208,1.7742,1.7742,80084330
1990-02-01,1.7786,1.8453,1.7297,1.8187,1.8187,70029137
1990-03-01,1.8391,2.1261,1.8391,2.0544,2.0544,160380948
1990-04-01,2.0274,2.0768,1.9467,1.9736,1.9736,70575753
1990-05-01,1.9826,2.1127,1.9781,2.1037,2.1037,87236099
1990-06-01,2.1296,2.1974,2.0617,2.0708,2.0708,83505129
1990-07-01,2.0798,2.2607,2.0482,2.1431,2.1431,78536007
1990-08-01,2.1431,2.1431,1.6729,1.7678,1.7678,106287577
1990-09-01,1.7657,1.8661,1.4646,1.5604,1.5604,58609948
1990-10-01,1.5787,1.8159,1.5285,1.6471,1.6471,79170335
1990-11-01,1.6197,1.679,1.565,1.6289,1.6289,74221553
1990-12-01,1.6454,1.8205,1.6454,1.7652,1.7652,50171722
1991-01-01,1.7606,1.7882,1.5578,1.7514,1.7514,83315721
1991-02-01,1.7514,1.8758,1.6914,1.8343,1.8343,159983063
1991-03-01,1.8284,1.9168,1.7307,1.8052,1.8052,77732607
1991-04-01,1.8098,1.861,1.6423,1.7121,1.7121,150070246
1991-05-01,1.7214,1.7447,1.6097,1.7447,1.7447,109498624
1991-06-01,1.758,1.7816,1.6499,1.6734,1.6734,94601431
1991-07-01,1.6734,1.838,1.6358,1.7533,1.7533,99177753
1991-08-01,1.7439,1.8474,1.617,1.8004,1.8004,82094096
1991-09-01,1.8277,1.8372,1.6663,1.709,1.709,63561273
1991-10-01,1.6995,1.8657,1.5998,1.8467,1.8467,107190125
1991-11-01,1.8562,1.9179,1.7565,1.8087,1.8087,74854611
1991-12-01,1.8061,2.0888,1.7438,2.0792,2.0792,72642726
1992-01-01,2.0313,2.1846,1.8684,1.9451,1.9451,131562842
1992-02-01,1.9451,2.0457,1.8636,1.9307,1.9307,80491113
1992-03-01,1.9412,2.0755,1.9412,1.994,1.994,69152009
1992-04-01,1.9892,2.1665,1.9508,2.0707,2.0707,86249648
1992-05-01,2.0707,2.1138,1.9508,2.0131,2.0131,53155227
1992-06-01,2.0305,2.074,1.9386,2.0208,2.0208,91315382
1992-07-01,2.0256,2.219,1.9338,2.2045,2.2045,128814512
1992-08-01,2.1948,2.2383,2.0401,2.1272,2.1272,66319777
1992-09-01,2.1442,2.1978,1.8323,1.9102,1.9102,136362896
1992-10-01,1.92,1.9395,1.7056,1.7835,1.7835,120203403
1992-11-01,1.7933,1.803,1.6179,1.7494,1.7494,82261893
1992-12-01,1.7673,1.9298,1.7427,1.8953,1.8953,75684705
1993-01-01,1.9051,1.9642,1.8165,1.8461,1.8461,93550151
1993-02-01,1.8461,1.9593,1.723,1.7624,1.7624,124652599
1993-03-01,1.7753,1.9344,1.7753,1.8797,1.8797,67170209
1993-04-01,1.8797,2.009,1.84,1.9593,1.9593,63331185
1993-05-01,1.9792,2.1483,1.9344,2.1035,2.1035,79803391
1993-06-01,2.1119,2.2424,2.0969,2.1671,2.1671,89118747
1993-07-01,2.1671,2.2273,2.0668,2.1772,2.1772,77048702
1993-08-01,2.1772,2.3828,2.1721,2.2825,2.2825,86404735
1993-09-01,2.3101,2.3404,2.1888,2.2444,2.2444,69317265
1993-10-01,2.2444,2.6134,2.2444,2.5072,2.5072,103517631
1993-11-01,2.5022,2.674,2.4617,2.5022,2.5022,94911607
1993-12-01,2.5249,2.586,2.4893,2.5249,2.5249,70741009
1994-01-01,2.5198,2.7846,2.362,2.7438,2.7438,93403961
1994-02-01,2.7235,2.9322,2.5708,2.7693,2.7693,102116769
1994-03-01,2.772,2.8745,2.4902,2.5466,2.5466,99761233
1994-04-01,2.5107,2.7208,2.4902,2.6132,2.6132,89863671
1994-05-01,2.6081,2.7464,2.5619,2.7208,2.7208,78980926
1994-06-01,2.7349,2.8175,2.6214,2.6523,2.6523,51755637
1994-07-01,2.6678,2.7968,2.4666,2.4872,2.4872,95061608
1994-08-01,2.5285,2.6627,2.4717,2.6265,2.6265,110753302
1994-09-01,2.6583,2.7,2.5179,2.6063,2.6063,86314482
1994-10-01,2.6167,2.6843,2.4763,2.6219,2.6219,112618149
1994-11-01,2.6219,2.6219,2.289,2.4346,2.4346,113777485
1994-12-01,2.4553,2.6599,2.4238,2.6389,2.6389,77988121
1995-01-01,2.6336,2.7648,2.6127,2.6966,2.6966,68034624
1995-02-01,2.6861,2.8173,2.6704,2.7858,2.7858,72139327
1995-03-01,2.7804,2.939,2.7275,2.9231,2.9231,74084267
1995-04-01,2.9072,3.1715,2.8544,3.0923,3.0923,80810183
1995-05-01,3.0975,3.235,3.0658,3.2085,3.2085,93171331
1995-06-01,3.23,3.379,3.2034,3.3258,3.3258,86085663
1995-07-01,3.3258,3.6025,3.3205,3.5759,3.5759,101553626
1995-08-01,3.5759,3.6131,3.4003,3.5493,3.5493,95505258
1995-09-01,3.5814,3.7955,3.5278,3.7848,3.7848,99810812
1995-10-01,3.7794,3.8651,3.5492,3.8009,3.8009,93954392
1995-11-01,3.7794,4.0364,3.6831,4.015,4.015,101746846
1995-12-01,4.051,4.2126,3.9325,4.0887,4.0887,77177095
1996-01-01,4.051,4.4389,3.9002,4.4227,4.4227,119917382
1996-02-01,4.4012,4.7352,4.288,4.6274,4.6274,108555395
1996-03-01,4.6794,5.1127,4.5494,4.8636,4.8636,116237258
1996-04-01,4.8798,4.9936,4.6144,4.7878,4.7878,103290085
1996-05-01,4.7661,4.8852,4.3491,4.739,4.739,104127806
1996-06-01,4.7411,5.0623,4.7248,5.0078,5.0078,63730340
1996-07-01,4.9969,5.1385,4.4199,4.899,4.899,97931977
1996-08-01,4.8826,5.1221,4.8609,4.9098,4.9098,61742182
1996-09-01,4.895,5.3216,4.8457,5.2669,5.2669,66542235
1996-10-01,5.2778,5.688,5.2286,5.6333,5.6333,82498337
1996-11-01,5.6661,6.1638,5.6388,6.1365,6.1365,71609236
1996-12-01,6.1399,6.1619,5.4919,5.8214,5.8214,93629601
1997-01-01,5.8214,6.2717,5.7225,6.1289,6.1289,92817304
1997-02-01,6.0301,6.8539,5.9862,6.6122,6.6122,102331602
1997-03-01,6.5729,7.014,6.4405,6.6832,6.6832,84862132
1997-04-01,6.639,6.9589,6.1979,6.6721,6.6721,104610226
1997-05-01,6.6721,7.1905,6.617,7.0912,7.0912,93600362
1997-06-01,7.1088,7.7732,6.987,7.3524,7.3524,76830057
1997-07-01,7.3745,7.8784,7.3524,7.4908,7.4908,97103152
1997-08-01,7.5185,7.5849,6.8209,6.915,6.915,98079436
1997-09-01,7.0025,7.5416,6.8246,7.2026,7.2026,127057075
1997-10-01,7.1803,7.2748,5.9354,6.2244,6.2244,196983244
1997-11-01,6.3134,6.7135,6.1244,6.6635,6.6635,117307609
1997-12-01,6.6916,7.1325,6.1391,6.5019,6.5019,124533742
1998-01-01,6.5465,7.4004,5.9828,7.2553,7.2553,118794274
1998-02-01,7.3892,8.0366,7.3892,7.9753,7.9753,76415646
1998-03-01,7.9759,8.4184,7.8527,8.2728,8.2728,79032411
1998-04-01,8.2616,8.9449,8.2112,8.8217,8.8217,84043483
1998-05-01,8.8609,8.9729,8.2448,8.424,8.424,71834239
1998-06-01,8.4167,8.5066,7.5621,8.3211,8.3211,124246454
1998-07-01,8.3267,8.9171,8.2424,8.6247,8.6247,81394935
1998-08-01,8.6247,8.8271,6.5276,6.5276,6.5276,120689634
1998-09-01,6.5934,7.4966,6.4805,6.9038,6.9038,132348448
1998-10-01,6.8248,8.6933,5.8708,8.603,8.603,134813303
1998-11-01,8.6538,10.161,8.4393,9.6812,9.6812,102643679
1998-12-01,9.6428,10.0281,8.8723,9.8581,9.8581,99112285
1999-01-01,9.9035,10.8723,9.6882,10.827,10.827,93918799
1999-02-01,10.8666,11.5125,10.6513,11.2292,11.2292,106922538
1999-03-01,11.2171,12.4502,11.0807,12.3138,12.3138,108462598
1999-04-01,12.3366,13.6833,11.8933,13.1719,13.1719,163898994
1999-05-01,13.1492,13.814,11.2285,11.2853,11.2853,147110573
1999-06-01,11.3243,13.1699,11.0167,13.1243,13.1243,123779289
1999-07-01,13.0788,13.0788,12.156,12.156,12.156,72987853
1999-08-01,11.9395,12.7598,11.1762,12.0534,12.0534,64982152
1999-09-01,12.1533,12.5645,9.9716,10.8397,10.8397,125386083
1999-10-01,11.011,11.2395,9.4348,11.0567,11.0567,119898313
1999-11-01,11.011,11.0796,9.7432,10.3257,10.3257,97125082
1999-12-01,10.6375,11.9213,10.0873,11.9213,11.9213,94647197
2000-01-01,11.9099,12.0818,9.4454,9.709,9.709,125437886
2000-02-01,9.8122,10.0185,8.7232,9.3422,9.3422,147348286
2000-03-01,9.378,11.8749,8.561,11.6333,11.6333,144746777
2000-04-01,11.6333,12.1741,10.3215,11.4492,11.4492,105802613
2000-05-01,11.3111,12.3237,10.6322,11.127,11.127,99827337
2000-06-01,10.8952,11.9802,9.9719,10.8722,10.8722,110510182
2000-07-01,10.6182,11.4031,10.2258,10.7798,10.7798,85840959
2000-08-01,10.9183,12.0032,10.4913,11.53,11.53,90014625
2000-09-01,11.6126,13.4998,10.9295,12.8515,12.8515,158600630
2000-10-01,12.7588,13.5114,11.0916,12.9325,12.9325,203594757
2000-11-01,12.8167,13.4767,12.0757,13.1178,13.1178,97140653
2000-12-01,13.0804,14.8229,12.9527,14.6138,14.6138,141524284
2001-01-01,14.4512,14.4512,12.8423,13.9364,13.9364,146849979
2001-02-01,13.9363,14.9437,13.5758,14.4809,14.4809,119694918
2001-03-01,14.4654,15.3788,12.098,13.6638,13.6638,207889186
2001-04-01,13.7197,14.8848,13.0487,14.5548,14.5548,113398349
2001-05-01,14.5399,16.3108,14.2547,15.5298,15.5298,121622062
2001-06-01,15.516,16.0113,13.5381,13.6952,13.6952,192577264
2001-07-01,13.6559,14.4336,13.1979,13.7213,13.7213,131735728
2001-08-01,13.8335,13.9419,12.5455,12.7866,12.7866,145414791
2001-09-01,12.9204,13.0686,7.5197,8.7199,8.7199,311025139
2001-10-01,8.6636,10.7339,8.5699,10.1057,10.1057,218557414
2001-11-01,10.1076,11.5796,9.8825,11.289,11.289,139637189
2001-12-01,11.1549,12.4069,11.0344,12.1678,12.1678,140641753
2002-01-01,12.181,12.9604,11.1662,12.9397,12.9397,179236978
2002-02-01,12.9905,14.1107,12.5613,13.7342,13.7342,161535833
2002-03-01,13.7646,14.6905,13.5096,14.0197,14.0197,169534542
2002-04-01,13.9819,14.2748,12.5648,13.2583,13.2583,201375240
2002-05-01,13.1317,13.4321,12.6858,13.0126,13.0126,146446052
2002-06-01,13.0445,13.4616,12.1154,12.8738,12.8738,160642501
2002-07-01,12.8454,13.6626,11.1125,13.1772,13.1772,213121129
2002-08-01,13.1298,13.1374,10.8812,11.2604,11.2604,231523339
2002-09-01,11.2114,11.9328,10.5147,10.7526,10.7526,176617352
2002-10-01,10.8497,12.1631,9.2946,11.7386,11.7386,235553042
2002-11-01,11.5825,12.6028,11.535,11.8909,11.8909,147525301
2002-12-01,12.1921,12.3545,11.3168,11.8366,11.8366,134832690
2003-01-01,11.9054,12.7826,11.8481,12.15,12.15,155159494
2003-02-01,12.2398,12.5552,11.0455,11.1945,11.1945,160166435
2003-03-01,11.2404,12.2745,10.2658,11.085,11.085,205693828
2003-04-01,11.2136,12.2687,11.1042,11.8582,11.8582,197898511
2003-05-01,11.8582,13.1896,11.6721,13.0937,13.0937,167366511
2003-06-01,13.2562,14.2675,13.1657,13.6434,13.6434,156140861
2003-07-01,13.5259,14.8511,13.3506,14.4909,14.4909,149205829
2003-08-01,14.4909,15.4772,13.915,15.4579,15.4579,124903027
2003-09-01,15.4879,15.6077,14.8365,14.937,14.937,133100677
2003-10-01,15.0762,16.6206,14.9815,16.3693,16.3693,134172618
2003-11-01,16.4775,16.9994,15.9615,16.5645,16.5645,105335128
2003-12-01,16.8075,18.7774,16.7686,18.3931,18.3931,131967085
2004-01-01,18.4047,18.9326,17.8846,18.5425,18.5425,138640568
2004-02-01,18.5503,18.9889,17.2577,17.8768,17.8768,181770160
2004-03-01,17.7848,18.038,16.2654,16.8108,16.8108,202111903
2004-04-01,16.8303,17.7887,16.4037,16.803,16.803,152147068
2004-05-01,16.8595,16.9472,15.7141,16.4816,16.4816,151287101
2004-06-01,16.4875,17.9977,16.4308,17.896,17.896,119565257
2004-07-01,17.9273,18.6237,17.18,18.2912,18.2912,142782774
2004-08-01,18.2423,18.4751,17.4421,18.3714,18.3714,109834856
2004-09-01,18.4414,18.8518,17.8601,18.3373,18.3373,110397683
2004-10-01,18.4395,18.9324,17.3751,18.2274,18.2274,130927880
2004-11-01,18.2627,19.2937,18.2274,19.1621,19.1621,134955042
2004-12-01,19.314,20.9458,19.0479,20.3684,20.3684,148911227
2005-01-01,20.3428,20.5595,19.4992,19.8422,19.8422,139926703
2005-02-01,19.787,20.3211,19.3238,19.6845,19.6845,124929404
2005-03-01,19.7672,20.7232,19.5336,20.1214,20.1214,131322588
2005-04-01,20.2165,20.3728,19.1694,20.1333,20.1333,138900211
2005-05-01,20.169,21.3763,19.8028,21.119,21.119,138029122
2005-06-01,21.2519,21.4924,20.3137,20.4131,20.4131,156140383
2005-07-01,20.433,20.91,19.7413,20.1547,20.1547,104104447
2005-08-01,19.8765,20.8067,19.5584,19.8765,19.8765,130267495
2005-09-01,19.862,20.8401,19.85,20.6964,20.6964,106333019
2005-10-01,20.6166,20.9439,19.6784,20.4728,20.4728,120032107
2005-11-01,20.373,21.9101,20.2373,21.4949,21.4949,116358023
2005-12-01,21.7281,23.6083,21.7081,22.4136,22.4136,112980123
2006-01-01,22.6301,23.7887,21.7281,23.3998,23.3998,125680368
2006-02-01,23.2996,23.7726,22.5299,23.4519,23.4519,96066651
2006-03-01,23.541,24.1205,22.9615,23.3277,23.3277,110087352
2006-04-01,23.372,26.1366,22.7684,25.2754,25.2754,126232069
2006-05-01,25.3519,26.716,24.8488,25.1587,25.1587,135502928
2006-06-01,25.3947,25.6897,23.7785,25.625,25.625,132718366
2006-07-01,25.8594,26.1342,23.2129,25.1281,25.1281,146360724
2006-08-01,25.1281,25.617,24.0412,25.3382,25.3382,101304154
2006-09-01,25.5664,26.2725,25.2376,25.7084,25.7084,109237872
2006-10-01,25.7368,27.3803,25.7003,26.6702,26.6702,114056036
2006-11-01,26.662,27.1612,25.822,26.1872,26.1872,103952063
2006-12-01,26.2323,26.6846,25.1811,25.4745,25.4745,146227726
2007-01-01,25.5071,27.8051,25.2015,27.7155,27.7155,157217410
2007-02-01,27.7277,28.3144,26.3831,26.7457,26.7457,123786915
2007-03-01,26.4589,27.5307,25.9558,26.5898,26.5898,149236816
2007-04-01,26.6021,28.0175,26.0376,27.4612,27.4612,161175129
2007-05-01,27.3998,28.9134,27.3998,28.8602,28.8602,135519137
2007-06-01,29.116,29.8306,28.2741,29.1283,29.1283,142942788
2007-07-01,29.3501,31.9578,29.3213,29.9661,29.9661,185688316
2007-08-01,29.9989,31.502,28.3357,30.6478,30.6478,187388071
2007-09-01,30.8326,33.4024,30.1562,33.1961,33.1961,126928210
2007-10-01,33.1961,34.0293,30.911,31.5916,31.5916,180696633
2007-11-01,30.9811,31.6576,29.9458,30.8409,30.8409,154768920
2007-12-01,30.6617,32.8489,30.6617,31.7056,31.7056,123386011
2008-01-01,31.747,31.9542,27.0082,30.3511,30.3511,236513275
2008-02-01,30.4463,30.7819,29.1456,29.2078,29.2078,151486680
2008-03-01,29.0995,29.4157,27.5185,28.6335,28.6335,185559768
2008-04-01,28.8083,30.7222,28.8083,30.1522,30.1522,169630675
2008-05-01,30.1647,31.5626,28.9165,29.5572,29.5572,153917692
2008-06-01,29.4291,29.7091,25.284,25.7813,25.7813,246122913
2008-07-01,25.447,27.8371,24.5988,26.734,26.734,256583777
